gene_id	flt_cluster	gc_cluster	procrustes_latent_shift
ENSMUSG00000029422	1	5	1.8508895907610319
ENSMUSG00000076126	0	0	0.49402645415771407
ENSMUSG00000049036	0	0	0.49402645415771407
ENSMUSG00000029577	5	11	1.128926028081428
ENSMUSG00000040746	5	3	1.313241431928392
ENSMUSG00000020590	10	9	1.7119197530721262
ENSMUSG00000030263	6	2	2.528180870474388
ENSMUSG00000038914	5	9	1.596111408463406
ENSMUSG00000026878	10	9	1.059869765183591
ENSMUSG00000093241	0	0	0.49402645415771407
ENSMUSG00000030098	14	8	3.118016051352244
ENSMUSG00000078908	2	4	1.2971832703673838
ENSMUSG00000025056	0	0	0.49402645415771407
ENSMUSG00000090129	4	1	1.1671608016440351
ENSMUSG00000026407	15	1	7.403487994717087
ENSMUSG00000034239	0	0	0.49402645415771407
ENSMUSG00000020818	2	4	1.4530711192745636
ENSMUSG00000060038	2	8	3.2257261983653565
ENSMUSG00000020029	11	9	0.917010805533245
ENSMUSG00000085958	7	2	1.2122790685135634
ENSMUSG00000024292	11	12	0.6765639936152793
ENSMUSG00000111356	3	1	0.8947133880648934
ENSMUSG00000016831	1	5	1.162618669370111
ENSMUSG00000024791	3	1	1.2486275385083558
ENSMUSG00000028398	1	4	1.4526219272181518
ENSMUSG00000113338	0	0	0.49402645415771407
ENSMUSG00000022586	3	1	0.5734202538272093
ENSMUSG00000091034	0	0	0.49402645415771407
ENSMUSG00000056204	5	11	1.2837197249563663
ENSMUSG00000065472	0	0	0.49402645415771407
ENSMUSG00000056197	0	0	0.49402645415771407
ENSMUSG00000031986	2	4	2.7270192415493506
ENSMUSG00000086259	3	1	0.8148508741068202
ENSMUSG00000000244	9	2	2.8719062728233475
ENSMUSG00000027519	1	5	1.2772211034040908
ENSMUSG00000061086	4	7	0.70417727573699
ENSMUSG00000056290	9	13	1.3160495331471789
ENSMUSG00000068206	8	4	1.012657083982522
ENSMUSG00000077815	0	0	0.49402645415771407
ENSMUSG00000021208	6	6	3.297519638730205
ENSMUSG00000088054	3	1	0.6634090528469658
ENSMUSG00000024998	1	5	1.3082090427273656
ENSMUSG00000047248	1	4	1.4420057988208255
ENSMUSG00000027981	2	4	1.8320092659305178
ENSMUSG00000039683	4	10	1.161569168005443
ENSMUSG00000047117	3	1	0.5351653038880841
ENSMUSG00000030278	9	8	2.902824463596641
ENSMUSG00000037419	2	8	2.640529956359729
ENSMUSG00000099616	0	0	0.49402645415771407
ENSMUSG00000022208	3	1	0.5371369416311212
ENSMUSG00000055197	0	0	0.49402645415771407
ENSMUSG00000059632	0	0	0.49402645415771407
ENSMUSG00000064823	3	1	1.2568070743254496
ENSMUSG00000095629	3	1	0.9946555714667292
ENSMUSG00000034829	3	1	0.8973092079159987
ENSMUSG00000029380	2	8	2.6093987223462944
ENSMUSG00000073001	0	0	0.49402645415771407
ENSMUSG00000031073	0	0	0.49402645415771407
ENSMUSG00000028047	15	7	2.1326405704237223
ENSMUSG00000039196	11	12	1.780693145439281
ENSMUSG00000032673	2	4	2.410898883393211
ENSMUSG00000096584	0	0	0.49402645415771407
ENSMUSG00000022773	7	2	0.9166379005383576
ENSMUSG00000078597	9	8	4.083067448468679
ENSMUSG00000021494	8	3	0.9307196228958231
ENSMUSG00000050248	6	2	2.188653196872038
ENSMUSG00000003752	12	6	1.9002531894222805
ENSMUSG00000037353	8	3	1.007787432335351
ENSMUSG00000022096	13	7	3.509216427699898
ENSMUSG00000091311	0	0	0.49402645415771407
ENSMUSG00000096436	4	10	1.357804433014483
ENSMUSG00000021661	2	8	1.3208247774141209
ENSMUSG00000039620	9	6	1.6837616880980628
ENSMUSG00000033765	0	0	0.49402645415771407
ENSMUSG00000032584	13	7	1.5240030185166793
ENSMUSG00000072884	6	7	1.4226721246698804
ENSMUSG00000066896	3	1	0.4996975243849196
ENSMUSG00000094606	0	0	0.49402645415771407
ENSMUSG00000032783	3	1	0.7912298492779897
ENSMUSG00000029093	15	1	1.3756929731404406
ENSMUSG00000030254	9	2	2.0039932640329767
ENSMUSG00000077991	0	0	0.49402645415771407
ENSMUSG00000021090	3	1	0.6690420472768434
ENSMUSG00000094687	0	0	0.49402645415771407
ENSMUSG00000055013	8	4	1.9828312864104842
ENSMUSG00000038204	15	1	2.368186534788752
ENSMUSG00000020629	10	9	1.1503111947392186
