list	genes
FLT_cluster_01	2137
FLT_cluster_02	2085
FLT_cluster_03	1968
FLT_cluster_04	1619
FLT_cluster_05	1431
FLT_cluster_06	1422
FLT_cluster_07	1066
FLT_cluster_08	934
FLT_cluster_09	913
FLT_cluster_10	884
FLT_cluster_11	637
FLT_cluster_12	595
FLT_cluster_13	326
FLT_cluster_14	303
FLT_cluster_15	278
GC_cluster_01	2185
GC_cluster_02	2104
GC_cluster_03	1639
GC_cluster_04	1608
GC_cluster_05	1353
GC_cluster_06	1344
GC_cluster_07	1340
GC_cluster_08	1173
GC_cluster_09	1146
GC_cluster_10	1046
GC_cluster_11	836
GC_cluster_12	618
GC_cluster_13	110
GC_cluster_14	84
