GO,Description,_LogP_FLT_cluster_01,_LogP_FLT_cluster_02,_LogP_FLT_cluster_03,_LogP_FLT_cluster_04,_LogP_FLT_cluster_05,_LogP_FLT_cluster_06,_LogP_FLT_cluster_07,_LogP_FLT_cluster_08,_LogP_FLT_cluster_09,_LogP_FLT_cluster_10,_LogP_FLT_cluster_11,_LogP_FLT_cluster_12,_LogP_FLT_cluster_13,_LogP_FLT_cluster_14,_LogP_FLT_cluster_15,_LogP_GC_cluster_01,_LogP_GC_cluster_02,_LogP_GC_cluster_03,_LogP_GC_cluster_04,_LogP_GC_cluster_05,_LogP_GC_cluster_06,_LogP_GC_cluster_07,_LogP_GC_cluster_08,_LogP_GC_cluster_09,_LogP_GC_cluster_10,_LogP_GC_cluster_11,_LogP_GC_cluster_12,_LogP_GC_cluster_13,_LogP_GC_cluster_14
GO:0010496,intercellular transport,-24.522393531159548,0.0,0.0,0.0,-9.899891614546517,0.0,0.0,-3.2558123526855405,0.0,-11.51700501275736,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-14.490287269377342,0.0,-15.609323107810285,0.0,0.0,0.0,-12.699833286949495,0.0,0.0,-2.5590890598086333,0.0,0.0
R-MMU-72766,Translation,-4.755741945261168,0.0,0.0,0.0,-26.621860666740034,0.0,0.0,-2.1310329441159106,0.0,-2.3746060170667636,-14.221472857319837,0.0,0.0,-6.7798443492530405,0.0,0.0,0.0,-3.845337391658212,0.0,-5.480076036566114,0.0,0.0,0.0,-18.168718394494427,0.0,-20.131142850232063,-2.3431642920093605,0.0,0.0
GO:0008202,steroid metabolic process,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.5470834980415424,-32.592111892632026,0.0,0.0,-14.355822651367989,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.2878083682668118,-2.829797879628114,0.0,-2.405377786621782,-35.3422519942967,0.0,0.0
R-MMU-211859,Biological oxidations,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.8447212516920546,-23.203563926582337,0.0,0.0,-5.554910013608538,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.9113236964677944,-2.5089786584241596,0.0,0.0,-24.70656971158009,0.0,0.0
GO:0009410,response to xenobiotic stimulus,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-29.698660118525297,0.0,0.0,-10.624650977094475,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.2885637129554897,0.0,0.0,0.0,-25.899268995434685,0.0,0.0
mmu00071,Fatty acid degradation - Mus musculus (house mouse),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-21.26582279007611,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-21.5766505204314,0.0,0.0
GO:0006641,triglyceride metabolic process,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-22.225048198819753,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-19.000090746069866,0.0,0.0
mmu04610,Complement and coagulation cascades - Mus musculus (house mouse),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.3265581151666375,0.0,-31.431509272694168,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-31.93742263736582,0.0,0.0
GO:0044283,small molecule biosynthetic process,0.0,0.0,0.0,0.0,-5.382699034758247,0.0,0.0,0.0,0.0,0.0,-42.68502589728497,0.0,0.0,-5.26259997719281,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.1323283738604473,0.0,-4.161137750830037,-39.267451881956426,0.0,0.0
mmu05171,Coronavirus disease - Mus musculus (house mouse),0.0,0.0,0.0,0.0,-5.694895688395749,0.0,0.0,0.0,0.0,0.0,-25.60805847431135,0.0,0.0,-11.391206669651968,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.904628236477896,0.0,-11.177610588027187,-7.702099678714074,0.0,0.0
