h5_accession	balanced_feature	flt_feature	gc_feature	flt_profile	gc_profile	selection
OSD-137	OSD-137_balanced_01	OSD-137_Mmus_BAL-TAL_LVR_FLT_Rep1_F1	OSD-137_Mmus_BAL-TAL_LVR_GC_Rep1_G1	Mmus_BAL-TAL_LVR_FLT_Rep1_F1	Mmus_BAL-TAL_LVR_GC_Rep1_G1	kept
OSD-137	OSD-137_balanced_02	OSD-137_Mmus_BAL-TAL_LVR_FLT_Rep3_F3	OSD-137_Mmus_BAL-TAL_LVR_GC_Rep2_G2	Mmus_BAL-TAL_LVR_FLT_Rep3_F3	Mmus_BAL-TAL_LVR_GC_Rep2_G2	kept
OSD-137	OSD-137_balanced_03	OSD-137_Mmus_BAL-TAL_LVR_FLT_Rep4_F4	OSD-137_Mmus_BAL-TAL_LVR_GC_Rep3_G3	Mmus_BAL-TAL_LVR_FLT_Rep4_F4	Mmus_BAL-TAL_LVR_GC_Rep3_G3	kept
OSD-137	OSD-137_balanced_04	OSD-137_Mmus_BAL-TAL_LVR_FLT_Rep5_F5	OSD-137_Mmus_BAL-TAL_LVR_GC_Rep4_G5	Mmus_BAL-TAL_LVR_FLT_Rep5_F5	Mmus_BAL-TAL_LVR_GC_Rep4_G5	kept
OSD-137	OSD-137_balanced_05	OSD-137_Mmus_BAL-TAL_LVR_FLT_Rep6_F6	OSD-137_Mmus_BAL-TAL_LVR_GC_Rep5_G6	Mmus_BAL-TAL_LVR_FLT_Rep6_F6	Mmus_BAL-TAL_LVR_GC_Rep5_G6	kept
OSD-137			OSD-137_Mmus_BAL-TAL_LVR_GC_Rep6_G7		Mmus_BAL-TAL_LVR_GC_Rep6_G7	dropped_to_balance_within_accession
OSD-173	OSD-173_balanced_01	OSD-173_Mmus_C57-6CR_LVR_FLT_Rep1_F58	OSD-173_Mmus_C57-6CR_LVR_GC_Rep1_G40	Mmus_C57-6CR_LVR_FLT_Rep1_F58	Mmus_C57-6CR_LVR_GC_Rep1_G40	kept
OSD-173	OSD-173_balanced_02	OSD-173_Mmus_C57-6CR_LVR_FLT_Rep2_F64	OSD-173_Mmus_C57-6CR_LVR_GC_Rep2_G44	Mmus_C57-6CR_LVR_FLT_Rep2_F64	Mmus_C57-6CR_LVR_GC_Rep2_G44	kept
OSD-242	OSD-242_balanced_01	OSD-242_Mmus_C57-6J_LVR_FLT_C1_Rep1_F1	OSD-242_Mmus_C57-6J_LVR_GC_C2_Rep2_G3	Mmus_C57-6J_LVR_FLT_C1_Rep1_F1	Mmus_C57-6J_LVR_GC_C2_Rep2_G3	kept
OSD-242	OSD-242_balanced_02	OSD-242_Mmus_C57-6J_LVR_FLT_C1_Rep2_F2	OSD-242_Mmus_C57-6J_LVR_GC_C2_Rep3_G4	Mmus_C57-6J_LVR_FLT_C1_Rep2_F2	Mmus_C57-6J_LVR_GC_C2_Rep3_G4	kept
OSD-242	OSD-242_balanced_03	OSD-242_Mmus_C57-6J_LVR_FLT_C1_Rep3_F3	OSD-242_Mmus_C57-6J_LVR_GC_C2_Rep4_G5	Mmus_C57-6J_LVR_FLT_C1_Rep3_F3	Mmus_C57-6J_LVR_GC_C2_Rep4_G5	kept
OSD-242		OSD-242_Mmus_C57-6J_LVR_FLT_C1_Rep4_F4		Mmus_C57-6J_LVR_FLT_C1_Rep4_F4		dropped_to_balance_within_accession
OSD-242		OSD-242_Mmus_C57-6J_LVR_FLT_C1_Rep5_F5		Mmus_C57-6J_LVR_FLT_C1_Rep5_F5		dropped_to_balance_within_accession
OSD-245	OSD-245_balanced_01	OSD-245_Mmus_C57-6T_LVR_FLT_ISS-T_Rep10_F6	OSD-245_Mmus_C57-6T_LVR_GC_ISS-T_Rep10_G6	Mmus_C57-6T_LVR_FLT_ISS-T_Rep10_F6	Mmus_C57-6T_LVR_GC_ISS-T_Rep10_G6	kept
OSD-245	OSD-245_balanced_02	OSD-245_Mmus_C57-6T_LVR_FLT_ISS-T_Rep2_F8	OSD-245_Mmus_C57-6T_LVR_GC_ISS-T_Rep1_G4	Mmus_C57-6T_LVR_FLT_ISS-T_Rep2_F8	Mmus_C57-6T_LVR_GC_ISS-T_Rep1_G4	kept
OSD-245	OSD-245_balanced_03	OSD-245_Mmus_C57-6T_LVR_FLT_ISS-T_Rep4_F10	OSD-245_Mmus_C57-6T_LVR_GC_ISS-T_Rep2_G9	Mmus_C57-6T_LVR_FLT_ISS-T_Rep4_F10	Mmus_C57-6T_LVR_GC_ISS-T_Rep2_G9	kept
OSD-245	OSD-245_balanced_04	OSD-245_Mmus_C57-6T_LVR_FLT_ISS-T_Rep5_F7	OSD-245_Mmus_C57-6T_LVR_GC_ISS-T_Rep3_G10	Mmus_C57-6T_LVR_FLT_ISS-T_Rep5_F7	Mmus_C57-6T_LVR_GC_ISS-T_Rep3_G10	kept
OSD-245	OSD-245_balanced_05	OSD-245_Mmus_C57-6T_LVR_FLT_ISS-T_Rep6_F1	OSD-245_Mmus_C57-6T_LVR_GC_ISS-T_Rep4_G7	Mmus_C57-6T_LVR_FLT_ISS-T_Rep6_F1	Mmus_C57-6T_LVR_GC_ISS-T_Rep4_G7	kept
OSD-245	OSD-245_balanced_06	OSD-245_Mmus_C57-6T_LVR_FLT_ISS-T_Rep7_F2	OSD-245_Mmus_C57-6T_LVR_GC_ISS-T_Rep5_G8	Mmus_C57-6T_LVR_FLT_ISS-T_Rep7_F2	Mmus_C57-6T_LVR_GC_ISS-T_Rep5_G8	kept
OSD-245	OSD-245_balanced_07	OSD-245_Mmus_C57-6T_LVR_FLT_ISS-T_Rep8_F3	OSD-245_Mmus_C57-6T_LVR_GC_ISS-T_Rep6_G1	Mmus_C57-6T_LVR_FLT_ISS-T_Rep8_F3	Mmus_C57-6T_LVR_GC_ISS-T_Rep6_G1	kept
OSD-245	OSD-245_balanced_08	OSD-245_Mmus_C57-6T_LVR_FLT_ISS-T_Rep9_F4	OSD-245_Mmus_C57-6T_LVR_GC_ISS-T_Rep7_G2	Mmus_C57-6T_LVR_FLT_ISS-T_Rep9_F4	Mmus_C57-6T_LVR_GC_ISS-T_Rep7_G2	kept
OSD-245	OSD-245_balanced_09	OSD-245_Mmus_C57-6T_LVR_FLT_LAR_Rep10_F5	OSD-245_Mmus_C57-6T_LVR_GC_ISS-T_Rep8_G3	Mmus_C57-6T_LVR_FLT_LAR_Rep10_F5	Mmus_C57-6T_LVR_GC_ISS-T_Rep8_G3	kept
OSD-245	OSD-245_balanced_10	OSD-245_Mmus_C57-6T_LVR_FLT_LAR_Rep1_F1	OSD-245_Mmus_C57-6T_LVR_GC_ISS-T_Rep9_G5	Mmus_C57-6T_LVR_FLT_LAR_Rep1_F1	Mmus_C57-6T_LVR_GC_ISS-T_Rep9_G5	kept
OSD-245	OSD-245_balanced_11	OSD-245_Mmus_C57-6T_LVR_FLT_LAR_Rep2_F2	OSD-245_Mmus_C57-6T_LVR_GC_LAR_Rep1_G6	Mmus_C57-6T_LVR_FLT_LAR_Rep2_F2	Mmus_C57-6T_LVR_GC_LAR_Rep1_G6	kept
OSD-245	OSD-245_balanced_12	OSD-245_Mmus_C57-6T_LVR_FLT_LAR_Rep3_F3	OSD-245_Mmus_C57-6T_LVR_GC_LAR_Rep2_G4	Mmus_C57-6T_LVR_FLT_LAR_Rep3_F3	Mmus_C57-6T_LVR_GC_LAR_Rep2_G4	kept
OSD-245	OSD-245_balanced_13	OSD-245_Mmus_C57-6T_LVR_FLT_LAR_Rep4_F6	OSD-245_Mmus_C57-6T_LVR_GC_LAR_Rep3_G10	Mmus_C57-6T_LVR_FLT_LAR_Rep4_F6	Mmus_C57-6T_LVR_GC_LAR_Rep3_G10	kept
OSD-245	OSD-245_balanced_14	OSD-245_Mmus_C57-6T_LVR_FLT_LAR_Rep5_F7	OSD-245_Mmus_C57-6T_LVR_GC_LAR_Rep4_G5	Mmus_C57-6T_LVR_FLT_LAR_Rep5_F7	Mmus_C57-6T_LVR_GC_LAR_Rep4_G5	kept
OSD-245	OSD-245_balanced_15	OSD-245_Mmus_C57-6T_LVR_FLT_LAR_Rep6_F10	OSD-245_Mmus_C57-6T_LVR_GC_LAR_Rep5_G7	Mmus_C57-6T_LVR_FLT_LAR_Rep6_F10	Mmus_C57-6T_LVR_GC_LAR_Rep5_G7	kept
OSD-245	OSD-245_balanced_16	OSD-245_Mmus_C57-6T_LVR_FLT_LAR_Rep7_F8	OSD-245_Mmus_C57-6T_LVR_GC_LAR_Rep6_G8	Mmus_C57-6T_LVR_FLT_LAR_Rep7_F8	Mmus_C57-6T_LVR_GC_LAR_Rep6_G8	kept
OSD-245	OSD-245_balanced_17	OSD-245_Mmus_C57-6T_LVR_FLT_LAR_Rep8_F9	OSD-245_Mmus_C57-6T_LVR_GC_LAR_Rep7_G9	Mmus_C57-6T_LVR_FLT_LAR_Rep8_F9	Mmus_C57-6T_LVR_GC_LAR_Rep7_G9	kept
OSD-245	OSD-245_balanced_18	OSD-245_Mmus_C57-6T_LVR_FLT_LAR_Rep9_F4	OSD-245_Mmus_C57-6T_LVR_GC_LAR_Rep8_G2	Mmus_C57-6T_LVR_FLT_LAR_Rep9_F4	Mmus_C57-6T_LVR_GC_LAR_Rep8_G2	kept
OSD-245			OSD-245_Mmus_C57-6T_LVR_GC_LAR_Rep9_G3		Mmus_C57-6T_LVR_GC_LAR_Rep9_G3	dropped_to_balance_within_accession
OSD-379	OSD-379_balanced_01	OSD-379_RR8_LVR_FLT_ISS-T_OLD_FI11	OSD-379_RR8_LVR_GC_ISS-T_OLD_GI11	RR8_LVR_FLT_ISS-T_OLD_FI11	RR8_LVR_GC_ISS-T_OLD_GI11	kept
OSD-379	OSD-379_balanced_02	OSD-379_RR8_LVR_FLT_ISS-T_OLD_FI12	OSD-379_RR8_LVR_GC_ISS-T_OLD_GI12	RR8_LVR_FLT_ISS-T_OLD_FI12	RR8_LVR_GC_ISS-T_OLD_GI12	kept
OSD-379	OSD-379_balanced_03	OSD-379_RR8_LVR_FLT_ISS-T_OLD_FI13	OSD-379_RR8_LVR_GC_ISS-T_OLD_GI13	RR8_LVR_FLT_ISS-T_OLD_FI13	RR8_LVR_GC_ISS-T_OLD_GI13	kept
OSD-379	OSD-379_balanced_04	OSD-379_RR8_LVR_FLT_ISS-T_OLD_FI14	OSD-379_RR8_LVR_GC_ISS-T_OLD_GI14	RR8_LVR_FLT_ISS-T_OLD_FI14	RR8_LVR_GC_ISS-T_OLD_GI14	kept
OSD-379	OSD-379_balanced_05	OSD-379_RR8_LVR_FLT_ISS-T_OLD_FI15	OSD-379_RR8_LVR_GC_ISS-T_OLD_GI15	RR8_LVR_FLT_ISS-T_OLD_FI15	RR8_LVR_GC_ISS-T_OLD_GI15	kept
OSD-379	OSD-379_balanced_06	OSD-379_RR8_LVR_FLT_ISS-T_OLD_FI18	OSD-379_RR8_LVR_GC_ISS-T_OLD_GI16	RR8_LVR_FLT_ISS-T_OLD_FI18	RR8_LVR_GC_ISS-T_OLD_GI16	kept
OSD-379	OSD-379_balanced_07	OSD-379_RR8_LVR_FLT_ISS-T_OLD_FI19	OSD-379_RR8_LVR_GC_ISS-T_OLD_GI17	RR8_LVR_FLT_ISS-T_OLD_FI19	RR8_LVR_GC_ISS-T_OLD_GI17	kept
OSD-379	OSD-379_balanced_08	OSD-379_RR8_LVR_FLT_ISS-T_OLD_FI20	OSD-379_RR8_LVR_GC_ISS-T_OLD_GI18	RR8_LVR_FLT_ISS-T_OLD_FI20	RR8_LVR_GC_ISS-T_OLD_GI18	kept
OSD-379	OSD-379_balanced_09	OSD-379_RR8_LVR_FLT_ISS-T_YNG_FI1	OSD-379_RR8_LVR_GC_ISS-T_OLD_GI19	RR8_LVR_FLT_ISS-T_YNG_FI1	RR8_LVR_GC_ISS-T_OLD_GI19	kept
OSD-379	OSD-379_balanced_10	OSD-379_RR8_LVR_FLT_ISS-T_YNG_FI2	OSD-379_RR8_LVR_GC_ISS-T_OLD_GI20	RR8_LVR_FLT_ISS-T_YNG_FI2	RR8_LVR_GC_ISS-T_OLD_GI20	kept
OSD-379	OSD-379_balanced_11	OSD-379_RR8_LVR_FLT_ISS-T_YNG_FI3	OSD-379_RR8_LVR_GC_ISS-T_YNG_GI1	RR8_LVR_FLT_ISS-T_YNG_FI3	RR8_LVR_GC_ISS-T_YNG_GI1	kept
OSD-379	OSD-379_balanced_12	OSD-379_RR8_LVR_FLT_ISS-T_YNG_FI4	OSD-379_RR8_LVR_GC_ISS-T_YNG_GI2	RR8_LVR_FLT_ISS-T_YNG_FI4	RR8_LVR_GC_ISS-T_YNG_GI2	kept
OSD-379	OSD-379_balanced_13	OSD-379_RR8_LVR_FLT_ISS-T_YNG_FI5	OSD-379_RR8_LVR_GC_ISS-T_YNG_GI3	RR8_LVR_FLT_ISS-T_YNG_FI5	RR8_LVR_GC_ISS-T_YNG_GI3	kept
OSD-379	OSD-379_balanced_14	OSD-379_RR8_LVR_FLT_ISS-T_YNG_FI6	OSD-379_RR8_LVR_GC_ISS-T_YNG_GI4	RR8_LVR_FLT_ISS-T_YNG_FI6	RR8_LVR_GC_ISS-T_YNG_GI4	kept
OSD-379	OSD-379_balanced_15	OSD-379_RR8_LVR_FLT_ISS-T_YNG_FI7	OSD-379_RR8_LVR_GC_ISS-T_YNG_GI5	RR8_LVR_FLT_ISS-T_YNG_FI7	RR8_LVR_GC_ISS-T_YNG_GI5	kept
OSD-379	OSD-379_balanced_16	OSD-379_RR8_LVR_FLT_ISS-T_YNG_FI8	OSD-379_RR8_LVR_GC_ISS-T_YNG_GI6	RR8_LVR_FLT_ISS-T_YNG_FI8	RR8_LVR_GC_ISS-T_YNG_GI6	kept
OSD-379	OSD-379_balanced_17	OSD-379_RR8_LVR_FLT_LAR_OLD_FL11	OSD-379_RR8_LVR_GC_ISS-T_YNG_GI7	RR8_LVR_FLT_LAR_OLD_FL11	RR8_LVR_GC_ISS-T_YNG_GI7	kept
OSD-379	OSD-379_balanced_18	OSD-379_RR8_LVR_FLT_LAR_OLD_FL15	OSD-379_RR8_LVR_GC_ISS-T_YNG_GI8	RR8_LVR_FLT_LAR_OLD_FL15	RR8_LVR_GC_ISS-T_YNG_GI8	kept
OSD-379	OSD-379_balanced_19	OSD-379_RR8_LVR_FLT_LAR_OLD_FL16	OSD-379_RR8_LVR_GC_ISS-T_YNG_GI9	RR8_LVR_FLT_LAR_OLD_FL16	RR8_LVR_GC_ISS-T_YNG_GI9	kept
OSD-379	OSD-379_balanced_20	OSD-379_RR8_LVR_FLT_LAR_OLD_FL3	OSD-379_RR8_LVR_GC_LAR_OLD_GL11	RR8_LVR_FLT_LAR_OLD_FL3	RR8_LVR_GC_LAR_OLD_GL11	kept
OSD-379	OSD-379_balanced_21	OSD-379_RR8_LVR_FLT_LAR_OLD_FL4	OSD-379_RR8_LVR_GC_LAR_OLD_GL12	RR8_LVR_FLT_LAR_OLD_FL4	RR8_LVR_GC_LAR_OLD_GL12	kept
OSD-379	OSD-379_balanced_22	OSD-379_RR8_LVR_FLT_LAR_OLD_FL7	OSD-379_RR8_LVR_GC_LAR_OLD_GL15	RR8_LVR_FLT_LAR_OLD_FL7	RR8_LVR_GC_LAR_OLD_GL15	kept
OSD-379	OSD-379_balanced_23	OSD-379_RR8_LVR_FLT_LAR_OLD_FL8	OSD-379_RR8_LVR_GC_LAR_OLD_GL4	RR8_LVR_FLT_LAR_OLD_FL8	RR8_LVR_GC_LAR_OLD_GL4	kept
OSD-379	OSD-379_balanced_24	OSD-379_RR8_LVR_FLT_LAR_YNG_FL1	OSD-379_RR8_LVR_GC_LAR_OLD_GL7	RR8_LVR_FLT_LAR_YNG_FL1	RR8_LVR_GC_LAR_OLD_GL7	kept
OSD-379	OSD-379_balanced_25	OSD-379_RR8_LVR_FLT_LAR_YNG_FL13	OSD-379_RR8_LVR_GC_LAR_OLD_GL8	RR8_LVR_FLT_LAR_YNG_FL13	RR8_LVR_GC_LAR_OLD_GL8	kept
OSD-379	OSD-379_balanced_26	OSD-379_RR8_LVR_FLT_LAR_YNG_FL14	OSD-379_RR8_LVR_GC_LAR_YNG_GL1	RR8_LVR_FLT_LAR_YNG_FL14	RR8_LVR_GC_LAR_YNG_GL1	kept
