feature	mean_absolute_shap	mean_signed_shap	xgboost_gain_importance
OSD-245_balanced_10	1.8782468	0.7276347	0.041590575
OSD-463_balanced_09	1.8772106	-1.0542883	0.004682214
OSD-379_balanced_26	1.875528	-0.7192538	0.08705397
OSD-245_balanced_08	1.8541162	-1.8199527	0.037008796
OSD-463_balanced_06	1.7969849	1.6800466	0.0031956546
OSD-245_balanced_04	1.7507432	-1.6390423	0.0045663086
OSD-245_balanced_06	1.5061784	1.5028083	0.03362988
OSD-245_balanced_17	1.2290907	-1.2108169	0.06046259
OSD-245_balanced_12	1.1614445	1.1499741	0.0020031375
OSD-379_balanced_23	1.0143793	-0.9724047	0.005595064
OSD-379_balanced_22	0.8725132	-0.6119697	0.05620411
OSD-463_balanced_05	0.82734764	0.67322266	0.0125024095
OSD-379_balanced_12	0.8059727	-0.031026721	0.018010339
OSD-245_balanced_09	0.7877182	0.7869493	0.025640488
OSD-379_balanced_05	0.7815174	-0.74012303	0.01381782
OSD-245_balanced_05	0.75712883	0.7570672	0.030503428
OSD-379_balanced_18	0.7445826	0.14957638	0.025830338
OSD-379_balanced_29	0.7288686	-0.04962089	0.03380468
OSD-245_balanced_01	0.46333298	0.46294835	0.066147104
OSD-379_balanced_24	0.45859393	0.44715267	0.02468572
OSD-379_balanced_28	0.44301826	0.42091912	0.017616438
OSD-463_balanced_10	0.4389424	-0.4376638	0.0019204498
OSD-379_balanced_25	0.41177738	0.20221862	0.010346095
OSD-379_balanced_20	0.39905354	0.3361005	0.020368276
OSD-379_balanced_21	0.39868766	0.14531119	0.034204897
OSD-463_balanced_07	0.3911263	-0.38693994	0.0029974787
OSD-137_balanced_05	0.36315745	0.35847816	0.010148911
OSD-245_balanced_16	0.30976573	-0.2933153	0.021030467
OSD-379_balanced_13	0.29784834	0.2976915	0.0037679574
OSD-245_balanced_14	0.29528528	-0.26958734	0.019599443
OSD-173_balanced_01	0.2912882	0.13792834	0.0072141155
OSD-173_balanced_02	0.28490824	-0.2749127	0.007344464
OSD-379_balanced_03	0.2617314	0.2443774	0.0057970146
OSD-242_balanced_01	0.21359727	-0.21323726	0.004444974
OSD-463_balanced_04	0.20915987	-0.18884729	0.002385207
OSD-463_balanced_08	0.20780915	-0.20780915	0.0021684882
OSD-379_balanced_10	0.19156566	-0.025554353	0.009197746
OSD-379_balanced_31	0.18894184	0.1410096	0.0126311695
OSD-242_balanced_02	0.18820997	0.17774324	0.007425992
OSD-245_balanced_07	0.17492288	0.059992958	0.00877593
OSD-379_balanced_07	0.15881191	-0.15379426	0.005691298
OSD-463_balanced_03	0.15735342	0.15540002	0.0020008357
OSD-245_balanced_15	0.14237778	0.116822936	0.021111477
OSD-379_balanced_11	0.13919127	0.09794321	0.013016896
OSD-379_balanced_19	0.13030918	-0.02360982	0.0040825815
OSD-137_balanced_04	0.124603264	0.12079016	0.0023038287
OSD-379_balanced_02	0.123796515	0.11192975	0.005089208
OSD-137_balanced_03	0.10128074	0.012919048	0.0073537384
OSD-242_balanced_03	0.090971716	-0.05561836	0.002814557
OSD-379_balanced_08	0.08766373	-0.022859216	0.002589436
OSD-379_balanced_30	0.08207915	-0.047729075	0.009168358
OSD-379_balanced_17	0.08156699	0.06487529	0.010474547
OSD-379_balanced_14	0.072925575	-0.07203868	0.0019802758
OSD-379_balanced_09	0.06411998	0.06292935	0.010087857
OSD-245_balanced_03	0.062366582	-0.016547553	0.0026404553
OSD-245_balanced_11	0.060416415	-0.06000542	0.004207735
OSD-245_balanced_13	0.052187163	-0.012460762	0.007750713
OSD-245_balanced_18	0.051875748	-0.042615693	0.006504653
OSD-379_balanced_16	0.04987565	-0.0048210593	0.019174214
OSD-245_balanced_02	0.043985218	0.039816618	0.007844433
OSD-137_balanced_01	0.041294318	-0.026434544	0.010457549
OSD-463_balanced_02	0.040861186	-0.00094098743	0.007953595
OSD-463_balanced_01	0.039925177	0.03701293	0.0030847234
OSD-379_balanced_27	0.02625141	-0.010850299	0.0072284276
OSD-379_balanced_04	0.025686264	0.014640861	0.0057375655
OSD-379_balanced_01	0.018078642	0.0062274495	0.0025825466
OSD-379_balanced_15	0.012495041	-0.0012602567	0.0051417835
OSD-379_balanced_06	0.01153202	-0.0038808216	0.012011062
OSD-137_balanced_02	0.007845656	0.0032422252	0.0035954516
