Category,CategoryID,GO,Description,PARENT_GO,LogP,Enrichment,Z-score,#TotalGeneInLibrary,#GeneInGO,#GeneInHitList,#GeneInGOAndHitList,%InGO,STDV %InGO,GeneID,Hits,Log(q-value),GeneList
WikiPathways,27,WP216,Striated muscle contraction,,-11,62,20,17423,45,44,7,16,5.5,11459|12373|17879|17884|17901|21957|109272,Acta1|Casq2|Myh1|Myh4|Myl1|Tnnt3|Mybpc1,-8.2,DESeq2_meta_sig_12filter
KEGG Pathway,24,mmu04820,Cytoskeleton in muscle cells - Mus musculus (house mouse),,-8.5,16,11,17423,219,44,9,20,6.1,11459|17879|17882|17884|17901|21957|68802|109272|241431,Acta1|Myh1|Myh2|Myh4|Myl1|Tnnt3|Mypn|Mybpc1|Xirp2,-6.2,DESeq2_meta_sig_12filter
KEGG Pathway,24,mmu04814,Motor proteins - Mus musculus (house mouse),,-8,18,11,17423,174,44,8,18,5.8,11459|17879|17882|17884|17901|21957|53857|74376,Acta1|Myh1|Myh2|Myh4|Myl1|Tnnt3|Tuba8|Myo18b,-5.7,DESeq2_meta_sig_12filter
GO Biological Processes,19,GO:0031032,actomyosin structure organization,19_GO:0009987 cellular process,-6.4,21,11,17423,113,44,6,14,5.2,11459|12373|21957|68802|74376|109272,Acta1|Casq2|Tnnt3|Mypn|Myo18b|Mybpc1,-4.3,DESeq2_meta_sig_12filter
GO Biological Processes,19,GO:0030239,myofibril assembly,19_GO:0032502 developmental process,-6.3,32,12,17423,62,44,5,11,4.8,11459|12373|21957|68802|109272,Acta1|Casq2|Tnnt3|Mypn|Mybpc1,-4.2,DESeq2_meta_sig_12filter
GO Biological Processes,19,GO:0061061,muscle structure development,19_GO:0032502 developmental process,-6.3,7.6,7.7,17423,524,44,10,23,6.3,11459|12023|12373|14165|21957|68802|74376|109272|241431|434246,Acta1|Barx2|Casq2|Fgf10|Tnnt3|Mypn|Myo18b|Mybpc1|Xirp2|Trim72,-4.2,DESeq2_meta_sig_12filter
GO Biological Processes,19,GO:0003012,muscle system process,19_GO:0032501 multicellular organismal process,-6,10,8.2,17423,314,44,8,18,5.8,12373|17879|17882|17884|17901|21957|109272|434246,Casq2|Myh1|Myh2|Myh4|Myl1|Tnnt3|Mybpc1|Trim72,-3.9,DESeq2_meta_sig_12filter
GO Biological Processes,19,GO:0042692,muscle cell differentiation,19_GO:0032502 developmental process,-5.9,9.9,8.1,17423,320,44,8,18,5.8,11459|12023|12373|14165|21957|68802|74376|109272,Acta1|Barx2|Casq2|Fgf10|Tnnt3|Mypn|Myo18b|Mybpc1,-3.9,DESeq2_meta_sig_12filter
GO Biological Processes,19,GO:0055002,striated muscle cell development,19_GO:0032502 developmental process,-5.6,15,9,17423,154,44,6,14,5.2,11459|12373|21957|68802|74376|109272,Acta1|Casq2|Tnnt3|Mypn|Myo18b|Mybpc1,-3.6,DESeq2_meta_sig_12filter
GO Biological Processes,19,GO:0051146,striated muscle cell differentiation,19_GO:0032502 developmental process,-5.6,11,8.2,17423,245,44,7,16,5.5,11459|12023|12373|21957|68802|74376|109272,Acta1|Barx2|Casq2|Tnnt3|Mypn|Myo18b|Mybpc1,-3.6,DESeq2_meta_sig_12filter
GO Biological Processes,19,GO:0006936,muscle contraction,19_GO:0032501 multicellular organismal process,-5.6,11,8.1,17423,248,44,7,16,5.5,12373|17879|17882|17884|17901|21957|109272,Casq2|Myh1|Myh2|Myh4|Myl1|Tnnt3|Mybpc1,-3.6,DESeq2_meta_sig_12filter
GO Biological Processes,19,GO:0045214,sarcomere organization,19_GO:0032502 developmental process,-5.4,38,12,17423,42,44,4,9.1,4.3,12373|21957|68802|109272,Casq2|Tnnt3|Mypn|Mybpc1,-3.5,DESeq2_meta_sig_12filter
GO Biological Processes,19,GO:0055001,muscle cell development,19_GO:0032502 developmental process,-5.2,13,8.1,17423,185,44,6,14,5.2,11459|12373|21957|68802|74376|109272,Acta1|Casq2|Tnnt3|Mypn|Myo18b|Mybpc1,-3.2,DESeq2_meta_sig_12filter
