_MEMBER_DESeq2_meta_sig_12filter,_MEMBER_FLT_cluster_13_muscle_contractile,_MEMBER_FLT_cluster_14_liver_secreted,_MEMBER_FLT_cluster_15_contractile_mito,_MEMBER_FLT_cluster_3_mixed_stress,_MEMBER_GC_cluster_1_DE_enriched,_LogP_DESeq2_meta_sig_12filter,_LogP_FLT_cluster_13_muscle_contractile,_LogP_FLT_cluster_14_liver_secreted,_LogP_FLT_cluster_15_contractile_mito,_LogP_FLT_cluster_3_mixed_stress,_LogP_GC_cluster_1_DE_enriched,GO,Description,_PATTERN_,_RANK_,GiniIndex
1,1,1,1,0,1,-5.6,-22,-6.3,-2.8,0,-4.4,GO:0006936,muscle contraction,M111101,5,0
1,1,0,1,1,1,-2.5,-2.6,0,-3.5,-2.2,-4.1,mmu04020,Calcium signaling pathway - Mus musculus (house mouse),M110111,5,0
1,1,1,1,0,1,-3.2,-12,-5.8,-2.5,0,-2.3,GO:0006941,striated muscle contraction,M111101,5,0
1,1,1,1,0,1,-6,-20,-6.1,-4,0,-4.1,GO:0003012,muscle system process,M111101,5,0
1,1,0,1,0,1,-3.3,-19,0,-4.1,0,-6.7,R-MMU-397014,Muscle contraction,M110101,4,0
1,1,0,1,0,1,-6.3,-19,0,-4.4,0,-3.4,GO:0030239,myofibril assembly,M110101,4,0
1,1,0,1,0,1,-11,-22,0,-4.2,0,-9.2,WP216,Striated muscle contraction,M110101,4,0
1,1,0,1,0,1,-4.1,-16,0,-2.9,0,-5.7,R-MMU-390522,Striated Muscle Contraction,M110101,4,0
1,1,0,1,0,1,-8,-10,0,-2.3,0,-2.9,mmu04814,Motor proteins - Mus musculus (house mouse),M110101,4,0
1,1,0,1,0,1,-5.4,-14,0,-2.4,0,-2.9,GO:0045214,sarcomere organization,M110101,4,0
1,1,0,1,0,1,-2,-5.9,0,-2.9,0,-2.4,GO:0006937,regulation of muscle contraction,M110101,4,0
1,1,0,1,0,1,-4.7,-13,0,-2.4,0,-2.8,GO:0032989,cellular anatomical entity morphogenesis,M110101,4,0
1,1,0,1,0,1,-5.6,-17,0,-6.1,0,-2.4,GO:0055002,striated muscle cell development,M110101,4,0
1,1,0,1,0,1,-8.5,-31,0,-5.8,0,-3.1,mmu04820,Cytoskeleton in muscle cells - Mus musculus (house mouse),M110101,4,0
1,1,0,1,0,1,-3,-3.4,0,-4.5,0,-5,mmu04260,Cardiac muscle contraction - Mus musculus (house mouse),M110101,4,0
1,1,0,1,0,1,-5.2,-16,0,-6.8,0,-2.5,GO:0055001,muscle cell development,M110101,4,0
1,1,0,1,0,1,-4.7,-13,0,-2.4,0,-2.8,GO:0010927,cellular component assembly involved in morphogenesis,M110101,4,0
0,1,0,1,0,1,0,-4.1,0,-4.5,0,-2.6,GO:0007519,skeletal muscle tissue development,M010101,3,0
1,1,0,1,0,0,-3.7,-4.4,0,-2.3,0,0,GO:0044057,regulation of system process,M110100,3,0
0,0,0,1,1,1,0,0,0,-2.6,-9.7,-10,GO:0098655,monoatomic cation transmembrane transport,M000111,3,0
1,1,0,1,0,0,-3,-6.3,0,-2.2,0,0,GO:0060048,cardiac muscle contraction,M110100,3,0
1,1,0,1,0,0,-2.8,-6.4,0,-3.3,0,0,GO:0060047,heart contraction,M110100,3,0
1,1,0,1,0,0,-4.4,-9.7,0,-3,0,0,GO:0030036,actin cytoskeleton organization,M110100,3,0
1,1,0,1,0,0,-2.3,-7.4,0,-2.9,0,0,GO:0090257,regulation of muscle system process,M110100,3,0
0,1,0,0,1,1,0,-2.5,0,0,-2.5,-2.3,GO:0097553,calcium ion transmembrane import into cytosol,M010011,3,0
0,1,0,0,1,1,0,-2.1,0,0,-2.4,-2.4,R-MMU-380108,Chemokine receptors bind chemokines,M010011,3,0
0,1,0,1,0,1,0,-3,0,-2.1,0,-3,mmu04261,Adrenergic signaling in cardiomyocytes - Mus musculus (house mouse),M010101,3,0
0,1,0,1,0,1,0,-5,0,-3.7,0,-3.7,mmu04972,Pancreatic secretion - Mus musculus (house mouse),M010101,3,0
1,0,1,1,0,0,-3,0,-3.5,-2.1,0,0,mmu00590,Arachidonic acid metabolism - Mus musculus (house mouse),M101100,3,0
0,1,0,1,0,1,0,-3.5,0,-5.5,0,-2.7,mmu04974,Protein digestion and absorption - Mus musculus (house mouse),M010101,3,0
0,1,0,1,0,1,0,-3.8,0,-4.8,0,-2.3,GO:0060538,skeletal muscle organ development,M010101,3,0
0,0,1,0,1,1,0,0,-2.3,0,-2.9,-2.9,mmu04726,Serotonergic synapse - Mus musculus (house mouse),M001011,3,0
1,1,0,1,0,0,-5.6,-13,0,-6.6,0,0,GO:0051146,striated muscle cell differentiation,M110100,3,0
1,1,0,1,0,0,-6.3,-14,0,-8.6,0,0,GO:0061061,muscle structure development,M110100,3,0
0,1,0,1,0,1,0,-5.4,0,-5.9,0,-3.1,GO:0007517,muscle organ development,M010101,3,0
1,1,0,1,0,0,-4.9,-14,0,-3.2,0,0,GO:0030029,actin filament-based process,M110100,3,0
0,1,0,0,1,1,0,-3.9,0,0,-2.3,-4.3,R-MMU-5576891,Cardiac conduction,M010011,3,0
0,1,0,1,0,1,0,-3.9,0,-2.2,0,-2.4,R-MMU-5578775,Ion homeostasis,M010101,3,0
1,1,0,1,0,0,-2.7,-11,0,-2.4,0,0,GO:0097435,supramolecular fiber organization,M110100,3,0
0,0,0,1,1,1,0,0,0,-2.2,-11,-12,GO:0030001,metal ion transport,M000111,3,0
1,1,0,1,0,0,-6.4,-15,0,-3.5,0,0,GO:0031032,actomyosin structure organization,M110100,3,0
1,1,0,1,0,0,-2.7,-6,0,-3,0,0,GO:0003015,heart process,M110100,3,0
1,1,0,1,0,0,-5.9,-12,0,-8.3,0,0,GO:0042692,muscle cell differentiation,M110100,3,0
0,0,0,0,1,1,0,0,0,0,-2.3,-2,GO:0043278,response to morphine,M000011,2,0
0,0,0,0,1,1,0,0,0,0,-4.6,-4.4,WP234,GPCRs peptide,M000011,2,0
0,0,0,0,1,1,0,0,0,0,-2.2,-2,GO:0007618,mating,M000011,2,0
