Name,Category,CategoryID,GO,Description,PARENT_GO,LogP,Enrichment,Z-score,#TotalGeneInLibrary,#GeneInGO,#GeneInHitList,#GeneInGOAndHitList,%InGO,STDV %InGO,GeneID,Hits,Log(q-value)
DESeq2_meta_sig_12filter,KEGG Pathway,24,mmu04814,Motor proteins - Mus musculus (house mouse),,-10,47,18,17423,174,15,7,47,13,11459|17879|17882|17884|17901|21957|74376,Acta1|Myh1|Myh2|Myh4|Myl1|Tnnt3|Myo18b,-8.7
DESeq2_meta_sig_12filter,KEGG Pathway,24,mmu04820,Cytoskeleton in muscle cells - Mus musculus (house mouse),,-9.6,37,16,17423,219,15,7,47,13,11459|17879|17882|17884|17901|21957|241431,Acta1|Myh1|Myh2|Myh4|Myl1|Tnnt3|Xirp2,-8.1
DESeq2_meta_sig_12filter,WikiPathways,27,WP216,Striated muscle contraction,,-9.6,1.3e+02,25,17423,45,15,5,33,12,11459|17879|17884|17901|21957,Acta1|Myh1|Myh4|Myl1|Tnnt3,-8.1
DESeq2_meta_sig_12filter,GO Biological Processes,19,GO:0006936,muscle contraction,19_GO:0032501 multicellular organismal process,-5.8,23,10,17423,248,15,5,33,12,17879|17882|17884|17901|21957,Myh1|Myh2|Myh4|Myl1|Tnnt3,-4.8
DESeq2_meta_sig_12filter,Reactome Gene Sets,6,R-MMU-390522,Striated Muscle Contraction,,-5.6,1.1e+02,18,17423,32,15,3,20,10,11459|17901|21957,Acta1|Myl1|Tnnt3,-4.6
DESeq2_meta_sig_12filter,GO Biological Processes,19,GO:0003012,muscle system process,19_GO:0032501 multicellular organismal process,-5.3,18,9.2,17423,314,15,5,33,12,17879|17882|17884|17901|21957,Myh1|Myh2|Myh4|Myl1|Tnnt3,-4.3
DESeq2_meta_sig_12filter,GO Biological Processes,19,GO:0048660,regulation of smooth muscle cell proliferation,19_GO:0050789 regulation of biological process,-4.8,24,9.5,17423,190,15,4,27,11,11450|12575|16193|19225,Adipoq|Cdkn1a|Il6|Ptgs2,-3.8
DESeq2_meta_sig_12filter,Reactome Gene Sets,6,R-MMU-2142753,Arachidonate metabolism,,-4.8,58,13,17423,60,15,3,20,10,11687|13119|19225,Alox15|Cyp4a14|Ptgs2,-3.8
DESeq2_meta_sig_12filter,KEGG Pathway,24,mmu00590,Arachidonic acid metabolism - Mus musculus (house mouse),,-4.4,43,11,17423,81,15,3,20,10,11687|13119|19225,Alox15|Cyp4a14|Ptgs2,-3.5
DESeq2_meta_sig_12filter,GO Biological Processes,19,GO:0019369,arachidonate metabolic process,19_GO:0009987 cellular process,-4.3,41,11,17423,86,15,3,20,10,11687|13119|19225,Alox15|Cyp4a14|Ptgs2,-3.4
DESeq2_meta_sig_12filter,GO Biological Processes,19,GO:0014823,response to activity,19_GO:0050896 response to stimulus,-4.3,40,11,17423,87,15,3,20,10,16193|17882|17884,Il6|Myh2|Myh4,-3.4
DESeq2_meta_sig_12filter,WikiPathways,27,WP5242,Comprehensive IL 17A signaling,,-4.1,36,10,17423,97,15,3,20,10,11459|16193|19225,Acta1|Il6|Ptgs2,-3.3
DESeq2_meta_sig_12filter,GO Biological Processes,19,GO:0030029,actin filament-based process,19_GO:0009987 cellular process,-4,10,6.5,17423,578,15,5,33,12,11459|17901|21957|74376|241431,Acta1|Myl1|Tnnt3|Myo18b|Xirp2,-3.2
DESeq2_meta_sig_12filter,GO Biological Processes,19,GO:0031032,actomyosin structure organization,19_GO:0009987 cellular process,-3.9,31,9.3,17423,113,15,3,20,10,11459|21957|74376,Acta1|Tnnt3|Myo18b,-3.1
DESeq2_meta_sig_12filter,GO Biological Processes,19,GO:0050764,regulation of phagocytosis,19_GO:0051179 localization,-3.9,30,9.2,17423,117,15,3,20,10,11450|11687|19152,Adipoq|Alox15|Prtn3,-3.1
DESeq2_meta_sig_12filter,GO Biological Processes,19,GO:0006469,negative regulation of protein kinase activity,19_GO:0048519 negative regulation of biological process,-3.9,29,9,17423,120,15,3,20,10,11450|12575|16193,Adipoq|Cdkn1a|Il6,-3
DESeq2_meta_sig_12filter,GO Biological Processes,19,GO:0001676,long-chain fatty acid metabolic process,19_GO:0009987 cellular process,-3.7,26,8.6,17423,133,15,3,20,10,11687|13119|19225,Alox15|Cyp4a14|Ptgs2,-2.9
DESeq2_meta_sig_12filter,GO Biological Processes,19,GO:0033673,negative regulation of kinase activity,19_GO:0048519 negative regulation of biological process,-3.7,26,8.5,17423,134,15,3,20,10,11450|12575|16193,Adipoq|Cdkn1a|Il6,-2.9
DESeq2_meta_sig_12filter,GO Biological Processes,19,GO:0033559,unsaturated fatty acid metabolic process,19_GO:0009987 cellular process,-3.7,25,8.4,17423,137,15,3,20,10,11687|13119|19225,Alox15|Cyp4a14|Ptgs2,-2.9
DESeq2_meta_sig_12filter,GO Biological Processes,19,GO:0006690,icosanoid metabolic process,19_GO:0009987 cellular process,-3.7,25,8.4,17423,138,15,3,20,10,11687|13119|19225,Alox15|Cyp4a14|Ptgs2,-2.9
DESeq2_meta_sig_12filter,GO Biological Processes,19,GO:0006631,fatty acid metabolic process,19_GO:0009987 cellular process,-3.7,13,6.6,17423,365,15,4,27,11,11450|11687|13119|19225,Adipoq|Alox15|Cyp4a14|Ptgs2,-2.9
DESeq2_meta_sig_12filter,Reactome Gene Sets,6,R-MMU-397014,Muscle contraction,,-3.6,24,8.2,17423,144,15,3,20,10,11459|17901|21957,Acta1|Myl1|Tnnt3,-2.8
DESeq2_meta_sig_12filter,GO Biological Processes,19,GO:0055002,striated muscle cell development,19_GO:0032502 developmental process,-3.5,23,7.9,17423,154,15,3,20,10,11459|21957|74376,Acta1|Tnnt3|Myo18b,-2.8
DESeq2_meta_sig_12filter,GO Biological Processes,19,GO:0050727,regulation of inflammatory response,19_GO:0050896 response to stimulus,-3.5,12,6.3,17423,404,15,4,27,11,11450|11687|16193|19225,Adipoq|Alox15|Il6|Ptgs2,-2.7
DESeq2_meta_sig_12filter,Reactome Gene Sets,6,R-MMU-8978868,Fatty acid metabolism,,-3.5,21,7.6,17423,164,15,3,20,10,11687|13119|19225,Alox15|Cyp4a14|Ptgs2,-2.7
DESeq2_meta_sig_12filter,GO Biological Processes,19,GO:0033157,regulation of intracellular protein transport,19_GO:0051179 localization,-3.4,21,7.5,17423,169,15,3,20,10,11450|16193|19225,Adipoq|Il6|Ptgs2,-2.7
DESeq2_meta_sig_12filter,GO Biological Processes,19,GO:0120254,olefinic compound metabolic process,19_GO:0009987 cellular process,-3.4,19,7.3,17423,179,15,3,20,10,11687|13119|19225,Alox15|Cyp4a14|Ptgs2,-2.6
DESeq2_meta_sig_12filter,GO Biological Processes,19,GO:0055001,muscle cell development,19_GO:0032502 developmental process,-3.3,19,7.2,17423,185,15,3,20,10,11459|21957|74376,Acta1|Tnnt3|Myo18b,-2.6
DESeq2_meta_sig_12filter,KEGG Pathway,24,mmu05167,Kaposi sarcoma-associated herpesvirus infection - Mus musculus (house mouse),,-3.2,17,6.8,17423,203,15,3,20,10,12575|16193|19225,Cdkn1a|Il6|Ptgs2,-2.4
DESeq2_meta_sig_12filter,GO Biological Processes,19,GO:0051051,negative regulation of transport,19_GO:0051179 localization,-3.1,9.2,5.5,17423,506,15,4,27,11,11450|16193|19152|19225,Adipoq|Il6|Prtn3|Ptgs2,-2.4
DESeq2_meta_sig_12filter,GO Biological Processes,19,GO:0001933,negative regulation of protein phosphorylation,19_GO:0048519 negative regulation of biological process,-3.1,16,6.6,17423,215,15,3,20,10,11450|12575|16193,Adipoq|Cdkn1a|Il6,-2.4
DESeq2_meta_sig_12filter,GO Biological Processes,19,GO:0030036,actin cytoskeleton organization,19_GO:0009987 cellular process,-3.1,9,5.4,17423,517,15,4,27,11,11459|21957|74376|241431,Acta1|Tnnt3|Myo18b|Xirp2,-2.4
DESeq2_meta_sig_12filter,GO Biological Processes,19,GO:0061061,muscle structure development,19_GO:0032502 developmental process,-3.1,8.9,5.4,17423,524,15,4,27,11,11459|21957|74376|241431,Acta1|Tnnt3|Myo18b|Xirp2,-2.3
DESeq2_meta_sig_12filter,GO Biological Processes,19,GO:0044093,positive regulation of molecular function,19_GO:0065007 biological regulation,-3.1,8.8,5.3,17423,527,15,4,27,11,11450|12575|19152|21957,Adipoq|Cdkn1a|Prtn3|Tnnt3,-2.3
DESeq2_meta_sig_12filter,GO Biological Processes,19,GO:0032787,monocarboxylic acid metabolic process,19_GO:0009987 cellular process,-3.1,8.8,5.3,17423,528,15,4,27,11,11450|11687|13119|19225,Adipoq|Alox15|Cyp4a14|Ptgs2,-2.3
DESeq2_meta_sig_12filter,KEGG Pathway,24,mmu05163,Human cytomegalovirus infection - Mus musculus (house mouse),,-3,15,6.3,17423,233,15,3,20,10,12575|16193|19225,Cdkn1a|Il6|Ptgs2,-2.3
DESeq2_meta_sig_12filter,GO Biological Processes,19,GO:0042326,negative regulation of phosphorylation,19_GO:0048519 negative regulation of biological process,-3,15,6.3,17423,235,15,3,20,10,11450|12575|16193,Adipoq|Cdkn1a|Il6,-2.3
DESeq2_meta_sig_12filter,GO Biological Processes,19,GO:0043086,negative regulation of catalytic activity,19_GO:0065007 biological regulation,-3,15,6.2,17423,240,15,3,20,10,11450|12575|16193,Adipoq|Cdkn1a|Il6,-2.3
DESeq2_meta_sig_12filter,GO Biological Processes,19,GO:0045936,negative regulation of phosphate metabolic process,19_GO:0048519 negative regulation of biological process,-3,14,6.2,17423,242,15,3,20,10,11450|12575|16193,Adipoq|Cdkn1a|Il6,-2.3
DESeq2_meta_sig_12filter,GO Biological Processes,19,GO:0051146,striated muscle cell differentiation,19_GO:0032502 developmental process,-3,14,6.1,17423,245,15,3,20,10,11459|21957|74376,Acta1|Tnnt3|Myo18b,-2.2
DESeq2_meta_sig_12filter,GO Biological Processes,19,GO:0046394,carboxylic acid biosynthetic process,19_GO:0009987 cellular process,-2.9,14,6.1,17423,248,15,3,20,10,11687|13119|19225,Alox15|Cyp4a14|Ptgs2,-2.2
DESeq2_meta_sig_12filter,GO Biological Processes,19,GO:0032386,regulation of intracellular transport,19_GO:0051179 localization,-2.8,12,5.6,17423,284,15,3,20,10,11450|16193|19225,Adipoq|Il6|Ptgs2,-2.1
