Network,Annotation
DESeq2_meta_sig_12filter,mmu04814|Motor proteins - Mus musculus (house mouse)|-10.3;mmu04820|Cytoskeleton in muscle cells - Mus musculus (house mouse)|-9.6;WP216|Striated muscle contraction|-9.6
DESeq2_meta_sig_12filter_MCODE_ALL,mmu04814|Motor proteins - Mus musculus (house mouse)|-12.0;WP216|Striated muscle contraction|-9.2;mmu04820|Cytoskeleton in muscle cells - Mus musculus (house mouse)|-8.7
DESeq2_meta_sig_12filter_SUB1_MCODE_1,mmu04814|Motor proteins - Mus musculus (house mouse)|-12.0;WP216|Striated muscle contraction|-9.2;mmu04820|Cytoskeleton in muscle cells - Mus musculus (house mouse)|-8.7
FLT_cluster_13_muscle_contractile,mmu04820|Cytoskeleton in muscle cells - Mus musculus (house mouse)|-36.7;GO:0006936|muscle contraction|-30.4;GO:0003012|muscle system process|-29.5
FLT_cluster_13_muscle_contractile_MCODE_ALL,mmu04820|Cytoskeleton in muscle cells - Mus musculus (house mouse)|-36.8;WP216|Striated muscle contraction|-34.0;R-MMU-390522|Striated Muscle Contraction|-31.1
FLT_cluster_13_muscle_contractile_SUB1_MCODE_1,R-MMU-390522|Striated Muscle Contraction|-36.8;WP216|Striated muscle contraction|-30.6;R-MMU-397014|Muscle contraction|-27.3
FLT_cluster_13_muscle_contractile_SUB1_MCODE_2,mmu04814|Motor proteins - Mus musculus (house mouse)|-16.1;mmu04820|Cytoskeleton in muscle cells - Mus musculus (house mouse)|-12.4;GO:0006936|muscle contraction|-9.7
FLT_cluster_13_muscle_contractile_SUB1_MCODE_3,CORUM:349|Sarcoglycan-sarcospan-syntrophin-dystrobrevin complex|-9.6;R-MMU-9913351|Formation of the dystrophin-glycoprotein complex (DGC)|-8.0;R-MMU-3000171|Non-integrin membrane-ECM interactions|-7.0
FLT_cluster_13_muscle_contractile_SUB3_MCODE_4,R-MMU-380108|Chemokine receptors bind chemokines|-10.3;GO:0070098|chemokine-mediated signaling pathway|-9.4;mmu04061|Viral protein interaction with cytokine and cytokine receptor - Mus musculus (house mouse)|-9.3
FLT_cluster_13_muscle_contractile_SUB5_MCODE_5,R-MMU-192456|Digestion of dietary lipid|-10.6;R-MMU-8935690|Digestion|-9.4;R-MMU-8963743|Digestion and absorption|-9.1
FLT_cluster_14_liver_secreted,WP163|Cytoplasmic ribosomal proteins|-21.2;mmu03010|Ribosome - Mus musculus (house mouse)|-19.0;R-MMU-9954714|PELO:HBS1L and ABCE1 dissociate a ribosome on a non-stop mRNA|-16.7
FLT_cluster_14_liver_secreted_MCODE_ALL,WP163|Cytoplasmic ribosomal proteins|-29.9;mmu03010|Ribosome - Mus musculus (house mouse)|-25.5;GO:0002181|cytoplasmic translation|-24.1
FLT_cluster_14_liver_secreted_SUB1_MCODE_1,WP163|Cytoplasmic ribosomal proteins|-38.6;mmu03010|Ribosome - Mus musculus (house mouse)|-34.9;GO:0002181|cytoplasmic translation|-33.5
FLT_cluster_14_liver_secreted_SUB1_MCODE_2,GO:0071466|cellular response to xenobiotic stimulus|-23.6;GO:0006805|xenobiotic metabolic process|-22.8;mmu05204|Chemical carcinogenesis - DNA adducts - Mus musculus (house mouse)|-22.6
FLT_cluster_14_liver_secreted_SUB1_MCODE_3,"CORUM:382|Respiratory chain complex I, mitochondrial|-10.3;mmu04714|Thermogenesis - Mus musculus (house mouse)|-9.7;GO:0042776|proton motive force-driven mitochondrial ATP synthesis|-9.6"
FLT_cluster_14_liver_secreted_SUB1_MCODE_4,R-MMU-9018519|Estrogen-dependent gene expression|-9.4;R-MMU-8939211|ESR-mediated signaling|-8.3;R-MMU-9006931|Signaling by Nuclear Receptors|-7.8
