Category,CategoryID,GO,Description,PARENT_GO,LogP,Enrichment,Z-score,#TotalGeneInLibrary,#GeneInGO,#GeneInHitList,#GeneInGOAndHitList,%InGO,STDV %InGO,GeneID,Hits,Log(q-value),GeneList
PaGenBase,36,PGB:00259,Cell-specific: c2c12,,-9.1,12,11,17423,354,44,11,25,6.5,11459|12373|12575|15464|17879|17884|17901|21957|50795|68802|109272,Acta1|Casq2|Cdkn1a|Hrc|Myh1|Myh4|Myl1|Tnnt3|Sh3bgr|Mypn|Mybpc1,-7,DESeq2_meta_sig_12filter
PaGenBase,36,PGB:00028,Tissue-specific: skeletal muscle,,-7.8,13,10,17423,266,44,9,20,6.1,17879|17882|17884|21957|50795|68802|69443|109272|241431,Myh1|Myh2|Myh4|Tnnt3|Sh3bgr|Mypn|1700027J07Rik|Mybpc1|Xirp2,-5.8,DESeq2_meta_sig_12filter
TRRUST,34,TRR00845,Regulated by: Myog,,-5.2,79,15,17423,15,44,3,6.8,3.8,12023|12575|17901,Barx2|Cdkn1a|Myl1,-3.5,DESeq2_meta_sig_12filter
TRRUST,34,TRR00834,Regulated by: Myb,,-5,70,14,17423,17,44,3,6.8,3.8,12575|19152|19225,Cdkn1a|Prtn3|Ptgs2,-3.4,DESeq2_meta_sig_12filter
TRRUST,34,TRR00951,Regulated by: Nfkb1,,-3.9,10,6.5,17423,192,44,5,11,4.8,11450|12575|16193|19225|20310,Adipoq|Cdkn1a|Il6|Ptgs2|Cxcl2,-2.5,DESeq2_meta_sig_12filter
TRRUST,34,TRR00149,Regulated by: Cebpb,,-3.6,25,8.3,17423,48,44,3,6.8,3.8,12575|16193|19225,Cdkn1a|Il6|Ptgs2,-2.3,DESeq2_meta_sig_12filter
TRRUST,34,TRR00844,Regulated by: Myod1,,-3.6,24,8.2,17423,49,44,3,6.8,3.8,12023|12575|17901,Barx2|Cdkn1a|Myl1,-2.3,DESeq2_meta_sig_12filter
TRRUST,34,TRR00315,Regulated by: Ep300,,-3.4,21,7.5,17423,57,44,3,6.8,3.8,12575|16193|19225,Cdkn1a|Il6|Ptgs2,-2.1,DESeq2_meta_sig_12filter
TRRUST,34,TRR01349,Regulated by: Sp3,,-2.9,14,6.1,17423,83,44,3,6.8,3.8,12575|16193|19225,Cdkn1a|Il6|Ptgs2,-1.7,DESeq2_meta_sig_12filter
TRRUST,34,TRR00652,Regulated by: Jun,,-2.4,9.3,4.7,17423,128,44,3,6.8,3.8,16193|19225|20310,Il6|Ptgs2|Cxcl2,-1.4,DESeq2_meta_sig_12filter
