gene_id	gene_label
ENSMUSG00000000049	Apoh
ENSMUSG00000000093	Tbx2
ENSMUSG00000000149	Gna12
ENSMUSG00000000184	Ccnd2
ENSMUSG00000000266	Mid2
ENSMUSG00000000359	Rem1
ENSMUSG00000000440	Pparg
ENSMUSG00000000441	Raf1
ENSMUSG00000000486	Septin1
ENSMUSG00000000567	Sox9
ENSMUSG00000000631	Myo18a
ENSMUSG00000000708	Kat2b
ENSMUSG00000000740	Rpl13
ENSMUSG00000000743	Chmp1a
ENSMUSG00000000915	Hip1r
ENSMUSG00000000957	Mmp14
ENSMUSG00000001027	Scn4a
ENSMUSG00000001089	Luzp1
ENSMUSG00000001100	Poldip2
ENSMUSG00000001127	Araf
ENSMUSG00000001175	Calm1
ENSMUSG00000001228	Uhrf1
ENSMUSG00000001240	Ramp2
ENSMUSG00000001313	Rnd2
ENSMUSG00000001334	Fndc5
ENSMUSG00000001349	Cnn1
ENSMUSG00000001508	Sgca
ENSMUSG00000001521	Tulp3
ENSMUSG00000001552	Jup
ENSMUSG00000001588	Acap1
ENSMUSG00000001729	Akt1
ENSMUSG00000001833	Septin7
ENSMUSG00000001864	Aif1l
ENSMUSG00000001946	Esam
ENSMUSG00000002055	Spag5
ENSMUSG00000002100	Mybpc3
ENSMUSG00000002233	Rhoc
ENSMUSG00000002365	Snx9
ENSMUSG00000002500	Rpl3l
ENSMUSG00000002603	Tgfb1
ENSMUSG00000002688	Prkd1
ENSMUSG00000002808	Epdr1
ENSMUSG00000002812	Flii
ENSMUSG00000002900	Lamb1
ENSMUSG00000003032	Klf4
ENSMUSG00000003283	Hck
ENSMUSG00000003476	Crhr2
ENSMUSG00000003970	Rpl8
ENSMUSG00000004040	Stat3
ENSMUSG00000004056	Akt2
ENSMUSG00000004069	Dnaja3
ENSMUSG00000004099	Dnmt1
ENSMUSG00000004187	Kifc2
ENSMUSG00000004267	Eno2
ENSMUSG00000004364	Cul3
ENSMUSG00000004530	Coro1c
ENSMUSG00000004568	Arhgef18
ENSMUSG00000004655	Aqp1
ENSMUSG00000004677	Myo9b
ENSMUSG00000004814	Ccl24
ENSMUSG00000004843	Chmp2b
ENSMUSG00000004872	Pax3
ENSMUSG00000004988	Fxyd4
ENSMUSG00000005103	Wdr1
ENSMUSG00000005124	Ccn4
ENSMUSG00000005148	Klf5
ENSMUSG00000005220	Corin
ENSMUSG00000005237	Dnah2
ENSMUSG00000005320	Fgfr4
ENSMUSG00000005469	Prkaca
ENSMUSG00000005583	Mef2c
ENSMUSG00000005628	Tmod4
ENSMUSG00000005804	Bloc1s6
ENSMUSG00000005871	Apc
ENSMUSG00000006005	Tpr
ENSMUSG00000006369	Fbln1
ENSMUSG00000006398	Cdc20
ENSMUSG00000006412	Pfdn2
ENSMUSG00000006435	Neurl1a
ENSMUSG00000006457	Actn3
ENSMUSG00000006538	Ihh
ENSMUSG00000006649	Nphs1
ENSMUSG00000006699	Cdc42
ENSMUSG00000006800	Sulf2
ENSMUSG00000006818	Sod2
ENSMUSG00000006930	Hap1
ENSMUSG00000007097	Atp1a2
ENSMUSG00000007107	Atp1a4
ENSMUSG00000007122	Casq1
ENSMUSG00000007655	Cav1
ENSMUSG00000007815	Rhoa
ENSMUSG00000007867	Ift43
ENSMUSG00000007877	Tcap
ENSMUSG00000007892	Rplp1
ENSMUSG00000007987	Ift22
ENSMUSG00000008035	Mid1ip1
ENSMUSG00000008136	Fhl2
ENSMUSG00000008475	Arpc5
ENSMUSG00000008658	Rbfox1
ENSMUSG00000008682	Rpl10
ENSMUSG00000008855	Hdac5
ENSMUSG00000009073	Nf2
ENSMUSG00000009097	Tbx1
ENSMUSG00000009376	Met
ENSMUSG00000009555	Cdk9
ENSMUSG00000009621	Vav2
ENSMUSG00000009630	Ppp2cb
ENSMUSG00000009681	Bcr
ENSMUSG00000009731	Kcnd1
ENSMUSG00000009876	Cox4i2
ENSMUSG00000009907	Vps4b
ENSMUSG00000010021	Kif19a
ENSMUSG00000010066	Cacna2d2
ENSMUSG00000010175	Prox1
ENSMUSG00000010609	Psen2
ENSMUSG00000010660	Plcd1
ENSMUSG00000011658	Fuz
ENSMUSG00000011751	Sptbn4
ENSMUSG00000012405	Rpl15
ENSMUSG00000013076	Amotl1
ENSMUSG00000013155	Enkd1
ENSMUSG00000013418	B4galnt2
ENSMUSG00000013584	Aldh1a2
ENSMUSG00000013663	Pten
ENSMUSG00000013921	Clip3
ENSMUSG00000013936	Myl2
ENSMUSG00000014075	Dynlt2b
ENSMUSG00000014158	Trpv4
ENSMUSG00000014313	Cox6c
ENSMUSG00000014601	Strip1
ENSMUSG00000014609	Chrne
ENSMUSG00000014776	Nol3
ENSMUSG00000014778	Fhod1
ENSMUSG00000014791	Elmo3
ENSMUSG00000014813	Stc1
ENSMUSG00000014956	Ppp1cb
ENSMUSG00000015143	Actn1
ENSMUSG00000015405	Ace2
ENSMUSG00000015533	Itga2
ENSMUSG00000015542	Nat9
ENSMUSG00000015656	Hspa8
ENSMUSG00000015733	Capza2
ENSMUSG00000015766	Eps8
ENSMUSG00000015839	Nfe2l2
ENSMUSG00000015932	Dstn
ENSMUSG00000015968	Cacna1d
ENSMUSG00000016028	Celsr1
ENSMUSG00000016128	Stard13
ENSMUSG00000016255	Tubb1
ENSMUSG00000016327	Atp1b4
ENSMUSG00000016382	Pls3
ENSMUSG00000016458	Wt1
ENSMUSG00000016637	Ift27
ENSMUSG00000016664	Pacsin2
ENSMUSG00000017291	Taok1
ENSMUSG00000017300	Tnnc2
ENSMUSG00000017404	Rpl19
ENSMUSG00000017716	Birc5
ENSMUSG00000017774	Myo1c
ENSMUSG00000017776	Crk
ENSMUSG00000017778	Cox7c
