flt_cluster	matched_gc_cluster	gene_count	matched_gene_count	matched_fraction	gc_clusters_spanned	secondary_gc_clusters	mean_latent_shift	median_latent_shift	p90_latent_shift	eligible_dgea_genes	significant_dgea_genes	mean_meta_log2fc_sig	top_shift_genes	top_significant_genes	cluster_status	reorganization_priority_score
14	8	303	163	0.5379537953795379	8	GC3:39(0.13),GC6:36(0.12),GC5:33(0.11),GC11:19(0.06),GC9:6(0.02),GC4:4(0.01)	3.258796338537209	3.034398756076601	4.688033533624059	303	4	0.0013239527756350178	Myh11,Snord17,Scarna6,Neb,Slc25a4,Snora23,Snora74a,Fhl1,Sult2a1,Snord22,Cyp3a44,Hao2	Apoa4,Mup15,Mup17,Cdkn1a	split_reorganized	4.773001974717119
9	2	913	411	0.45016429353778753	6	GC8:239(0.26),GC13:107(0.12),GC6:93(0.10),GC7:57(0.06),GC14:6(0.01)	2.7195336709338234	2.537899940850183	4.179133164382729	913	4	0.6017808348822775	Ttn,Tpm2,Des,Eno3,Synm,Rnu12,Pygm,Cryab,Xirp1,Eps8l1,Acta2,Snora44	Treh,Pitx3,Trim80,Tuba8	split_reorganized	4.197828598983923
6	2	1422	772	0.5428973277074542	6	GC6:327(0.23),GC7:187(0.13),GC14:72(0.05),GC8:61(0.04),GC13:3(0.00)	2.35051953533261	2.2500452227310053	3.3222159172357046	1422	1	1.05546561291316	Ankrd23,Atp1a2,Synpo2,Hk2,Tmem38a,Snhg20,Carmn,Speg,Lynx1,4933411K16Rik,Cyp2g1,Sptb	Adcy1	split_reorganized	3.016302870246527
15	1	278	167	0.6007194244604317	4	GC7:81(0.29),GC0:18(0.06),GC10:12(0.04)	3.1665776992638994	2.4965148379957824	6.482403956886172	199	8	1.528459834224285	Actn3,Myoz1,ENSMUSG00000074199,Myo18b,Casq1,Cacna1s,Asprv1,Apobec2,Myot,Hrc,Trdn,Tgm3	Cox8b,Casq2,Sh3bgr,Trim72,Alox15,Myo18b,Hrc,Chrdl2	split_reorganized	2.9357366741966695
13	7	326	252	0.7730061349693251	6	GC1:32(0.10),GC2:21(0.06),GC10:17(0.05),GC0:2(0.01),GC14:2(0.01)	3.330209307552029	2.496513192539103	7.063495671411117	314	11	2.4801709163962355	Ckm,Acta1,Myh1,Tnnc2,Tnnt3,Tnni2,Myh8,Cmya5,Mb,Obscn,Atp2a1,Ryr1	Myl1,Tnnt3,Acta1,Myh4,Myh2,Mybpc1,Myh1,Xirp2,Adipoq,Cyp2c53-ps,Ckmt1	partially_split_shifted	2.1221836881497835
2	4	2085	1121	0.5376498800959233	5	GC8:653(0.31),GC6:220(0.11),GC3:82(0.04),GC2:9(0.00)	1.729102515070801	1.6192024005978156	2.639394791842288	2085	1	1.3788833687061	Firre,Dpt,Lpl,Ppp1r12b,Flvcr2,Ctla2a,Fads3,Gt(ROSA)26Sor,Gm12250,4632427E13Rik,Tagln,Cebpb	Sult1e1	split_low_shift	2.0665502232861748
5	11	1431	740	0.517120894479385	6	GC3:447(0.31),GC9:104(0.07),GC12:79(0.06),GC5:50(0.03),GC8:11(0.01)	1.359154611394533	1.2516778868924998	1.881136463838322	1431	0	NA	Tpm1,Shfl,Rps16,Snrnp70,Depp1,Rps21,Celsr1,Eps8l2,Kank2,Amotl1,Tpmt,Rps15a		split_low_shift	1.842487705941154
1	5	2137	1258	0.5886757136172204	6	GC3:419(0.20),GC4:290(0.14),GC9:106(0.05),GC11:41(0.02),GC8:23(0.01)	1.5802413607919727	1.4956467082503837	2.2055848557477242	2137	0	NA	Rbis,Gm14391,Taf1d,Cyp4a32,Tomm5,Zeb2,Mafb,Dnajc15,Fus,Immp1l,Pet100,Ccnl2		split_low_shift	1.8247572580370102
4	10	1619	901	0.5565163681284744	5	GC7:515(0.32),GC1:102(0.06),GC2:97(0.06),GC14:4(0.00)	1.2485702149167426	1.1475317741852298	1.875802960466665	1616	1	1.08065857893395	9330159F19Rik,Atcayos,Mex3d,Cdc25b,Ly6m,Ccdc166,4930554C24Rik,Tmprss11d,Ripply3,Arhgef4,Trpv2,Entpd2	Olfr827	split_low_shift	1.4313466083294515
8	3	934	636	0.6809421841541756	4	GC4:188(0.20),GC6:97(0.10),GC8:13(0.01)	1.3888370564841672	1.2646146950180692	2.1451174029724043	934	0	NA	Fam193b,Leng8,Josd2,1810019D21Rik,Mapk8ip3,Dynll1,Gsn,Tjp3,Dct,Snrpg,Id3,Mid1ip1		partially_split	1.028891193404747
