gc_cluster	matched_flt_cluster	gene_count	matched_gene_count	matched_fraction	flt_clusters_spanned	mean_latent_shift	median_latent_shift	significant_dgea_genes	top_shift_genes	top_significant_genes
13	9	110	107	0.9727272727272728	2	2.8545954338179866	2.708253957629145	0	Synm,Snora3,Acpp,Raet1d,Snora81,Disp2,Scara5,Camk2b,Cyp26a1,2900076A07Rik,Lad1,Isoc2b	
8	2	1173	653	0.556692242114237	10	2.504838974336182	2.299571461740856	4	Rnu12,Scarna6,Slc25a4,Snora23,Snora44,Snord22,Cyp3a44,Cyp3a16,Snord104,Dpt,Snora78,Snora7a	Mup15,Cyp4a14,Mup17,Cdkn1a
6	12	1344	571	0.42485119047619047	6	2.2739557264194783	2.138065814822574	1	Des,Myh11,Sult2a1,Carmn,Hao2,Sult2a2,Eno1b,4933411K16Rik,Cyp2g1,Adamts10,Ctse,Gm12191	Sult1e1
14	6	84	72	0.8571428571428571	4	2.046892415428773	1.787307817161031	0	Pnlip,Scand1,H2bc12,H2bc8,H3c7,Slc39a5,H4c6,H2bc13,H2ac20,Lrfn4,H3c6,Nfkbil1	
2	7	2104	794	0.3773764258555133	6	2.0418201581683775	1.9005781607779668	1	Ttn,Tpm2,Amy2a5,Myom1,Actn2,Eno3,Cryab,Atp1a2,Synpo2,Hk2,Tmem38a,Acta2	Adcy1
7	4	1340	515	0.3843283582089552	7	1.8996931724215935	1.651098142934695	7	Ckm,Myh8,Cmya5,Obscn,Atp2a1,Ryr1,Mylpf,Txlnb,Ankrd23,Nrap,Flnc,Pgam2	Treh,Wnt11,Pitx3,Adipoq,Cyp2c53-ps,Trim80,Tuba8
5	1	1353	1258	0.9297856614929786	4	1.701581022553647	1.561800285225469	0	Snord17,Neb,Snora74a,Rbis,Rps2,Dio1,Gm14391,Rpl22l1,Prg4,Tomm5,Zeb2,Cops9	
9	10	1146	805	0.7024432809773123	5	1.5234872414020553	1.4290612835998868	0	Ndufb4,Taf1d,Timm8b,Kcnq1ot1,Serpina7,Ugt1a5,Acot4,1810008I18Rik,Cyp17a1,Mme,Gng5,Cyp2d37-ps	
4	2	1608	1121	0.697139303482587	5	1.4008310873441228	1.283736149625751	0	Fhl1,Firre,Lpl,Ppp1r12b,4632427E13Rik,Josd2,Amn1,1810019D21Rik,Mapk8ip3,Dynll1,Tlr5,Tent5c	
11	5	836	740	0.8851674641148325	5	1.3987988374024256	1.2742081950501987	0	Rps16,Rps21,Smlr1,Kank2,Rpl27,Tpmt,Rpl37,Rarres1,Angptl4,Aacs,Vegfa,Rplp2	
12	11	618	502	0.8122977346278317	4	1.3964977231537083	1.239759614643127	1	Alb,Trf,Apob,Selenop,Apoe,C3,Cyp2e1,Ahsg,Apoa2,Serpina1b,Apoc1,Scd1	Apoa4
3	8	1639	636	0.38804148871262967	6	1.3794102756198903	1.2466182874808367	0	Tpm1,Fam193b,Leng8,Fads3,Shfl,Gpat3,Snord15b,Gbp11,Cyp4a32,Gbp10,Lsm7,Inhba	
10	4	1046	901	0.861376673040153	5	1.2375834582248637	1.1011619816168716	1	Ldb3,Perm1,Itgb1bp2,Synpo2l,Myh7,Nos1,Abca12,Trim63,Aspn,Neurl1a,9330159F19Rik,Apol6	Olfr827
1	3	2185	1874	0.8576659038901602	5	1.085198651732695	0.7539429012856087	29	Acta1,Myh1,Tnnc2,Tnnt3,Tnni2,Mb,Tcap,Xirp2,Mybpc2,Myh2,Myl1,Sln	Myl1,Tnnt3,Acta1,Tg,Myh4,Myh2,Mybpc1,Cox8b,Mucl1,Myh1,Xirp2,Casq2
0	0	4424	4402	0.9950271247739603	4	0.5207355366633087	0.494026454157714	3	ENSMUSG00000044041,ENSMUSG00000041984,ENSMUSG00000074199,Asprv1,Tgm3,Dmkn,ENSMUSG00000059956,ENSMUSG00000044594,ENSMUSG00000031757,Aldh3a1,Smtnl1,Dsg1a	Barx2,4931429L15Rik,1700027J07Rik
