FLT14_all,FLT14_not_GC8,FLT9_all,FLT9_not_GC2,FLT6_all,FLT6_not_GC2,FLT15_all,FLT15_not_GC1,FLT13_all,FLT13_not_GC7,FLT2_all,FLT2_not_GC4,FLT5_all,FLT5_not_GC11,FLT1_all,FLT1_not_GC5,FLT12_not_GC6,FLT7_not_GC2
Grip2,Tma7,Tspan32,Ms4a4b,Irag2,Ifi27l2b,Cacna1s,Thbs3,Hr,Chrdl1,Mon1b,Dhps,Ube3b,Rnf167,Rsrc2,Dmac1,Adssl1,Mycn
Tma7,Fhl1,Ms4a4b,Cidec,Ifi27l2b,Gm10433,Thbs3,Aplnr,Mst1r,Scn7a,Mfsd11,Endod1,Rnf167,Dido1,Tox4,C2cd3,Endog,Ndst4
Mup14,Spry4,Cidec,Cyp4a12b,Evc2,Riox1,Sorcs2,Olfr482,Adamtsl3,Lep,Dhps,Cxcl1,Dido1,Tcf20,Dmac1,Ipo5,Psmb9,Omg
Hectd2os,Hnf1b,Cyp4a12b,Trmt9b,Gm10433,Lrrcc1,Asb10,Kcnab3,Mthfd2,Myoz3,Sprtn,Ankra2,Pgpep1,Tbcd,Rab22a,Ssb,Synpo,Ttk
Rps13,Prkca,Trmt9b,Gm12070,Riox1,Sgsm1,Aplnr,Ccdc96,Chrdl1,Pnlip,Rnpc3,Arfip2,Faf2,Bccip,Plce1,Parn,Dedd2,Neurl1b
Fhl1,Abhd17a,Rad18,Moxd1,Stambpl1,Elf5,Olfr482,Foxs1,Scn7a,ENSMUSG00000041984,Endod1,Ttc30b,Shmt2,Vcl,C2cd3,Morc2a,H1f3,Siah1b
Alas2,Abca3,Gsta1,Rerg,Usp35,Alkbh2,Kcnab3,Slc22a17,1700067K01Rik,Klhl31,Cxcl1,Tmem251,Mxd4,Sirt2,Ipo5,Gpatch2,Ogfod2,D830005E20Rik
Spry4,Inhba,Gm12070,Fgfr1,Lrrcc1,Tbc1d10c,Cox6a2,ENSMUSG00000032807,Olfr39,Myh7,Prorsd1,Mblac2,Dapk1,Umps,Sypl,Gpr107,Slc5a6,Gpr4
Mup20,G0s2,Moxd1,Sult5a1,Sgsm1,Pik3cd,Sycn,Cpxm2,Sstr2,Itgae,Ankra2,2310010J17Rik,Tcf20,Glrx,Hacd2,Commd3,Dchs1,Pih1d2
Cyp2c40,Crybg3,5730405O15Rik,1500004A13Rik,Gulp1,Nfkbie,Ccdc96,Mfap5,Lep,Tmod1,Arfip2,Ddb2,Prrc2a,Gstp1,Ssb,Rffl,1110038B12Rik,Noxo1
Mettl23,Mvd,Mbd4,Gstp2,B3gnt8,Kif26a,Foxs1,Ptpru,Ccr7,Abra,Zfp277,Haus1,Fam210b,Cops7a,Parn,Lrat,Dqx1,Ptger1
Cyp3a16,Rps2,Rerg,Gm15910,Bbs2,Tmem79,Ckmt2,Ppfia3,Slc25a35,Itgb1bp2,Srfbp1,Dclre1b,Stat5b,Tnrc18,Gramd1c,Impa1,Haus7,Olfr157
Hnf1b,Extl1,Olfr509,Pln,Wdr62,Kif21b,Slc22a17,Myh7b,Wif1,Gm16062,Rbm12b1,Orm3,Tbcd,Flot2,Mdm4,Tbc1d23,Vasp,H2-Bl
Rmrp,Rpl30,Angpt1,Snord118,Ap3m2,Gm20752,Clps,Psmc3ip,Slc8a3,Six4,Polr1has,Zfp72,Cpt2,Tfr2,4833420G17Rik,Eps15l1,9030025P20Rik,Atp6v1g2
Prkca,Hao2,Fgfr1,Snora17,Ripk3,1190005I06Rik,Gp2,Vwa1,Ptprn2,Myom1,Mcm7,Xk,Tsc2,Ftcd,Ppa2,Mrpl3,Tmem9,Tmprss11g
Col27a1,Rnf125,Sult5a1,Slc39a6,Olfr667,Cacna1d,Icam4,Slc35f2,Fhl2,Aspn,Ttc30b,Olfm3,Bccip,Kdr,Dnajc25,Atg13,Prex1,Rbmx2
Abhd17a,Fmc1,1500004A13Rik,Nat8f6,Elf5,Ctbp2,Stra8,Clba1,Myoz3,Mybpc2,Tmem251,Ripk2,Vcl,Psmd2,Lims1,Ppm1l,Uba7,Sycp1
Mup16,Asap2,Calhm2,Trim80,Alkbh2,Cd1d2,ENSMUSG00000032807,Smtnl1,Niban3,Tcap,Ppie,Arrdc2,Nploc4,Ubqln4,Morc2a,Mrpl40,Bbln,Ltb4r2
Abca3,Gsta4,Gm20337,Ddx3y,Tbc1d10c,Kcnj16,Cpxm2,Cpz,Snord99,Il36g,Tmem87a,Abracl,Psmd13,Trappc12,Rev3l,Adpgk,Tmem141,Stk36
Serpine2,Srd5a1,Pclo,Gm11127,Pik3cd,Srrm4,Rab25,Slc6a4,Ddit4l,Cela3b,Mblac2,Ednra,Txn2,S100a10,Gpatch2,Nipsnap3b,Gstm5,Kcnmb1
Inhba,Atp2b2,Trim13,Zfp40,Nfkbie,4933404O12Rik,Slc5a9,Lgals2,Adcy2,Vcan,Pex12,Gm16157,Usp5,Map2k2,Cisd2,Zfp322a,Tmed1,Vsx2
Mup17,Atox1,Gstp2,Vmn1r229,Kif26a,Rnf113a2,Camk2a,ENSMUSG00000017204,ccdc198,Tspan8,Nfrkb,Vcam1,Sirt2,Pfkl,Gpr107,Ahcyl2,Limd2,Gm12359
