flt_cluster	eligible_genes	significant_genes	significant_fraction	fisher_odds_ratio	fisher_p_value	mean_meta_log2fc_sig	mean_abs_meta_log2fc_sig	mean_latent_shift_sig	top_significant_genes	fisher_fdr_bh
3	1052	13	0.012357414448669201	5.340061144765895	9.037494760968328e-06	0.39679703732933613	1.5933640225364378	0.8253117932821019	Tg,Mucl1,Trpm5,Ptgs2,Cdk3,Wnt11,Il6,Fgf10,Prtn3,Cxcl2	3.614997904387331e-05
13	314	11	0.03503184713375796	15.375595892922625	1.688794646493417e-09	2.4801709163962355	2.701320315942792	6.928888859445811	Myl1,Tnnt3,Acta1,Myh4,Myh2,Mybpc1,Myh1,Xirp2,Adipoq,Cyp2c53-ps	2.702071434389467e-08
15	199	8	0.04020100502512563	16.495100013424622	1.2524735810510298e-07	1.528459834224285	1.528459834224285	5.4349401213898085	Cox8b,Casq2,Sh3bgr,Trim72,Alox15,Myo18b,Hrc,Chrdl2	1.0019788648408239e-06
14	303	4	0.013201320132013201	4.744808275647507	0.012929900706272538	0.0013239527756350178	1.35855116343397	3.3146364958892325	Apoa4,Mup15,Mup17,Cdkn1a	0.04137568226007212
9	913	4	0.004381161007667032	1.49829866707601	0.29536608475639187	0.6017808348822775	1.3410709734281177	3.6909020040434513	Treh,Pitx3,Trim80,Tuba8	0.7876428926837117
0	9	3	0.3333333333333333	176.63636363636363	2.1271048377925103e-06	0.49583506613586326	1.4669786283798434	0.494026454157714	Barx2,4931429L15Rik,1700027J07Rik	1.1344559134893388e-05
2	2085	1	0.00047961630695443646	0.1404698322623717	0.9988352361477499	1.3788833687061	1.3788833687061	2.6294151358422915	Sult1e1	1.0
4	1616	1	0.0006188118811881188	0.18757571678557006	0.9941939574525382	1.08065857893395	1.08065857893395	1.9259118962324933	Olfr827	1.0
6	1422	1	0.0007032348804500703	0.21615212801762385	0.9888922040190062	1.05546561291316	1.05546561291316	1.5111687145203585	Adcy1	1.0
11	637	1	0.0015698587127158557	0.5097757724911129	0.8595343201803017	1.21703823618171	1.21703823618171	1.8502082993242412	Cyp4a14	1.0
1	2137	0	0.0	0.0	1.0	NA	NA	NA		1.0
5	1431	0	0.0	0.0	1.0	NA	NA	NA		1.0
7	1066	0	0.0	0.0	1.0	NA	NA	NA		1.0
8	934	0	0.0	0.0	1.0	NA	NA	NA		1.0
10	884	0	0.0	0.0	1.0	NA	NA	NA		1.0
12	595	0	0.0	0.0	1.0	NA	NA	NA		1.0
