gc_cluster	eligible_genes	significant_genes	significant_fraction	fisher_odds_ratio	fisher_p_value	mean_meta_log2fc_sig	mean_abs_meta_log2fc_sig	mean_latent_shift_sig	top_significant_genes	fisher_fdr_bh
1	1205	29	0.024066390041493777	19.69227135298564	4.802183629277763e-21	1.48495545914316	2.0213475559601366	4.231008789420816	Myl1,Tnnt3,Acta1,Tg,Myh4,Myh2,Mybpc1,Cox8b,Mucl1,Myh1	7.203275443916644e-20
7	1326	7	0.005279034690799397	1.8881159969673995	0.10052879507899096	0.5730478948302444	1.343019887572456	3.2129578372371244	Treh,Wnt11,Pitx3,Adipoq,Cyp2c53-ps,Trim80,Tuba8	0.5026439753949548
8	1173	4	0.0034100596760443308	1.1443690691706287	0.4754677135094608	-0.09206601243740498	1.2651611982209299	3.224087188365763	Mup15,Cyp4a14,Mup17,Cdkn1a	1.0
0	11	3	0.2727272727272727	132.46022727272728	4.1605867461838794e-06	0.49583506613586326	1.4669786283798434	0.494026454157714	Barx2,4931429L15Rik,1700027J07Rik	3.1204400596379095e-05
2	2104	1	0.0004752851711026616	0.1390043209493684	0.9989098998874678	1.05546561291316	1.05546561291316	1.5111687145203585	Adcy1	1.0
6	1344	1	0.000744047619047619	0.22996859723526175	0.9856179509535645	1.3788833687061	1.3788833687061	2.6294151358422915	Sult1e1	1.0
10	1040	1	0.0009615384615384616	0.30361551659204083	0.9611587524459348	1.08065857893395	1.08065857893395	1.9259118962324933	Olfr827	1.0
12	618	1	0.0016181229773462784	0.5261433302797548	0.8508862148287326	1.59059809703387	1.59059809703387	2.212405529418122	Apoa4	1.0
3	1639	0	0.0	0.0	1.0	NA	NA	NA		1.0
4	1608	0	0.0	0.0	1.0	NA	NA	NA		1.0
5	1353	0	0.0	0.0	1.0	NA	NA	NA		1.0
9	1146	0	0.0	0.0	1.0	NA	NA	NA		1.0
11	836	0	0.0	0.0	1.0	NA	NA	NA		1.0
13	110	0	0.0	0.0	1.0	NA	NA	NA		1.0
14	84	0	0.0	0.0	1.0	NA	NA	NA		1.0
