module	feature	condition	score	h5_accession	mission	sex	strain	library_selection
FLT_cluster_14_liver_secreted	OSD-379_RR8_LVR_FLT_ISS-T_OLD_FI11	FLT	5.051011562347412	OSD-379		Female	BALB/cAnNTac	ribo-depletion
FLT_cluster_14_liver_secreted	OSD-379_RR8_LVR_FLT_ISS-T_OLD_FI12	FLT	5.007613182067871	OSD-379		Female	BALB/cAnNTac	ribo-depletion
FLT_cluster_14_liver_secreted	OSD-379_RR8_LVR_FLT_ISS-T_OLD_FI13	FLT	4.752435684204102	OSD-379		Female	BALB/cAnNTac	ribo-depletion
FLT_cluster_14_liver_secreted	OSD-379_RR8_LVR_FLT_ISS-T_OLD_FI14	FLT	4.778753280639648	OSD-379		Female	BALB/cAnNTac	ribo-depletion
FLT_cluster_14_liver_secreted	OSD-379_RR8_LVR_FLT_ISS-T_OLD_FI15	FLT	4.770611763000488	OSD-379		Female	BALB/cAnNTac	ribo-depletion
FLT_cluster_14_liver_secreted	OSD-379_RR8_LVR_FLT_ISS-T_OLD_FI18	FLT	4.91411828994751	OSD-379		Female	BALB/cAnNTac	ribo-depletion
FLT_cluster_14_liver_secreted	OSD-379_RR8_LVR_FLT_ISS-T_OLD_FI19	FLT	4.723062515258789	OSD-379		Female	BALB/cAnNTac	ribo-depletion
FLT_cluster_14_liver_secreted	OSD-379_RR8_LVR_FLT_ISS-T_OLD_FI20	FLT	4.958117961883545	OSD-379		Female	BALB/cAnNTac	ribo-depletion
FLT_cluster_14_liver_secreted	OSD-379_RR8_LVR_FLT_ISS-T_YNG_FI1	FLT	4.902684211730957	OSD-379		Female	BALB/cAnNTac	ribo-depletion
FLT_cluster_14_liver_secreted	OSD-379_RR8_LVR_FLT_ISS-T_YNG_FI2	FLT	4.693724632263184	OSD-379		Female	BALB/cAnNTac	ribo-depletion
FLT_cluster_14_liver_secreted	OSD-379_RR8_LVR_FLT_ISS-T_YNG_FI3	FLT	4.964808464050293	OSD-379		Female	BALB/cAnNTac	ribo-depletion
FLT_cluster_14_liver_secreted	OSD-379_RR8_LVR_FLT_ISS-T_YNG_FI4	FLT	4.725098609924316	OSD-379		Female	BALB/cAnNTac	ribo-depletion
FLT_cluster_14_liver_secreted	OSD-379_RR8_LVR_FLT_ISS-T_YNG_FI5	FLT	4.632853031158447	OSD-379		Female	BALB/cAnNTac	ribo-depletion
FLT_cluster_14_liver_secreted	OSD-379_RR8_LVR_FLT_ISS-T_YNG_FI6	FLT	4.793133735656738	OSD-379		Female	BALB/cAnNTac	ribo-depletion
FLT_cluster_14_liver_secreted	OSD-379_RR8_LVR_FLT_ISS-T_YNG_FI7	FLT	4.826680660247803	OSD-379		Female	BALB/cAnNTac	ribo-depletion
FLT_cluster_14_liver_secreted	OSD-379_RR8_LVR_FLT_ISS-T_YNG_FI8	FLT	4.8176960945129395	OSD-379		Female	BALB/cAnNTac	ribo-depletion
FLT_cluster_14_liver_secreted	OSD-379_RR8_LVR_FLT_LAR_OLD_FL11	FLT	5.25576114654541	OSD-379		Female	BALB/cAnNTac	ribo-depletion
FLT_cluster_14_liver_secreted	OSD-379_RR8_LVR_FLT_LAR_OLD_FL15	FLT	5.21154260635376	OSD-379		Female	BALB/cAnNTac	ribo-depletion
FLT_cluster_14_liver_secreted	OSD-379_RR8_LVR_FLT_LAR_OLD_FL16	FLT	5.235945224761963	OSD-379		Female	BALB/cAnNTac	ribo-depletion
FLT_cluster_14_liver_secreted	OSD-379_RR8_LVR_FLT_LAR_OLD_FL3	FLT	5.362881183624268	OSD-379		Female	BALB/cAnNTac	ribo-depletion
FLT_cluster_14_liver_secreted	OSD-379_RR8_LVR_FLT_LAR_OLD_FL4	FLT	5.288754940032959	OSD-379		Female	BALB/cAnNTac	ribo-depletion
FLT_cluster_14_liver_secreted	OSD-379_RR8_LVR_FLT_LAR_OLD_FL7	FLT	4.940861225128174	OSD-379		Female	BALB/cAnNTac	ribo-depletion
FLT_cluster_14_liver_secreted	OSD-379_RR8_LVR_FLT_LAR_OLD_FL8	FLT	5.2312235832214355	OSD-379		Female	BALB/cAnNTac	ribo-depletion
FLT_cluster_14_liver_secreted	OSD-379_RR8_LVR_FLT_LAR_YNG_FL1	FLT	4.937716007232666	OSD-379		Female	BALB/cAnNTac	ribo-depletion
FLT_cluster_14_liver_secreted	OSD-379_RR8_LVR_FLT_LAR_YNG_FL13	FLT	4.866048336029053	OSD-379		Female	BALB/cAnNTac	ribo-depletion
FLT_cluster_14_liver_secreted	OSD-379_RR8_LVR_FLT_LAR_YNG_FL14	FLT	4.968130588531494	OSD-379		Female	BALB/cAnNTac	ribo-depletion
FLT_cluster_14_liver_secreted	OSD-379_RR8_LVR_FLT_LAR_YNG_FL17	FLT	5.278616905212402	OSD-379		Female	BALB/cAnNTac	ribo-depletion
FLT_cluster_14_liver_secreted	OSD-379_RR8_LVR_FLT_LAR_YNG_FL18	FLT	5.269585132598877	OSD-379		Female	BALB/cAnNTac	ribo-depletion
FLT_cluster_14_liver_secreted	OSD-379_RR8_LVR_FLT_LAR_YNG_FL2	FLT	5.096591472625732	OSD-379		Female	BALB/cAnNTac	ribo-depletion
FLT_cluster_14_liver_secreted	OSD-379_RR8_LVR_FLT_LAR_YNG_FL5	FLT	5.22719144821167	OSD-379		Female	BALB/cAnNTac	ribo-depletion
FLT_cluster_14_liver_secreted	OSD-379_RR8_LVR_FLT_LAR_YNG_FL6	FLT	5.342954635620117	OSD-379		Female	BALB/cAnNTac	ribo-depletion
FLT_cluster_14_liver_secreted	OSD-245_Mmus_C57-6T_LVR_FLT_ISS-T_Rep10_F6	FLT	4.865780830383301	OSD-245		Female	C57BL/6NTac	Ribo-depletion
FLT_cluster_14_liver_secreted	OSD-245_Mmus_C57-6T_LVR_FLT_ISS-T_Rep2_F8	FLT	5.2114973068237305	OSD-245		Female	C57BL/6NTac	Ribo-depletion
FLT_cluster_14_liver_secreted	OSD-245_Mmus_C57-6T_LVR_FLT_ISS-T_Rep4_F10	FLT	5.233169078826904	OSD-245		Female	C57BL/6NTac	Ribo-depletion
FLT_cluster_14_liver_secreted	OSD-245_Mmus_C57-6T_LVR_FLT_ISS-T_Rep5_F7	FLT	4.973132133483887	OSD-245		Female	C57BL/6NTac	Ribo-depletion
