accession	direction	term	clean_term	description	query_genes	overlap	term_genes_in_universe	universe_genes	p_value	overlap_genes	fdr_bh
OSD-245	down_in_flight	REACTOME_RESPIRATORY_ELECTRON_TRANSPORT	Respiratory Electron Transport	http://www.broadinstitute.org/gsea/msigdb/cards/REACTOME_RESPIRATORY_ELECTRON_TRANSPORT	447	10	64	18168	3.3934250639956626e-06	ENSMUSG00000000171,ENSMUSG00000002416,ENSMUSG00000014313,ENSMUSG00000017778,ENSMUSG00000021764,ENSMUSG00000022450,ENSMUSG00000027673,ENSMUSG00000029632,ENSMUSG00000063882,ENSMUSG00000071014	0.00013731890895346977
OSD-245	down_in_flight	REACTOME_RESPIRATORY_ELECTRON_TRANSPORT_ATP_SYNTHESIS_BY_CHEMIOSMOTIC_COUPLING_AND_HEAT_PRODUCTION_BY_UNCOUPLING_PROTEINS_	Respiratory Electron Transport Atp Synthesis By Chemiosmotic Coupling And Heat Production By Uncoupling Proteins 	http://www.broadinstitute.org/gsea/msigdb/cards/REACTOME_RESPIRATORY_ELECTRON_TRANSPORT_ATP_SYNTHESIS_BY_CHEMIOSMOTIC_COUPLING_AND_HEAT_PRODUCTION_BY_UNCOUPLING_PROTEINS_	447	10	65	18168	3.923397398670565e-06	ENSMUSG00000000171,ENSMUSG00000002416,ENSMUSG00000014313,ENSMUSG00000017778,ENSMUSG00000021764,ENSMUSG00000022450,ENSMUSG00000027673,ENSMUSG00000029632,ENSMUSG00000063882,ENSMUSG00000071014	0.00013731890895346977
OSD-245	down_in_flight	REACTOME_TCA_CYCLE_AND_RESPIRATORY_ELECTRON_TRANSPORT	Tca Cycle And Respiratory Electron Transport	http://www.broadinstitute.org/gsea/msigdb/cards/REACTOME_TCA_CYCLE_AND_RESPIRATORY_ELECTRON_TRANSPORT	447	11	101	18168	3.841672599145087e-05	ENSMUSG00000000171,ENSMUSG00000002416,ENSMUSG00000014313,ENSMUSG00000017778,ENSMUSG00000020988,ENSMUSG00000021764,ENSMUSG00000022450,ENSMUSG00000027673,ENSMUSG00000029632,ENSMUSG00000063882,ENSMUSG00000071014	0.0008963902731338536
OSD-245	down_in_flight	REACTOME_MITOCHONDRIAL_PROTEIN_IMPORT	Mitochondrial Protein Import	http://www.broadinstitute.org/gsea/msigdb/cards/REACTOME_MITOCHONDRIAL_PROTEIN_IMPORT	447	7	44	18168	9.079735257716147e-05	ENSMUSG00000022427,ENSMUSG00000039016,ENSMUSG00000043510,ENSMUSG00000046516,ENSMUSG00000062580,ENSMUSG00000078713,ENSMUSG00000093904	0.0015889536701003256
OSD-245	down_in_flight	REACTOME_SRP_DEPENDENT_COTRANSLATIONAL_PROTEIN_TARGETING_TO_MEMBRANE	Srp Dependent Cotranslational Protein Targeting To Membrane	http://www.broadinstitute.org/gsea/msigdb/cards/REACTOME_SRP_DEPENDENT_COTRANSLATIONAL_PROTEIN_TARGETING_TO_MEMBRANE	447	9	78	18168	0.0001236771050505399	ENSMUSG00000008683,ENSMUSG00000009549,ENSMUSG00000020460,ENSMUSG00000021917,ENSMUSG00000024516,ENSMUSG00000028936,ENSMUSG00000043716,ENSMUSG00000078974,ENSMUSG00000079435	0.0017314794707075586
OSD-245	down_in_flight	REACTOME_METABOLISM_OF_PROTEINS	Metabolism Of Proteins	http://www.broadinstitute.org/gsea/msigdb/cards/REACTOME_METABOLISM_OF_PROTEINS	447	20	345	18168	0.00037371215295236204	ENSMUSG00000008683,ENSMUSG00000009549,ENSMUSG00000020460,ENSMUSG00000021917,ENSMUSG00000022427,ENSMUSG00000023791,ENSMUSG00000024516,ENSMUSG00000028936,ENSMUSG00000037722,ENSMUSG00000038072,ENSMUSG00000039016,ENSMUSG00000042043,ENSMUSG00000043510,ENSMUSG00000043716,ENSMUSG00000046516,ENSMUSG00000062580,ENSMUSG00000078713,ENSMUSG00000078974,ENSMUSG00000079435,ENSMUSG00000093904	0.004359975117777557
OSD-245	down_in_flight	REACTOME_TRANSLATION	Translation	http://www.broadinstitute.org/gsea/msigdb/cards/REACTOME_TRANSLATION	447	9	115	18168	0.0021496948972041844	ENSMUSG00000008683,ENSMUSG00000009549,ENSMUSG00000020460,ENSMUSG00000021917,ENSMUSG00000024516,ENSMUSG00000028936,ENSMUSG00000043716,ENSMUSG00000078974,ENSMUSG00000079435	0.019323988608005476
OSD-245	down_in_flight	REACTOME_XENOBIOTICS	Xenobiotics	http://www.broadinstitute.org/gsea/msigdb/cards/REACTOME_XENOBIOTICS	447	4	23	18168	0.0022084558409149117	ENSMUSG00000005547,ENSMUSG00000054417,ENSMUSG00000074254,ENSMUSG00000075552	0.019323988608005476
OSD-245	down_in_flight	REACTOME_MRNA_DECAY_BY_5_TO_3_EXORIBONUCLEASE	Mrna Decay By 5 To 3 Exoribonuclease	http://www.broadinstitute.org/gsea/msigdb/cards/REACTOME_MRNA_DECAY_BY_5_TO_3_EXORIBONUCLEASE	447	3	14	18168	0.0043995502041358206	ENSMUSG00000034192,ENSMUSG00000037296,ENSMUSG00000091625	0.03421872380994527
OSD-245	down_in_flight	REACTOME_INFLUENZA_VIRAL_RNA_TRANSCRIPTION_AND_REPLICATION	Influenza Viral Rna Transcription And Replication	http://www.broadinstitute.org/gsea/msigdb/cards/REACTOME_INFLUENZA_VIRAL_RNA_TRANSCRIPTION_AND_REPLICATION	447	6	70	18168	0.007462629755535984	ENSMUSG00000008683,ENSMUSG00000020460,ENSMUSG00000021018,ENSMUSG00000028936,ENSMUSG00000043716,ENSMUSG00000079435	0.052238408288751884
