accession	direction	term	clean_term	description	pathway_genes_tested	universe_genes_tested	mean_wald_stat_in_pathway	mean_wald_stat_all_genes	mean_wald_stat_shift	p_value	overlap_genes	fdr_bh
OSD-245	down_in_flight	REACTOME_PEPTIDE_CHAIN_ELONGATION	Peptide Chain Elongation	http://www.broadinstitute.org/gsea/msigdb/cards/REACTOME_PEPTIDE_CHAIN_ELONGATION	56	24291	-1.9429490994882304	0.009243855223417226	-1.9521929547116477	3.7302304574166584e-25	ENSMUSG00000000740,ENSMUSG00000003429,ENSMUSG00000003970,ENSMUSG00000006333,ENSMUSG00000007892,ENSMUSG00000008668,ENSMUSG00000008683,ENSMUSG00000012405,ENSMUSG00000012848,ENSMUSG00000017404,ENSMUSG00000020460,ENSMUSG00000024608,ENSMUSG00000025508,ENSMUSG00000028081,ENSMUSG00000028495,ENSMUSG00000028936,ENSMUSG00000029614,ENSMUSG00000030432,ENSMUSG00000031320,ENSMUSG00000032399,ENSMUSG00000034994,ENSMUSG00000037563,ENSMUSG00000037742,ENSMUSG00000037805,ENSMUSG00000038274,ENSMUSG00000039001,ENSMUSG00000040952,ENSMUSG00000041841,ENSMUSG00000043716,ENSMUSG00000044533,ENSMUSG00000046364,ENSMUSG00000047675,ENSMUSG00000048758,ENSMUSG00000057322,ENSMUSG00000057841,ENSMUSG00000057863,ENSMUSG00000058600,ENSMUSG00000059291,ENSMUSG00000060036,ENSMUSG00000060636,ENSMUSG00000060938,ENSMUSG00000061477,ENSMUSG00000061787,ENSMUSG00000062006,ENSMUSG00000062647,ENSMUSG00000062997,ENSMUSG00000063457,ENSMUSG00000067274,ENSMUSG00000067288,ENSMUSG00000071415,ENSMUSG00000078193,ENSMUSG00000078240,ENSMUSG00000079435,ENSMUSG00000090137,ENSMUSG00000090862,ENSMUSG00000098274	2.256789426737078e-22
OSD-245	down_in_flight	REACTOME_INFLUENZA_VIRAL_RNA_TRANSCRIPTION_AND_REPLICATION	Influenza Viral Rna Transcription And Replication	http://www.broadinstitute.org/gsea/msigdb/cards/REACTOME_INFLUENZA_VIRAL_RNA_TRANSCRIPTION_AND_REPLICATION	70	24291	-1.6946989573176234	0.009243855223417226	-1.7039428125410407	2.4173431395721035e-24	ENSMUSG00000000740,ENSMUSG00000002658,ENSMUSG00000003429,ENSMUSG00000003970,ENSMUSG00000004667,ENSMUSG00000005198,ENSMUSG00000006333,ENSMUSG00000007892,ENSMUSG00000008668,ENSMUSG00000008683,ENSMUSG00000012405,ENSMUSG00000012848,ENSMUSG00000017404,ENSMUSG00000019738,ENSMUSG00000020460,ENSMUSG00000021018,ENSMUSG00000021270,ENSMUSG00000022136,ENSMUSG00000024258,ENSMUSG00000024608,ENSMUSG00000025508,ENSMUSG00000028081,ENSMUSG00000028495,ENSMUSG00000028936,ENSMUSG00000029250,ENSMUSG00000029614,ENSMUSG00000030432,ENSMUSG00000030662,ENSMUSG00000031320,ENSMUSG00000031783,ENSMUSG00000032399,ENSMUSG00000033020,ENSMUSG00000037563,ENSMUSG00000037805,ENSMUSG00000038274,ENSMUSG00000038489,ENSMUSG00000039001,ENSMUSG00000040952,ENSMUSG00000041841,ENSMUSG00000043716,ENSMUSG00000044221,ENSMUSG00000044533,ENSMUSG00000046364,ENSMUSG00000047675,ENSMUSG00000048758,ENSMUSG00000057322,ENSMUSG00000057841,ENSMUSG00000057863,ENSMUSG00000058600,ENSMUSG00000059291,ENSMUSG00000060036,ENSMUSG00000060636,ENSMUSG00000060938,ENSMUSG00000061477,ENSMUSG00000061787,ENSMUSG00000062006,ENSMUSG00000062647,ENSMUSG00000062997,ENSMUSG00000063457,ENSMUSG00000067274,ENSMUSG00000067288,ENSMUSG00000067995,ENSMUSG00000071415,ENSMUSG00000071662,ENSMUSG00000078193,ENSMUSG00000078240,ENSMUSG00000079435,ENSMUSG00000090137,ENSMUSG00000090862,ENSMUSG00000098274	6.925439546169408e-22
OSD-245	down_in_flight	REACTOME_SRP_DEPENDENT_COTRANSLATIONAL_PROTEIN_TARGETING_TO_MEMBRANE	Srp Dependent Cotranslational Protein Targeting To Membrane	http://www.broadinstitute.org/gsea/msigdb/cards/REACTOME_SRP_DEPENDENT_COTRANSLATIONAL_PROTEIN_TARGETING_TO_MEMBRANE	79	24291	-1.6356205274460656	0.009243855223417226	-1.6448643826694829	3.43410225429888e-24	ENSMUSG00000000740,ENSMUSG00000002014,ENSMUSG00000003429,ENSMUSG00000003970,ENSMUSG00000006333,ENSMUSG00000007892,ENSMUSG00000008668,ENSMUSG00000008683,ENSMUSG00000009549,ENSMUSG00000012405,ENSMUSG00000012848,ENSMUSG00000014504,ENSMUSG00000017404,ENSMUSG00000020460,ENSMUSG00000020780,ENSMUSG00000021427,ENSMUSG00000021917,ENSMUSG00000024516,ENSMUSG00000024608,ENSMUSG00000025508,ENSMUSG00000025724,ENSMUSG00000025816,ENSMUSG00000025935,ENSMUSG00000026511,ENSMUSG00000027642,ENSMUSG00000027828,ENSMUSG00000028081,ENSMUSG00000028495,ENSMUSG00000028757,ENSMUSG00000028936,ENSMUSG00000029614,ENSMUSG00000030062,ENSMUSG00000030082,ENSMUSG00000030432,ENSMUSG00000031320,ENSMUSG00000032399,ENSMUSG00000032553,ENSMUSG00000035227,ENSMUSG00000036323,ENSMUSG00000037563,ENSMUSG00000037805,ENSMUSG00000038274,ENSMUSG00000039001,ENSMUSG00000040952,ENSMUSG00000041355,ENSMUSG00000041841,ENSMUSG00000043716,ENSMUSG00000044533,ENSMUSG00000046364,ENSMUSG00000047675,ENSMUSG00000048040,ENSMUSG00000048758,ENSMUSG00000057322,ENSMUSG00000057841,ENSMUSG00000057863,ENSMUSG00000058600,ENSMUSG00000059291,ENSMUSG00000060036,ENSMUSG00000060636,ENSMUSG00000060938,ENSMUSG00000061477,ENSMUSG00000061787,ENSMUSG00000062006,ENSMUSG00000062647,ENSMUSG00000062997,ENSMUSG00000063457,ENSMUSG00000067274,ENSMUSG00000067288,ENSMUSG00000071415,ENSMUSG00000073079,ENSMUSG00000078193,ENSMUSG00000078240,ENSMUSG00000078974,ENSMUSG00000079108,ENSMUSG00000079435,ENSMUSG00000090137,ENSMUSG00000090862,ENSMUSG00000098274,ENSMUSG00000112449	6.925439546169408e-22
OSD-245	down_in_flight	REACTOME_METABOLISM_OF_PROTEINS	Metabolism Of Proteins	http://www.broadinstitute.org/gsea/msigdb/cards/REACTOME_METABOLISM_OF_PROTEINS	361	24291	-0.7069327005499192	0.009243855223417226	-0.7161765557733364	3.811939153799953e-23	ENSMUSG00000000420,ENSMUSG00000000740,ENSMUSG00000001052,ENSMUSG00000001289,ENSMUSG00000001416,ENSMUSG00000001473,ENSMUSG00000002010,ENSMUSG00000002014,ENSMUSG00000002949,ENSMUSG00000002984,ENSMUSG00000003235,ENSMUSG00000003402,ENSMUSG00000003418,ENSMUSG00000003429,ENSMUSG00000003438,ENSMUSG00000003746,ENSMUSG00000003814,ENSMUSG00000003970,ENSMUSG00000004788,ENSMUSG00000005683,ENSMUSG00000006095,ENSMUSG00000006333,ENSMUSG00000006412,ENSMUSG00000007739,ENSMUSG00000007892,ENSMUSG00000008668,ENSMUSG00000008683,ENSMUSG00000008763,ENSMUSG00000009549,ENSMUSG00000009995,ENSMUSG00000012405,ENSMUSG00000012848,ENSMUSG00000013701,ENSMUSG00000013846,ENSMUSG00000014245,ENSMUSG00000014301,ENSMUSG00000014504,ENSMUSG00000015095,ENSMUSG00000015112,ENSMUSG00000016255,ENSMUSG00000016554,ENSMUSG00000017404,ENSMUSG00000017721,ENSMUSG00000017929,ENSMUSG00000019888,ENSMUSG00000020219,ENSMUSG00000020346,ENSMUSG00000020363,ENSMUSG00000020368,ENSMUSG00000020386,ENSMUSG00000020402,ENSMUSG00000020460,ENSMUSG00000020520,ENSMUSG00000020604,ENSMUSG00000020780,ENSMUSG00000020843,ENSMUSG00000020986,ENSMUSG00000021065,ENSMUSG00000021079,ENSMUSG00000021116,ENSMUSG00000021120,ENSMUSG00000021282,ENSMUSG00000021375,ENSMUSG00000021427,ENSMUSG00000021592,ENSMUSG00000021824,ENSMUSG00000021917,ENSMUSG00000022124,ENSMUSG00000022174,ENSMUSG00000022184,ENSMUSG00000022234,ENSMUSG00000022283,ENSMUSG00000022312,ENSMUSG00000022336,ENSMUSG00000022427,ENSMUSG00000022437,ENSMUSG00000022474,ENSMUSG00000022477,ENSMUSG00000022551,ENSMUSG00000022561,ENSMUSG00000022620,ENSMUSG00000022686,ENSMUSG00000022711,ENSMUSG00000022793,ENSMUSG00000022824,ENSMUSG00000022884,ENSMUSG00000022885,ENSMUSG00000022912,ENSMUSG00000022940,ENSMUSG00000023004,ENSMUSG00000023791,ENSMUSG00000024064,ENSMUSG00000024085,ENSMUSG00000024145,ENSMUSG00000024150,ENSMUSG00000024309,ENSMUSG00000024346,ENSMUSG00000024359,ENSMUSG00000024360,ENSMUSG00000024516,ENSMUSG00000024580,ENSMUSG00000024608,ENSMUSG00000024991,ENSMUSG00000025508,ENSMUSG00000025613,ENSMUSG00000025724,ENSMUSG00000025728,ENSMUSG00000025789,ENSMUSG00000025816,ENSMUSG00000025935,ENSMUSG00000025967,ENSMUSG00000025980,ENSMUSG00000026083,ENSMUSG00000026110,ENSMUSG00000026172,ENSMUSG00000026202,ENSMUSG00000026511,ENSMUSG00000026698,ENSMUSG00000026810,ENSMUSG00000026856,ENSMUSG00000026926,ENSMUSG00000026994,ENSMUSG00000027010,ENSMUSG00000027076,ENSMUSG00000027099,ENSMUSG00000027200,ENSMUSG00000027236,ENSMUSG00000027248,ENSMUSG00000027249,ENSMUSG00000027405,ENSMUSG00000027433,ENSMUSG00000027642,ENSMUSG00000027679,ENSMUSG00000027828,ENSMUSG00000028081,ENSMUSG00000028086,ENSMUSG00000028156,ENSMUSG00000028413,ENSMUSG00000028454,ENSMUSG00000028495,ENSMUSG00000028538,ENSMUSG00000028541,ENSMUSG00000028683,ENSMUSG00000028757,ENSMUSG00000028936,ENSMUSG00000028998,ENSMUSG00000029017,ENSMUSG00000029145,ENSMUSG00000029198,ENSMUSG00000029263,ENSMUSG00000029319,ENSMUSG00000029388,ENSMUSG00000029431,ENSMUSG00000029447,ENSMUSG00000029580,ENSMUSG00000029614,ENSMUSG00000029781,ENSMUSG00000030007,ENSMUSG00000030036,ENSMUSG00000030062,ENSMUSG00000030082,ENSMUSG00000030101,ENSMUSG00000030104,ENSMUSG00000030298,ENSMUSG00000030432,ENSMUSG00000030530,ENSMUSG00000030738,ENSMUSG00000031029,ENSMUSG00000031066,ENSMUSG00000031138,ENSMUSG00000031158,ENSMUSG00000031197,ENSMUSG00000031320,ENSMUSG00000031381,ENSMUSG00000031443,ENSMUSG00000031444,ENSMUSG00000031445,ENSMUSG00000031490,ENSMUSG00000031608,ENSMUSG00000031633,ENSMUSG00000031749,ENSMUSG00000031788,ENSMUSG00000031803,ENSMUSG00000031958,ENSMUSG00000032059,ENSMUSG00000032116,ENSMUSG00000032123,ENSMUSG00000032226,ENSMUSG00000032306,ENSMUSG00000032399,ENSMUSG00000032553,ENSMUSG00000033021,ENSMUSG00000033809,ENSMUSG00000034024,ENSMUSG00000034994,ENSMUSG00000035150,ENSMUSG00000035227,ENSMUSG00000035325,ENSMUSG00000035704,ENSMUSG00000035845	5.765557970122429e-21
OSD-245	down_in_flight	REACTOME_TRANSLATION	Translation	http://www.broadinstitute.org/gsea/msigdb/cards/REACTOME_TRANSLATION	117	24291	-1.2100395621898723	0.009243855223417226	-1.2192834174132896	1.1689049307598963e-20	ENSMUSG00000000740,ENSMUSG00000002014,ENSMUSG00000003235,ENSMUSG00000003429,ENSMUSG00000003970,ENSMUSG00000004788,ENSMUSG00000006333,ENSMUSG00000007892,ENSMUSG00000008668,ENSMUSG00000008683,ENSMUSG00000009549,ENSMUSG00000012405,ENSMUSG00000012848,ENSMUSG00000014504,ENSMUSG00000016554,ENSMUSG00000017404,ENSMUSG00000020460,ENSMUSG00000020780,ENSMUSG00000021116,ENSMUSG00000021282,ENSMUSG00000021427,ENSMUSG00000021917,ENSMUSG00000022283,ENSMUSG00000022312,ENSMUSG00000022336,ENSMUSG00000022884,ENSMUSG00000024360,ENSMUSG00000024516,ENSMUSG00000024608,ENSMUSG00000024991,ENSMUSG00000025508,ENSMUSG00000025724,ENSMUSG00000025816,ENSMUSG00000025935,ENSMUSG00000025967,ENSMUSG00000026083,ENSMUSG00000026511,ENSMUSG00000027236,ENSMUSG00000027642,ENSMUSG00000027828,ENSMUSG00000028081,ENSMUSG00000028156,ENSMUSG00000028495,ENSMUSG00000028683,ENSMUSG00000028757,ENSMUSG00000028936,ENSMUSG00000029145,ENSMUSG00000029388,ENSMUSG00000029614,ENSMUSG00000030062,ENSMUSG00000030082,ENSMUSG00000030432,ENSMUSG00000030738,ENSMUSG00000031029,ENSMUSG00000031320,ENSMUSG00000031490,ENSMUSG00000032399,ENSMUSG00000032553,ENSMUSG00000034994,ENSMUSG00000035150,ENSMUSG00000035227,ENSMUSG00000036323,ENSMUSG00000037563,ENSMUSG00000037742,ENSMUSG00000037805,ENSMUSG00000038274,ENSMUSG00000039001,ENSMUSG00000040731,ENSMUSG00000040952,ENSMUSG00000041355,ENSMUSG00000041841,ENSMUSG00000043424,ENSMUSG00000043716,ENSMUSG00000044533,ENSMUSG00000045983,ENSMUSG00000046364,ENSMUSG00000047675,ENSMUSG00000048040,ENSMUSG00000048758,ENSMUSG00000053565,ENSMUSG00000055762,ENSMUSG00000056076,ENSMUSG00000057322,ENSMUSG00000057841,ENSMUSG00000057863,ENSMUSG00000058600,ENSMUSG00000058655,ENSMUSG00000059291,ENSMUSG00000059796,ENSMUSG00000060036,ENSMUSG00000060636,ENSMUSG00000060938,ENSMUSG00000061477,ENSMUSG00000061787,ENSMUSG00000062006,ENSMUSG00000062647,ENSMUSG00000062997,ENSMUSG00000063457,ENSMUSG00000067194,ENSMUSG00000067274,ENSMUSG00000067288,ENSMUSG00000069049,ENSMUSG00000070319,ENSMUSG00000071415,ENSMUSG00000071644,ENSMUSG00000071723,ENSMUSG00000073079,ENSMUSG00000074656,ENSMUSG00000078193,ENSMUSG00000078240,ENSMUSG00000078974,ENSMUSG00000079108,ENSMUSG00000079435,ENSMUSG00000090137,ENSMUSG00000090862,ENSMUSG00000098274,ENSMUSG00000112449	1.4143749662194744e-18
OSD-245	down_in_flight	REACTOME_3_UTR_MEDIATED_TRANSLATIONAL_REGULATION	3 Utr Mediated Translational Regulation	http://www.broadinstitute.org/gsea/msigdb/cards/REACTOME_3_UTR_MEDIATED_TRANSLATIONAL_REGULATION	77	24291	-1.466309382987327	0.009243855223417226	-1.4755532382107444	3.055789756645745e-20	ENSMUSG00000000740,ENSMUSG00000003429,ENSMUSG00000003970,ENSMUSG00000006333,ENSMUSG00000007892,ENSMUSG00000008668,ENSMUSG00000008683,ENSMUSG00000012405,ENSMUSG00000012848,ENSMUSG00000016554,ENSMUSG00000017404,ENSMUSG00000020460,ENSMUSG00000021116,ENSMUSG00000022283,ENSMUSG00000022312,ENSMUSG00000022336,ENSMUSG00000022884,ENSMUSG00000024608,ENSMUSG00000024991,ENSMUSG00000025508,ENSMUSG00000027236,ENSMUSG00000028081,ENSMUSG00000028156,ENSMUSG00000028495,ENSMUSG00000028936,ENSMUSG00000029614,ENSMUSG00000030432,ENSMUSG00000030738,ENSMUSG00000031029,ENSMUSG00000031320,ENSMUSG00000032399,ENSMUSG00000035150,ENSMUSG00000037563,ENSMUSG00000037805,ENSMUSG00000038274,ENSMUSG00000039001,ENSMUSG00000040731,ENSMUSG00000040952,ENSMUSG00000041841,ENSMUSG00000043424,ENSMUSG00000043716,ENSMUSG00000044533,ENSMUSG00000045983,ENSMUSG00000046364,ENSMUSG00000047675,ENSMUSG00000048758,ENSMUSG00000053565,ENSMUSG00000056076,ENSMUSG00000057322,ENSMUSG00000057841,ENSMUSG00000057863,ENSMUSG00000058600,ENSMUSG00000058655,ENSMUSG00000059291,ENSMUSG00000059796,ENSMUSG00000060036,ENSMUSG00000060636,ENSMUSG00000060938,ENSMUSG00000061477,ENSMUSG00000061787,ENSMUSG00000062006,ENSMUSG00000062647,ENSMUSG00000062997,ENSMUSG00000063457,ENSMUSG00000067194,ENSMUSG00000067274,ENSMUSG00000067288,ENSMUSG00000069049,ENSMUSG00000070319,ENSMUSG00000071415,ENSMUSG00000074656,ENSMUSG00000078193,ENSMUSG00000078240,ENSMUSG00000079435,ENSMUSG00000090137,ENSMUSG00000090862,ENSMUSG00000098274	3.0812546712844595e-18
OSD-245	down_in_flight	REACTOME_RESPIRATORY_ELECTRON_TRANSPORT	Respiratory Electron Transport	http://www.broadinstitute.org/gsea/msigdb/cards/REACTOME_RESPIRATORY_ELECTRON_TRANSPORT	65	24291	-1.493543850588299	0.009243855223417226	-1.5027877058117163	8.469202926430884e-18	ENSMUSG00000000088,ENSMUSG00000000171,ENSMUSG00000000399,ENSMUSG00000002379,ENSMUSG00000002416,ENSMUSG00000004610,ENSMUSG00000005510,ENSMUSG00000009863,ENSMUSG00000013593,ENSMUSG00000014294,ENSMUSG00000014313,ENSMUSG00000016427,ENSMUSG00000017778,ENSMUSG00000020022,ENSMUSG00000020153,ENSMUSG00000020163,ENSMUSG00000021520,ENSMUSG00000021577,ENSMUSG00000021606,ENSMUSG00000021764,ENSMUSG00000022354,ENSMUSG00000022450,ENSMUSG00000022551,ENSMUSG00000022820,ENSMUSG00000023089,ENSMUSG00000024038,ENSMUSG00000024099,ENSMUSG00000024248,ENSMUSG00000025204,ENSMUSG00000025651,ENSMUSG00000025968,ENSMUSG00000026032,ENSMUSG00000026260,ENSMUSG00000026895,ENSMUSG00000027673,ENSMUSG00000027809,ENSMUSG00000028648,ENSMUSG00000029632,ENSMUSG00000030647,ENSMUSG00000030869,ENSMUSG00000030884,ENSMUSG00000031231,ENSMUSG00000031818,ENSMUSG00000032314,ENSMUSG00000033938,ENSMUSG00000035674,ENSMUSG00000035885,ENSMUSG00000036199,ENSMUSG00000036751,ENSMUSG00000037152,ENSMUSG00000037916,ENSMUSG00000038462,ENSMUSG00000040048,ENSMUSG00000041697,ENSMUSG00000041881,ENSMUSG00000044894,ENSMUSG00000058076,ENSMUSG00000058927,ENSMUSG00000059734,ENSMUSG00000061518,ENSMUSG00000063694,ENSMUSG00000063882,ENSMUSG00000071014,ENSMUSG00000107482,ENSMUSG00000113902	7.319811100700978e-16
OSD-245	down_in_flight	REACTOME_RESPIRATORY_ELECTRON_TRANSPORT_ATP_SYNTHESIS_BY_CHEMIOSMOTIC_COUPLING_AND_HEAT_PRODUCTION_BY_UNCOUPLING_PROTEINS_	Respiratory Electron Transport Atp Synthesis By Chemiosmotic Coupling And Heat Production By Uncoupling Proteins 	http://www.broadinstitute.org/gsea/msigdb/cards/REACTOME_RESPIRATORY_ELECTRON_TRANSPORT_ATP_SYNTHESIS_BY_CHEMIOSMOTIC_COUPLING_AND_HEAT_PRODUCTION_BY_UNCOUPLING_PROTEINS_	66	24291	-1.4736596631076044	0.009243855223417226	-1.4829035183310217	1.0539444068678777e-17	ENSMUSG00000000088,ENSMUSG00000000171,ENSMUSG00000000399,ENSMUSG00000002379,ENSMUSG00000002416,ENSMUSG00000004610,ENSMUSG00000005510,ENSMUSG00000009863,ENSMUSG00000013593,ENSMUSG00000014294,ENSMUSG00000014313,ENSMUSG00000016427,ENSMUSG00000017778,ENSMUSG00000020022,ENSMUSG00000020153,ENSMUSG00000020163,ENSMUSG00000021520,ENSMUSG00000021577,ENSMUSG00000021606,ENSMUSG00000021764,ENSMUSG00000022354,ENSMUSG00000022450,ENSMUSG00000022551,ENSMUSG00000022820,ENSMUSG00000023089,ENSMUSG00000024038,ENSMUSG00000024099,ENSMUSG00000024248,ENSMUSG00000025204,ENSMUSG00000025651,ENSMUSG00000025968,ENSMUSG00000026032,ENSMUSG00000026260,ENSMUSG00000026895,ENSMUSG00000027673,ENSMUSG00000027809,ENSMUSG00000028648,ENSMUSG00000029632,ENSMUSG00000030647,ENSMUSG00000030869,ENSMUSG00000030884,ENSMUSG00000031231,ENSMUSG00000031818,ENSMUSG00000032314,ENSMUSG00000033685,ENSMUSG00000033938,ENSMUSG00000035674,ENSMUSG00000035885,ENSMUSG00000036199,ENSMUSG00000036751,ENSMUSG00000037152,ENSMUSG00000037916,ENSMUSG00000038462,ENSMUSG00000040048,ENSMUSG00000041697,ENSMUSG00000041881,ENSMUSG00000044894,ENSMUSG00000058076,ENSMUSG00000058927,ENSMUSG00000059734,ENSMUSG00000061518,ENSMUSG00000063694,ENSMUSG00000063882,ENSMUSG00000071014,ENSMUSG00000107482,ENSMUSG00000113902	7.970454576938325e-16
OSD-245	down_in_flight	REACTOME_TCA_CYCLE_AND_RESPIRATORY_ELECTRON_TRANSPORT	Tca Cycle And Respiratory Electron Transport	http://www.broadinstitute.org/gsea/msigdb/cards/REACTOME_TCA_CYCLE_AND_RESPIRATORY_ELECTRON_TRANSPORT	103	24291	-0.9151685927100407	0.009243855223417226	-0.9244124479334579	2.983913570822328e-13	ENSMUSG00000000088,ENSMUSG00000000168,ENSMUSG00000000171,ENSMUSG00000000399,ENSMUSG00000002010,ENSMUSG00000002379,ENSMUSG00000002416,ENSMUSG00000004610,ENSMUSG00000004789,ENSMUSG00000005510,ENSMUSG00000005683,ENSMUSG00000006494,ENSMUSG00000009863,ENSMUSG00000010914,ENSMUSG00000013593,ENSMUSG00000014294,ENSMUSG00000014313,ENSMUSG00000016427,ENSMUSG00000017778,ENSMUSG00000019179,ENSMUSG00000019577,ENSMUSG00000020022,ENSMUSG00000020153,ENSMUSG00000020163,ENSMUSG00000020456,ENSMUSG00000020664,ENSMUSG00000020988,ENSMUSG00000021520,ENSMUSG00000021577,ENSMUSG00000021606,ENSMUSG00000021748,ENSMUSG00000021764,ENSMUSG00000022110,ENSMUSG00000022354,ENSMUSG00000022450,ENSMUSG00000022477,ENSMUSG00000022551,ENSMUSG00000022820,ENSMUSG00000023089,ENSMUSG00000023175,ENSMUSG00000024038,ENSMUSG00000024099,ENSMUSG00000024248,ENSMUSG00000025161,ENSMUSG00000025204,ENSMUSG00000025453,ENSMUSG00000025651,ENSMUSG00000025911,ENSMUSG00000025950,ENSMUSG00000025968,ENSMUSG00000026032,ENSMUSG00000026260,ENSMUSG00000026526,ENSMUSG00000026895,ENSMUSG00000027406,ENSMUSG00000027673,ENSMUSG00000027809,ENSMUSG00000028648,ENSMUSG00000029632,ENSMUSG00000030246,ENSMUSG00000030541,ENSMUSG00000030647,ENSMUSG00000030869,ENSMUSG00000030884,ENSMUSG00000031231,ENSMUSG00000031299,ENSMUSG00000031818,ENSMUSG00000032279,ENSMUSG00000032314,ENSMUSG00000032902,ENSMUSG00000032988,ENSMUSG00000033624,ENSMUSG00000033685,ENSMUSG00000033938,ENSMUSG00000035232,ENSMUSG00000035674,ENSMUSG00000035885,ENSMUSG00000036199,ENSMUSG00000036751,ENSMUSG00000037152,ENSMUSG00000037916,ENSMUSG00000038462,ENSMUSG00000038967,ENSMUSG00000040048,ENSMUSG00000041697,ENSMUSG00000041881,ENSMUSG00000044894,ENSMUSG00000048371,ENSMUSG00000049225,ENSMUSG00000052738,ENSMUSG00000058076,ENSMUSG00000058927,ENSMUSG00000059734,ENSMUSG00000061518,ENSMUSG00000061838,ENSMUSG00000063229,ENSMUSG00000063694,ENSMUSG00000063882,ENSMUSG00000071014,ENSMUSG00000073609,ENSMUSG00000107482,ENSMUSG00000113902,ENSMUSG00000116207	2.0058530114972316e-11
OSD-245	down_in_flight	REACTOME_INFLUENZA_LIFE_CYCLE	Influenza Life Cycle	http://www.broadinstitute.org/gsea/msigdb/cards/REACTOME_INFLUENZA_LIFE_CYCLE	102	24291	-0.9958865231600079	0.009243855223417226	-1.0051303783834251	5.818537079116192e-13	ENSMUSG00000000740,ENSMUSG00000001440,ENSMUSG00000001855,ENSMUSG00000002658,ENSMUSG00000003226,ENSMUSG00000003429,ENSMUSG00000003814,ENSMUSG00000003970,ENSMUSG00000004667,ENSMUSG00000005198,ENSMUSG00000006005,ENSMUSG00000006333,ENSMUSG00000007892,ENSMUSG00000008668,ENSMUSG00000008683,ENSMUSG00000012405,ENSMUSG00000012848,ENSMUSG00000016619,ENSMUSG00000017404,ENSMUSG00000019738,ENSMUSG00000020290,ENSMUSG00000020368,ENSMUSG00000020460,ENSMUSG00000020739,ENSMUSG00000021018,ENSMUSG00000021270,ENSMUSG00000021374,ENSMUSG00000022136,ENSMUSG00000022142,ENSMUSG00000022905,ENSMUSG00000024258,ENSMUSG00000024608,ENSMUSG00000025508,ENSMUSG00000026999,ENSMUSG00000027509,ENSMUSG00000028081,ENSMUSG00000028478,ENSMUSG00000028495,ENSMUSG00000028936,ENSMUSG00000029250,ENSMUSG00000029614,ENSMUSG00000030091,ENSMUSG00000030432,ENSMUSG00000030662,ENSMUSG00000031320,ENSMUSG00000031783,ENSMUSG00000032399,ENSMUSG00000032939,ENSMUSG00000033020,ENSMUSG00000034826,ENSMUSG00000035351,ENSMUSG00000036678,ENSMUSG00000037563,ENSMUSG00000037805,ENSMUSG00000038274,ENSMUSG00000038489,ENSMUSG00000038759,ENSMUSG00000039001,ENSMUSG00000039509,ENSMUSG00000040034,ENSMUSG00000040667,ENSMUSG00000040952,ENSMUSG00000041841,ENSMUSG00000043716,ENSMUSG00000044221,ENSMUSG00000044533,ENSMUSG00000046364,ENSMUSG00000047126,ENSMUSG00000047675,ENSMUSG00000048758,ENSMUSG00000052533,ENSMUSG00000052798,ENSMUSG00000053293,ENSMUSG00000057322,ENSMUSG00000057841,ENSMUSG00000057863,ENSMUSG00000058600,ENSMUSG00000059291,ENSMUSG00000060036,ENSMUSG00000060636,ENSMUSG00000060938,ENSMUSG00000061477,ENSMUSG00000061787,ENSMUSG00000062006,ENSMUSG00000062647,ENSMUSG00000062997,ENSMUSG00000063457,ENSMUSG00000067274,ENSMUSG00000067288,ENSMUSG00000067995,ENSMUSG00000071415,ENSMUSG00000071662,ENSMUSG00000078193,ENSMUSG00000078240,ENSMUSG00000079435,ENSMUSG00000079614,ENSMUSG00000090137,ENSMUSG00000090862,ENSMUSG00000090877,ENSMUSG00000091971,ENSMUSG00000098274,ENSMUSG00000109511	3.5202149328652957e-11
