location	cluster	n_genes	variable	n_groups	eta_squared	p_value	fdr_bh	strong_batch_driver
FLT	9	913	h5_accession	6	0.7384904604421718	3.039386612912498e-18	4.863018580659997e-17	True
FLT	2	2085	h5_accession	6	0.668724363047075	7.266160491980657e-15	5.812928393584525e-14	True
FLT	4	1619	h5_accession	6	0.5758327874549357	2.3149124858109982e-11	1.2346199924325325e-10	True
FLT	3	1968	h5_accession	6	0.5649595728021343	5.260041569002861e-11	2.1040166276011444e-10	True
FLT	7	1066	h5_accession	6	0.5562014756622854	1.0030326681558135e-10	3.2097045380986033e-10	True
FLT	1	2137	h5_accession	6	0.5497998506579922	1.5941409941523636e-10	4.2510426510729694e-10	True
FLT	6	1422	h5_accession	6	0.5455361737238712	2.1620142365552222e-10	4.941746826411936e-10	True
FLT	10	884	h5_accession	6	0.38204977432027715	3.8729452922274175e-06	7.745890584454835e-06	True
FLT	0	4412	h5_accession	6	0.32702015593940637	5.444040339575464e-05	9.678293937023047e-05	True
FLT	13	326	h5_accession	6	0.29907018755948145	0.00018834379302757126	0.00030135006884411404	True
FLT	15	278	h5_accession	6	0.27878381143938163	0.00044534808870555145	0.0006271888951091848	True
FLT	5	1431	h5_accession	6	0.27739496100654065	0.00047180311218349597	0.0006271888951091848	True
FLT	14	303	h5_accession	6	0.27553480379372447	0.0005095909772762126	0.0006271888951091848	True
FLT	8	934	h5_accession	6	0.2500660565926279	0.001423579864472267	0.0016269484165397335	True
FLT	12	595	h5_accession	6	0.243865199412623	0.001814060607879148	0.0019349979817377579	False
FLT	11	637	h5_accession	6	0.12609567427785534	0.10028109530244175	0.10028109530244175	False
GC	13	110	h5_accession	6	0.8779941371158937	2.477730802770429e-28	3.7165962041556434e-27	True
GC	8	1173	h5_accession	6	0.6687784974023321	2.0898396187720073e-14	1.5673797140790055e-13	True
GC	9	1146	h5_accession	6	0.5247076994913797	1.850684553544355e-09	9.253422767721776e-09	True
GC	5	1353	h5_accession	6	0.5096244113159308	4.902006454718969e-09	1.8382524205196134e-08	True
GC	2	2104	h5_accession	6	0.5043411070112275	6.842825302001921e-09	2.0528475906005763e-08	True
GC	7	1340	h5_accession	6	0.4979152992409847	1.0213613537587e-08	2.55340338439675e-08	True
GC	6	1344	h5_accession	6	0.4832557972021933	2.4950647263011942e-08	5.346567270645416e-08	True
GC	4	1608	h5_accession	6	0.4452274994088763	2.2353154323301511e-07	4.1912164356190333e-07	True
GC	3	1639	h5_accession	6	0.39169839035429443	3.7312673977021903e-06	6.218778996170317e-06	True
GC	14	84	h5_accession	6	0.3791479123993457	6.926122150001589e-06	1.0389183225002384e-05	True
GC	11	836	h5_accession	6	0.36764604739025725	1.2052441447975577e-05	1.6435147429057604e-05	True
GC	0	4424	h5_accession	6	0.3140777576085655	0.00013643968845768962	0.00016131359011094888	True
GC	1	2185	h5_accession	6	0.31351135124595525	0.00013980511142948904	0.00016131359011094888	True
GC	12	618	h5_accession	6	0.2825006767624635	0.0005103005768691697	0.0005467506180741104	True
GC	10	1046	h5_accession	6	0.2401848507293759	0.002645265581703411	0.002645265581703411	False
