gene_id	gmm	hdbscan	spectral	consensus
ENSMUSG00000029422	16	0	8	7
ENSMUSG00000076126	1	0	5	0
ENSMUSG00000049036	1	0	5	0
ENSMUSG00000029577	13	0	22	3
ENSMUSG00000040746	16	0	22	3
ENSMUSG00000020590	17	0	13	3
ENSMUSG00000030263	11	0	0	6
ENSMUSG00000038914	17	0	13	3
ENSMUSG00000026878	17	0	13	3
ENSMUSG00000093241	1	0	5	0
ENSMUSG00000030098	15	0	11	13
ENSMUSG00000078908	10	0	1	5
ENSMUSG00000025056	1	0	5	0
ENSMUSG00000090129	9	0	4	2
ENSMUSG00000026407	7	0	3	2
ENSMUSG00000034239	1	0	5	0
ENSMUSG00000020818	19	0	7	4
ENSMUSG00000060038	14	0	7	4
ENSMUSG00000020029	3	0	10	9
ENSMUSG00000085958	2	0	24	8
ENSMUSG00000024292	3	0	10	9
ENSMUSG00000111356	4	0	21	1
ENSMUSG00000016831	16	0	8	7
ENSMUSG00000024791	4	0	6	1
ENSMUSG00000028398	0	0	2	11
ENSMUSG00000113338	1	0	5	0
ENSMUSG00000022586	4	0	21	1
ENSMUSG00000091034	1	0	5	0
ENSMUSG00000056204	13	0	22	3
ENSMUSG00000065472	1	0	5	0
ENSMUSG00000056197	1	0	5	0
ENSMUSG00000031986	19	0	7	4
ENSMUSG00000086259	4	0	14	1
ENSMUSG00000000244	5	0	24	8
ENSMUSG00000027519	16	0	8	7
ENSMUSG00000061086	7	0	18	2
ENSMUSG00000056290	6	0	23	10
ENSMUSG00000068206	8	0	1	12
ENSMUSG00000077815	4	0	21	1
ENSMUSG00000021208	15	0	23	13
ENSMUSG00000088054	4	0	21	1
ENSMUSG00000024998	0	0	8	11
ENSMUSG00000047248	19	0	17	4
ENSMUSG00000027981	19	0	17	4
ENSMUSG00000039683	9	0	18	2
ENSMUSG00000047117	4	0	14	1
ENSMUSG00000030278	15	0	23	13
ENSMUSG00000037419	14	0	23	10
ENSMUSG00000099616	1	0	5	0
ENSMUSG00000022208	4	0	6	1
ENSMUSG00000055197	1	0	5	0
ENSMUSG00000059632	1	0	5	0
ENSMUSG00000064823	4	0	6	1
ENSMUSG00000095629	4	0	21	1
ENSMUSG00000034829	4	0	14	1
ENSMUSG00000029380	14	0	7	4
ENSMUSG00000073001	1	0	5	0
ENSMUSG00000031073	1	0	5	0
ENSMUSG00000028047	7	0	18	2
ENSMUSG00000039196	12	0	11	9
ENSMUSG00000032673	0	0	17	11
ENSMUSG00000096584	1	0	5	0
ENSMUSG00000022773	2	0	24	8
ENSMUSG00000078597	15	0	23	13
ENSMUSG00000021494	10	0	2	5
ENSMUSG00000050248	5	0	0	6
ENSMUSG00000003752	8	0	15	12
ENSMUSG00000037353	10	0	2	5
ENSMUSG00000022096	7	0	18	2
ENSMUSG00000091311	1	0	5	0
ENSMUSG00000096436	9	0	4	2
ENSMUSG00000021661	19	0	7	4
ENSMUSG00000039620	6	0	23	10
ENSMUSG00000033765	1	0	5	0
ENSMUSG00000032584	7	0	18	2
ENSMUSG00000072884	2	0	24	8
ENSMUSG00000066896	4	0	14	1
ENSMUSG00000094606	1	0	5	0
ENSMUSG00000032783	4	0	21	1
ENSMUSG00000029093	4	0	6	1
ENSMUSG00000030254	6	0	23	10
ENSMUSG00000077991	1	0	5	0
ENSMUSG00000021090	4	0	21	1
ENSMUSG00000094687	1	0	5	0
ENSMUSG00000055013	10	0	2	5
ENSMUSG00000038204	4	0	14	1
ENSMUSG00000020629	17	0	13	3
ENSMUSG00000030881	10	0	1	5
ENSMUSG00000030662	17	0	13	3
ENSMUSG00000020570	16	0	8	7
ENSMUSG00000024401	4	0	6	1
ENSMUSG00000108885	1	0	5	0
ENSMUSG00000029015	4	0	12	1
ENSMUSG00000045179	1	0	5	0
ENSMUSG00000063779	1	0	5	0
ENSMUSG00000070531	1	0	5	0
ENSMUSG00000074183	2	0	24	8
ENSMUSG00000042849	4	0	6	1
ENSMUSG00000069939	15	0	18	13
ENSMUSG00000025873	13	0	22	3
ENSMUSG00000034456	12	0	11	9
ENSMUSG00000070817	2	0	24	8
ENSMUSG00000024294	3	0	13	9
ENSMUSG00000066463	1	0	5	0
ENSMUSG00000035376	16	0	8	7
ENSMUSG00000044252	3	0	13	9
ENSMUSG00000055917	0	0	17	11
ENSMUSG00000071815	1	0	5	0
ENSMUSG00000068882	16	0	8	7
ENSMUSG00000022685	0	0	17	11
ENSMUSG00000036292	16	0	8	7
ENSMUSG00000041202	9	0	4	2
ENSMUSG00000116360	1	0	5	0
ENSMUSG00000024528	14	0	7	4
ENSMUSG00000029861	1	0	5	0
ENSMUSG00000077221	4	0	14	1
ENSMUSG00000070469	7	0	4	2
ENSMUSG00000115791	4	0	6	1
ENSMUSG00000097665	4	0	6	1
ENSMUSG00000046650	9	0	4	2
ENSMUSG00000046667	19	0	17	4
ENSMUSG00000106902	1	0	5	0
ENSMUSG00000037169	9	0	18	2
ENSMUSG00000049565	4	0	4	1
ENSMUSG00000033862	10	0	2	5
ENSMUSG00000033774	4	0	6	1
ENSMUSG00000084592	4	0	4	1
ENSMUSG00000077998	1	0	5	0
ENSMUSG00000021278	4	0	14	1
ENSMUSG00000027971	9	0	18	2
ENSMUSG00000024758	17	0	13	3
ENSMUSG00000044921	2	0	24	8
ENSMUSG00000054387	16	0	8	7
ENSMUSG00000062822	0	0	17	11
ENSMUSG00000028013	16	0	8	7
ENSMUSG00000042846	9	0	4	2
ENSMUSG00000025403	3	0	10	9
ENSMUSG00000031831	4	0	21	1
ENSMUSG00000087045	1	0	5	0
ENSMUSG00000030739	10	0	1	5
ENSMUSG00000037235	13	0	22	3
ENSMUSG00000021559	17	0	13	3
ENSMUSG00000049252	1	0	5	0
ENSMUSG00000035805	1	0	5	0
ENSMUSG00000050870	1	0	5	0
ENSMUSG00000022931	1	0	5	0
ENSMUSG00000067360	1	0	5	0
ENSMUSG00000035262	4	0	14	1
ENSMUSG00000087223	9	0	18	2
ENSMUSG00000046791	11	0	15	6
ENSMUSG00000086745	1	0	5	0
ENSMUSG00000055826	1	0	5	0
ENSMUSG00000022451	17	0	13	3
ENSMUSG00000092734	4	0	14	1
ENSMUSG00000026700	1	0	12	0
ENSMUSG00000041852	17	0	13	3
ENSMUSG00000075086	4	0	9	1
ENSMUSG00000024776	2	0	0	8
ENSMUSG00000056035	3	0	10	9
ENSMUSG00000020000	15	0	23	13
ENSMUSG00000037946	5	0	0	6
ENSMUSG00000001656	1	0	5	0
ENSMUSG00000053146	9	0	4	2
ENSMUSG00000073982	8	0	15	12
ENSMUSG00000024393	13	0	22	3
ENSMUSG00000025433	4	0	14	1
ENSMUSG00000086552	4	0	6	1
ENSMUSG00000070972	16	0	8	7
ENSMUSG00000036139	4	0	21	1
ENSMUSG00000073768	2	0	24	8
ENSMUSG00000003573	5	0	0	6
ENSMUSG00000115744	2	0	24	8
ENSMUSG00000019920	16	0	8	7
ENSMUSG00000094892	9	0	4	2
ENSMUSG00000027495	17	0	13	3
ENSMUSG00000045989	1	0	5	0
ENSMUSG00000087424	2	0	0	8
ENSMUSG00000050328	1	0	5	0
ENSMUSG00000022705	1	0	5	0
ENSMUSG00000034543	0	0	17	11
ENSMUSG00000094734	1	0	5	0
ENSMUSG00000071753	9	0	24	2
ENSMUSG00000020919	13	0	22	3
ENSMUSG00000036214	19	0	7	4
ENSMUSG00000079069	1	0	5	0
ENSMUSG00000103116	1	0	5	0
ENSMUSG00000097368	2	0	24	8
ENSMUSG00000039230	18	0	2	5
ENSMUSG00000035713	5	0	0	6
ENSMUSG00000059995	10	0	2	5
ENSMUSG00000033831	12	0	20	9
ENSMUSG00000029730	10	0	1	5
ENSMUSG00000019841	16	0	8	7
ENSMUSG00000040543	4	0	6	1
ENSMUSG00000091537	15	0	8	13
ENSMUSG00000026420	1	0	5	0
ENSMUSG00000027550	14	0	7	4
ENSMUSG00000073971	4	0	14	1
ENSMUSG00000028607	3	0	22	9
ENSMUSG00000039210	0	0	2	11
ENSMUSG00000032231	10	0	2	5
ENSMUSG00000078593	1	0	5	0
ENSMUSG00000028165	16	0	8	7
ENSMUSG00000075273	19	0	7	4
ENSMUSG00000049618	1	0	5	0
ENSMUSG00000002496	13	0	22	3
ENSMUSG00000055692	7	0	18	2
ENSMUSG00000031160	1	0	5	0
ENSMUSG00000030983	17	0	22	3
ENSMUSG00000078640	1	0	5	0
ENSMUSG00000046675	14	0	7	4
ENSMUSG00000051811	4	0	6	1
ENSMUSG00000028651	8	0	1	12
ENSMUSG00000024425	3	0	13	9
ENSMUSG00000046613	4	0	14	1
ENSMUSG00000070501	2	0	24	8
ENSMUSG00000049612	2	0	24	8
ENSMUSG00000091996	9	0	4	2
ENSMUSG00000078038	1	0	5	0
ENSMUSG00000042216	14	0	23	10
ENSMUSG00000069036	1	0	5	0
ENSMUSG00000079407	4	0	21	1
ENSMUSG00000021823	16	0	8	7
ENSMUSG00000033808	0	0	17	11
ENSMUSG00000051098	19	0	7	4
ENSMUSG00000061633	1	0	5	0
ENSMUSG00000056870	2	0	24	8
ENSMUSG00000030093	1	0	5	0
ENSMUSG00000000194	0	0	2	11
ENSMUSG00000043207	17	0	13	3
ENSMUSG00000005667	5	0	18	6
ENSMUSG00000073830	15	0	10	13
ENSMUSG00000039703	17	0	22	3
ENSMUSG00000031068	17	0	13	3
ENSMUSG00000051154	17	0	13	3
ENSMUSG00000025487	13	0	22	3
ENSMUSG00000005354	3	0	22	9
ENSMUSG00000025892	9	0	18	2
ENSMUSG00000074071	0	0	8	11
ENSMUSG00000057182	9	0	24	2
ENSMUSG00000020390	17	0	13	3
ENSMUSG00000031131	4	0	12	1
ENSMUSG00000094612	1	0	5	0
ENSMUSG00000031283	2	0	24	8
ENSMUSG00000109219	1	0	5	0
ENSMUSG00000038429	13	0	22	3
ENSMUSG00000034810	2	0	24	8
ENSMUSG00000018733	19	0	17	4
ENSMUSG00000022037	12	0	11	9
ENSMUSG00000085260	1	0	5	0
ENSMUSG00000029610	8	0	15	12
