flt_cluster	gene_count	gc_clusters_spanned	top_gc_cluster	top_gc_overlap	top_gc_overlap_fraction	gc_cluster_entropy
0	4218	2	0	4217	0.9997629208155524	0.003196981363367553
1	2339	4	3	2168	0.926891834117144	0.4021052585469954
2	2036	3	1	1772	0.8703339882121808	0.6212843363404463
3	1846	7	5	911	0.4934994582881907	1.742281410204353
4	1823	7	7	1291	0.7081733406472847	1.5164872179925422
5	1353	7	6	1025	0.7575757575757576	1.2520093825358773
6	1265	4	2	946	0.7478260869565218	1.0463852009251828
7	1121	6	5	578	0.5156110615521855	1.287652201073232
8	1100	2	1	837	0.7609090909090909	0.7935252217861009
9	1052	4	8	1007	0.9572243346007605	0.3030287177163639
10	869	6	2	804	0.9252013808975834	0.5536704886211219
11	868	5	4	789	0.9089861751152074	0.5766248074829338
12	648	5	10	335	0.5169753086419753	1.461358730791501
13	462	8	2	297	0.6428571428571429	1.4598864119665735
14	7	2	2	6	0.8571428571428571	0.5916727785823275
15	3	2	2	2	0.6666666666666666	0.9182958340544896
