flt_cluster	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14
0	4217	0	0	1	0	0	0	0	0	0	0	0	0	0	0
1	7	162	2	2168	0	0	0	0	0	0	0	0	0	0	0
2	0	1772	235	29	0	0	0	0	0	0	0	0	0	0	0
3	0	0	0	0	0	911	14	0	199	609	0	57	55	0	1
4	0	0	110	0	129	0	177	1291	0	0	72	41	0	3	0
5	0	0	15	0	125	1	1025	21	0	32	0	134	0	0	0
6	0	83	946	0	0	0	0	0	0	0	232	4	0	0	0
7	0	0	0	0	492	578	24	0	0	20	0	5	0	0	2
8	0	837	263	0	0	0	0	0	0	0	0	0	0	0	0
9	0	0	0	0	0	24	0	0	1007	0	0	1	20	0	0
10	0	8	804	0	0	0	0	16	0	0	13	11	0	17	0
11	0	0	1	0	789	0	16	44	0	0	0	18	0	0	0
12	0	0	6	0	0	0	250	13	0	0	335	44	0	0	0
13	0	2	297	0	4	0	0	12	3	0	2	115	27	0	0
14	0	0	6	0	0	0	0	0	0	0	0	1	0	0	0
15	0	0	2	0	0	0	0	0	0	0	1	0	0	0	0
