gc_cluster	gene_count	flt_clusters_spanned	top_flt_cluster	top_flt_overlap	top_flt_overlap_fraction	flt_cluster_entropy
0	4224	2	0	4217	0.998342803030303	0.017696441083474953
1	2864	6	2	1772	0.6187150837988827	1.3606915583769539
2	2687	12	6	946	0.35206550055824337	2.32748705862876
3	2198	3	1	2168	0.986351228389445	0.10698906016038065
4	1539	5	11	789	0.5126705653021443	1.6364253501294541
5	1514	4	3	911	0.6017173051519155	1.073088034499359
6	1506	6	5	1025	0.6806108897742363	1.3984730389289302
7	1397	6	4	1291	0.9241231209735147	0.5489568674893012
8	1209	3	9	1007	0.8329197684036393	0.6696050712067896
9	661	3	3	609	0.9213313161875946	0.47308997375776174
10	655	6	12	335	0.5114503816793893	1.5272935423791678
11	431	11	5	134	0.3109048723897912	2.581802295975116
12	102	3	3	55	0.5392156862745098	1.448941923343876
13	20	2	10	17	0.85	0.6098403047164004
14	3	2	7	2	0.6666666666666666	0.9182958340544896
