gene_id	flt_cluster	gc_cluster	procrustes_latent_shift
ENSMUSG00000029422	7	5	1.7158189133757709
ENSMUSG00000076126	0	0	0.43841443149948217
ENSMUSG00000049036	0	0	0.43841443149948217
ENSMUSG00000029577	3	9	2.1711140444468793
ENSMUSG00000040746	3	9	1.5195680273046692
ENSMUSG00000020590	3	5	0.8778549253618773
ENSMUSG00000030263	6	2	1.595940603684719
ENSMUSG00000038914	3	5	1.1558871394213954
ENSMUSG00000026878	3	8	0.6762994750108577
ENSMUSG00000093241	0	0	0.43841443149948217
ENSMUSG00000030098	13	12	2.182179268823357
ENSMUSG00000078908	5	6	1.4636316017157498
ENSMUSG00000025056	0	0	0.43841443149948217
ENSMUSG00000090129	2	1	1.2321372763006238
ENSMUSG00000026407	2	2	2.186028191862812
ENSMUSG00000034239	0	0	0.43841443149948217
ENSMUSG00000020818	4	7	1.3779086482556322
ENSMUSG00000060038	4	7	2.049106845677082
ENSMUSG00000020029	9	8	0.7126224782111199
ENSMUSG00000085958	8	1	0.9697844539401351
ENSMUSG00000024292	9	8	0.8050014517868415
ENSMUSG00000111356	1	3	0.48184614500475986
ENSMUSG00000016831	7	5	1.4359083636335221
ENSMUSG00000024791	1	1	0.852381637720621
ENSMUSG00000028398	11	4	1.0934787522096647
ENSMUSG00000113338	0	0	0.43841443149948217
ENSMUSG00000022586	1	3	0.39789152117330423
ENSMUSG00000091034	0	0	0.43841443149948217
ENSMUSG00000056204	3	9	1.491588948725466
ENSMUSG00000065472	0	0	0.43841443149948217
ENSMUSG00000056197	0	0	0.43841443149948217
ENSMUSG00000031986	4	7	1.5705596340573746
ENSMUSG00000086259	1	3	0.3178959005947939
ENSMUSG00000000244	8	1	1.8834027138777136
ENSMUSG00000027519	7	5	0.6538052986461538
ENSMUSG00000061086	2	1	1.8109332854052145
ENSMUSG00000056290	10	2	1.8320769562682842
ENSMUSG00000068206	12	6	1.3911910932652356
ENSMUSG00000077815	1	3	0.8597078428283818
ENSMUSG00000021208	13	2	4.372389703589911
ENSMUSG00000088054	1	3	0.44913247521214666
ENSMUSG00000024998	11	4	1.0319090992979574
ENSMUSG00000047248	4	4	1.3978237417908608
ENSMUSG00000027981	4	7	1.5443202374042273
ENSMUSG00000039683	2	1	0.866795501019161
ENSMUSG00000047117	1	3	0.42425913864600945
ENSMUSG00000030278	13	2	2.1933954330614336
ENSMUSG00000037419	10	2	2.2871695471838835
ENSMUSG00000099616	0	0	0.43841443149948217
ENSMUSG00000022208	1	3	0.4200890858796657
ENSMUSG00000055197	0	0	0.43841443149948217
ENSMUSG00000059632	0	0	0.43841443149948217
ENSMUSG00000064823	1	3	0.6721080781099656
ENSMUSG00000095629	1	3	0.8789631762499105
ENSMUSG00000034829	1	3	0.7243615161639686
ENSMUSG00000029380	4	7	1.6821836810259463
ENSMUSG00000073001	0	0	0.43841443149948217
ENSMUSG00000031073	0	0	0.43841443149948217
ENSMUSG00000028047	2	1	1.5508687836190478
ENSMUSG00000039196	9	8	3.336079322797589
ENSMUSG00000032673	11	7	1.3066633738273512
ENSMUSG00000096584	0	0	0.43841443149948217
ENSMUSG00000022773	8	1	1.5216733721544626
ENSMUSG00000078597	13	2	2.7216223795316736
ENSMUSG00000021494	5	6	1.5553574545681665
ENSMUSG00000050248	6	2	1.7296264038684521
ENSMUSG00000003752	12	10	1.2552413513158582
ENSMUSG00000037353	5	4	0.9581401105182842
ENSMUSG00000022096	2	1	2.200506910244095
ENSMUSG00000091311	0	0	0.43841443149948217
ENSMUSG00000096436	2	1	1.2344370140265142
ENSMUSG00000021661	4	7	1.280627935688603
ENSMUSG00000039620	10	2	1.5547225033063776
ENSMUSG00000033765	0	0	0.43841443149948217
ENSMUSG00000032584	2	2	1.6935015040586843
ENSMUSG00000072884	8	1	1.1181201808553651
ENSMUSG00000066896	1	3	0.8410516342122188
ENSMUSG00000094606	0	0	0.43841443149948217
ENSMUSG00000032783	1	3	0.5303975196777047
ENSMUSG00000029093	1	3	0.6455968834957966
ENSMUSG00000030254	10	2	1.3774837608090755
ENSMUSG00000077991	0	0	0.43841443149948217
ENSMUSG00000021090	1	3	0.6831784254313066
ENSMUSG00000094687	0	0	0.43841443149948217
ENSMUSG00000055013	5	6	1.171325184543562
ENSMUSG00000038204	1	3	0.42285507499742603
ENSMUSG00000020629	3	5	1.0037982904030658
ENSMUSG00000030881	5	6	1.417774336040819
ENSMUSG00000030662	3	5	1.1539942600114264
ENSMUSG00000020570	7	5	0.860622768076655
ENSMUSG00000024401	1	3	0.8787293986806884
ENSMUSG00000108885	0	0	0.43841443149948217
ENSMUSG00000029015	1	3	0.4516572679977173
ENSMUSG00000045179	0	0	0.43841443149948217
ENSMUSG00000063779	0	0	0.43841443149948217
ENSMUSG00000070531	0	0	0.43841443149948217
ENSMUSG00000074183	8	1	0.8666607669302976
ENSMUSG00000042849	1	3	0.732936566852621
ENSMUSG00000069939	13	2	2.677056022022036
ENSMUSG00000025873	3	5	0.997549382652828
ENSMUSG00000034456	9	8	2.6243390791973873
ENSMUSG00000070817	8	1	1.614305467383232
ENSMUSG00000024294	9	8	0.8521651711898957
ENSMUSG00000066463	0	0	0.43841443149948217
ENSMUSG00000035376	7	4	1.284014316584564
ENSMUSG00000044252	9	8	0.43661119593715636
ENSMUSG00000055917	11	7	0.8642283232996023
ENSMUSG00000071815	0	0	0.43841443149948217
ENSMUSG00000068882	7	5	1.2851250332488666
ENSMUSG00000022685	11	4	1.3808770696662562
ENSMUSG00000036292	7	4	1.0038179487900882
ENSMUSG00000041202	2	1	1.1226124150309045
ENSMUSG00000116360	0	0	0.43841443149948217
ENSMUSG00000024528	4	7	1.502949251670543
ENSMUSG00000029861	0	0	0.43841443149948217
ENSMUSG00000077221	1	3	0.2668002453989604
ENSMUSG00000070469	2	1	0.9840957401517008
ENSMUSG00000115791	1	1	0.5610014471119172
ENSMUSG00000097665	1	3	0.45089922589297726
ENSMUSG00000046650	2	1	1.075755093225234
ENSMUSG00000046667	4	7	1.429426174660309
ENSMUSG00000106902	0	0	0.43841443149948217
ENSMUSG00000037169	2	1	2.107680074597942
ENSMUSG00000049565	1	3	1.0491175541239204
ENSMUSG00000033862	5	6	1.2508026159395165
ENSMUSG00000033774	1	1	0.8110497496549107
ENSMUSG00000084592	1	3	1.5460846364462946
