gc_cluster	eligible_genes	significant_genes	significant_fraction	fisher_odds_ratio	fisher_p_value	mean_meta_log2fc_sig	mean_abs_meta_log2fc_sig	mean_latent_shift_sig	top_significant_genes	fisher_fdr_bh
2	2671	29	0.010857356795207787	5.069590137341841	5.036214690558333e-09	2.4315308507005757	2.609689275968656	2.696268110973931	Tnnc2,Mb,Acta1,Myot,Myl1,Tnnt3,Tcap,Tg,Xirp2,Myh4	3.77716101791875e-08
3	1054	20	0.018975332068311195	7.601024622301218	3.4789346849789065e-10	0.7051017664103674	1.5752044049176726	0.8770973954061925	Tmem182,Mucl1,Asb11,Ucp3,Trpm5,Tbx15,4931429L15Rik,Cdk3,1700027J07Rik,Il6	5.218402027468359e-09
0	6	2	0.3333333333333333	141.54545454545453	0.00019414650932423984	0.0065097142409650255	1.5466996012008751	0.4384144314994821	Barx2,Ptgs2	0.0009707325466211991
8	1209	2	0.0016542597187758478	0.4328387436920991	0.9415640037401336	1.397923843085155	1.397923843085155	1.5877146523295234	Apoa4,Cyp4a14	1.0
11	431	2	0.004640371229698376	1.2837465564738293	0.4688113519079508	-1.40419535690725	1.40419535690725	3.0704408434645156	Mup15,Mup17	1.0
1	2863	1	0.00034928396786587494	0.0793151642208246	0.9999904106685077	1.04279578603076	1.04279578603076	1.2449380209371548	Olfr827	1.0
7	1397	1	0.0007158196134574087	0.18136000818665576	0.9952353811407998	1.254711186866	1.254711186866	1.422970877162788	Sult1e1	1.0
4	1539	0	0.0	0.0	1.0	NA	NA	NA		1.0
5	1514	0	0.0	0.0	1.0	NA	NA	NA		1.0
6	1506	0	0.0	0.0	1.0	NA	NA	NA		1.0
9	661	0	0.0	0.0	1.0	NA	NA	NA		1.0
10	655	0	0.0	0.0	1.0	NA	NA	NA		1.0
12	102	0	0.0	0.0	1.0	NA	NA	NA		1.0
13	20	0	0.0	0.0	1.0	NA	NA	NA		1.0
14	3	0	0.0	0.0	1.0	NA	NA	NA		1.0
