gene_id	gene_symbol	studies_tested	meta_log2_fold_change	meta_se	meta_z	meta_p_value	direction_up_studies	direction_down_studies	q_heterogeneity	i2_percent	heterogeneity_p_value	meta_fdr_bh	eligible_meta	significant_fdr05_abs_log2fc1	consistent_direction
ENSMUSG00000032098	Treh	6	1.62942245855826	0.123203461123272	13.2254600942414	6.25532819873032e-40	6	0	53.4182694260226	90.6399064332768	2.75980297927243e-10	1.03344277171224e-35	TRUE	TRUE	all_up
ENSMUSG00000032080	Apoa4	6	1.41389148390648	0.11176777091954	12.6502610929256	1.1150365182397e-36	6	0	98.1758855121121	94.9070996671753	1.28057617538203e-19	9.21075915891901e-33	TRUE	TRUE	all_up
ENSMUSG00000053469	Tg	2	3.37804442619013	0.317761246796688	10.6307627511025	2.14352131835987e-26	2	0	14.1330433050984	92.9243831041029	0.000170325417681641	1.18043719002078e-22	TRUE	TRUE	all_up
ENSMUSG00000028715	Cyp4a14	6	1.14439665634251	0.124754059357126	9.1732217952645	4.59088593033275e-20	4	2	169.020757769103	97.0417834673121	1.18038320213029e-34	1.89615066137569e-16	TRUE	TRUE	mixed
ENSMUSG00000045868	Gvin1	5	-0.836807195457981	0.0968025998637292	-8.64447025840184	5.40554920778017e-18	0	5	23.9155112926502	83.2744533409608	8.30505461443678e-05	1.78610156923472e-14	TRUE	FALSE	all_down
ENSMUSG00000078921	Tgtp2	6	-0.533424618756591	0.0659730625268374	-8.08549123423817	6.19141315755775e-16	1	5	42.2936268427164	88.1778878444399	5.13704721455748e-08	1.70480561293353e-12	TRUE	FALSE	mixed
ENSMUSG00000060586	H2-Eb1	6	-0.587910184147925	0.0735655440020542	-7.99165141946764	1.33143054429617e-15	0	6	47.8055059476427	89.5409537021194	3.89188826316844e-09	3.14236628890244e-12	TRUE	FALSE	all_down
ENSMUSG00000040998	Npnt	6	0.998971345618279	0.12745050823833	7.83811190262356	4.57371342531628e-15	4	2	28.7454400895914	82.6059368567104	2.60118943143567e-05	9.44528993745628e-12	TRUE	FALSE	mixed
ENSMUSG00000022540	Rogdi	6	0.382979247551343	0.0495715852691643	7.72578172499101	1.11168981133391e-14	4	2	79.8792983780926	93.7405559368668	8.89420472035337e-16	2.04069193033861e-11	TRUE	FALSE	mixed
ENSMUSG00000070348	Ccnd1	6	-0.612795348988423	0.0806753384061446	-7.59582000020157	3.0584942359768e-14	2	4	39.5160273434035	87.3469062146636	1.86946936507052e-07	5.05293832725728e-11	TRUE	FALSE	mixed
ENSMUSG00000044748	Defb1	6	0.908416824272052	0.121301003691641	7.4889473015519	6.94282081200273e-14	5	1	37.0511389600896	86.5051381945752	5.84974600097557e-07	1.04274856940997e-10	TRUE	FALSE	mixed
ENSMUSG00000029272	Sult1e1	6	1.20040313269196	0.161975029211507	7.41103822320954	1.25314456312401e-13	4	2	116.460876696426	95.7067127246231	1.7622573580979e-23	1.72526677728097e-10	TRUE	TRUE	mixed
ENSMUSG00000027993	Trim2	6	0.546918898187019	0.0760300039403929	7.19346139473833	6.31690197954699e-13	4	2	41.8108956947919	88.0413946725785	6.43288561010641e-08	8.02781058493045e-10	TRUE	FALSE	mixed
ENSMUSG00000024411	Aqp4	6	0.760027686641974	0.106369925220579	7.14513698365311	8.99061865256986e-13	5	1	57.2595079265258	91.26782576194	4.47090245492689e-11	1.0609572197079e-09	TRUE	FALSE	mixed
ENSMUSG00000030994	D7Ertd443e	5	-0.763998143640539	0.107282156066147	-7.12139065483996	1.06843481194843e-12	1	4	41.1949852821246	90.2900802789322	2.44920952443873e-08	1.17677410188e-09	TRUE	FALSE	mixed
ENSMUSG00000024610	Cd74	6	-0.534612003810367	0.0759774166493349	-7.03645935051738	1.97186141650163e-12	0	6	54.6981680905245	90.8589260398537	1.50597030761975e-10	2.03607015387647e-09	TRUE	FALSE	all_down
ENSMUSG00000024843	Chka	6	0.699943347893876	0.0996595794222612	7.02334238165095	2.16622498801913e-12	3	3	68.6556204451857	92.7172750496196	1.95114533074341e-13	2.10518841335671e-09	TRUE	FALSE	mixed
ENSMUSG00000036594	H2-Aa	6	-0.507292732019512	0.0727924485511811	-6.9690296468435	3.1913445146772e-12	0	6	39.1831355918596	87.2394081676333	2.18155569180349e-07	2.92912237372122e-09	TRUE	FALSE	all_down
ENSMUSG00000087579	Hectd2os	6	-0.66091894422276	0.0952438809845696	-6.93922735393191	3.94250210449838e-12	1	5	118.852002631824	95.7930872940451	5.49363109499003e-24	3.42810932991672e-09	TRUE	FALSE	mixed
ENSMUSG00000070332	Trim80	4	1.20012017685032	0.173675602180996	6.91012532433667	4.84225728407738e-12	4	0	25.829573942249	88.3854065626187	1.03540202419203e-05	3.99994662951212e-09	TRUE	TRUE	all_up
ENSMUSG00000032725	Folr2	6	-0.537426078382131	0.0780602105552023	-6.88476337124502	5.78836700434608e-12	0	6	24.6114769417309	79.6842748940351	0.00016557942606701	4.55379101327626e-09	TRUE	FALSE	all_down
ENSMUSG00000078680	Mup10	6	-0.696756027079031	0.102986552693373	-6.76550490192167	1.3284509730386e-11	1	5	16.1915915987962	69.1197744860874	0.00631783571229993	9.9760629661685e-09	TRUE	FALSE	mixed
ENSMUSG00000037600	Kdf1	6	0.518061313923101	0.0778284459149995	6.65645199300141	2.80516700364829e-11	4	2	37.1361340151595	86.5360244608151	5.62464458132541e-07	2.01496365509885e-08	TRUE	FALSE	mixed
ENSMUSG00000096674	Mup15	5	-1.71908942561439	0.261128483326381	-6.58330873643425	4.60092350876713e-11	0	5	25.4014774451227	84.2528844684661	4.17718049051995e-05	3.1336425283386e-08	TRUE	TRUE	all_down
