sample	strain	sex	condition	location	project_identifier	h5_accession	data_source	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10	PC11	PC12	PC13	PC14	PC15	PC16	PC17	PC18	PC19	PC20
OSD-379_RR8_LVR_FLT_ISS-T_OLD_FI11	BALB/cAnNTac	Female	FLT	FLT	RRRM-1 (RR-8)	OSD-379	OSD-379	-8.177594	39.501034	-29.137867	-1.1436014	13.247127	-21.554523	-1.82226	4.2972417	0.003167001	-5.9414887	15.159329	-6.496377	22.64076	-33.49208	1.8965313	-17.624321	19.639511	-4.5082645	9.956478	8.424571
OSD-379_RR8_LVR_FLT_ISS-T_OLD_FI12	BALB/cAnNTac	Female	FLT	FLT	RRRM-1 (RR-8)	OSD-379	OSD-379	-19.648252	58.02159	-46.534466	29.110374	-11.924487	28.872427	16.212835	-8.442828	-12.351371	-5.856727	7.7149477	-2.6772134	2.3992186	3.5214643	-16.59644	-23.292097	18.684713	-7.5588694	7.4250546	-2.2507155
OSD-379_RR8_LVR_FLT_ISS-T_OLD_FI13	BALB/cAnNTac	Female	FLT	FLT	RRRM-1 (RR-8)	OSD-379	OSD-379	6.6329775	30.00903	-67.75808	35.410545	-5.9087024	24.174011	7.131097	-18.901304	-6.59676	0.18313919	5.458556	-8.315836	16.979996	18.741093	-15.280412	-23.745085	21.121445	5.663097	-7.151364	3.832345
OSD-379_RR8_LVR_FLT_ISS-T_OLD_FI14	BALB/cAnNTac	Female	FLT	FLT	RRRM-1 (RR-8)	OSD-379	OSD-379	-42.02395	21.70041	-62.61878	23.17154	-12.723091	1.6011912	-3.8892126	-11.1556835	-2.1128266	7.477268	-6.309286	-1.0511177	-1.7419324	-5.6399975	-26.380754	-11.886454	27.858831	8.971056	-1.192703	0.6845035
OSD-379_RR8_LVR_FLT_ISS-T_OLD_FI15	BALB/cAnNTac	Female	FLT	FLT	RRRM-1 (RR-8)	OSD-379	OSD-379	-46.359657	-37.69386	-61.5842	36.012875	7.1977563	-15.400014	-9.966726	-3.9078457	1.8130654	46.624126	-21.27779	-22.544825	3.018522	24.899134	-1.5933743	-6.1195254	-5.847002	6.087837	-8.314909	7.806664
OSD-379_RR8_LVR_FLT_ISS-T_OLD_FI16	BALB/cAnNTac	Female	FLT	FLT	RRRM-1 (RR-8)	OSD-379	OSD-379	-0.005096533	103.396866	22.321716	35.347534	71.07996	40.284054	-22.910217	9.712601	14.72523	-35.385387	-10.649919	-23.627127	14.95148	-11.156344	0.81482494	-3.0550168	10.244864	4.065052	8.831971	13.200525
OSD-379_RR8_LVR_FLT_ISS-T_OLD_FI17	BALB/cAnNTac	Female	FLT	FLT	RRRM-1 (RR-8)	OSD-379	OSD-379	17.71495	124.56708	62.325897	69.87516	136.41234	60.677124	-56.59247	6.6231666	35.535763	1.9975568	4.461296	33.664337	25.521948	-8.375555	13.199867	3.3127646	1.0526115	23.283068	-13.627979	35.14624
OSD-379_RR8_LVR_FLT_ISS-T_OLD_FI18	BALB/cAnNTac	Female	FLT	FLT	RRRM-1 (RR-8)	OSD-379	OSD-379	3.8163629	49.600266	-47.644	13.880241	-7.312576	7.6352806	15.457829	-1.6205094	-5.338061	-9.533	9.79264	2.5384836	4.942298	-14.995945	-10.1175	-15.168144	13.869818	-15.359406	4.849935	-0.8086104
OSD-379_RR8_LVR_FLT_ISS-T_OLD_FI19	BALB/cAnNTac	Female	FLT	FLT	RRRM-1 (RR-8)	OSD-379	OSD-379	13.513573	1.9818391	-52.36313	33.763546	-6.289382	12.055675	21.763708	-6.0470166	11.341974	-8.580419	2.7692573	2.0097432	32.167362	21.880177	-21.82932	-7.6680923	6.2081075	-1.2129318	-35.176403	5.0307016
OSD-379_RR8_LVR_FLT_ISS-T_OLD_FI20	BALB/cAnNTac	Female	FLT	FLT	RRRM-1 (RR-8)	OSD-379	OSD-379	-42.14915	38.707104	-40.83979	0.72008485	-17.01309	-4.096989	-18.908821	13.7786255	12.766538	-0.97345936	-17.127169	6.413767	17.968685	-0.028509729	6.1174197	7.0361075	10.785004	-9.119935	-2.9115603	1.7683973
