sample	strain	sex	condition	location	project_identifier	h5_accession	data_source	z_0	z_1	z_2	z_3	z_4	z_5	z_6	z_7	z_8	z_9	z_10	z_11	z_12	z_13	z_14	z_15	z_16	z_17	z_18	z_19	z_20	z_21	z_22	z_23	z_24	z_25	z_26	z_27	z_28	z_29	z_30	z_31	z_32	z_33	z_34	z_35	z_36	z_37	z_38	z_39	z_40	z_41	z_42	z_43	z_44	z_45	z_46	z_47	z_48	z_49	z_50	z_51	z_52	z_53	z_54	z_55	z_56	z_57	z_58	z_59	z_60	z_61	z_62	z_63
OSD-379_RR8_LVR_FLT_ISS-T_OLD_FI11	BALB/cAnNTac	Female	FLT	FLT	RRRM-1 (RR-8)	OSD-379	OSD-379	-4.4398	-1.7376	4.5041	2.4544	-2.2339	1.5454	3.0729	-0.3378	4.9768	0.1437	-1.668	-2.421	-3.3879	3.0607	-0.0884	5.9501	-1.6878	1.0629	-6.2688	-1.7553	0.2219	-2.8287	-1.9042	6.4756	2.0448	2.3848	-4.6994	4.4509	-2.8386	-2.0446	-1.0438	0.1895	4.88	-2.2274	3.3122	4.3142	2.4149	-3.8293	4.5547	-3.0732	0.6687	3.0711	0.127	-0.2121	2.1629	1.8217	-0.5371	-0.7669	0.65	-5.5068	-2.1965	4.1399	-2.454	-3.7817	1.4298	-0.4378	-5.9638	-2.058	0.9207	-2.4284	-0.9167	0.9778	3.2125	-5.5112
OSD-379_RR8_LVR_FLT_ISS-T_OLD_FI12	BALB/cAnNTac	Female	FLT	FLT	RRRM-1 (RR-8)	OSD-379	OSD-379	-3.3372	-1.2711	3.4975	1.3531	-1.9567	0.4607	1.5391	0.3358	3.1053	1.6455	-4.0792	-1.6248	-3.7745	3.3232	-0.4217	2.6451	-0.3346	0.547	-6.0373	-1.2375	-0.2208	-2.3449	-0.5888	3.5149	0.889	0.7239	-6.1472	3.6838	-1.4602	-1.3428	-3.148	-1.4314	2.8757	-3.2929	3.5758	3.5137	1.1584	-6.01	6.7203	-2.0168	-1.1035	4.137	0.2187	-0.3429	1.5422	3.7838	1.4362	-1.0046	0.7064	-4.6784	-3.2483	3.4693	-1.6748	-3.7215	3.2595	0.1699	-5.3059	-0.1681	1.0956	-1.0463	-0.0111	0.9868	1.7923	-5.2573
OSD-379_RR8_LVR_FLT_ISS-T_OLD_FI13	BALB/cAnNTac	Female	FLT	FLT	RRRM-1 (RR-8)	OSD-379	OSD-379	-3.7421	0.4543	4.2416	3.4454	-2.5355	0.3241	0.3207	-0.9072	3.0461	2.2229	-1.3882	-2.3243	-4.4076	3.7469	-0.9181	4.976	-4.9693	1.1293	-4.3729	-1.0256	0.1658	-2.4994	-1.5583	0.4279	2.2164	0.7828	-5.7165	4.2805	-2.5228	-1.3899	-2.2414	-0.8302	2.7296	-2.0059	3.6705	3.6279	2.6696	-4.7029	2.1389	-3.035	0.511	4.2058	0.7327	0.045	1.8995	3.9878	-1.8127	-1.8162	0.395	-3.8112	-1.2661	3.1157	-2.65	-3.5397	4.0189	-1.1304	-3.2203	-0.8421	1.0463	-2.2796	-1.4254	0.1196	3.3719	-6.4924
OSD-379_RR8_LVR_FLT_ISS-T_OLD_FI14	BALB/cAnNTac	Female	FLT	FLT	RRRM-1 (RR-8)	OSD-379	OSD-379	-3.6967	-1.9147	4.1881	2.9857	-1.7785	1.9529	2.1532	-0.2984	4.1717	1.2443	-3.0282	-1.3998	-4.1819	2.9989	-2.1972	5.5346	-1.0146	0.1295	-4.043	0.3091	1.0339	-3.8691	-1.3718	3.2584	1.8939	1.9904	-3.0076	3.0846	-3.4522	-0.6388	-0.9425	-0.5197	3.5421	-3.9467	3.4902	4.9484	1.9768	-1.9118	6.4275	-2.9476	0.1705	4.448	-1.6207	-0.5137	1.5687	1.5703	-0.6067	-1.0857	0.1955	-1.4721	-1.1379	3.8167	-2.6898	-3.7341	1.5413	2.4588	-3.9663	-2.5022	0.9938	-1.7084	-2.699	2.0677	2.2771	-5.1941
OSD-379_RR8_LVR_FLT_ISS-T_OLD_FI15	BALB/cAnNTac	Female	FLT	FLT	RRRM-1 (RR-8)	OSD-379	OSD-379	0.7058	2.5475	2.0466	-1.0293	-2.5094	1.9049	-3.0981	-0.0717	-0.2712	-0.8805	4.5408	-1.3192	2.9649	1.6996	-0.4488	-1.1527	0.2026	-3.9316	3.7596	1.3724	6.2393	2.8837	-2.8746	1.2864	5.2765	2.0498	3.7118	-1.3898	2.9423	-2.8607	1.8286	-1.4877	1.5594	3.9381	0.2432	0.4782	3.7644	1.8472	-2.1717	2.313	0.7027	0.1928	-1.8912	-0.7098	-2.1616	-2.1719	-4.4543	-0.5078	-0.9879	-1.6383	0.3115	0.6387	2.7788	1.5229	-1.5674	3.8037	-3.5399	-5.5331	3.6083	-0.2748	0.2066	4.6493	3.6904	2.033
OSD-379_RR8_LVR_FLT_ISS-T_OLD_FI16	BALB/cAnNTac	Female	FLT	FLT	RRRM-1 (RR-8)	OSD-379	OSD-379	0.2634	1.9745	-0.1399	-3.2888	-2.0028	0.7667	-3.7519	-1e-04	-1.8252	-2.3315	3.7062	0.5585	3.0773	0.83	1.6624	-3.0923	2.2109	-4.2416	1.5408	1.3639	4.6534	2.332	0.1175	-0.3731	4.2922	0.9881	4.9514	-2.7292	0.95	-2.2409	1.1531	-2.6959	-0.5726	4.9089	1.3028	-1.8663	0.5973	3.5004	-3.375	2.8259	0.607	-1.0292	-0.4148	-0.0767	-2.2349	-2.7672	-4.3494	1.4234	0.2252	-1.916	0.8914	-0.0079	3.7568	3.028	-1.595	2.4354	0.5273	-4.8514	3.7094	3.5305	0.537	1.1387	1.1826	3.8413
OSD-379_RR8_LVR_FLT_ISS-T_OLD_FI17	BALB/cAnNTac	Female	FLT	FLT	RRRM-1 (RR-8)	OSD-379	OSD-379	3.4946	2.0475	-2.1374	-4.1377	-1.388	1.3897	-4.2864	-1.5809	-3.7443	-1.9319	5.1499	0.0009	5.3585	-0.9252	1.9735	-4.0363	1.5944	-5.8558	4.2291	1.6685	5.8324	1.9565	-0.2111	-0.6251	5.6656	1.0325	6.714	-4.2447	2.9279	-2.6633	2.0838	-2.217	-1.8683	5.1092	1.8973	-3.4394	1.0359	3.6219	-3.3573	3.2446	-1.3291	-2.2426	-1.3901	-2.2545	-2.3949	-4.0416	-4.9456	1.108	-0.1618	-1.6972	1.8609	-0.3964	4.6636	4.0868	-3.7647	5.0034	0.5146	-5.539	3.9988	5.2933	1.578	4.5609	2.1797	4.9647
OSD-379_RR8_LVR_FLT_ISS-T_OLD_FI18	BALB/cAnNTac	Female	FLT	FLT	RRRM-1 (RR-8)	OSD-379	OSD-379	-5.4339	-3.5227	3.9775	3.6645	-1.4933	1.1041	2.9438	0.2812	6.4166	0.474	-2.8118	-1.3698	-4.9327	2.3323	-1.7492	6.6664	2.2229	2.8158	-5.3537	-1.3655	0.2102	-3.4496	-1.9808	4.8297	1.697	0.1148	-5.2101	5.8788	-2.6841	-1.4158	-2.1474	0.5594	5.5174	-3.4655	4.3346	4.3224	2.368	-4.5659	0.8085	-2.7771	0.6131	4.7139	-0.5084	0.6752	0.322	5.7074	-1.1006	-2.1809	-0.0173	-5.5931	-4.108	4.2811	-3.7216	-3.6692	3.5187	2.6226	-5.3864	-0.4971	0.085	-0.725	-1.4802	0.1731	1.5201	-5.359
OSD-379_RR8_LVR_FLT_ISS-T_OLD_FI19	BALB/cAnNTac	Female	FLT	FLT	RRRM-1 (RR-8)	OSD-379	OSD-379	-4.5867	-3.148	3.7595	2.2108	-1.9807	-0.3296	1.9869	-0.4059	5.0889	2.2923	-1.5183	-3.0169	-3.3127	2.1192	-0.6103	5.5501	-1.367	4.115	-5.6674	-0.6867	-0.9058	-4.1374	-2.2565	3.9981	2.0806	0.9692	-2.935	4.3494	-3.4018	-0.8435	-3.0914	0.754	2.6492	-3.0419	3.3641	5.0617	2.1239	-5.1693	8.5574	-3.7874	0.024	4.6738	-0.2466	0.6592	2.3577	4.7995	0.8913	-0.0272	-0.6306	-4.2049	-1.3572	3.6953	-3.6985	-3.4568	3.6782	0.1778	-1.4621	-1.0992	0.544	-2.1521	-2.3448	-0.3241	3.9636	-4.146
OSD-379_RR8_LVR_FLT_ISS-T_OLD_FI20	BALB/cAnNTac	Female	FLT	FLT	RRRM-1 (RR-8)	OSD-379	OSD-379	-4.4436	-1.9152	3.7711	1.9573	-1.3865	0.5976	3.039	-0.5718	3.8345	-1.1446	-1.9913	-0.3289	-0.9596	2.3393	0.2626	1.8025	-3.8143	1.7635	-4.8341	-0.272	-0.513	-4.5651	-2.1896	4.4605	2.3523	1.2791	-3.2905	3.453	-3.1215	-0.578	-0.2853	-0.3627	4.8137	-2.541	3.9251	4.2276	1.9473	-4.1762	7.3073	-2.917	0.9635	4.2385	-1.2634	0.9828	3.5327	1.3737	-1.086	-1.5082	0.3558	-2.2691	-2.5985	2.7805	-2.467	-3.0837	1.3901	1.45	-0.8037	-0.8991	0.0352	-2.2153	-1.1364	-0.1693	2.5401	-5.8025
OSD-379_RR8_LVR_FLT_ISS-T_YNG_FI1	BALB/cAnNTac	Female	FLT	FLT	RRRM-1 (RR-8)	OSD-379	OSD-379	-6.9742	-3.2814	5.3501	4.2014	-2.0869	-0.2823	6.0953	-0.7905	5.6102	1.5345	-5.7924	-2.5108	-11.576	3.5482	-2.0543	7.9852	-1.5	4.5659	-8.0846	-1.9602	-1.5883	-2.7328	0.5397	5.8438	0.8747	1.8746	-9.5613	6.4188	-2.229	-1.2443	-2.8797	0.246	6.8733	-2.6433	4.6258	5.6965	1.2748	-6.1334	5.4012	-4.8711	0.2191	5.4097	0.1428	1.4043	5.5019	6.5982	0.4509	-0.4641	-0.5202	-3.3648	0.9984	3.664	-4.226	-6.6047	5.599	1.5934	-0.546	1.7154	-0.9415	-4.0394	-3.8659	-2.2481	0.8362	-10.3073
OSD-379_RR8_LVR_FLT_ISS-T_YNG_FI10	BALB/cAnNTac	Female	FLT	FLT	RRRM-1 (RR-8)	OSD-379	OSD-379	-0.1726	1.8322	1.0542	-0.3785	-1.9455	1.0153	-3.2531	0.3097	-0.0583	-2.657	2.2678	-1.2996	0.4152	1.0155	-1.4698	-1.0398	0.6681	-2.6697	1.9149	1.222	3.4287	0.757	-1.0116	-0.4344	3.4706	0.8546	2.2207	-1.8598	1.3961	-2.25	0.4442	-1.8869	1.7894	1.8352	1.7497	0.0553	2.7152	1.5231	-0.3747	0.8296	0.6162	0.5564	-0.4358	-1.3118	-2.0439	-0.8357	-4.1068	0.3551	0.4198	-0.3871	0.6503	0.9768	1.4297	2.4615	-0.795	1.9397	-0.1478	-4.1299	3.2126	2.8481	0.0222	1.9072	1.3671	3.7014
OSD-379_RR8_LVR_FLT_ISS-T_YNG_FI2	BALB/cAnNTac	Female	FLT	FLT	RRRM-1 (RR-8)	OSD-379	OSD-379	-5.6159	-3.4466	4.816	2.1526	-2.328	1.8202	4.0343	-0.9592	7.3093	-1.0475	-3.5269	-3.89	-3.4677	3.3862	0.943	10.9109	1.4179	5.726	-6.1801	-1.6915	-0.0068	-5.2552	-2.2174	5.5418	1.3096	2.9589	-6.872	5.1394	-3.3409	-0.8777	-1.3766	1.4497	7.425	-3.5415	4.1652	6.2867	3.0763	-3.8844	3.401	-3.4487	1.3028	4.3181	-0.2739	0.5308	6.351	3.107	-0.6155	-2.1517	-1.7674	-5.1686	-3.6259	5.6522	-4.2967	-4.4461	3.8275	0.5057	-6.3664	0.8163	0.0882	-2.2047	-2.137	0.4003	3.5788	-5.3942
OSD-379_RR8_LVR_FLT_ISS-T_YNG_FI3	BALB/cAnNTac	Female	FLT	FLT	RRRM-1 (RR-8)	OSD-379	OSD-379	-4.1198	-2.0547	4.8181	4.4064	-2.2517	0.5997	4.2076	-2.2894	4.3772	-1.1218	-2.4635	-4.3284	-8.0102	3.2787	1.2015	4.3024	-1.0535	4.7219	-5.6036	-0.3437	-0.8464	-3.8047	-1.5505	2.8775	1.1453	2.3376	-8.1708	5.4611	-2.1305	-0.5642	-2.3281	0.6596	6.5187	-2.0808	3.7399	4.1452	1.7975	-5.3465	3.3348	-3.2613	0.403	3.702	-0.2646	0.1813	5.1607	2.3244	0.4238	0.0498	-0.2371	-5.3644	-4.4722	3.156	-5.1686	-3.9952	2.2714	3.6277	-4.25	-0.5824	0.0601	-2.1537	-2.0506	-0.364	2.4413	-5.7058
OSD-379_RR8_LVR_FLT_ISS-T_YNG_FI4	BALB/cAnNTac	Female	FLT	FLT	RRRM-1 (RR-8)	OSD-379	OSD-379	-5.3076	-2.2661	3.6752	-0.493	-0.8964	-0.048	2.105	1.3531	7.3567	-0.1818	-2.2408	-1.5537	-4.8643	2.9417	-0.3925	3.4156	-1.6242	0.3485	-4.1049	0.4928	-2.1894	-1.614	1.0195	3.446	1.0172	2.3772	-5.5349	6.3232	-2.7555	-0.2692	-1.0868	-0.8067	7.3627	-3.5411	3.574	4.4059	2.1848	-5.0305	1.358	-3.1894	0.8407	3.3982	-0.3068	0.4573	0.696	3.5459	-0.0103	-1.5764	-0.8106	-2.0212	-0.2515	3.5054	-4.271	-4.2389	6.1962	-2.3485	-4.486	-0.3228	-0.4226	-2.597	-2.1543	-0.1517	0.7089	-5.9858
OSD-379_RR8_LVR_FLT_ISS-T_YNG_FI5	BALB/cAnNTac	Female	FLT	FLT	RRRM-1 (RR-8)	OSD-379	OSD-379	-5.9701	-3.6514	4.9919	3.1578	-2.3134	2.1633	4.3403	-0.6103	6.2753	3.7266	-0.7789	-3.096	-6.9955	3.6147	-0.2997	3.157	-3.1419	2.3695	-6.101	0.3194	0.9753	-3.6265	-2.8233	3.614	1.9603	3.237	-6.7609	5.6115	-1.1045	-1.038	-3.4448	0.5839	5.4426	-3.6913	4.3507	7.884	5.1756	-5.197	3.6691	-3.5934	0.3726	7.5514	0.0383	0.1775	2.8493	5.179	-1.1597	-2.1137	-1.0118	-4.4675	-0.5436	3.9418	-4.5337	-3.6596	4.3819	1.8264	-3.2212	-2.4846	0.4579	-2.4664	-3.0832	0.6139	3.242	-6.8828
OSD-379_RR8_LVR_FLT_ISS-T_YNG_FI6	BALB/cAnNTac	Female	FLT	FLT	RRRM-1 (RR-8)	OSD-379	OSD-379	-4.1503	-2.0153	3.7583	4.5449	-0.9979	-0.4196	2.7367	0.3469	4.8374	-2.169	-2.8793	-3.3785	-6.6085	1.5841	0.4956	4.0447	-4.7972	4.8565	-3.3162	-1.5485	-0.2657	-3.3707	-1.4995	3.228	1.2836	2.0666	-8.4915	4.2641	-0.7115	-1.4349	-4.8217	-0.4478	4.3192	-3.4658	4.1257	5.3365	3.0869	-4.2019	0.4242	-2.6153	-0.3546	4.378	-0.4294	0.9962	4.6276	3.3191	-0.0895	-1.2688	0.3513	-0.2526	-2.7422	4.2808	-2.8807	-4.4344	3.3048	-0.6454	-1.33	-0.2409	1.6803	-2.1709	-2.8334	-0.207	0.3511	-4.9255
OSD-379_RR8_LVR_FLT_ISS-T_YNG_FI7	BALB/cAnNTac	Female	FLT	FLT	RRRM-1 (RR-8)	OSD-379	OSD-379	-4.6023	-0.443	4.0481	2.0321	-2.3746	-0.4379	4.0082	-1.1145	6.1378	-1.0498	-2.5727	-3.1274	-5.8768	2.8468	0.1063	6.2302	-2.2812	5.5763	-5.0594	-0.4267	-0.0205	-4.5523	-2.7462	4.2045	0.3959	3.4301	-8.55	3.9558	-1.007	-0.8088	-2.2645	-0.3303	4.8789	-2.9346	3.5143	6.3324	1.3841	-4.916	2.4646	-2.8599	-0.0446	4.3899	0.3828	0.4308	4.5929	7.1814	-0.7935	-3.7727	-0.8106	-4.0518	-0.1938	4.2405	-4.8456	-3.5352	4.8868	1.6688	-2.1925	-1.535	0.3931	-2.61	-2.0925	0.9367	1.4789	-3.4423
OSD-379_RR8_LVR_FLT_ISS-T_YNG_FI8	BALB/cAnNTac	Female	FLT	FLT	RRRM-1 (RR-8)	OSD-379	OSD-379	-5.1444	-2.7541	3.8669	4.2476	-1.4778	-0.2668	1.151	0.7518	6.1092	0.0119	-1.4759	-3.1897	-4.2034	3.8087	-1.1171	4.3396	0.692	1.1626	-2.7788	0.3311	0.0859	-3.1809	-1.0063	4.1698	1.2121	2.143	-3.4232	3.9697	-1.384	-2.2991	-2.1859	-1.9687	4.285	-3.1031	3.9433	3.6705	2.9496	-3.4842	7.3916	-2.983	0.192	3.7424	-0.4027	0.9154	4.395	2.6482	-1.1684	-1.537	0.7421	-4.3974	-1.6893	4.0796	-0.8564	-3.255	3.4094	2.2814	-3.1084	-1.8215	1.5083	-2.6061	-2.7323	1.6237	2.8052	-0.7874
