sample	location	feature	profile	id.accession	investigation.study.comment.project type	investigation.study assays.study assay technology type	source_profile_index	condition_inferred	official_sample_name	official_source_name	official_material_type	official_tissue_type	official_tissue	sample_name_tissue_inferred	official_vs_inferred_match	tissue_final	tissue_source	official_sample_match_method	official_study_url	official_api_url	h5_accession	h5_sample_name	h5_accession_sample_name	project_identifier	project_type	assay_technology	source_name	material_type	tissue_type	spaceflight_factor	sex	strain	genotype	age_at_launch	age	duration	sample_preservation_method	library_selection	library_layout	sequencing_instrument	condition_label	accession_order	muscle_mean_log2	muscle_median_log2	muscle_markers_over_100	muscle_marker_fraction_percent	liver_mean_log2	liver_markers_over_100	muscle_liver_mean_log2_delta	high_muscle_abundance	collection_inferred	age_label_inferred	accession_group_size	accession_condition_group_size	muscle_mean_log2_robust_z_within_accession	muscle_mean_log2_robust_z_within_accession_condition	stratum_group_size	muscle_mean_log2_robust_z_within_stratum	relative_stratum_outlier	relative_accession_outlier	relative_accession_condition_outlier	candidate_muscle_outlier	candidate_small_group_warning	broad_review_muscle_outlier	review_high_abundance_not_relative
OSD-379_RR8_LVR_GC_LAR_YNG_GL5	GC	OSD-379_RR8_LVR_GC_LAR_YNG_GL5	RR8_LVR_GC_LAR_YNG_GL5	OSD-379	Spaceflight Study	RNA Sequencing (RNA-Seq)	1726	ground_control	RR8_LVR_GC_LAR_YNG_GL5	HC_LAR_05	Left Lobe of the Liver		liver	liver	True	liver	official_osdr_material_type	profile_to_sample	https://osdr.nasa.gov/bio/repo/data/studies/OSD-379	https://osdr.nasa.gov/geode-py/ws/repo/studies/OSD-379	OSD-379	RR8_LVR_GC_LAR_YNG_GL5	OSD-379_RR8_LVR_GC_LAR_YNG_GL5	RRRM-1 (RR-8)	Spaceflight Study	RNA Sequencing (RNA-Seq)	HC_LAR_05	Left Lobe of the Liver		Ground Control	Female	BALB/cAnNTac	Wild Type				Liquid Nitrogen	ribo-depletion	PAIRED	Illumina NovaSeq 6000	GC	0	16.082293264606346	16.769590823528226	20	8.722293159240927	15.989891159991258	7	0.09240210461508802	True	LAR	YNG	70	35	12.414149238384276	15.91622264503809	8	16.65903374633247	True	True	True	True	False	False	False
OSD-379_RR8_LVR_FLT_ISS-T_OLD_FI17	FLT	OSD-379_RR8_LVR_FLT_ISS-T_OLD_FI17	RR8_LVR_FLT_ISS-T_OLD_FI17	OSD-379	Spaceflight Study	RNA Sequencing (RNA-Seq)	1664	flight	RR8_LVR_FLT_ISS-T_OLD_FI17	FL_ISS_17	Left Lobe of the Liver		liver	liver	True	liver	official_osdr_material_type	profile_to_sample	https://osdr.nasa.gov/bio/repo/data/studies/OSD-379	https://osdr.nasa.gov/geode-py/ws/repo/studies/OSD-379	OSD-379	RR8_LVR_FLT_ISS-T_OLD_FI17	OSD-379_RR8_LVR_FLT_ISS-T_OLD_FI17	RRRM-1 (RR-8)	Spaceflight Study	RNA Sequencing (RNA-Seq)	FL_ISS_17	Left Lobe of the Liver		Space Flight	Female	BALB/cAnNTac	Wild Type				Liquid Nitrogen	ribo-depletion	PAIRED	Illumina NovaSeq 6000	FLT	0	15.118078462726515	15.29359523861332	20	2.835191242607753	17.27178105509081	7	-2.1537025923642936	True	ISS-T	OLD	70	35	11.519789815125412	5.300752200996009	10	7.042856072426433	True	True	True	True	False	False	False
OSD-379_RR8_LVR_FLT_ISS-T_OLD_FI16	FLT	OSD-379_RR8_LVR_FLT_ISS-T_OLD_FI16	RR8_LVR_FLT_ISS-T_OLD_FI16	OSD-379	Spaceflight Study	RNA Sequencing (RNA-Seq)	1663	flight	RR8_LVR_FLT_ISS-T_OLD_FI16	FL_ISS_16	Left Lobe of the Liver		liver	liver	True	liver	official_osdr_material_type	profile_to_sample	https://osdr.nasa.gov/bio/repo/data/studies/OSD-379	https://osdr.nasa.gov/geode-py/ws/repo/studies/OSD-379	OSD-379	RR8_LVR_FLT_ISS-T_OLD_FI16	OSD-379_RR8_LVR_FLT_ISS-T_OLD_FI16	RRRM-1 (RR-8)	Spaceflight Study	RNA Sequencing (RNA-Seq)	FL_ISS_16	Left Lobe of the Liver		Space Flight	Female	BALB/cAnNTac	Wild Type				Liquid Nitrogen	ribo-depletion	PAIRED	Illumina NovaSeq 6000	FLT	0	13.93870963967301	14.582108774506473	19	2.3432578713083454	16.717041813658437	7	-2.778332173985426	True	ISS-T	OLD	70	35	10.425863836869091	4.7650035208322805	10	6.348430431132433	True	True	True	True	False	False	False
OSD-379_RR8_LVR_GC_LAR_OLD_GL3	GC	OSD-379_RR8_LVR_GC_LAR_OLD_GL3	RR8_LVR_GC_LAR_OLD_GL3	OSD-379	Spaceflight Study	RNA Sequencing (RNA-Seq)	1716	ground_control	RR8_LVR_GC_LAR_OLD_GL3	HC_LAR_03	Left Lobe of the Liver		liver	liver	True	liver	official_osdr_material_type	profile_to_sample	https://osdr.nasa.gov/bio/repo/data/studies/OSD-379	https://osdr.nasa.gov/geode-py/ws/repo/studies/OSD-379	OSD-379	RR8_LVR_GC_LAR_OLD_GL3	OSD-379_RR8_LVR_GC_LAR_OLD_GL3	RRRM-1 (RR-8)	Spaceflight Study	RNA Sequencing (RNA-Seq)	HC_LAR_03	Left Lobe of the Liver		Ground Control	Female	BALB/cAnNTac	Wild Type				Liquid Nitrogen	ribo-depletion	PAIRED	Illumina NovaSeq 6000	GC	0	12.919233010890167	13.393793081890426	19	0.9367459774810785	17.315565017048065	7	-4.396332006157898	True	LAR	OLD	70	35	9.480246192370672	12.220610149544198	7	6.139982193169872	True	True	True	True	False	False	False
OSD-379_RR8_LVR_FLT_ISS-T_YNG_FI10	FLT	OSD-379_RR8_LVR_FLT_ISS-T_YNG_FI10	RR8_LVR_FLT_ISS-T_YNG_FI10	OSD-379	Spaceflight Study	RNA Sequencing (RNA-Seq)	1669	flight	RR8_LVR_FLT_ISS-T_YNG_FI10	FL_ISS_10	Left Lobe of the Liver		liver	liver	True	liver	official_osdr_material_type	profile_to_sample	https://osdr.nasa.gov/bio/repo/data/studies/OSD-379	https://osdr.nasa.gov/geode-py/ws/repo/studies/OSD-379	OSD-379	RR8_LVR_FLT_ISS-T_YNG_FI10	OSD-379_RR8_LVR_FLT_ISS-T_YNG_FI10	RRRM-1 (RR-8)	Spaceflight Study	RNA Sequencing (RNA-Seq)	FL_ISS_10	Left Lobe of the Liver		Space Flight	Female	BALB/cAnNTac	Wild Type				Liquid Nitrogen	ribo-depletion	PAIRED	Illumina NovaSeq 6000	FLT	0	12.28568392675505	12.588044867034935	19	0.8804973647497477	17.532393793069275	7	-5.246709866314225	True	ISS-T	YNG	70	35	8.892596435917458	4.014088008516482	10	10.844716532963798	True	True	True	True	False	False	False
OSD-379_RR8_LVR_FLT_LAR_YNG_FL2	FLT	OSD-379_RR8_LVR_FLT_LAR_YNG_FL2	RR8_LVR_FLT_LAR_YNG_FL2	OSD-379	Spaceflight Study	RNA Sequencing (RNA-Seq)	1690	flight	RR8_LVR_FLT_LAR_YNG_FL2	FL_LAR_02	Left Lobe of the Liver		liver	liver	True	liver	official_osdr_material_type	profile_to_sample	https://osdr.nasa.gov/bio/repo/data/studies/OSD-379	https://osdr.nasa.gov/geode-py/ws/repo/studies/OSD-379	OSD-379	RR8_LVR_FLT_LAR_YNG_FL2	OSD-379_RR8_LVR_FLT_LAR_YNG_FL2	RRRM-1 (RR-8)	Spaceflight Study	RNA Sequencing (RNA-Seq)	FL_LAR_02	Left Lobe of the Liver		Space Flight	Female	BALB/cAnNTac	Wild Type				Liquid Nitrogen	ribo-depletion	PAIRED	Illumina NovaSeq 6000	FLT	0	11.560961503485712	12.40268672599435	18	0.5638339390536974	17.1702603508101	7	-5.609298847324387	True	LAR	YNG	70	35	8.220378661170301	3.684870316678284	8	1.7426407425305601	False	True	True	False	False	True	False
OSD-379_RR8_LVR_FLT_LAR_OLD_FL8	FLT	OSD-379_RR8_LVR_FLT_LAR_OLD_FL8	RR8_LVR_FLT_LAR_OLD_FL8	OSD-379	Spaceflight Study	RNA Sequencing (RNA-Seq)	1684	flight	RR8_LVR_FLT_LAR_OLD_FL8	FL_LAR_08	Left Lobe of the Liver		liver	liver	True	liver	official_osdr_material_type	profile_to_sample	https://osdr.nasa.gov/bio/repo/data/studies/OSD-379	https://osdr.nasa.gov/geode-py/ws/repo/studies/OSD-379	OSD-379	RR8_LVR_FLT_LAR_OLD_FL8	OSD-379_RR8_LVR_FLT_LAR_OLD_FL8	RRRM-1 (RR-8)	Spaceflight Study	RNA Sequencing (RNA-Seq)	FL_LAR_08	Left Lobe of the Liver		Space Flight	Female	BALB/cAnNTac	Wild Type				Liquid Nitrogen	ribo-depletion	PAIRED	Illumina NovaSeq 6000	FLT	0	10.95024050367446	11.50365490143881	18	0.3153552286060949	17.471613200258616	7	-6.521372696584157	True	LAR	OLD	70	35	7.653903141298182	3.407439742627653	7	2.7227615236879354	False	True	False	False	False	True	False
OSD-379_RR8_LVR_FLT_LAR_YNG_FL18	FLT	OSD-379_RR8_LVR_FLT_LAR_YNG_FL18	RR8_LVR_FLT_LAR_YNG_FL18	OSD-379	Spaceflight Study	RNA Sequencing (RNA-Seq)	1689	flight	RR8_LVR_FLT_LAR_YNG_FL18	FL_LAR_18	Left Lobe of the Liver		liver	liver	True	liver	official_osdr_material_type	profile_to_sample	https://osdr.nasa.gov/bio/repo/data/studies/OSD-379	https://osdr.nasa.gov/geode-py/ws/repo/studies/OSD-379	OSD-379	RR8_LVR_FLT_LAR_YNG_FL18	OSD-379_RR8_LVR_FLT_LAR_YNG_FL18	RRRM-1 (RR-8)	Spaceflight Study	RNA Sequencing (RNA-Seq)	FL_LAR_18	Left Lobe of the Liver		Space Flight	Female	BALB/cAnNTac	Wild Type				Liquid Nitrogen	ribo-depletion	PAIRED	Illumina NovaSeq 6000	FLT	0	10.512717664187582	10.963603966087234	19	0.23673696903289276	16.72435909762364	7	-6.211641433436059	True	LAR	YNG	70	35	7.248077931372777	3.208687427648111	8	1.480076120416696	False	True	False	False	False	True	False
OSD-245_Mmus_C57-6T_LVR_FLT_ISS-T_Rep1_F5	FLT	OSD-245_Mmus_C57-6T_LVR_FLT_ISS-T_Rep1_F5	Mmus_C57-6T_LVR_FLT_ISS-T_Rep1_F5	OSD-245	Spaceflight Study	RNA Sequencing (RNA-Seq)	856	flight	Mmus_C57-6T_LVR_FLT_ISS-T_Rep1_F5	ISS-T Flight 5	Liver		liver	liver	True	liver	official_osdr_material_type	profile_to_sample	https://osdr.nasa.gov/bio/repo/data/studies/OSD-245	https://osdr.nasa.gov/geode-py/ws/repo/studies/OSD-245	OSD-245	Mmus_C57-6T_LVR_FLT_ISS-T_Rep1_F5	OSD-245_Mmus_C57-6T_LVR_FLT_ISS-T_Rep1_F5	RR-6	Spaceflight Study	RNA Sequencing (RNA-Seq)	ISS-T Flight 5	Liver		Space Flight	Female	C57BL/6NTac		36 {week}			Liquid Nitrogen	Ribo-depletion	PAIRED	Illumina NovaSeq 6000	FLT	1	11.538831457209794	11.83212532634915	19	0.19026541649744583	18.199982523797622	7	-6.661151066587829	True	ISS-T	36 {WEEK}	39	20	23.16906799176752	10.603900194168505	10	14.964531426283013	True	True	True	True	False	False	False
OSD-245_Mmus_C57-6T_LVR_FLT_ISS-T_Rep3_F9	FLT	OSD-245_Mmus_C57-6T_LVR_FLT_ISS-T_Rep3_F9	Mmus_C57-6T_LVR_FLT_ISS-T_Rep3_F9	OSD-245	Spaceflight Study	RNA Sequencing (RNA-Seq)	858	flight	Mmus_C57-6T_LVR_FLT_ISS-T_Rep3_F9	ISS-T Flight 9	Liver		liver	liver	True	liver	official_osdr_material_type	profile_to_sample	https://osdr.nasa.gov/bio/repo/data/studies/OSD-245	https://osdr.nasa.gov/geode-py/ws/repo/studies/OSD-245	OSD-245	Mmus_C57-6T_LVR_FLT_ISS-T_Rep3_F9	OSD-245_Mmus_C57-6T_LVR_FLT_ISS-T_Rep3_F9	RR-6	Spaceflight Study	RNA Sequencing (RNA-Seq)	ISS-T Flight 9	Liver		Space Flight	Female	C57BL/6NTac		36 {week}			Liquid Nitrogen	Ribo-depletion	PAIRED	Illumina NovaSeq 6000	FLT	1	11.307278458010463	11.597879836491655	19	0.16801858135098632	18.275075492389966	7	-6.967797034379503	True	ISS-T	36 {WEEK}	39	20	22.587612887793473	10.323809296771453	10	14.551443091286657	True	True	True	True	False	False	False
