gene_id	gene_symbol	studies_tested	meta_log2_fold_change	meta_se	meta_z	meta_p_value	direction_up_studies	direction_down_studies	q_heterogeneity	i2_percent	heterogeneity_p_value	meta_fdr_bh	eligible_meta	significant_fdr05_abs_log2fc1	consistent_direction
ENSMUSG00000032080	Apoa4	6	1.59059809703387	0.115719633047949	13.7452742904465	5.4366621084335e-43	5	1	111.621623539434	95.520581190764	1.86094218462677e-22	8.83729425725866e-39	TRUE	TRUE	mixed
ENSMUSG00000032098	Treh	6	1.63727646483667	0.12688774954485	12.9033454427998	4.3097299301171e-38	6	0	51.7452729310855	90.3372816167015	6.08427448524235e-10	3.50273300070268e-34	TRUE	TRUE	all_up
ENSMUSG00000053469	Tg	2	3.60991129600033	0.327686329652947	11.0163622016933	3.18679216383947e-28	2	0	7.90307173346199	87.3466920999091	0.00493509206924149	1.72671022077369e-24	TRUE	TRUE	all_up
ENSMUSG00000028715	Cyp4a14	6	1.21703823618171	0.129336927460783	9.40982795923257	4.96949643673755e-21	4	2	169.945884105958	97.0578869701354	7.49287674052852e-35	1.61558329158338e-17	TRUE	TRUE	mixed
ENSMUSG00000061816	Myl1	2	4.5274585923055	0.517084952693761	8.75573456299519	2.02778436648046e-18	2	0	30.8570187259514	96.7592462224519	2.77755746814418e-08	5.49360581285664e-15	TRUE	TRUE	all_up
ENSMUSG00000031972	Acta1	3	3.6135389836015	0.424587100658105	8.51071306217395	1.72866941363947e-17	3	0	72.8180509977733	97.2534282741773	1.54085273779685e-16	4.01421733124423e-14	TRUE	TRUE	all_up
ENSMUSG00000029272	Sult1e1	6	1.3788833687061	0.162971805224626	8.46087068131547	2.65388567903465e-17	5	1	119.464650353807	95.8146615043094	4.07491321848162e-24	5.39236396408854e-14	TRUE	TRUE	mixed
ENSMUSG00000060586	H2-Eb1	6	-0.617307855129376	0.0758333624801165	-8.14032023558542	3.94233767591718e-16	0	6	37.869645525966	86.7968133037537	4.00771309643383e-07	5.83467905161524e-13	TRUE	FALSE	all_down
ENSMUSG00000045868	Gvin1	5	-0.804224881641202	0.0987975018726279	-8.14013377259303	3.94841399986266e-16	0	5	27.7673972977906	85.5946167474678	1.39026361425812e-05	5.83467905161524e-13	TRUE	FALSE	all_down
ENSMUSG00000070348	Ccnd1	6	-0.674278468995738	0.0830783510790171	-8.11617539633666	4.8110521648291e-16	0	6	31.7487325277241	84.2513398113332	6.662183965077e-06	6.51697107827475e-13	TRUE	FALSE	all_down
ENSMUSG00000078921	Tgtp2	6	-0.539549046912443	0.0677578016396553	-7.96290661526823	1.68044286858108e-15	1	5	45.511516794988	89.0137698057327	1.14183027268201e-08	1.95111420205611e-12	TRUE	FALSE	mixed
ENSMUSG00000022540	Rogdi	6	0.398105565860277	0.0501704645236723	7.93505839820231	2.10396302654565e-15	4	2	76.0300797214036	93.4236554554178	5.67016822728876e-15	2.27999459976664e-12	TRUE	FALSE	mixed
