gene_id	gene_symbol	studies_tested	meta_log2_fold_change	meta_se	meta_z	meta_p_value	direction_up_studies	direction_down_studies	q_heterogeneity	i2_percent	heterogeneity_p_value	meta_fdr_bh	eligible_meta	significant_fdr05_abs_log2fc1	consistent_direction
ENSMUSG00000032098	Treh	6	1.66589197489197	0.124142795092035	13.4191595545834	4.6697903079038e-41	6	0	49.1186229360381	89.8205615281378	2.0987477741845e-09	7.60055070514423e-37	TRUE	TRUE	all_up
ENSMUSG00000032080	Apoa4	6	1.54623215454212	0.117109228974057	13.2033330599815	8.39372859734069e-40	6	0	84.0649559450283	94.0522183782864	1.18214941438047e-16	6.83081633251586e-36	TRUE	TRUE	all_up
ENSMUSG00000053469	Tg	2	3.37804442619013	0.317761246796688	10.6307627511025	2.14352131835987e-26	2	0	14.1330433050984	92.9243831041029	0.000170325417681641	1.16293176592084e-22	TRUE	TRUE	all_up
ENSMUSG00000031972	Acta1	3	4.9231242313581	0.469719819771883	10.4809804145565	1.05642831661878e-25	3	0	48.2789621447135	95.8574088771728	3.2836478393985e-11	4.29860682032181e-22	TRUE	TRUE	all_up
ENSMUSG00000028715	Cyp4a14	6	1.24961553162819	0.129440286624932	9.65399230958979	4.72784443899408e-22	4	2	159.764024205209	96.8703842902844	1.11134641917343e-32	1.53900792178135e-18	TRUE	TRUE	mixed
ENSMUSG00000017300	Tnnc2	2	5.59289771298323	0.613570241388486	9.11533404932859	7.84284837176732e-20	2	0	28.1973186817052	96.4535635062038	1.09556232670401e-07	2.12750333498142e-16	TRUE	TRUE	all_up
ENSMUSG00000045868	Gvin1	5	-0.835919525000909	0.0968029254114081	-8.63527131487285	5.85878160654356e-18	0	5	23.5989612421967	83.0501014051089	9.61043452131548e-05	1.36225042040147e-14	TRUE	FALSE	all_down
ENSMUSG00000061816	Myl1	2	4.36521520892485	0.507657699124957	8.59873733117632	8.05979185324102e-18	2	0	33.031357536497	96.9725737160664	9.06844117777358e-09	1.63976465254188e-14	TRUE	TRUE	all_up
ENSMUSG00000060586	H2-Eb1	6	-0.631244492690379	0.0736992121523221	-8.56514573569277	1.07939235612213e-17	0	6	42.8665695650393	88.3358989283858	3.93246451252094e-08	1.95202110980487e-14	TRUE	FALSE	all_down
ENSMUSG00000061723	Tnnt3	3	4.07415845656012	0.496100496995794	8.21236519864776	2.16873472928871e-16	3	0	8.1947882144577	75.5942441993621	0.0166159183355428	3.52983264539031e-13	TRUE	TRUE	all_up
ENSMUSG00000078921	Tgtp2	6	-0.55494937355108	0.067672042934916	-8.20057071551403	2.39248451221973e-16	1	5	40.3788201225577	87.6172706760029	1.25242000955468e-07	3.54000708371712e-13	TRUE	FALSE	mixed
ENSMUSG00000070348	Ccnd1	6	-0.650934487864607	0.0816874119506055	-7.96860216673545	1.60479166335068e-15	2	4	37.3232180623353	86.6035131492433	5.15908938915545e-07	2.17663242605797e-12	TRUE	FALSE	mixed
ENSMUSG00000029272	Sult1e1	6	1.254711186866	0.162282417839873	7.73165203949604	1.0615978687804e-14	5	1	111.661571655383	95.5221837505285	1.82510234016056e-22	1.32912053171306e-11	TRUE	TRUE	mixed
ENSMUSG00000022540	Rogdi	6	0.379932855192325	0.0492410500716824	7.71577483906698	1.20249435192695e-14	4	2	80.1550362433388	93.7620887790248	7.78790920899198e-16	1.39798557656879e-11	TRUE	FALSE	mixed
ENSMUSG00000018893	Mb	2	5.42533850769655	0.705225097555884	7.69305931751335	1.43657869457762e-14	2	0	9.73132278710883	89.7239047365204	0.00181154068407541	1.55878365552969e-11	TRUE	TRUE	all_up
ENSMUSG00000024610	Cd74	6	-0.584943277495448	0.0765370691606534	-7.64261401579979	2.12855368537168e-14	0	6	47.451674145929	89.4629639733607	4.59571539842804e-09	2.16527123644434e-11	TRUE	FALSE	all_down
ENSMUSG00000040998	Npnt	6	0.982292206443574	0.130842177453906	7.50745841714244	6.02863248613306e-14	4	2	28.9398915990299	82.7228101981985	2.38257239798046e-05	5.77188366731187e-11	TRUE	FALSE	mixed
ENSMUSG00000044748	Defb1	6	0.915968520053105	0.122231630351644	7.49371105840597	6.69530307640793e-14	5	1	36.816891559344	86.419277162656	6.51761656245516e-07	6.05404182620086e-11	TRUE	FALSE	mixed
ENSMUSG00000036594	H2-Aa	6	-0.540637356767599	0.0737813138689744	-7.32756477782027	2.34372394317118e-13	0	6	35.9373678398958	86.0869053563537	9.77607224528545e-07	2.00770794205548e-10	TRUE	FALSE	all_down
ENSMUSG00000087579	Hectd2os	6	-0.708748736878371	0.0974983154195894	-7.26934341201929	3.6123899264793e-13	1	5	113.587648400683	95.5981129371018	7.14479833948159e-23	2.93976292216886e-10	TRUE	FALSE	mixed
ENSMUSG00000030994	D7Ertd443e	5	-0.772562188690706	0.107707902322135	-7.17275308528535	7.35043567023736e-13	1	4	40.7790243972155	90.1910355651541	2.98640183498355e-08	5.69693766518015e-10	TRUE	FALSE	mixed
ENSMUSG00000070332	Trim80	4	1.20012017685032	0.173675602180996	6.91012532433667	4.84225728407738e-12	4	0	25.829573942249	88.3854065626187	1.03540202419203e-05	3.58238997980198e-09	TRUE	TRUE	all_up
ENSMUSG00000027993	Trim2	6	0.533641438516601	0.0776137002594354	6.87560877438937	6.17256863970037e-12	4	2	41.5953742781677	87.9794326009362	7.11207649022586e-08	4.36803161651144e-09	TRUE	FALSE	mixed
ENSMUSG00000024843	Chka	6	0.689983275850401	0.100491000228211	6.86612009317726	6.59715427184138e-12	3	3	68.087054015692	92.656460068242	2.56148008622516e-13	4.47397012202043e-09	TRUE	FALSE	mixed
ENSMUSG00000073421	H2-Ab1	6	-0.519302334522338	0.0759524027969644	-6.83720745360136	8.07517647153213e-12	0	6	55.392376203153	90.9734870703824	1.08391196455435e-10	5.25726289002628e-09	TRUE	FALSE	all_down
ENSMUSG00000020604	Arsg	6	0.413903716925433	0.0612810030494871	6.75419291996882	1.43632529082783e-11	5	1	85.0870463324618	94.1236648637873	7.21800286384563e-17	8.99139632058221e-09	TRUE	FALSE	mixed
ENSMUSG00000024411	Aqp4	6	0.673817246020064	0.100226286453424	6.72295931400383	1.78070319211176e-11	5	1	62.9053857141457	92.051554976992	3.04552423335643e-12	1.03509732695754e-08	TRUE	FALSE	mixed
ENSMUSG00000030137	Tuba8	6	1.1357491896444	0.169123164721931	6.71551523714553	1.87402842158843e-11	6	0	15.7659376281505	68.2860599989158	0.00754509686381492	1.05178229619908e-08	TRUE	TRUE	all_up
ENSMUSG00000022504	Ciita	6	-0.467159303582963	0.0698717648989397	-6.6859525340264	2.29427386249026e-11	0	6	36.7965794852692	86.411780469971	6.57898633770676e-07	1.24472004619638e-08	TRUE	FALSE	all_down
ENSMUSG00000032725	Folr2	6	-0.531097766365016	0.0797133669048841	-6.6625935772947	2.69036904840757e-11	0	6	25.8638001122709	80.6679607084197	9.48302272192193e-05	1.41253053651231e-08	TRUE	FALSE	all_down
ENSMUSG00000038526	Car14	6	0.465484211901811	0.0701895665121442	6.63181488407216	3.31584272726685e-11	4	2	51.7973919397581	90.347004332158	5.93638821669705e-10	1.6865205071561e-08	TRUE	FALSE	mixed
ENSMUSG00000096674	Mup15	5	-1.72286535359933	0.2628995637436	-6.55332146263886	5.6271200568495e-11	0	5	25.5859389362279	84.3664130913082	3.8347912495646e-05	2.77536381955402e-08	TRUE	TRUE	all_down
ENSMUSG00000020431	Adcy1	6	1.04087796449003	0.159840021789275	6.51199838962901	7.41575146710572e-11	5	1	19.1357733125209	73.8709279298976	0.00181335008925046	3.54996384937096e-08	TRUE	TRUE	mixed
ENSMUSG00000045559	Olfr827	4	1.04279578603076	0.161067492584335	6.47427838665058	9.52661189239183e-11	3	1	21.4068863685679	85.98581807579	8.665558277853e-05	4.43014671887341e-08	TRUE	TRUE	mixed
ENSMUSG00000078680	Mup10	6	-0.671339039072094	0.103918134934074	-6.46026835930028	1.0451746643586e-10	1	5	16.2375550476458	69.2071867634719	0.00619757715862494	4.72535078808351e-08	TRUE	FALSE	mixed
ENSMUSG00000027022	Xirp2	2	3.26178417834645	0.508823104609759	6.41044824575738	1.4509240333094e-10	2	0	12.9803189169344	92.2960290390448	0.000314782345858128	6.38249718003887e-08	TRUE	TRUE	all_up
ENSMUSG00000025229	Pitx3	2	-1.56296360583897	0.244284841948121	-6.39811947959876	1.57302182982588e-10	0	2	0.776758381740839	0	0.378134378957667	6.73750086901211e-08	TRUE	TRUE	all_down
ENSMUSG00000078673	Mup19	6	-0.95872902518258	0.150133686306041	-6.38583550948223	1.7046415930128e-10	0	6	21.8166806824494	77.081756511098	0.000567318999337013	7.11403758150676e-08	TRUE	FALSE	all_down
ENSMUSG00000041491	Cep78	6	0.348920808641636	0.0547148220262461	6.37708020825257	1.80495944019862e-10	4	2	16.3368642659827	69.3943714130551	0.00594531363980673	7.3443799621682e-08	TRUE	FALSE	mixed
ENSMUSG00000038539	Atf5	6	0.435137355757746	0.0687488415658638	6.32937727890105	2.46152575896479e-10	4	2	78.3903251821479	93.6216618716889	1.82172006446754e-15	9.7716568909539e-08	TRUE	FALSE	mixed
ENSMUSG00000037600	Kdf1	6	0.489156813114294	0.0773521597295313	6.32376413049971	2.55267280960875e-10	4	2	39.2437499920958	87.2591176913341	2.121099570112e-07	9.8922149164743e-08	TRUE	FALSE	mixed
ENSMUSG00000030278	Cidec	6	0.893305022519361	0.142131175626675	6.28507446435072	3.2769658152458e-10	5	1	102.577550241293	95.1256391011108	1.51218065696482e-20	1.2403696653242e-07	TRUE	FALSE	mixed
ENSMUSG00000019996	Map7	6	0.254019753118236	0.0410085563367681	6.19431103675509	5.8540524355944e-10	4	2	17.0843696946271	70.7334827718435	0.00434253599950431	2.11734572092743e-07	TRUE	FALSE	mixed
ENSMUSG00000028712	Cyp4a31	6	0.620059169088751	0.100347995141233	6.17908876222248	6.44726417371815e-10	5	1	102.757735835851	95.1341862884297	1.38547320092872e-20	2.28121025416166e-07	TRUE	FALSE	mixed
ENSMUSG00000060509	Xcr1	6	-0.519603054027963	0.0846991812596874	-6.13468803712354	8.5326465655967e-10	0	6	11.5300955424826	56.6352249070487	0.0418258276789355	2.95483735109897e-07	TRUE	FALSE	all_down
ENSMUSG00000022241	Tars	6	0.397293411251808	0.064855766274763	6.12579935558335	9.02294528554686e-10	2	4	55.8380252109421	91.0455285961292	8.77522876740588e-11	3.05953036390751e-07	TRUE	FALSE	mixed
ENSMUSG00000033022	Cdo1	6	0.307302220173461	0.0503793752061152	6.09976243087984	1.06226224908393e-09	5	1	43.3429473210373	88.4640978312678	3.14843256284764e-08	3.49284052447379e-07	TRUE	FALSE	mixed
ENSMUSG00000017428	Psmd11	6	0.308940844556219	0.0506613712030492	6.09815402188767	1.07300335600694e-09	6	0	10.3677384260001	51.7734746522825	0.0654613685898605	3.49284052447379e-07	TRUE	FALSE	all_up
ENSMUSG00000057003	Myh4	3	3.07096510753825	0.503856829035363	6.09491611618647	1.09494852649204e-09	3	0	20.5389131019196	90.2623863781133	3.46762150611528e-05	3.49438867003617e-07	TRUE	TRUE	all_up
ENSMUSG00000024471	Myot	2	4.63214959468764	0.763726911684284	6.06519100455965	1.3179692693136e-09	2	0	2.8157329934442	64.4852689396234	0.0933442491062152	4.12524381295157e-07	TRUE	TRUE	all_up
ENSMUSG00000030603	Psmc4	6	0.320464464295029	0.0529435916011208	6.0529415289658	1.42224502250582e-09	6	0	11.8204155463375	57.7003026636469	0.0373331057139545	4.36763395968013e-07	TRUE	FALSE	all_up
ENSMUSG00000023067	Cdkn1a	6	1.00712567813428	0.167290367813579	6.02022514085555	1.74174634735946e-09	4	2	48.0303915310951	89.5899245444148	3.50154398688654e-09	5.15430246356773e-07	TRUE	TRUE	mixed
ENSMUSG00000056328	Myh1	3	2.22111794346504	0.369336936411129	6.01379857928045	1.81225665108514e-09	3	0	25.5539797049235	92.1734304280806	2.82503486326921e-06	5.26719450947532e-07	TRUE	TRUE	all_up
ENSMUSG00000042487	Leo1	6	0.394805914684186	0.065750654304249	6.00459294073781	1.91812515507768e-09	3	3	40.4837181718186	87.6493557761189	1.19283510840197e-07	5.45342113189017e-07	TRUE	FALSE	mixed
ENSMUSG00000026395	Ptprc	6	-0.399040104637876	0.0664792804592601	-6.00247328011343	1.94334250214813e-09	1	5	27.2685241549269	81.6638408019724	5.05684310966986e-05	5.45342113189017e-07	TRUE	FALSE	mixed
