h5_accession	location	samples	median_muscle_fraction_percent	max_muscle_fraction_percent	median_muscle_mean_log2	max_muscle_mean_log2	high_muscle_abundance	candidate_muscle_outlier	broad_review_muscle_outlier
OSD-245	FLT	20	0.0005272562817475471	0.19026541649744583	2.77251696434932	11.538831457209794	2	2	0
OSD-379	FLT	31	0.0007025325126192403	0.5638339390536974	2.698183259030924	11.560961503485712	6	1	5
OSD-137	FLT	6	0.0005553236572817038	0.049119316896178544	2.5946597049791826	7.991802223089023	1	1	0
OSD-242	GC	4	0.0004697597575665885	0.03054552231980299	2.2395289278058508	7.83897570110872	1	1	0
OSD-379	GC	31	0.0006279645077542251	0.017232438404666862	2.390455388103541	7.345361432460943	1	1	0
OSD-245	GC	19	0.00046908001691748155	0.002761906411127147	2.228559023957599	5.804261442094255	0	0	0
OSD-137	GC	6	0.00042632550264623493	0.0007518590621165123	2.501538498611856	3.558270103951544	0	0	0
OSD-173	GC	2	0.0005101566931904557	0.0005715961813156164	1.7262960881190863	2.045044323248006	0	0	0
OSD-463	GC	10	0.000283186771037507	0.0005370308327729792	1.7857357748190847	2.898471283413515	0	0	0
OSD-242	FLT	5	0.00033463568584699265	0.00045456521156836155	1.71709039500501	1.8950387596144203	0	0	0
OSD-463	FLT	12	0.00029639611481575053	0.00044223639160282085	1.9998295017434158	2.736995862573488	0	0	0
OSD-173	FLT	2	0.0003142677543905862	0.00034034589422688626	1.6519687964425982	1.756926215085573	0	0	0
