sample	location	feature	profile	id.accession	investigation.study.comment.project type	investigation.study assays.study assay technology type	source_profile_index	condition_inferred	official_sample_name	official_source_name	official_material_type	official_tissue_type	official_tissue	sample_name_tissue_inferred	official_vs_inferred_match	tissue_final	tissue_source	official_sample_match_method	official_study_url	official_api_url	h5_accession	h5_sample_name	h5_accession_sample_name	project_identifier	project_type	assay_technology	source_name	material_type	tissue_type	spaceflight_factor	sex	strain	genotype	age_at_launch	age	duration	sample_preservation_method	library_selection	library_layout	sequencing_instrument	condition_label	accession_order	muscle_mean_log2	muscle_median_log2	muscle_markers_over_100	muscle_marker_fraction_percent	liver_mean_log2	liver_markers_over_100	muscle_liver_mean_log2_delta	high_muscle_abundance	collection_inferred	age_label_inferred	accession_group_size	accession_condition_group_size	muscle_mean_log2_robust_z_within_accession	muscle_mean_log2_robust_z_within_accession_condition	stratum_group_size	muscle_mean_log2_robust_z_within_stratum	relative_stratum_outlier	relative_accession_outlier	relative_accession_condition_outlier	candidate_muscle_outlier	candidate_small_group_warning	broad_review_muscle_outlier	review_high_abundance_not_relative
OSD-379_RR8_LVR_FLT_LAR_YNG_FL2	FLT	OSD-379_RR8_LVR_FLT_LAR_YNG_FL2	RR8_LVR_FLT_LAR_YNG_FL2	OSD-379	Spaceflight Study	RNA Sequencing (RNA-Seq)	1690	flight	RR8_LVR_FLT_LAR_YNG_FL2	FL_LAR_02	Left Lobe of the Liver		liver	liver	True	liver	official_osdr_material_type	profile_to_sample	https://osdr.nasa.gov/bio/repo/data/studies/OSD-379	https://osdr.nasa.gov/geode-py/ws/repo/studies/OSD-379	OSD-379	RR8_LVR_FLT_LAR_YNG_FL2	OSD-379_RR8_LVR_FLT_LAR_YNG_FL2	RRRM-1 (RR-8)	Spaceflight Study	RNA Sequencing (RNA-Seq)	FL_LAR_02	Left Lobe of the Liver		Space Flight	Female	BALB/cAnNTac	Wild Type				Liquid Nitrogen	ribo-depletion	PAIRED	Illumina NovaSeq 6000	FLT	0	11.560961503485712	12.40268672599435	18	0.5638339390536974	17.1702603508101	7	-5.609298847324387	True	LAR	YNG	62	31	11.621207355663474	7.423089413585536	8	1.7426407425305601	False	True	True	False	False	True	False
OSD-379_RR8_LVR_FLT_LAR_OLD_FL8	FLT	OSD-379_RR8_LVR_FLT_LAR_OLD_FL8	RR8_LVR_FLT_LAR_OLD_FL8	OSD-379	Spaceflight Study	RNA Sequencing (RNA-Seq)	1684	flight	RR8_LVR_FLT_LAR_OLD_FL8	FL_LAR_08	Left Lobe of the Liver		liver	liver	True	liver	official_osdr_material_type	profile_to_sample	https://osdr.nasa.gov/bio/repo/data/studies/OSD-379	https://osdr.nasa.gov/geode-py/ws/repo/studies/OSD-379	OSD-379	RR8_LVR_FLT_LAR_OLD_FL8	OSD-379_RR8_LVR_FLT_LAR_OLD_FL8	RRRM-1 (RR-8)	Spaceflight Study	RNA Sequencing (RNA-Seq)	FL_LAR_08	Left Lobe of the Liver		Space Flight	Female	BALB/cAnNTac	Wild Type				Liquid Nitrogen	ribo-depletion	PAIRED	Illumina NovaSeq 6000	FLT	0	10.95024050367446	11.50365490143881	18	0.3153552286060949	17.471613200258616	7	-6.521372696584157	True	LAR	OLD	62	31	10.843045742933507	6.911575251399458	7	2.7227615236879354	False	True	True	False	False	True	False
OSD-379_RR8_LVR_FLT_LAR_YNG_FL18	FLT	OSD-379_RR8_LVR_FLT_LAR_YNG_FL18	RR8_LVR_FLT_LAR_YNG_FL18	OSD-379	Spaceflight Study	RNA Sequencing (RNA-Seq)	1689	flight	RR8_LVR_FLT_LAR_YNG_FL18	FL_LAR_18	Left Lobe of the Liver		liver	liver	True	liver	official_osdr_material_type	profile_to_sample	https://osdr.nasa.gov/bio/repo/data/studies/OSD-379	https://osdr.nasa.gov/geode-py/ws/repo/studies/OSD-379	OSD-379	RR8_LVR_FLT_LAR_YNG_FL18	OSD-379_RR8_LVR_FLT_LAR_YNG_FL18	RRRM-1 (RR-8)	Spaceflight Study	RNA Sequencing (RNA-Seq)	FL_LAR_18	Left Lobe of the Liver		Space Flight	Female	BALB/cAnNTac	Wild Type				Liquid Nitrogen	ribo-depletion	PAIRED	Illumina NovaSeq 6000	FLT	0	10.512717664187582	10.963603966087234	19	0.23673696903289276	16.72435909762364	7	-6.211641433436059	True	LAR	YNG	62	31	10.285567813590117	6.545124566476932	8	1.480076120416696	False	True	True	False	False	True	False
OSD-245_Mmus_C57-6T_LVR_FLT_ISS-T_Rep1_F5	FLT	OSD-245_Mmus_C57-6T_LVR_FLT_ISS-T_Rep1_F5	Mmus_C57-6T_LVR_FLT_ISS-T_Rep1_F5	OSD-245	Spaceflight Study	RNA Sequencing (RNA-Seq)	856	flight	Mmus_C57-6T_LVR_FLT_ISS-T_Rep1_F5	ISS-T Flight 5	Liver		liver	liver	True	liver	official_osdr_material_type	profile_to_sample	https://osdr.nasa.gov/bio/repo/data/studies/OSD-245	https://osdr.nasa.gov/geode-py/ws/repo/studies/OSD-245	OSD-245	Mmus_C57-6T_LVR_FLT_ISS-T_Rep1_F5	OSD-245_Mmus_C57-6T_LVR_FLT_ISS-T_Rep1_F5	RR-6	Spaceflight Study	RNA Sequencing (RNA-Seq)	ISS-T Flight 5	Liver		Space Flight	Female	C57BL/6NTac		36 {week}			Liquid Nitrogen	Ribo-depletion	PAIRED	Illumina NovaSeq 6000	FLT	1	11.538831457209794	11.83212532634915	19	0.19026541649744583	18.199982523797622	7	-6.661151066587829	True	ISS-T	36 {WEEK}	39	20	23.16906799176752	10.603900194168505	10	14.964531426283013	True	True	True	True	False	False	False
OSD-245_Mmus_C57-6T_LVR_FLT_ISS-T_Rep3_F9	FLT	OSD-245_Mmus_C57-6T_LVR_FLT_ISS-T_Rep3_F9	Mmus_C57-6T_LVR_FLT_ISS-T_Rep3_F9	OSD-245	Spaceflight Study	RNA Sequencing (RNA-Seq)	858	flight	Mmus_C57-6T_LVR_FLT_ISS-T_Rep3_F9	ISS-T Flight 9	Liver		liver	liver	True	liver	official_osdr_material_type	profile_to_sample	https://osdr.nasa.gov/bio/repo/data/studies/OSD-245	https://osdr.nasa.gov/geode-py/ws/repo/studies/OSD-245	OSD-245	Mmus_C57-6T_LVR_FLT_ISS-T_Rep3_F9	OSD-245_Mmus_C57-6T_LVR_FLT_ISS-T_Rep3_F9	RR-6	Spaceflight Study	RNA Sequencing (RNA-Seq)	ISS-T Flight 9	Liver		Space Flight	Female	C57BL/6NTac		36 {week}			Liquid Nitrogen	Ribo-depletion	PAIRED	Illumina NovaSeq 6000	FLT	1	11.307278458010463	11.597879836491655	19	0.16801858135098632	18.275075492389966	7	-6.967797034379503	True	ISS-T	36 {WEEK}	39	20	22.587612887793473	10.323809296771453	10	14.551443091286657	True	True	True	True	False	False	False
OSD-379_RR8_LVR_FLT_LAR_OLD_FL15	FLT	OSD-379_RR8_LVR_FLT_LAR_OLD_FL15	RR8_LVR_FLT_LAR_OLD_FL15	OSD-379	Spaceflight Study	RNA Sequencing (RNA-Seq)	1679	flight	RR8_LVR_FLT_LAR_OLD_FL15	FL_LAR_15	Left Lobe of the Liver		liver	liver	True	liver	official_osdr_material_type	profile_to_sample	https://osdr.nasa.gov/bio/repo/data/studies/OSD-379	https://osdr.nasa.gov/geode-py/ws/repo/studies/OSD-379	OSD-379	RR8_LVR_FLT_LAR_OLD_FL15	OSD-379_RR8_LVR_FLT_LAR_OLD_FL15	RRRM-1 (RR-8)	Spaceflight Study	RNA Sequencing (RNA-Seq)	FL_LAR_15	Left Lobe of the Liver		Space Flight	Female	BALB/cAnNTac	Wild Type				Liquid Nitrogen	ribo-depletion	PAIRED	Illumina NovaSeq 6000	FLT	0	10.397303491749957	10.396602002341258	20	0.1008006959940858	17.68304774549176	7	-7.285744253741802	True	LAR	OLD	62	31	10.138510681800458	6.448458521364554	7	2.514356864431058	False	True	True	False	False	True	False
OSD-379_RR8_LVR_FLT_LAR_OLD_FL11	FLT	OSD-379_RR8_LVR_FLT_LAR_OLD_FL11	RR8_LVR_FLT_LAR_OLD_FL11	OSD-379	Spaceflight Study	RNA Sequencing (RNA-Seq)	1678	flight	RR8_LVR_FLT_LAR_OLD_FL11	FL_LAR_11	Left Lobe of the Liver		liver	liver	True	liver	official_osdr_material_type	profile_to_sample	https://osdr.nasa.gov/bio/repo/data/studies/OSD-379	https://osdr.nasa.gov/geode-py/ws/repo/studies/OSD-379	OSD-379	RR8_LVR_FLT_LAR_OLD_FL11	OSD-379_RR8_LVR_FLT_LAR_OLD_FL11	RRRM-1 (RR-8)	Spaceflight Study	RNA Sequencing (RNA-Seq)	FL_LAR_11	Left Lobe of the Liver		Space Flight	Female	BALB/cAnNTac	Wild Type				Liquid Nitrogen	ribo-depletion	PAIRED	Illumina NovaSeq 6000	FLT	0	9.707192239430032	9.711787772459065	20	0.08189689436863493	17.177096291262277	7	-7.469904051832245	True	LAR	OLD	62	31	9.25919249029511	5.8704504306738645	7	2.2542505642785406	False	True	True	False	False	True	False
OSD-137_Mmus_BAL-TAL_LVR_FLT_Rep2_F2	FLT	OSD-137_Mmus_BAL-TAL_LVR_FLT_Rep2_F2	Mmus_BAL-TAL_LVR_FLT_Rep2_F2	OSD-137	Spaceflight Study	RNA Sequencing (RNA-Seq)	134	flight	Mmus_BAL-TAL_LVR_FLT_Rep2_F2	RR3_FLT_F2	Liver		liver	liver	True	liver	official_osdr_material_type	profile_to_sample	https://osdr.nasa.gov/bio/repo/data/studies/OSD-137	https://osdr.nasa.gov/geode-py/ws/repo/studies/OSD-137	OSD-137	Mmus_BAL-TAL_LVR_FLT_Rep2_F2	OSD-137_Mmus_BAL-TAL_LVR_FLT_Rep2_F2	RR-3	Spaceflight Study	RNA Sequencing (RNA-Seq)	RR3_FLT_F2	Liver		Space Flight	Female	BALB/c		12 {week}		39 {day}	Liquid Nitrogen	Ribo-depletion	PAIRED	Illumina HiSeq 4000	FLT	4	7.991802223089023	9.433686129943244	13	0.049119316896178544	18.25649214806587	7	-10.264689924976848	True	unknown	12 {WEEK}	12	6	6.886911220666831	4.861812442299003	6	4.861812442299003	True	True	True	True	False	False	False
OSD-242_Mmus_C57-6J_LVR_GC_C2_Rep1_G1	GC	OSD-242_Mmus_C57-6J_LVR_GC_C2_Rep1_G1	Mmus_C57-6J_LVR_GC_C2_Rep1_G1	OSD-242	Spaceflight Study	RNA Sequencing (RNA-Seq)	720	ground_control	Mmus_C57-6J_LVR_GC_C2_Rep1_G1	GC1	Liver		liver	liver	True	liver	official_osdr_material_type	profile_to_sample	https://osdr.nasa.gov/bio/repo/data/studies/OSD-242	https://osdr.nasa.gov/geode-py/ws/repo/studies/OSD-242	OSD-242	Mmus_C57-6J_LVR_GC_C2_Rep1_G1	OSD-242_Mmus_C57-6J_LVR_GC_C2_Rep1_G1	RR-9	Spaceflight Study	RNA Sequencing (RNA-Seq)	GC1	Liver		Ground Control	Male	C57BL/6J		10 {week}			Liquid Nitrogen	Ribo-depletion	PAIRED	Illumina NovaSeq 6000	GC	3	7.83897570110872	8.399811564110188	16	0.03054552231980299	16.71213567771907	7	-8.87315997661035	True	unknown	10 {WEEK}	9	4	11.045350477423007	18.822001830172603	4	18.822001830172603	True	True	False	True	True	False	False
OSD-379_RR8_LVR_GC_LAR_OLD_GL7	GC	OSD-379_RR8_LVR_GC_LAR_OLD_GL7	RR8_LVR_GC_LAR_OLD_GL7	OSD-379	Spaceflight Study	RNA Sequencing (RNA-Seq)	1718	ground_control	RR8_LVR_GC_LAR_OLD_GL7	HC_LAR_07	Left Lobe of the Liver		liver	liver	True	liver	official_osdr_material_type	profile_to_sample	https://osdr.nasa.gov/bio/repo/data/studies/OSD-379	https://osdr.nasa.gov/geode-py/ws/repo/studies/OSD-379	OSD-379	RR8_LVR_GC_LAR_OLD_GL7	OSD-379_RR8_LVR_GC_LAR_OLD_GL7	RRRM-1 (RR-8)	Spaceflight Study	RNA Sequencing (RNA-Seq)	HC_LAR_07	Left Lobe of the Liver		Ground Control	Female	BALB/cAnNTac	Wild Type				Liquid Nitrogen	ribo-depletion	PAIRED	Illumina NovaSeq 6000	GC	0	7.345361432460943	7.720564310902349	15	0.017232438404666862	17.614852989539845	7	-10.2694915570789	True	LAR	OLD	62	31	6.249821484034655	8.552903335573738	6	5.4111593653102705	True	True	True	True	False	False	False
