sample	strain	sex	condition	location	project_identifier	h5_accession	z_0	z_1	z_2	z_3	z_4	z_5	z_6	z_7	z_8	z_9	z_10	z_11	z_12	z_13	z_14	z_15	z_16	z_17	z_18	z_19	z_20	z_21	z_22	z_23	z_24	z_25	z_26	z_27	z_28	z_29	z_30	z_31	z_32	z_33	z_34	z_35	z_36	z_37	z_38	z_39	z_40	z_41	z_42	z_43	z_44	z_45	z_46	z_47	z_48	z_49	z_50	z_51	z_52	z_53	z_54	z_55	z_56	z_57	z_58	z_59	z_60	z_61	z_62	z_63
OSD-379_RR8_LVR_FLT_ISS-T_OLD_FI11	BALB/cAnNTac	Female	FLT	FLT	RRRM-1 (RR-8)	OSD-379	-1.3595	3.0312	4.1452	-2.9802	-0.5212	-1.5763	-2.4359	2.7137	-3.8383	-2.4194	-4.3887	-1.6308	1.9426	-2.0171	-5.449	-3.1143	1.7154	-4.341	-1.9383	-0.6503	0.7764	-4.9661	-3.8158	-1.3898	-0.1111	2.6186	-0.8048	0.9438	-3.3119	-4.0169	-1.2349	-0.9379	-3.1993	-0.7657	3.8419	-3.0863	-2.9085	-2.0557	-2.5354	-2.1498	-2.6762	-2.5674	-1.3269	4.0667	1.1807	-0.7001	4.6821	2.5888	-4.5045	-1.372	0.5335	-4.0618	1.4686	-4.7559	1.305	-0.7766	-3.2423	1.5049	5.5299	0.6154	1.6687	1.7544	-2.368	2.1756
OSD-379_RR8_LVR_FLT_ISS-T_OLD_FI12	BALB/cAnNTac	Female	FLT	FLT	RRRM-1 (RR-8)	OSD-379	-1.2099	3.1169	4.5804	-5.9243	1.0538	-0.3338	-3.9755	2.9035	-4.7736	-2.1564	-3.6013	-2.9126	1.2564	-3.047	-6.2135	-3.2918	1.6236	-4.1683	-2.6916	-1.4302	-1.5274	-4.3153	-4.4986	-2.3455	0.4666	1.135	-1.621	2.2782	-2.7512	1.3504	0.3094	0.1837	-5.2352	-0.7592	1.7081	-4.4307	-3.4565	-2.63	-4.0437	-4.1299	-2.9743	-5.9656	-1.4575	6.7919	0.8517	-0.3048	6.0594	2.8634	-6.4247	-1.8198	3.604	-5.1182	0.1626	-3.6281	0.579	-1.8039	-2.6736	2.1396	7.2082	0.673	4.058	3.2332	-2.6309	0.5159
OSD-379_RR8_LVR_FLT_ISS-T_OLD_FI13	BALB/cAnNTac	Female	FLT	FLT	RRRM-1 (RR-8)	OSD-379	-1.7808	3.5839	1.8401	-0.8902	-1.0485	-0.7177	-3.9	5.1903	-4.2133	-2.1455	-5.492	-2.3943	1.2841	-0.2573	-6.7745	-2.1845	0.648	-9.754	-0.7296	-0.8859	0.9229	-7.247	-5.0018	-0.5224	-1.1168	-1.302	-1.3357	0.2432	-1.7641	-2.5272	-0.8651	0.4185	-2.3626	-0.829	2.9825	-0.2709	-3.2835	-3.6237	-1.4565	-4.7054	-7.2067	-4.1409	-2.0934	3.1924	1.1403	0.0306	5.7091	1.9094	-5.7737	-0.0277	1.2341	-2.5165	-2.5968	-2.5972	-0.5261	-2.6197	-0.3817	-1.8745	10.3726	2.4981	0.2301	1.8734	-3.1546	-1.0219
OSD-379_RR8_LVR_FLT_ISS-T_OLD_FI14	BALB/cAnNTac	Female	FLT	FLT	RRRM-1 (RR-8)	OSD-379	-1.1774	4.2847	5.579	-4.596	2.5443	-0.7987	-6.2687	2.8658	-5.7072	-2.6856	-4.1875	-2.5736	2.0121	-2.6197	-7.1184	-4.4909	0.8349	-4.7044	-2.8312	-1.2237	-0.0565	-6.3058	-2.1631	-2.976	1.9972	-0.0971	-0.6026	0.637	-2.5691	0.5899	-1.0162	-0.9551	-4.4935	-0.4659	2.64	-6.9508	-2.1631	-3.7453	-3.2497	-2.5605	-2.6141	-4.7575	-1.2211	4.366	2.8713	-0.1387	6.2544	2.123	-7.02	-2.1395	2.205	-4.9442	-1.2218	-1.8437	2.1446	-2.4556	-3.0146	1.4623	9.8083	2.3017	3.051	3.4165	-3.0993	-0.2983
OSD-379_RR8_LVR_FLT_ISS-T_OLD_FI15	BALB/cAnNTac	Female	FLT	FLT	RRRM-1 (RR-8)	OSD-379	-2.5434	5.5067	9.7526	-2.0769	2.2679	-1.7684	-4.192	4.5324	-4.1047	-2.5486	-4.2963	-0.8244	1.4916	-0.5583	-5.8165	-4.5507	0.9048	-4.7888	-3.9451	-0.1056	1.4878	-5.5673	-2.6331	-0.9849	-0.792	-1.9598	-2.7672	-1.4172	0.1468	3.4194	0.3214	-3.5454	-2.6386	-0.811	3.1815	-3.7392	0.1411	-3.2437	-0.625	-2.3171	-5.8897	-4.5216	-1.7573	4.063	1.4579	1.1913	4.9541	2.2936	-5.1067	-1.4411	4.5182	-2.7336	-0.6414	-2.104	1.1498	-0.4536	-2.1517	-0.1242	9.1209	5.6596	-0.2227	1.6064	-3.0094	-0.3592
OSD-379_RR8_LVR_FLT_ISS-T_OLD_FI18	BALB/cAnNTac	Female	FLT	FLT	RRRM-1 (RR-8)	OSD-379	-1.7566	2.4444	6.6074	-1.9794	-0.4394	-1.0749	-2.8286	2.3705	-3.1754	-3.7915	-4.9128	-2.167	2.4424	-2.6037	-6.8468	-3.698	2.094	-5.4943	-3.1608	-0.8549	-0.6582	-5.0869	-4.7548	-1.6591	-0.4504	1.9315	-2.4348	1.183	-3.5379	-2.706	1.8268	-0.5901	-4.1161	-0.8472	3.4882	-3.6648	-4.6461	-2.617	-3.2085	-3.2038	-4.1419	-4.0873	-2.0244	3.6106	2.7419	-1.2788	5.9295	2.3322	-7.118	-1.7437	1.0152	-5.8354	1.147	-2.6656	-0.157	-1.1148	-3.3077	0.1709	4.3457	0.7731	2.2881	3.4129	-2.2011	-0.2678
OSD-379_RR8_LVR_FLT_ISS-T_OLD_FI19	BALB/cAnNTac	Female	FLT	FLT	RRRM-1 (RR-8)	OSD-379	-1.4733	1.1936	3.9001	-0.8762	-1.1914	-1.3398	-0.0265	1.6192	-3.5251	-1.6762	-2.8947	-2.7971	-1.8052	0.1756	-4.3576	-1.3672	0.3645	-6.5528	-3.8693	0.7223	-0.2344	-5.6843	-5.6917	-0.627	1.3086	-3.4427	1.8462	2.1101	-0.1783	-1.0088	0.1351	-0.431	-0.898	-0.9111	1.6717	-1.1379	-1.3908	-2.6567	-1.6962	-4.8979	-3.593	-2.8468	-2.007	2.0199	2.5293	0.2896	5.1803	0.5321	-4.7879	-0.0404	1.5688	-1.3229	-3.364	-2.2974	-0.9619	-1.6905	-2.4779	-0.5015	6.0382	3.0208	-0.1187	2.3166	-2.2958	-0.6357
OSD-379_RR8_LVR_FLT_ISS-T_OLD_FI20	BALB/cAnNTac	Female	FLT	FLT	RRRM-1 (RR-8)	OSD-379	-1.3297	2.6771	1.3955	-4.5029	2.0168	-0.6159	-3.4449	0.7479	-5.0535	-2.8589	-3.821	-3.7122	5.3221	-5.329	-5.8611	-4.9673	-0.9796	-4.5817	-3.4298	-1.8324	-0.6266	-3.3183	-1.8909	-2.2684	0.747	1.6106	-1.6217	1.1445	-4.1051	1.7799	-0.3398	-0.0646	-5.3761	-0.1316	0.859	-8.5144	-4.1208	-2.0352	-4.3781	-1.3771	-1.7896	-4.1017	-0.1864	4.625	1.7792	-0.3618	6.6311	3.6296	-6.1779	-3.1971	2.2052	-6.215	1.3168	-2.9482	3.2895	-1.3992	-2.8859	2.9944	7.3972	1.8973	2.2468	3.6506	-3.4066	0.6075
OSD-379_RR8_LVR_FLT_ISS-T_YNG_FI1	BALB/cAnNTac	Female	FLT	FLT	RRRM-1 (RR-8)	OSD-379	-1.1619	3.7402	5.9845	-2.075	-1.9701	-1.0867	-4.0858	3.4624	-4.0502	-1.0632	-4.1512	-2.731	2.2216	-2.4579	-5.8277	-3.1798	0.9718	-6.1312	-4.0882	1.0439	1.205	-6.11	-4.635	-0.6444	1.0322	0.7461	-1.7226	1.3407	-2.7659	-3.2823	1.9868	-2.1902	-2.9153	-0.8219	3.576	-2.433	-2.9347	-0.1187	-2.735	-3.9044	-4.8155	-4.3429	-3.3144	4.9036	2.9582	0.2393	4.474	1.6722	-4.7473	-1.9635	0.1031	-3.6137	-0.7922	-3.2023	-0.6988	-2.861	-2.4531	-0.0733	5.8906	2.3973	1.0	3.5059	-2.386	1.0657
OSD-379_RR8_LVR_FLT_ISS-T_YNG_FI2	BALB/cAnNTac	Female	FLT	FLT	RRRM-1 (RR-8)	OSD-379	-2.689	4.8358	4.2013	-2.7187	0.1783	-1.4054	-4.662	1.6021	-6.6213	-2.885	-7.7795	-2.5417	0.456	0.1948	-6.5831	-3.2214	-0.0551	-9.2317	-3.9311	-0.0026	1.7328	-5.5844	-3.4797	-1.3585	-0.5826	-0.7267	-0.2739	1.6352	-0.3065	-3.436	-0.3603	1.064	-3.3696	-0.7941	2.7257	-2.5618	-3.6731	-2.5796	-2.1735	-4.3153	-5.6639	-3.1827	-1.4785	4.7281	3.3147	2.1554	7.6164	1.6446	-6.2676	-1.5425	1.2663	-4.7537	-0.5459	-2.3728	0.6757	-1.5663	-2.2533	-0.68	9.9723	2.5134	1.102	0.3796	-3.9339	0.1957
