tissue	study_accession	gc_samples	flt_samples	total_flt_gc
adrenal_gland	OSD-512	9	9	18
adrenal_gland	OSD-98	5	6	11
adrenal_gland	OSD-161	5	5	10
bone_marrow	OSD-690	12	12	24
cecum	OSD-899	10	10	20
cerebellum	OSD-561	12	14	26
cerebellum	OSD-525	9	9	18
cerebellum	OSD-563	5	5	10
colon	OSD-247	17	19	36
colon	OSD-667	10	9	19
dorsal_skin	OSD-254	20	20	40
dorsal_skin	OSD-243	19	18	37
dorsal_skin	OSD-240	10	10	20
dorsal_skin	OSD-238	6	12	18
extensor_digitorum_longus_muscle	OSD-665	9	9	18
extensor_digitorum_longus_muscle	OSD-99	6	6	12
eye	OSD-100	6	6	12
eye	OSD-162	5	5	10
femoral_skin	OSD-241	10	9	19
femoral_skin	OSD-239	6	11	17
gastrocnemius_muscle	OSD-101	6	6	12
gastrocnemius_muscle	OSD-419	8	4	12
heart	OSD-580	20	20	40
heart	OSD-599	3	3	6
heart	OSD-270	2	3	5
hippocampus	OSD-562	12	15	27
hippocampus	OSD-564	5	5	10
kidney	OSD-253	54	20	74
kidney	OSD-771	20	20	40
kidney	OSD-462	10	10	20
kidney	OSD-513	9	9	18
kidney	OSD-102	6	6	12
kidney	OSD-163	6	6	12
liver	OSD-379	35	35	70
liver	OSD-245	19	20	39
liver	OSD-168	14	14	28
liver	OSD-463	9	9	18
liver	OSD-48	7	7	14
liver	OSD-137	6	6	12
liver	OSD-686	3	6	9
liver	OSD-47	3	3	6
liver	OSD-173	2	2	4
lung	OSD-248	19	20	39
lung	OSD-900	10	10	20
lung	OSD-464	8	9	17
mammary_gland	OSD-511	15	10	25
optic_nerve	OSD-759	12	23	35
quadriceps_muscle	OSD-666	9	9	18
quadriceps_muscle	OSD-103	6	6	12
quadriceps_muscle	OSD-326	4	4	8
retina	OSD-758	12	23	35
retina	OSD-255	8	8	16
retina	OSD-397	7	9	16
retina	OSD-194	4	5	9
soleus_muscle	OSD-714	9	12	21
soleus_muscle	OSD-770	9	9	18
soleus_muscle	OSD-104	6	6	12
spermatogonia	OSD-901	3	3	6
spleen	OSD-246	16	14	30
spleen	OSD-420	10	10	20
spleen	OSD-506	8	9	17
spleen	OSD-288	3	6	9
thymus	OSD-244	18	17	35
thymus	OSD-421	10	10	20
thymus	OSD-515	9	7	16
thymus	OSD-289	3	12	15
tibialis_anterior_muscle	OSD-576	9	9	18
tibialis_anterior_muscle	OSD-105	6	6	12
