tissue_system	gc_samples	flt_samples	total_flt_gc	n_tissues	tissues	n_studies	osd_accessions
metabolic_digestive	98	102	200	1	liver	9	OSD-137,OSD-168,OSD-173,OSD-245,OSD-379,OSD-463,OSD-47,OSD-48,OSD-686
renal	105	71	176	1	kidney	6	OSD-102,OSD-163,OSD-253,OSD-462,OSD-513,OSD-771
skeletal_muscle	87	86	173	5	extensor_digitorum_longus_muscle,gastrocnemius_muscle,quadriceps_muscle,soleus_muscle,tibialis_anterior_muscle	12	OSD-101,OSD-103,OSD-104,OSD-105,OSD-326,OSD-419,OSD-576,OSD-665,OSD-666,OSD-714,OSD-770,OSD-99
immune	77	85	162	2	spleen,thymus	8	OSD-244,OSD-246,OSD-288,OSD-289,OSD-420,OSD-421,OSD-506,OSD-515
integumentary	71	80	151	2	dorsal_skin,femoral_skin	6	OSD-238,OSD-239,OSD-240,OSD-241,OSD-243,OSD-254
visual	54	79	133	3	eye,optic_nerve,retina	7	OSD-100,OSD-162,OSD-194,OSD-255,OSD-397,OSD-758,OSD-759
nervous_system	43	48	91	2	cerebellum,hippocampus	5	OSD-525,OSD-561,OSD-562,OSD-563,OSD-564
respiratory	37	39	76	1	lung	3	OSD-248,OSD-464,OSD-900
gastrointestinal	37	38	75	2	cecum,colon	3	OSD-247,OSD-667,OSD-899
cardiovascular	25	26	51	1	heart	3	OSD-270,OSD-580,OSD-599
endocrine	19	20	39	1	adrenal_gland	3	OSD-161,OSD-512,OSD-98
reproductive	15	10	25	1	mammary_gland	1	OSD-511
hematopoietic_immune	12	12	24	1	bone_marrow	1	OSD-690
reproductive_cells	3	3	6	1	spermatogonia	1	OSD-901
