figure	png_width_pixels	png_height_pixels	authored_width_inches_at_300dpi	authored_height_inches_at_300dpi	png_bytes	pdf_exists	pdf_bytes	nonwhite_border_pixel_fraction
figure_1_workflow_architecture	2160	1395	7.2	4.65	177488	True	76939	0.0
figure_2_latent_mapping	2160	1755	7.2	5.85	755371	True	125885	0.0
figure_3_tissue_pathway_shifts	2160	1875	7.2	6.25	213291	True	53981	0.0
figure_4_evidence_gene_support	2160	2025	7.2	6.75	292229	True	51457	0.0
figure_5_skin_protocol_context	2160	1905	7.2	6.35	458862	True	82791	0.0
figure_6_tissue_state_hypotheses	2160	1905	7.2	6.35	389732	True	136554	0.0
figure_s1_broad_pathway_screen	2160	2640	7.2	8.8	610465	True	112665	0.0
figure_s2_skin_project_balance_sensitivity	4954	2722	16.513333333333332	9.073333333333334	560292	True	49204	0.0
figure_s3_expanded_family_review	4699	3317	15.663333333333334	11.056666666666667	795985	True	46160	0.0
figure_s4_method_and_heldout_robustness	5400	2700	18.0	9.0	644404	True	51794	0.0
figure_s5_composition_proxy_sensitivity	4800	3300	16.0	11.0	519802	True	35725	0.0
figure_s6_training_seed_sensitivity	4200	3600	14.0	12.0	715121	True	64819	0.0
figure_s7_pathway_robustness_matrix	2160	2235	7.2	7.45	318977	True	98584	0.0
figure_s8_original_tissue_sensitivity	4894	2074	16.313333333333333	6.913333333333333	354951	True	38126	0.0
figure_s9_program_score_distributions	2160	1575	7.2	5.25	378981	True	58125	0.0
