reference_number	status	title_similarity	doi	doi_url	manuscript_title	registry_title	registry_journal	registry_year	verified_at_utc
1	verified	1.0	10.1093/nar/gkae1116	https://doi.org/10.1093/nar/gkae1116	NASA open science data repository: open science for life in space	NASA open science data repository: open science for life in space	Nucleic Acids Research	2025	2026-07-14T21:54:08.017117+00:00
2	verified	1.0	10.1038/s41556-022-01072-x	https://doi.org/10.1038/s41556-022-01072-x	Biologically informed deep learning to query gene programs in single-cell atlases	Biologically informed deep learning to query gene programs in single-cell atlases	Nature Cell Biology	2023	2026-07-14T21:54:08.017117+00:00
3	verified	1.0	10.1038/s41587-021-01001-7	https://doi.org/10.1038/s41587-021-01001-7	Mapping single-cell data to reference atlases by transfer learning	Mapping single-cell data to reference atlases by transfer learning	Nature Biotechnology	2022	2026-07-14T21:54:08.017117+00:00
4	verified	1.0	10.1038/s41467-018-03751-6	https://doi.org/10.1038/s41467-018-03751-6	Massive mining of publicly available RNA-seq data from human and mouse	Massive mining of publicly available RNA-seq data from human and mouse	Nature Communications	2018	2026-07-14T21:54:08.017117+00:00
5	verified	1.0	10.1093/nar/gkad1025	https://doi.org/10.1093/nar/gkad1025	The Reactome Pathway Knowledgebase 2024	The Reactome Pathway Knowledgebase 2024	Nucleic Acids Research	2024	2026-07-14T21:54:08.017117+00:00
6	verified	1.0	10.1038/s41598-019-56432-9	https://doi.org/10.1038/s41598-019-56432-9	Impact of spaceflight on the murine thymus and mitigation by exposure to artificial gravity during spaceflight	Impact of spaceflight on the murine thymus and mitigation by exposure to artificial gravity during spaceflight	Scientific Reports	2019	2026-07-14T21:54:08.017117+00:00
7	verified	1.0	10.1371/journal.pone.0075097	https://doi.org/10.1371/journal.pone.0075097	Changes in mouse thymus and spleen after return from the STS-135 mission in space	Changes in Mouse Thymus and Spleen after Return from the STS-135 Mission in Space	PLoS ONE	2013	2026-07-14T21:54:08.017117+00:00
8	verified	1.0	10.1002/jcb.22547	https://doi.org/10.1002/jcb.22547	Microarray analysis of spaceflown murine thymus tissue reveals changes in gene expression regulating stress and glucocorticoid receptors	Microarray analysis of spaceflown murine thymus tissue reveals changes in gene expression regulating stress and glucocorticoid receptors	Journal of Cellular Biochemistry	2010	2026-07-14T21:54:08.017117+00:00
9	verified	1.0	10.1038/s41598-024-79315-0	https://doi.org/10.1038/s41598-024-79315-0	Impact of microgravity and lunar gravity on murine skeletal and immune systems during space travel	Impact of microgravity and lunar gravity on murine skeletal and immune systems during space travel	Scientific Reports	2024	2026-07-14T21:54:08.017117+00:00
10	verified	1.0	10.1038/s42003-023-05251-w	https://doi.org/10.1038/s42003-023-05251-w	Nrf2 alleviates spaceflight-induced immunosuppression and thrombotic microangiopathy in mice	Nrf2 alleviates spaceflight-induced immunosuppression and thrombotic microangiopathy in mice	Communications Biology	2023	2026-07-14T21:54:08.017117+00:00
11	verified	1.0	10.1038/s41467-026-68737-1	https://doi.org/10.1038/s41467-026-68737-1	MiRNAs shape mouse age-independent tissue adaptation to spaceflight via ECM and developmental pathways	MiRNAs shape mouse age-independent tissue adaptation to spaceflight via ECM and developmental pathways	Nature Communications	2026	2026-07-14T21:54:08.017117+00:00
12	verified	1.0	10.1038/s43856-024-00532-9	https://doi.org/10.1038/s43856-024-00532-9	Transcriptomics analysis reveals molecular alterations underpinning spaceflight dermatology	Transcriptomics analysis reveals molecular alterations underpinning spaceflight dermatology	Communications Medicine	2024	2026-07-14T21:54:08.017117+00:00
13	verified	1.0	10.1038/s41467-024-48625-2	https://doi.org/10.1038/s41467-024-48625-2	Spatial multi-omics of human skin reveals KRAS and inflammatory responses to spaceflight	Spatial multi-omics of human skin reveals KRAS and inflammatory responses to spaceflight	Nature Communications	2024	2026-07-14T21:54:08.017117+00:00
14	verified	1.0	10.3109/10715762.2014.920086	https://doi.org/10.3109/10715762.2014.920086	Biological and metabolic response in STS-135 space-flown mouse skin	Biological and metabolic response in STS-135 space-flown mouse skin	Free Radical Research	2014	2026-07-14T21:54:08.017117+00:00
