term	short_label	evidence_role	paper_interpretation	paper_citations	tissue	n_flight	n_ground_control	mean_flight	mean_ground_control	flight_minus_ground	welch_p	mannwhitney_p	welch_fdr	mannwhitney_fdr	raw_mean_flight	raw_mean_ground_control	raw_flight_minus_ground	n_accessions_study_test	mean_accession_effect	median_accession_effect	wilcoxon_p	wilcoxon_fdr	raw_mean_accession_effect	raw_median_accession_effect	n_accessions_meta	meta_effect	meta_se	meta_p	tau2	i2	n_accession_same_direction	n_accession_opposite_direction	meta_fdr	raw_meta_effect	n_leave_one_out	n_same_direction	minimum_leave_one_out_fdr	maximum_leave_one_out_fdr	latent_orientation	active_latent_program	absolute_study_balanced_effect	within_tissue_magnitude_percentile	restricted_study_balanced_effect	restricted_effect_min	restricted_effect_max	restricted_accessions	restricted_positive	restricted_negative	restricted_direction_matches_full	pathway_genes_in_hvg_model	pathway_genes_pooled_fdr_lt_005	fraction_pathway_genes_pooled_fdr_lt_005	significant_genes_same_direction	significant_genes_opposite_direction	top_gene_examples	full_input_study_balanced_effect	full_input_accessions	full_input_positive	full_input_negative	primary_analysis_scope	context_aware_annotation	protocol_consistency_status	context_sensitive_reason	skin_dorsal_microgravity_effect	skin_femoral_microgravity_effect	skin_dorsal_artificial_1g_effect	skin_femoral_artificial_1g_effect	skin_true_microgravity_same_direction	skin_project_balanced_effect	skin_projects	skin_project_positive	skin_project_negative
R-MMU-69278_CELL_CYCLE_MITOTIC	Mitotic cell cycle	aligned	Reduced thymocyte proliferation	Horie2019;Gridley2013	thymus	63	54	0.7505844612222222	2.028551203703704	-1.2779667424814818	1.5780513795168538e-10	2.8510396087767476e-10	6.558646200929782e-09	1.003047571451456e-08	0.7505844612222222	2.028551203703704	-1.2779667424814818	5	-1.438332769986316	-1.217505232631579	0.0625	0.1950604838709677	-1.438332769986316	-1.217505232631579	5	-1.434128320933611	0.3857996544254518	0.0002013730585758	0.668957985510762	0.9422999686708048	5	0	0.0010390849822512	-1.434128320933611	5	5	1.6091324225108785e-08	0.0272618194164077	1.0	True	1.438332769986316	1.0	-1.5081839853995613	-2.6461797903	-0.7433297166666664	4	0	4	True	149	63	0.4228187919463087	59	4	ENSMUSG00000027715:-1.62; ENSMUSG00000022034:-1.55; ENSMUSG00000023940:-1.50; ENSMUSG00000041431:-1.49; ENSMUSG00000019942:-1.49					Study-balanced flight versus ground control		Direction preserved after excluding OSD-289										
R-MMU-73894_DNA_REPAIR	DNA repair	complementary	Reduced DNA-repair program	Gridley2013;Luxton2020	thymus	63	54	0.6180033641269843	1.5465066252777775	-0.9285032611507934	4.1910834966734955e-11	1.483244114856043e-11	2.3170704474466327e-09	8.841559243755937e-10	-0.6180033641269843	-1.5465066252777775	0.9285032611507934	5	-1.0068827600368422	-0.9329600186842104	0.0625	0.1950604838709677	1.0068827600368422	0.9329600186842104	5	-1.005223222875987	0.2707381077382378	0.000204898751185	0.3288925757202588	0.9428012050444212	5	0	0.0010433660093236	1.005223222875987	5	5	7.987914066378527e-08	0.0250628891359118	-1.0	True	1.0068827600368422	0.9893992932862191	-1.0496250444210526	-1.771469242	-0.5211308550000007	4	0	4	True	62	19	0.3064516129032258	18	1	ENSMUSG00000027715:-1.62; ENSMUSG00000040204:-1.59; ENSMUSG00000039396:-1.37; ENSMUSG00000035455:-1.30; ENSMUSG00000034023:-1.17					Study-balanced flight versus ground control		Direction preserved after excluding OSD-289										
R-MMU-202403_TCR_SIGNALING	T-cell receptor signaling	aligned	Reduced adaptive immune signaling	Lebsack2010;Gridley2009	thymus	63	54	1.8093693653333336	2.162293571111111	-0.352924205777777	0.0285164722856354	0.0002800355336452	0.061510901180301	0.0013546718940086	-1.8093693653333336	-2.162293571111111	0.352924205777777	5	-0.2550683513754384	-0.2067610666666666	0.125	0.3081210191082802	0.2550683513754384	0.2067610666666666	5	-0.2053828452489708	0.0680792901718482	0.0025544291681315	0.0145608704042175	0.8005402773124983	4	1	0.0091533711858047	0.2053828452489708	5	5	6.689669953809592e-05	0.154736064241441	-1.0	True	0.2550683513754384	0.7915194346289752	-0.255623764219298	-0.7566090802105265	0.0087099500000009	4	1	3	True	32	5	0.15625	4	1	ENSMUSG00000076490:-0.86; ENSMUSG00000030775:-0.79; ENSMUSG00000076498:-0.78; ENSMUSG00000002033:-0.56; ENSMUSG00000067341:+0.56					Study-balanced flight versus ground control		Direction preserved after excluding OSD-289										
R-MMU-166166_MYD88_INDEPENDENT_TLR4_CASCADE	Innate TLR signaling	complementary	Innate inflammatory signaling	Shimizu2023;Okamura2024	thymus	63	54	-0.3010331762063492	-0.6281349740740741	0.3271017978677249	1.3085456626917426e-09	3.589464443544617e-09	3.3760478097446964e-08	7.717348553620928e-08	-0.3010331762063492	-0.6281349740740741	0.3271017978677249	5	0.3124392548473684	0.312958283736842	0.0625	0.1950604838709677	0.3124392548473684	0.312958283736842	5	0.3364385682463598	0.0412104093149678	3.2431830314173857e-16	0.0036968414812526	0.4606522604734956	5	0	2.5102236663170564e-14	0.3364385682463598	5	5	4.537750079811825e-22	1.687361422845736e-07	1.0	True	0.3124392548473684	0.8480565371024735	0.29935322676754383	0.1217247409999999	0.461958003	4	4	0	True	26	6	0.23076923076923078	6	0	ENSMUSG00000025498:+0.81; ENSMUSG00000022892:+0.74; ENSMUSG00000060477:+0.72; ENSMUSG00000051439:+0.68; ENSMUSG00000038058:+0.64					Study-balanced flight versus ground control		Direction preserved after excluding OSD-289										
R-MMU-198933_IMMUNOREGULATORY_INTERACTIONS_BETWEEN_A_LYMPHOID_AND_A_NON_LYMPHOID_CELL	Lymphoid-stromal interactions	complementary	Weaker thymocyte-niche coordination	Horie2019;Grandke2026	thymus	63	54	0.5460691420634922	0.965190556425926	-0.4191214143624336	0.0002537050685297	0.0014215479912534	0.0012751150846886	0.0052897987751449	0.5460691420634922	0.965190556425926	-0.4191214143624336	5	-0.5009776116961403	-0.5803713539473684	0.0625	0.1950604838709677	-0.5009776116961403	-0.5803713539473684	5	-0.4394053007522548	0.0750043774279554	4.6736079618602415e-09	0.0150221026177683	0.6478686361110378	5	0	6.236849245654875e-08	-0.4394053007522548	5	5	1.0041049838232564e-09	0.000573772977469	1.0	True	0.5009776116961403	0.9399293286219081	-0.5319108237868422	-0.6626270522	-0.2910010500000002	4	0	4	True	79	17	0.21518987341772153	7	10	ENSMUSG00000079685:-0.94; ENSMUSG00000076490:-0.86; ENSMUSG00000067235:+0.82; ENSMUSG00000024164:+0.80; ENSMUSG00000053044:-0.78					Study-balanced flight versus ground control		Direction preserved after excluding OSD-289										
R-MMU-8980692_RHOA_GTPASE_CYCLE	RHOA cytoskeletal cycle	complementary	Reduced migration and adhesion signaling	Horie2019;Grandke2026	thymus	63	54	-0.1522769974126984	0.6231687868148147	-0.7754457842275131	1.380724014150628e-14	8.995466170613916e-16	2.6717009673814648e-12	3.4812454080275854e-13	-0.1522769974126984	0.6231687868148147	-0.7754457842275131	5	-0.812444811658421	-0.6056530179166667	0.0625	0.1950604838709677	-0.812444811658421	-0.6056530179166667	5	-0.8123568141532117	0.2863706433822718	0.0045577828750769	0.3974012938282037	0.9765096447931836	5	0	0.0144578850217605	-0.8123568141532117	5	5	2.501695268913419e-09	0.0691771134300745	1.0	True	0.812444811658421	0.9752650176678446	-0.8641427600938596	-1.8383834002	-0.3866202933333333	4	0	4	True	49	16	0.32653061224489793	7	9	ENSMUSG00000027699:-1.15; ENSMUSG00000021697:-1.13; ENSMUSG00000022021:-1.13; ENSMUSG00000036777:-1.10; ENSMUSG00000023015:-0.95					Study-balanced flight versus ground control		Direction preserved after excluding OSD-289										
R-MMU-1474244_EXTRACELLULAR_MATRIX_ORGANIZATION	Extracellular matrix organization	complementary	Thymic stromal-scaffold response	Grandke2026	thymus	63	54	-0.6142611314285713	-0.9789151668518516	0.3646540354232803	0.0031409297174076	0.0056185779699524	0.0096471412748949	0.0155313548169401	-0.6142611314285713	-0.9789151668518516	0.3646540354232803	5	0.431807671177193	0.351562457	0.0625	0.1950604838709677	0.431807671177193	0.351562457	5	0.4159498103718014	0.0818443310158292	3.730750389868855e-07	0.0179612771426809	0.6530047326261116	5	0	3.7020523099467865e-06	0.4159498103718014	5	5	2.711146775234256e-07	9.483476813950088e-05	1.0	True	0.431807671177193	0.9081272084805654	0.4054571737631579	0.2141076769999998	0.7552350610526315	4	4	0	True	115	34	0.2956521739130435	33	1	ENSMUSG00000024940:+0.93; ENSMUSG00000040152:+0.89; ENSMUSG00000028041:+0.89; ENSMUSG00000026193:+0.85; ENSMUSG00000027204:+0.85					Study-balanced flight versus ground control		Direction preserved after excluding OSD-289										
R-MMU-6805567_KERATINIZATION	Keratinization	aligned	Lower in pooled skin and under true microgravity at both MHU-2 sites	Cope2024;Neutelings2015	skin	80	71	5.044274702875	6.413217451690141	-1.368942748815141	0.0033317780692923	0.0115425618967321	0.0241553910023693	0.0476071038384113	-5.044274702875	-6.413217451690141	1.368942748815141	6	-1.220864622405193	-1.2402329241666674	0.15625	0.5600421348314607	1.220864622405193	1.2402329241666674	6	-1.3243555850221225	0.5446277111030864	0.0150293387937471	0.8219098769829712	0.4667130731976527	5	1	0.0965949315262795	1.3243555850221225	6	6	0.0090230310700366	0.4893989535288366	-1.0	True	1.220864622405193	1.0	-1.220864622405193	-2.7988122000000004	0.6495711599999998	6	1	5	True	70	13	0.18571428571428572	13	0	ENSMUSG00000116336:-1.87; ENSMUSG00000057723:-1.87; ENSMUSG00000047641:-1.84; ENSMUSG00000048981:-1.80; ENSMUSG00000048013:-1.76					Six-accession broad spaceflight estimate; MHU-2 artificial 1 g is included in the top-level flight label	Pooled effect -1.221. True microgravity was -3.314 in dorsal and -2.327 in femoral skin; onboard artificial 1 g was -2.283 in dorsal and +1.418 in femoral skin. After paired sites were collapsed to four mission projects, the project-balanced effect was -1.484 (3 lower, 1 higher). Literature role remains aligned because protocol consistency and prior-literature alignment are separate judgments.	MHU-2 true-microgravity direction agrees between dorsal and femoral skin		-3.3141483333333346	-2.3265228166666656	-2.283476066666667	1.4182201166666673	True	-1.483945117925971	4.0	1.0	3.0
R-MMU-73894_DNA_REPAIR	DNA repair	context_sensitive	Lower under true microgravity at both MHU-2 sites but heterogeneous across missions	Cope2024;Park2024	skin	80	71	-0.62108224625	-0.2825785148591549	-0.338503731390845	0.0001939459526017	0.0003891343427015	0.0088010188437846	0.0120508754196544	0.62108224625	0.2825785148591549	0.338503731390845	6	-0.2570837021910508	-0.1890080042681817	0.4375	0.6067934782608696	0.2570837021910508	0.1890080042681817	6	-0.2660652593355864	0.1396171123937737	0.0566919954834103	0.0765247486784443	0.6631077236012949	3	3	0.1708781764493657	0.2660652593355864	6	6	0.0662603019280912	0.528895151692225	-1.0	True	0.2570837021910508	0.9347079037800687	-0.25708370219105087	-0.6702434011666667	0.1229319012999999	6	3	3	True	41	6	0.14634146341463414	5	1	ENSMUSG00000042489:-0.50; ENSMUSG00000017146:-0.48; ENSMUSG00000035455:-0.46; ENSMUSG00000037474:-0.45; ENSMUSG00000007080:-0.33					Six-accession broad spaceflight estimate; MHU-2 artificial 1 g is included in the top-level flight label	Pooled effect -0.257. True microgravity was -0.902 in dorsal and -0.372 in femoral skin; onboard artificial 1 g was -0.439 in dorsal and +0.325 in femoral skin. After paired sites were collapsed to four mission projects, the project-balanced effect was -0.320 (3 lower, 1 higher). Literature role remains context sensitive because protocol consistency and prior-literature alignment are separate judgments.	MHU-2 true-microgravity direction agrees between dorsal and femoral skin	True microgravity is lower at both MHU-2 sites, but the broad six-accession effects divide 3 lower and 3 higher. Collapsing paired sites gives 3 lower and 1 higher mission-project effects, so cross-project heterogeneity remains.	-0.9015497403333332	-0.37216457899999994	-0.43893706200000004	0.3246211193333334	True	-0.3204309184334197	4.0	1.0	3.0
R-MMU-421270_CELL_CELL_JUNCTION_ORGANIZATION	Cell-cell junction organization	aligned	Lower pooled and true-microgravity barrier and tissue-coordination program	Park2024;Cope2024	skin	80	71	-0.9096998518625	-0.6738736148929577	-0.2358262369695423	0.0023551096498557	0.0044729958452772	0.0187819994575995	0.0285377134928687	-0.9096998518625	-0.6738736148929577	-0.2358262369695423	6	-0.196829532122068	-0.1997403991666668	0.15625	0.5600421348314607	-0.196829532122068	-0.1997403991666668	6	-0.2261186973525954	0.0909583195670775	0.0129202673655948	0.0220190750198999	0.4511249459493942	5	1	0.0919252699310968	-0.2261186973525954	6	6	0.0042579337694309	0.4893989535288366	1.0	True	0.196829532122068	0.8694158075601375	-0.19682953212206802	-0.5523429855087716	0.1260610091399999	6	1	5	True	69	4	0.057971014492753624	1	3	ENSMUSG00000039385:-0.94; ENSMUSG00000031871:+0.40; ENSMUSG00000021756:+0.20; ENSMUSG00000011256:+0.17					Six-accession broad spaceflight estimate; MHU-2 artificial 1 g is included in the top-level flight label	Pooled effect -0.197. True microgravity was -0.405 in dorsal and -0.424 in femoral skin; onboard artificial 1 g was -0.142 in dorsal and +0.237 in femoral skin. After paired sites were collapsed to four mission projects, the project-balanced effect was -0.253 (3 lower, 1 higher). Literature role remains aligned because protocol consistency and prior-literature alignment are separate judgments.	MHU-2 true-microgravity direction agrees between dorsal and femoral skin		-0.40546109833333344	-0.4243566166666669	-0.14222301166666673	0.23664891833333324	True	-0.25309080665514744	4.0	1.0	3.0
