tissue	analysis_role	term	display_label	evidence_role	effect_seed2020	effect_seed2021	effect_seed2022	seed_effect_median	seed_effect_minimum	seed_effect_maximum	expimap_n_projects	expimap_projects_positive	expimap_projects_negative	ssgsea_project_balanced_effect	gsea_nes	gsea_fdr	heldout_project_direction_concordance	absolute_effect_ratio_adjusted_to_unadjusted	robustness_support_count	robustness_status	manual_rationale	literature_keys
thymus	main	R-MMU-73894_DNA_REPAIR	DNA repair	complementary	-1.0068827600368422	-0.9015843860249124	-0.8037649369084209	-0.9015843860249124	-1.0068827600368422	-0.8037649369084209	5	0	5	-0.1204841217920184	-3.437222501550093	0.0	1.0	0.5899398373984607	5	triangulated	Reduced DNA-repair program	Gridley2013;Luxton2020
thymus	main	R-MMU-8980692_RHOA_GTPASE_CYCLE	RHOA cytoskeletal cycle	complementary	-0.812444811658421	-0.1007269429859649	-0.4783944643340351	-0.4783944643340351	-0.812444811658421	-0.1007269429859649	5	0	5	-0.0051604514543331	-1.3121738708570936	0.1538035622773124	1.0	0.8212326841597647	5	triangulated	Reduced migration and adhesion signaling	Horie2019;Grandke2026
thymus	main	R-MMU-198933_IMMUNOREGULATORY_INTERACTIONS_BETWEEN_A_LYMPHOID_AND_A_NON_LYMPHOID_CELL	Lymphoid-stromal interactions	complementary	-0.5009776116961404	-0.6171937039105263	-0.6248517052631578	-0.6171937039105263	-0.6248517052631578	-0.5009776116961404	5	0	5	0.007992161507948	0.6469112129772719	1.0	1.0	0.4165431726438652	3	internally robust, incomplete conventional support	Weaker thymocyte-niche coordination	Horie2019;Grandke2026
skin	main	R-MMU-3247509_CHROMATIN_MODIFYING_ENZYMES	Chromatin-modifying enzymes	complementary	-0.6630485382809012	-0.7012429160440016	-0.7411648554853136	-0.7012429160440016	-0.7411648554853136	-0.6630485382809012	4	1	3	-0.0258902000166598	-2.3656060963188144	0.0	0.75	0.8455155013066948	5	triangulated	Lower true-microgravity chromatin-regulatory program at both MHU-2 sites	Cope2024;Park2024
skin	main	R-MMU-73894_DNA_REPAIR	DNA repair	context_sensitive	-0.2570837021910508	-0.3221797297519715	-0.2257341982679855	-0.2570837021910508	-0.3221797297519715	-0.2257341982679855	4	1	3	-0.0281181576018733	-2.2386359170064947	0.0	0.75	0.8212379318704098	5	triangulated	Lower under true microgravity at both MHU-2 sites but heterogeneous across missions	Cope2024;Park2024
skin	main	R-MMU-5358351_SIGNALING_BY_HEDGEHOG	Hedgehog signaling	complementary	-0.2357627724753544	-0.363538229410677	-0.431711866197993	-0.363538229410677	-0.431711866197993	-0.2357627724753544	4	1	3	-0.00705031448779	-1.2663019992626967	0.2803988755163084	0.75	0.7849241780002757	5	triangulated	Lower true-microgravity epithelial and follicular signaling at both MHU-2 sites	Neutelings2015;Cope2024
skin	main	R-MMU-428157_SPHINGOLIPID_METABOLISM	Sphingolipid metabolism	complementary	-0.1943057259062245	-0.1789788699221083	-0.1985733076614124	-0.1943057259062245	-0.1985733076614124	-0.1789788699221083	4	1	3	0.0011576221360679	-0.8302041855592661	0.8967964300385546	0.75	0.6890710866900777	5	triangulated	Lower true-microgravity barrier-lipid program at both MHU-2 sites	Mao2014;Cope2024
skin	main	R-MMU-421270_CELL_CELL_JUNCTION_ORGANIZATION	Cell-cell junction organization	complementary	-0.196829532122068	-0.1617548554955165	-0.0762576979297258	-0.1617548554955165	-0.196829532122068	-0.0762576979297258	4	1	3	0.0009613845109718	-1.7562997260362307	0.0069692189393679	0.75	0.6834503601277305	4	internally robust, incomplete conventional support	Lower pooled and true-microgravity barrier and tissue-coordination program	Park2024;Cope2024
liver	main	R-MMU-2132295_MHC_CLASS_II_ANTIGEN_PRESENTATION	MHC class II antigen presentation	complementary	-0.1601722002417713	-0.0290735111838774	-0.1576586725887939	-0.1576586725887939	-0.1601722002417713	-0.0290735111838774	9	1	8	-0.0136920829301542	-1.6227117702072062	0.1214183400730233	0.8888888888888888	0.5311452767461255	5	triangulated	Lower adaptive immune communication in 8 of 10 de-duplicated cohort sources	Shimizu2023;daSilveira2020
liver	main	R-MMU-202403_TCR_SIGNALING	T-cell receptor signaling	complementary	-0.096550787164733	-0.0638722776534587	-0.0096844865871088	-0.0638722776534587	-0.096550787164733	-0.0096844865871088	9	1	8	-0.0232888146221065	-1.8176460475936616	0.051158031198897	0.8888888888888888	1.0369185846937323	5	triangulated	Lower adaptive immune signaling in 9 of 10 de-duplicated cohort sources	Shimizu2023;daSilveira2020
