tissue	family_id	process_family	family_literature_role	family_narrative_decision	n_candidate_pathways	representative_term	representative_label	representative_effect	representative_rank	minimum_family_effect	maximum_family_effect	pathways_higher_in_flight	pathways_lower_in_flight	pathways_direction_preserved_in_sensitivity	pathways_with_opposite_nested_program	median_absolute_within_accession_score_correlation	maximum_reactome_gene_jaccard	maximum_reactome_gene_overlap_coefficient	family_synthesis	supporting_references	interpretive_caution	member_labels	member_terms
liver	off_context	Tissue-incongruent labels	not_interpretable	exclude	2	R-MMU-5576891_CARDIAC_CONDUCTION	Cardiac Conduction	-0.1144005837917067	15.0	-0.1144005837917067	-0.0853351684769045	0	2	2	0	0.7800811696982392	0.09090909090909091	0.36	Cardiac-conduction and neuronal-system labels do not provide credible liver-specific pathway interpretations.		Shared ion-channel or receptor genes can generate these labels without cardiac or neuronal tissue activity.	Cardiac Conduction;Neuronal System	R-MMU-5576891_CARDIAC_CONDUCTION;R-MMU-112316_NEURONAL_SYSTEM
liver	broad_receptor_signaling	Broad receptor and stress signaling	not_interpretable	exclude	4	R-MMU-372790_SIGNALING_BY_GPCR	Signaling By GPCR	-0.095428292642062	32.0	-0.0960492505009574	0.0900018509880884	1	3	4	1	0.2040199209694889	0.3094098883572568	1.0	Umbrella receptor, second-messenger, and stimulus-response terms are too broad to support a distinct hepatic mechanism.	21;22	The constituent receptors and responding cell populations are unresolved.	Peptide Ligand Binding Receptors;Intracellular Signaling By Second Messengers;Signaling By GPCR;Cellular Responses To Stimuli	R-MMU-375276_PEPTIDE_LIGAND_BINDING_RECEPTORS;R-MMU-9006925_INTRACELLULAR_SIGNALING_BY_SECOND_MESSENGERS;R-MMU-372790_SIGNALING_BY_GPCR;R-MMU-8953897_CELLULAR_RESPONSES_TO_STIMULI
liver	xenobiotic_redox	Xenobiotic and redox metabolism	context_sensitive	existing_context	4	R-MMU-211897_CYTOCHROME_P450_ARRANGED_BY_SUBSTRATE_TYPE	Cytochrome P450	0.2391881175291052	1.0	-0.0956060495636214	0.2391881175291052	3	1	4	0	0.39606290285429907	0.35046728971962615	1.0	Known hepatic xenobiotic biology is recovered, but CYP, biological-oxidation, drug-specific ADME, and glutathione terms do not define one uniform direction.	17;19;20	CYP directions split by cohort, prednisone is exposure-specific, and glutathione score does not measure hepatic glutathione abundance.	Cytochrome P450;Prednisone Adme;Biological Oxidations;Glutathione conjugation	R-MMU-211897_CYTOCHROME_P450_ARRANGED_BY_SUBSTRATE_TYPE;R-MMU-9757110_PREDNISONE_ADME;R-MMU-211859_BIOLOGICAL_OXIDATIONS;R-MMU-156590_GLUTATHIONE_CONJUGATION
liver	lipid_endocrine	Lipid and endocrine regulation	context_sensitive	existing_context	7	R-MMU-422356_REGULATION_OF_INSULIN_SECRETION	Regulation of insulin secretion	-0.1006466682984334	23.0	-0.1006466682984334	0.1512613271602796	4	3	7	1	0.274211315638946	0.017123287671232876	0.07575757575757576	The family recovers established lipid and endocrine disruption, but its child programs separate into lower insulin and cholesterol scores and higher steroid, phospholipid, peroxisomal, and AKT-associated scores.	17;18;21;23	The Reactome insulin-secretion label is not evidence that hepatocytes secrete insulin, and nested signaling scores should not be treated as independent mechanisms.	Metabolism Of Steroid Hormones;Peroxisomal Protein Import;Pip3 Activates Akt Signaling;Regulation of insulin secretion;Cholesterol Biosynthesis;Glycerophospholipid Biosynthesis;Binding And Uptake Of Ligands By Scavenger Receptors	R-MMU-196071_METABOLISM_OF_STEROID_HORMONES;R-MMU-9033241_PEROXISOMAL_PROTEIN_IMPORT;R-MMU-1257604_PIP3_ACTIVATES_AKT_SIGNALING;R-MMU-422356_REGULATION_OF_INSULIN_SECRETION;R-MMU-191273_CHOLESTEROL_BIOSYNTHESIS;R-MMU-1483206_GLYCEROPHOSPHOLIPID_BIOSYNTHESIS;R-MMU-2173782_BINDING_AND_UPTAKE_OF_LIGANDS_BY_SCAVENGER_RECEPTORS
liver	immune_effector	Adaptive and innate effector programs	complementary	existing_core_axis	7	R-MMU-2132295_MHC_CLASS_II_ANTIGEN_PRESENTATION	MHC class II antigen presentation	-0.1601722002417713	5.0	-0.2006165210753361	-0.096550787164733	0	7	7	1	0.7316147287697978	0.28175026680896476	1.0	Lower MHC-I and MHC-II presentation, T-cell receptor, interleukin, complement, and neutrophil-degranulation scores extend the current lower hepatic immune-communication axis.	10;22	Bulk liver cannot distinguish regulation within resident cells from altered abundance of lymphocytes, Kupffer cells, neutrophils, or other non-parenchymal cells.	Immune System;MHC class II antigen presentation;Neutrophil Degranulation;Complement Cascade;Class I MHC Mediated Antigen Processing Presentation;Signaling By Interleukins;T-cell receptor signaling	R-MMU-168256_IMMUNE_SYSTEM;R-MMU-2132295_MHC_CLASS_II_ANTIGEN_PRESENTATION;R-MMU-6798695_NEUTROPHIL_DEGRANULATION;R-MMU-166658_COMPLEMENT_CASCADE;R-MMU-983169_CLASS_I_MHC_MEDIATED_ANTIGEN_PROCESSING_PRESENTATION;R-MMU-449147_SIGNALING_BY_INTERLEUKINS;R-MMU-202403_TCR_SIGNALING
liver	matrix_mechanical_vascular	Matrix, mechanical, and vascular regulation	complementary	existing_support_axis	7	R-MMU-9012999_RHO_GTPASE_CYCLE	Rho-family GTPase cycle	-0.1305615628553439	10.0	-0.1484330415392139	-0.0955677224403534	0	7	7	0	0.3600198155572497	0.15151515151515152	1.0	Predominantly lower Rho-family, matrix, proteoglycan, VEGF, vascular-wall, and platelet-calcium scores reinforce a structural and non-parenchymal regulation layer beside metabolic dysfunction.	18;23	The family does not establish lower matrix abundance, lower fibrosis, impaired blood flow, or a causal mechanical stimulus.	Cell Surface Interactions At The Vascular Wall;Rho-family GTPase cycle;Extracellular matrix organization;Response To Elevated Platelet Cytosolic Ca2;Rho GTPase Effectors;Signaling By Vegf;ECM Proteoglycans	R-MMU-202733_CELL_SURFACE_INTERACTIONS_AT_THE_VASCULAR_WALL;R-MMU-9012999_RHO_GTPASE_CYCLE;R-MMU-1474244_EXTRACELLULAR_MATRIX_ORGANIZATION;R-MMU-76005_RESPONSE_TO_ELEVATED_PLATELET_CYTOSOLIC_CA2;R-MMU-195258_RHO_GTPASE_EFFECTORS;R-MMU-194138_SIGNALING_BY_VEGF;R-MMU-3000178_ECM_PROTEOGLYCANS
liver	toll_like	Toll-like receptor branches	context_sensitive	supplement_only	2	R-MMU-166016_TOLL_LIKE_RECEPTOR_4_TLR4_CASCADE	Toll Like Receptor 4 TLR4 Cascade	0.1945450405277786	3.0	-0.0906408825270663	0.1945450405277786	1	1	2	2	0.016559457480766187	0.7947019867549668	1.0	The TLR4-specific node is higher while the broad Toll-like-receptor node is lower, so the expanded screen does not support a pathway-wide TLR direction.	18;22	The TLR4 genes are fully nested within the broad TLR set; opposite latent directions may reflect branch allocation or correlated-decoder competition rather than selective pathway activation.	Toll Like Receptor 4 TLR4 Cascade;Toll Like Receptor Cascades	R-MMU-166016_TOLL_LIKE_RECEPTOR_4_TLR4_CASCADE;R-MMU-168898_TOLL_LIKE_RECEPTOR_CASCADES
liver	trafficking_proteostasis	Organelle trafficking and proteostasis	context_sensitive	supplement_only	3	R-MMU-6811434_COPI_DEPENDENT_GOLGI_TO_ER_RETROGRADE_TRAFFIC	Copi Dependent Golgi To ER Retrograde Traffic	-0.1661229688215915	4.0	-0.1661229688215915	0.1001235782443053	2	1	3	0	0.11005104076811902	0.0	0.0	Lower COPI trafficking contrasts with higher mitochondrial-protein degradation and neddylation scores, providing no coherent family-wide direction.	22	These broad latent programs overlap many cell types and are not direct measurements of organelle flux or protein turnover.	Copi Dependent Golgi To ER Retrograde Traffic;Mitochondrial Protein Degradation;Neddylation	R-MMU-6811434_COPI_DEPENDENT_GOLGI_TO_ER_RETROGRADE_TRAFFIC;R-MMU-9837999_MITOCHONDRIAL_PROTEIN_DEGRADATION;R-MMU-8951664_NEDDYLATION
liver	proliferation_repair	Proliferation and homology-directed repair	context_sensitive	supplement_only	3	R-MMU-5693538_HOMOLOGY_DIRECTED_REPAIR	Homology Directed Repair	-0.1245371725252512	14.0	-0.1282360064769583	-0.1245371725252512	0	3	3	0	0.868589110406732	0.8482871125611745	1.0	Mitotic, broad cell-cycle, and homology-directed-repair programs are lower, but this family is not a prespecified hepatic spaceflight phenotype.	22	The pattern may reflect cell composition or proliferative state and lacks direct liver-specific functional validation.	Cell Cycle Mitotic;Cell Cycle;Homology Directed Repair	R-MMU-69278_CELL_CYCLE_MITOTIC;R-MMU-1640170_CELL_CYCLE;R-MMU-5693538_HOMOLOGY_DIRECTED_REPAIR
skin	cutaneous_muscle	Cutaneous striated muscle	aligned	add_aligned_context	2	R-MMU-397014_MUSCLE_CONTRACTION	Muscle Contraction	0.3388753469586921	6.0	0.2967009345888708	0.3388753469586921	2	0	2	0	0.9811930308771691	0.21739130434782608	1.0	Higher muscle and striated-muscle contraction scores recover the known panniculus-carnosus response in full-thickness mouse skin.	12;15	This is a skin-compartment signal, not evidence that epidermal cells acquired a muscle program; the direction is not universal across all projects.	Muscle Contraction;Striated Muscle Contraction	R-MMU-397014_MUSCLE_CONTRACTION;R-MMU-390522_STRIATED_MUSCLE_CONTRACTION
