tissue	method	pathway_set	n_fold_pathway_predictions	n_heldout_projects	direction_concordance	minimum_project_concordance	maximum_project_concordance
liver	expimap	all_active	3114	9	0.6287732819524727	0.3959537572254335	0.7861271676300579
liver	ssgsea	all_active	3258	9	0.5288520564763659	0.4171270718232044	0.6298342541436464
skin	expimap	all_active	1164	4	0.7027491408934707	0.3951890034364261	0.8969072164948454
skin	ssgsea	all_active	1272	4	0.6383647798742138	0.31446540880503143	0.8490566037735849
soleus	expimap	all_active	885	3	0.4745762711864407	0.44745762711864406	0.49491525423728816
soleus	ssgsea	all_active	1065	3	0.5154929577464789	0.48450704225352115	0.5380281690140845
thymus	expimap	all_active	1415	5	0.7342756183745583	0.6890459363957597	0.7703180212014135
thymus	ssgsea	all_active	1925	5	0.8680519480519481	0.7922077922077922	0.922077922077922
liver	expimap	training_top_decile	315	9	0.7492063492063492	0.2857142857142857	1.0
liver	ssgsea	training_top_decile	332	9	0.641566265060241	0.43243243243243246	0.918918918918919
skin	expimap	training_top_decile	120	4	0.75	0.06666666666666667	1.0
skin	ssgsea	training_top_decile	126	4	0.7619047619047619	0.03225806451612903	1.0
soleus	expimap	training_top_decile	90	3	0.2777777777777778	0.1	0.5333333333333333
soleus	ssgsea	training_top_decile	108	3	0.49074074074074076	0.3333333333333333	0.6666666666666666
thymus	expimap	training_top_decile	145	5	0.993103448275862	0.9655172413793104	1.0
thymus	ssgsea	training_top_decile	196	5	1.0	1.0	1.0
liver	expimap	curated	63	9	0.8095238095238095	0.42857142857142855	1.0
liver	ssgsea	curated	63	9	0.6031746031746031	0.2857142857142857	0.8571428571428571
skin	expimap	curated	32	4	0.78125	0.125	1.0
skin	ssgsea	curated	32	4	0.59375	0.25	0.75
soleus	expimap	curated	21	3	0.6190476190476191	0.5714285714285714	0.7142857142857143
soleus	ssgsea	curated	18	3	0.6666666666666666	0.5	0.8333333333333334
thymus	expimap	curated	35	5	0.9714285714285714	0.8571428571428571	1.0
thymus	ssgsea	curated	35	5	0.8571428571428571	0.7142857142857143	1.0
liver	expimap	family_representatives	81	9	0.8395061728395061	0.5555555555555556	1.0
liver	ssgsea	family_representatives	81	9	0.38271604938271603	0.0	0.5555555555555556
skin	expimap	family_representatives	32	4	0.78125	0.125	1.0
skin	ssgsea	family_representatives	32	4	0.78125	0.125	1.0
soleus	expimap	family_representatives	30	3	0.7333333333333333	0.7	0.8
soleus	ssgsea	family_representatives	27	3	0.5925925925925926	0.4444444444444444	0.7777777777777778
thymus	expimap	family_representatives	50	5	0.98	0.9	1.0
thymus	ssgsea	family_representatives	45	5	0.8	0.7777777777777778	0.8888888888888888
