tissue	pathway_set	n_pathways	minimum_seed_vs_primary_spearman_rho	mean_seed_vs_primary_spearman_rho	minimum_seed_vs_primary_direction_agreement	mean_seed_vs_primary_direction_agreement	all_three_seed_direction_agreement
liver	all_active	314	0.33081347066410455	0.38869027027184166	0.5700636942675159	0.5907643312101911	0.39171974522292996
skin	all_active	207	0.33374192291456956	0.35868009329913086	0.5845410628019324	0.6231884057971016	0.46859903381642515
soleus	all_active	250	0.2234028704459271	0.2676822349157586	0.524	0.556	0.376
thymus	all_active	250	0.45378505256084095	0.45855632890126236	0.58	0.614	0.408
liver	primary_top_decile	35	0.5966386554621849	0.6285714285714286	0.7714285714285715	0.8142857142857143	0.6857142857142857
skin	primary_top_decile	28	0.26053639846743293	0.3464696223316913	0.6071428571428571	0.6607142857142857	0.5714285714285714
soleus	primary_top_decile	29	0.5714285714285713	0.6032019704433496	0.7931034482758621	0.7931034482758621	0.7586206896551724
thymus	primary_top_decile	28	0.7323481116584564	0.7807881773399014	0.8214285714285714	0.8571428571428572	0.7142857142857143
liver	curated	6	0.3714285714285715	0.4	0.8333333333333334	0.8333333333333334	0.6666666666666666
skin	curated	7	0.10714285714285716	0.39285714285714296	0.8571428571428571	0.8571428571428571	0.7142857142857143
soleus	curated	7	0.6071428571428572	0.75	0.5714285714285714	0.6428571428571428	0.5714285714285714
thymus	curated	7	0.3571428571428572	0.6607142857142858	0.7142857142857143	0.7857142857142857	0.7142857142857143
liver	family_representatives	9	0.35	0.49166666666666664	0.6666666666666666	0.7222222222222222	0.4444444444444444
skin	family_representatives	7	0.0	0.3571428571428572	0.5714285714285714	0.5714285714285714	0.42857142857142855
soleus	family_representatives	10	0.709090909090909	0.7212121212121211	0.7	0.75	0.7
thymus	family_representatives	10	0.6727272727272726	0.7393939393939393	0.8	0.8	0.7
