tissue	term	expimap_accession_balanced_effect	expimap_n_accessions	expimap_accessions_positive	expimap_accessions_negative	expimap_project_balanced_effect	expimap_n_projects	expimap_projects_positive	expimap_projects_negative	ssgsea_accession_balanced_effect	ssgsea_n_accessions	ssgsea_accessions_positive	ssgsea_accessions_negative	ssgsea_project_balanced_effect	ssgsea_n_projects	ssgsea_projects_positive	ssgsea_projects_negative	gsea_nes	gsea_nominal_p	gsea_fdr	gsea_leading_edge_genes	short_label	evidence_role	family_representative	curated_pathway	expimap_ssgsea_direction_match	expimap_gsea_direction_match	heldout_project_direction_concordance	heldout_projects	effect_seed2020	effect_seed2021	effect_seed2022	all_three_seeds_available	all_three_direction_concordant	within_accession_unadjusted_effect	composition_proxy_adjusted_effect	adjusted_direction_matches_unadjusted	absolute_effect_ratio_adjusted_to_unadjusted	ssgsea_direction_support	preranked_gsea_direction_support	heldout_direction_support	seed_direction_support	composition_proxy_support	robustness_status	robustness_support_count
liver	R-MMU-2132295_MHC_CLASS_II_ANTIGEN_PRESENTATION	-0.1601722002417713	10	2	8	-0.1668368580464126	9	1	8	-0.0130853268781375	10.0	5.0	5.0	-0.0136920829301542	9.0	4.0	5.0	-1.6227117702072062	0.0046893317702227	0.1214183400730233	ENSMUSG00000024610;ENSMUSG00000073421;ENSMUSG00000060586;ENSMUSG00000036594;ENSMUSG00000037649;ENSMUSG00000079547;ENSMUSG00000038642;ENSMUSG00000023015;ENSMUSG00000031838;ENSMUSG00000032254;ENSMUSG00000045328;ENSMUSG00000034311;ENSMUSG00000072235;ENSMUSG00000012443;ENSMUSG00000023004	MHC class II antigen presentation	complementary	True	True	True	True	0.8888888888888888	9	-0.1601722002417713	-0.0290735111838774	-0.1576586725887939	True	True	-0.1319923366622452	-0.070107106184836	True	0.5311452767461255	True	True	True	True	True	triangulated	5
liver	R-MMU-202403_TCR_SIGNALING	-0.096550787164733	10	1	9	-0.0981062801830367	9	1	8	-0.0230049911156864	10.0	2.0	8.0	-0.0232888146221065	9.0	1.0	8.0	-1.8176460475936616	0.0012674271229404	0.051158031198897	ENSMUSG00000073421;ENSMUSG00000060586;ENSMUSG00000036594;ENSMUSG00000023274;ENSMUSG00000026395;ENSMUSG00000002699;ENSMUSG00000034330;ENSMUSG00000076498;ENSMUSG00000026117;ENSMUSG00000008348;ENSMUSG00000022148;ENSMUSG00000005763;ENSMUSG00000026288;ENSMUSG00000030774	T-cell receptor signaling	complementary	False	True	True	True	0.8888888888888888	9	-0.096550787164733	-0.0638722776534587	-0.0096844865871088	True	True	-0.084443526262017	-0.0875610617381587	True	1.0369185846937323	True	True	True	True	True	triangulated	5
liver	R-MMU-211897_CYTOCHROME_P450_ARRANGED_BY_SUBSTRATE_TYPE	0.2391881175291052	10	5	5	0.2600684414344555	9	5	4	0.0090476707619077	10.0	5.0	5.0	0.0087518080548746	9.0	5.0	4.0	2.069453188237665	0.0	0.005604435338074	ENSMUSG00000028715;ENSMUSG00000066072;ENSMUSG00000030483;ENSMUSG00000091867;ENSMUSG00000028712;ENSMUSG00000063415;ENSMUSG00000023963;ENSMUSG00000063929;ENSMUSG00000050445;ENSMUSG00000056035;ENSMUSG00000061292	Cytochrome P450	context_sensitive	True	True	True	True	0.5555555555555556	9	0.2391881175291052	0.1131070292708989	0.0449789003776754	True	True	0.0995817426108974	0.0704400910070956	True	0.7073594934197022	True	True	False	True	True	sensitivity-dependent	4
liver	R-MMU-1474244_EXTRACELLULAR_MATRIX_ORGANIZATION	-0.1103106972647077	10	3	7	-0.1109799564845958	9	2	7	-0.0052343222469615	10.0	2.0	8.0	-0.0055715537067126	9.0	1.0	8.0	-1.36661896802322	0.0316789862724392	0.4092240941506751	ENSMUSG00000026043;ENSMUSG00000001281;ENSMUSG00000027009;ENSMUSG00000070436;ENSMUSG00000038642;ENSMUSG00000028339;ENSMUSG00000030830;ENSMUSG00000030789;ENSMUSG00000006205;ENSMUSG00000029661;ENSMUSG00000045672;ENSMUSG00000000290;ENSMUSG00000005087;ENSMUSG00000026042;ENSMUSG00000029718;ENSMUSG00000026768;ENSMUSG00000022371;ENSMUSG00000024053;ENSMUSG00000025473;ENSMUSG00000025743;ENSMUSG00000021613;ENSMUSG00000031790;ENSMUSG00000048126;ENSMUSG00000025185;ENSMUSG00000020672;ENSMUSG00000028364;ENSMUSG00000026674;ENSMUSG00000020241;ENSMUSG00000001870;ENSMUSG00000011256;ENSMUSG00000022894;ENSMUSG00000031740;ENSMUSG00000034205;ENSMUSG00000026837;ENSMUSG00000036545;ENSMUSG00000031375;ENSMUSG00000021186;ENSMUSG00000021806;ENSMUSG00000021614;ENSMUSG00000037405;ENSMUSG00000027204;ENSMUSG00000033327;ENSMUSG00000039115;ENSMUSG00000032334;ENSMUSG00000040488;ENSMUSG00000040690;ENSMUSG00000024940	Extracellular matrix organization	context_sensitive	False	True	True	True	0.7777777777777778	9	-0.1103106972647077	-0.1233434635822485	-0.0909611670473629	True	True	-0.0492355546898436	0.0224776317928489	False	0.4565325187142789	True	True	True	True	False	method-supported, model-sensitive	4
liver	R-MMU-9012999_RHO_GTPASE_CYCLE	-0.1305615628553439	10	1	9	-0.1341412526831864	9	0	9	-0.0011674836208379	10.0	5.0	5.0	-0.0006065416008658	9.0	5.0	4.0	-1.2747026425403676	0.0628997867803838	0.5089355286577592	ENSMUSG00000024013;ENSMUSG00000015340;ENSMUSG00000033220;ENSMUSG00000015950;ENSMUSG00000020143;ENSMUSG00000023015;ENSMUSG00000022488;ENSMUSG00000026728;ENSMUSG00000038608;ENSMUSG00000048865;ENSMUSG00000026480;ENSMUSG00000022014;ENSMUSG00000036452;ENSMUSG00000031093;ENSMUSG00000028068;ENSMUSG00000023800;ENSMUSG00000055805;ENSMUSG00000047963;ENSMUSG00000071715;ENSMUSG00000006519;ENSMUSG00000026117;ENSMUSG00000020340;ENSMUSG00000034116;ENSMUSG00000023004;ENSMUSG00000045763;ENSMUSG00000021270;ENSMUSG00000033450;ENSMUSG00000030047;ENSMUSG00000030220;ENSMUSG00000028059;ENSMUSG00000030536;ENSMUSG00000001918;ENSMUSG00000015143;ENSMUSG00000001270;ENSMUSG00000052085;ENSMUSG00000017631;ENSMUSG00000030774;ENSMUSG00000026259;ENSMUSG00000022021;ENSMUSG00000007655;ENSMUSG00000019312;ENSMUSG00000037946;ENSMUSG00000054855;ENSMUSG00000017144;ENSMUSG00000034255;ENSMUSG00000035697;ENSMUSG00000029032;ENSMUSG00000052560;ENSMUSG00000036777	Rho-family GTPase cycle	complementary	True	True	True	True	1.0	9	-0.1305615628553439	-0.0124635767402752	0.0637841296612983	True	False	-0.110406033932957	-0.0691833494373932	True	0.626626525497729	True	True	True	False	True	method-supported, model-sensitive	4
liver	R-MMU-156590_GLUTATHIONE_CONJUGATION	0.0290829136878514	10	6	4	0.0225038342272423	9	5	4	0.0077595301277686	10.0	7.0	3.0	0.0077578894728459	9.0	7.0	2.0	1.1360817206163722	0.2826086956521739	0.7019103290345908	ENSMUSG00000057933;ENSMUSG00000026688;ENSMUSG00000074183;ENSMUSG00000032350;ENSMUSG00000033318;ENSMUSG00000111709;ENSMUSG00000040471;ENSMUSG00000027313	Glutathione conjugation	context_sensitive	False	True	True	True	0.5555555555555556	9	0.0290829136878514		0.0033489520159565	False	True	0.0356971794915027	0.0224937353782709	True	0.630126404906172	True	True	False	False	True	sensitivity-dependent	3
liver	R-MMU-422356_REGULATION_OF_INSULIN_SECRETION	-0.1006466682984334	10	1	9	-0.1000390969188943	9	0	9	0.0022280843954225	10.0	5.0	5.0	0.00294327955193	9.0	4.0	5.0	-0.6409661403524869	0.9145408163265306	0.9900748739792508	ENSMUSG00000038811;ENSMUSG00000024697;ENSMUSG00000032883;ENSMUSG00000069662;ENSMUSG00000003352;ENSMUSG00000043004;ENSMUSG00000042644	Regulation of insulin secretion	aligned	True	True	False	True	1.0	9	-0.1006466682984334	0.0112195207872376	-0.0865371394250424	True	False	-0.0626319315165341	-0.0354641650939539	True	0.5662313812658294	False	True	True	False	True	sensitivity-dependent	3
skin	R-MMU-3247509_CHROMATIN_MODIFYING_ENZYMES	-0.6630485382809012	6	2	4	-0.8364968210299375	4	1	3	-0.0161644062455515	6.0	2.0	4.0	-0.0258902000166598	4.0	1.0	3.0	-2.3656060963188144	0.0	0.0	ENSMUSG00000025328;ENSMUSG00000025329;ENSMUSG00000025330;ENSMUSG00000069267;ENSMUSG00000062727;ENSMUSG00000094777;ENSMUSG00000094338;ENSMUSG00000069303;ENSMUSG00000069300;ENSMUSG00000069310;ENSMUSG00000095217;ENSMUSG00000069274;ENSMUSG00000101972;ENSMUSG00000061615;ENSMUSG00000069265;ENSMUSG00000074403;ENSMUSG00000069266;ENSMUSG00000069301;ENSMUSG00000101355;ENSMUSG00000081058;ENSMUSG00000064220;ENSMUSG00000069305;ENSMUSG00000064288;ENSMUSG00000069308;ENSMUSG00000071478;ENSMUSG00000094248;ENSMUSG00000063954;ENSMUSG00000061991	Chromatin-modifying enzymes	complementary	True	True	True	True	0.75	4	-0.6630485382809012	-0.7012429160440016	-0.7411648554853136	True	True	-0.8351648159273835	-0.7061447980125551	True	0.8455155013066948	True	True	True	True	True	triangulated	5
skin	R-MMU-73894_DNA_REPAIR	-0.2570837021910508	6	3	3	-0.3204309184334197	4	1	3	-0.0181054630206754	6.0	3.0	3.0	-0.0281181576018733	4.0	1.0	3.0	-2.2386359170064947	0.0	0.0	ENSMUSG00000062727;ENSMUSG00000094777;ENSMUSG00000094338;ENSMUSG00000069303;ENSMUSG00000069300;ENSMUSG00000095217;ENSMUSG00000069274;ENSMUSG00000061615;ENSMUSG00000069266;ENSMUSG00000040204;ENSMUSG00000069301;ENSMUSG00000042489;ENSMUSG00000064220;ENSMUSG00000069305;ENSMUSG00000064288;ENSMUSG00000017146;ENSMUSG00000027715;ENSMUSG00000069308;ENSMUSG00000071478;ENSMUSG00000035455;ENSMUSG00000037474;ENSMUSG00000049932;ENSMUSG00000094248;ENSMUSG00000027323;ENSMUSG00000063954;ENSMUSG00000018362;ENSMUSG00000007080;ENSMUSG00000061991;ENSMUSG00000069309;ENSMUSG00000056394;ENSMUSG00000039994;ENSMUSG00000017897	DNA repair	context_sensitive	False	True	True	True	0.75	4	-0.2570837021910508	-0.3221797297519715	-0.2257341982679855	True	True	-0.3168525957511114	-0.2602113704424137	True	0.8212379318704098	True	True	True	True	True	triangulated	5
skin	R-MMU-5358351_SIGNALING_BY_HEDGEHOG	-0.2357627724753544	6	1	5	-0.2755319119165669	4	1	3	-0.0045145565854849	6.0	2.0	4.0	-0.00705031448779	4.0	1.0	3.0	-1.2663019992626967	0.1832386363636363	0.2803988755163084	ENSMUSG00000062380;ENSMUSG00000002633;ENSMUSG00000025407;ENSMUSG00000001473;ENSMUSG00000058672;ENSMUSG00000021318;ENSMUSG00000043091;ENSMUSG00000064325;ENSMUSG00000045136;ENSMUSG00000021466;ENSMUSG00000048402	Hedgehog signaling	complementary	False	True	True	True	0.75	4	-0.2357627724753544	-0.363538229410677	-0.431711866197993	True	True	-0.2686953174828954	-0.2109054512077847	True	0.7849241780002757	True	True	True	True	True	triangulated	5
