tissue	term	display_label	pathway_effect_seed2020	member_genes_in_hvg_model	member_gene_same_direction_fraction	median_member_gene_log2cpm_effect	member_gene_fdr_lt_005_fraction	decoder_abs_weight_direction_match_fraction_median	decoder_abs_weight_direction_match_fraction_minimum	top_concordant_member_genes
thymus	R-MMU-73894_DNA_REPAIR	DNA repair	-1.0068827600368422	62	0.9193548387096774	-1.267842477155948	0.016129032258064516	NA	NA	ENSMUSG00000069301 (-2.12); ENSMUSG00000062727 (-1.90); ENSMUSG00000027715 (-1.84); ENSMUSG00000069302 (-1.81); ENSMUSG00000061615 (-1.80)
thymus	R-MMU-8980692_RHOA_GTPASE_CYCLE	RHOA cytoskeletal cycle	-0.812444811658421	49	0.3469387755102041	0.1303431736575401	0.0	NA	NA	ENSMUSG00000021697 (-1.48); ENSMUSG00000036777 (-1.41); ENSMUSG00000022021 (-1.35); ENSMUSG00000027699 (-1.30); ENSMUSG00000023015 (-1.17)
thymus	R-MMU-198933_IMMUNOREGULATORY_INTERACTIONS_BETWEEN_A_LYMPHOID_AND_A_NON_LYMPHOID_CELL	Lymphoid-stromal interactions	-0.5009776116961404	79	0.26582278481012656	0.2291983108448678	0.02531645569620253	NA	NA	ENSMUSG00000079685 (-1.05); ENSMUSG00000053977 (-0.80); ENSMUSG00000053044 (-0.75); ENSMUSG00000076490 (-0.73); ENSMUSG00000076498 (-0.71)
skin	R-MMU-3247509_CHROMATIN_MODIFYING_ENZYMES	Chromatin-modifying enzymes	-0.6630485382809012	44	0.8181818181818182	-0.27366957610746057	0.0	NA	NA	ENSMUSG00000025328 (-1.53); ENSMUSG00000025329 (-1.31); ENSMUSG00000025330 (-0.79); ENSMUSG00000069303 (-0.61); ENSMUSG00000069267 (-0.55)
skin	R-MMU-73894_DNA_REPAIR	DNA repair	-0.2570837021910508	41	0.8780487804878049	-0.2518601606393184	0.0	NA	NA	ENSMUSG00000069303 (-0.61); ENSMUSG00000094777 (-0.54); ENSMUSG00000062727 (-0.53); ENSMUSG00000094338 (-0.50); ENSMUSG00000095217 (-0.45)
skin	R-MMU-5358351_SIGNALING_BY_HEDGEHOG	Hedgehog signaling	-0.2357627724753544	24	0.5833333333333334	-0.044857898267342794	0.0	NA	NA	ENSMUSG00000062380 (-0.82); ENSMUSG00000002633 (-0.59); ENSMUSG00000025407 (-0.28); ENSMUSG00000058672 (-0.22); ENSMUSG00000021318 (-0.21)
skin	R-MMU-428157_SPHINGOLIPID_METABOLISM	Sphingolipid metabolism	-0.1943057259062245	28	0.5357142857142857	-0.017467435339840798	0.0	NA	NA	ENSMUSG00000043461 (-0.69); ENSMUSG00000021263 (-0.26); ENSMUSG00000075296 (-0.19); ENSMUSG00000030510 (-0.16); ENSMUSG00000022686 (-0.13)
skin	R-MMU-421270_CELL_CELL_JUNCTION_ORGANIZATION	Cell-cell junction organization	-0.196829532122068	69	0.6086956521739131	-0.0892294516669348	0.0	NA	NA	ENSMUSG00000039385 (-0.63); ENSMUSG00000069303 (-0.61); ENSMUSG00000069267 (-0.55); ENSMUSG00000094777 (-0.54); ENSMUSG00000062727 (-0.53)
liver	R-MMU-2132295_MHC_CLASS_II_ANTIGEN_PRESENTATION	MHC class II antigen presentation	-0.1601722002417713	33	0.7878787878787878	-0.1604172079835936	0.0	NA	NA	ENSMUSG00000024610 (-0.65); ENSMUSG00000060586 (-0.62); ENSMUSG00000073421 (-0.61); ENSMUSG00000036594 (-0.61); ENSMUSG00000037649 (-0.57)
liver	R-MMU-202403_TCR_SIGNALING	T-cell receptor signaling	-0.096550787164733	17	0.8823529411764706	-0.2369899703171956	0.0	NA	NA	ENSMUSG00000060586 (-0.62); ENSMUSG00000073421 (-0.61); ENSMUSG00000036594 (-0.61); ENSMUSG00000023274 (-0.60); ENSMUSG00000026395 (-0.47)
