tissue	first_term	first_label	second_term	second_label	within_accession_residual_score_correlation	shared_reactome_genes	reactome_gene_jaccard
liver	R-MMU-2132295_MHC_CLASS_II_ANTIGEN_PRESENTATION	MHC class II antigen presentation	R-MMU-9012999_RHO_GTPASE_CYCLE	Rho-family GTPase cycle	0.8708245512000571	4	0.007707129094412331
liver	R-MMU-422356_REGULATION_OF_INSULIN_SECRETION	Regulation of insulin secretion	R-MMU-1474244_EXTRACELLULAR_MATRIX_ORGANIZATION	Extracellular matrix organization	0.6760553780771943	0	0.0
liver	R-MMU-202403_TCR_SIGNALING	T-cell receptor signaling	R-MMU-9012999_RHO_GTPASE_CYCLE	Rho-family GTPase cycle	0.6305910552428489	10	0.01984126984126984
liver	R-MMU-422356_REGULATION_OF_INSULIN_SECRETION	Regulation of insulin secretion	R-MMU-9012999_RHO_GTPASE_CYCLE	Rho-family GTPase cycle	0.5734870331747056	0	0.0
liver	R-MMU-2132295_MHC_CLASS_II_ANTIGEN_PRESENTATION	MHC class II antigen presentation	R-MMU-202403_TCR_SIGNALING	T-cell receptor signaling	0.5188366434689485	5	0.024271844660194174
liver	R-MMU-422356_REGULATION_OF_INSULIN_SECRETION	Regulation of insulin secretion	R-MMU-2132295_MHC_CLASS_II_ANTIGEN_PRESENTATION	MHC class II antigen presentation	0.34874297990579173	0	0.0
liver	R-MMU-156590_GLUTATHIONE_CONJUGATION	Glutathione conjugation	R-MMU-1474244_EXTRACELLULAR_MATRIX_ORGANIZATION	Extracellular matrix organization	0.24079805488739062	0	0.0
liver	R-MMU-2132295_MHC_CLASS_II_ANTIGEN_PRESENTATION	MHC class II antigen presentation	R-MMU-1474244_EXTRACELLULAR_MATRIX_ORGANIZATION	Extracellular matrix organization	0.199657991025491	5	0.013550135501355014
liver	R-MMU-9012999_RHO_GTPASE_CYCLE	Rho-family GTPase cycle	R-MMU-1474244_EXTRACELLULAR_MATRIX_ORGANIZATION	Extracellular matrix organization	0.19493042455024787	4	0.005943536404160475
liver	R-MMU-422356_REGULATION_OF_INSULIN_SECRETION	Regulation of insulin secretion	R-MMU-202403_TCR_SIGNALING	T-cell receptor signaling	0.03638430669790427	0	0.0
liver	R-MMU-422356_REGULATION_OF_INSULIN_SECRETION	Regulation of insulin secretion	R-MMU-156590_GLUTATHIONE_CONJUGATION	Glutathione conjugation	-0.03081079958088554	0	0.0
liver	R-MMU-156590_GLUTATHIONE_CONJUGATION	Glutathione conjugation	R-MMU-2132295_MHC_CLASS_II_ANTIGEN_PRESENTATION	MHC class II antigen presentation	-0.27618856701078387	0	0.0
liver	R-MMU-156590_GLUTATHIONE_CONJUGATION	Glutathione conjugation	R-MMU-9012999_RHO_GTPASE_CYCLE	Rho-family GTPase cycle	-0.371637139636607	0	0.0
liver	R-MMU-156590_GLUTATHIONE_CONJUGATION	Glutathione conjugation	R-MMU-202403_TCR_SIGNALING	T-cell receptor signaling	-0.418556200176347	0	0.0
