tissue	accession	display_label	context_group	contrast_order	site	gravity	collection_context	term	short_label	pathway_order	n_flight	n_ground_control	flight_minus_ground
skin	OSD-238	Dorsal microgravity	MHU-2 gravity and skin site	0	dorsal skin	microgravity	live return; collected within one day	R-MMU-6805567_KERATINIZATION	Keratinization	0	6	6	-3.3141483333333346
skin	OSD-238	Dorsal microgravity	MHU-2 gravity and skin site	0	dorsal skin	microgravity	live return; collected within one day	R-MMU-73894_DNA_REPAIR	DNA repair	1	6	6	-0.9015497403333332
skin	OSD-238	Dorsal microgravity	MHU-2 gravity and skin site	0	dorsal skin	microgravity	live return; collected within one day	R-MMU-421270_CELL_CELL_JUNCTION_ORGANIZATION	Cell-cell junction organization	2	6	6	-0.40546109833333344
skin	OSD-238	Dorsal microgravity	MHU-2 gravity and skin site	0	dorsal skin	microgravity	live return; collected within one day	R-MMU-3247509_CHROMATIN_MODIFYING_ENZYMES	Chromatin-modifying enzymes	3	6	6	-1.929329595
skin	OSD-238	Dorsal microgravity	MHU-2 gravity and skin site	0	dorsal skin	microgravity	live return; collected within one day	R-MMU-190828_GAP_JUNCTION_TRAFFICKING	Gap-junction trafficking	4	6	6	-1.225724795
skin	OSD-238	Dorsal microgravity	MHU-2 gravity and skin site	0	dorsal skin	microgravity	live return; collected within one day	R-MMU-156580_PHASE_II_CONJUGATION_OF_COMPOUNDS	Phase II detoxification	5	6	6	-0.5162130533333332
skin	OSD-238	Dorsal microgravity	MHU-2 gravity and skin site	0	dorsal skin	microgravity	live return; collected within one day	R-MMU-5358351_SIGNALING_BY_HEDGEHOG	Hedgehog signaling	6	6	6	-0.6317484908333333
skin	OSD-238	Dorsal microgravity	MHU-2 gravity and skin site	0	dorsal skin	microgravity	live return; collected within one day	R-MMU-428157_SPHINGOLIPID_METABOLISM	Sphingolipid metabolism	7	6	6	-0.4440744849999999
skin	OSD-238	Dorsal artificial 1 g	MHU-2 gravity and skin site	1	dorsal skin	onboard artificial 1 g	live return; collected within one day	R-MMU-6805567_KERATINIZATION	Keratinization	0	6	6	-2.283476066666667
skin	OSD-238	Dorsal artificial 1 g	MHU-2 gravity and skin site	1	dorsal skin	onboard artificial 1 g	live return; collected within one day	R-MMU-73894_DNA_REPAIR	DNA repair	1	6	6	-0.43893706200000004
skin	OSD-238	Dorsal artificial 1 g	MHU-2 gravity and skin site	1	dorsal skin	onboard artificial 1 g	live return; collected within one day	R-MMU-421270_CELL_CELL_JUNCTION_ORGANIZATION	Cell-cell junction organization	2	6	6	-0.14222301166666673
skin	OSD-238	Dorsal artificial 1 g	MHU-2 gravity and skin site	1	dorsal skin	onboard artificial 1 g	live return; collected within one day	R-MMU-3247509_CHROMATIN_MODIFYING_ENZYMES	Chromatin-modifying enzymes	3	6	6	-1.3620410616666667
skin	OSD-238	Dorsal artificial 1 g	MHU-2 gravity and skin site	1	dorsal skin	onboard artificial 1 g	live return; collected within one day	R-MMU-190828_GAP_JUNCTION_TRAFFICKING	Gap-junction trafficking	4	6	6	-0.8563248016666667
skin	OSD-238	Dorsal artificial 1 g	MHU-2 gravity and skin site	1	dorsal skin	onboard artificial 1 g	live return; collected within one day	R-MMU-156580_PHASE_II_CONJUGATION_OF_COMPOUNDS	Phase II detoxification	5	6	6	-0.2915267033333332
skin	OSD-238	Dorsal artificial 1 g	MHU-2 gravity and skin site	1	dorsal skin	onboard artificial 1 g	live return; collected within one day	R-MMU-5358351_SIGNALING_BY_HEDGEHOG	Hedgehog signaling	6	6	6	-0.30048449583333336
skin	OSD-238	Dorsal artificial 1 g	MHU-2 gravity and skin site	1	dorsal skin	onboard artificial 1 g	live return; collected within one day	R-MMU-428157_SPHINGOLIPID_METABOLISM	Sphingolipid metabolism	7	6	6	-0.17991808149999994
skin	OSD-239	Femoral microgravity	MHU-2 gravity and skin site	2	femoral skin	microgravity	live return; collected within one day	R-MMU-6805567_KERATINIZATION	Keratinization	0	5	6	-2.3265228166666656
skin	OSD-239	Femoral microgravity	MHU-2 gravity and skin site	2	femoral skin	microgravity	live return; collected within one day	R-MMU-73894_DNA_REPAIR	DNA repair	1	5	6	-0.37216457899999994
skin	OSD-239	Femoral microgravity	MHU-2 gravity and skin site	2	femoral skin	microgravity	live return; collected within one day	R-MMU-421270_CELL_CELL_JUNCTION_ORGANIZATION	Cell-cell junction organization	2	5	6	-0.4243566166666669
skin	OSD-239	Femoral microgravity	MHU-2 gravity and skin site	2	femoral skin	microgravity	live return; collected within one day	R-MMU-3247509_CHROMATIN_MODIFYING_ENZYMES	Chromatin-modifying enzymes	3	5	6	-1.1218236976666667
skin	OSD-239	Femoral microgravity	MHU-2 gravity and skin site	2	femoral skin	microgravity	live return; collected within one day	R-MMU-190828_GAP_JUNCTION_TRAFFICKING	Gap-junction trafficking	4	5	6	-0.4893578336666667
skin	OSD-239	Femoral microgravity	MHU-2 gravity and skin site	2	femoral skin	microgravity	live return; collected within one day	R-MMU-156580_PHASE_II_CONJUGATION_OF_COMPOUNDS	Phase II detoxification	5	5	6	-0.48859448866666666
skin	OSD-239	Femoral microgravity	MHU-2 gravity and skin site	2	femoral skin	microgravity	live return; collected within one day	R-MMU-5358351_SIGNALING_BY_HEDGEHOG	Hedgehog signaling	6	5	6	-0.548643458
skin	OSD-239	Femoral microgravity	MHU-2 gravity and skin site	2	femoral skin	microgravity	live return; collected within one day	R-MMU-428157_SPHINGOLIPID_METABOLISM	Sphingolipid metabolism	7	5	6	-0.25750883083333337
skin	OSD-239	Femoral artificial 1 g	MHU-2 gravity and skin site	3	femoral skin	onboard artificial 1 g	live return; collected within one day	R-MMU-6805567_KERATINIZATION	Keratinization	0	6	6	1.4182201166666673
skin	OSD-239	Femoral artificial 1 g	MHU-2 gravity and skin site	3	femoral skin	onboard artificial 1 g	live return; collected within one day	R-MMU-73894_DNA_REPAIR	DNA repair	1	6	6	0.3246211193333334
skin	OSD-239	Femoral artificial 1 g	MHU-2 gravity and skin site	3	femoral skin	onboard artificial 1 g	live return; collected within one day	R-MMU-421270_CELL_CELL_JUNCTION_ORGANIZATION	Cell-cell junction organization	2	6	6	0.23664891833333324
skin	OSD-239	Femoral artificial 1 g	MHU-2 gravity and skin site	3	femoral skin	onboard artificial 1 g	live return; collected within one day	R-MMU-3247509_CHROMATIN_MODIFYING_ENZYMES	Chromatin-modifying enzymes	3	6	6	1.216089215
skin	OSD-239	Femoral artificial 1 g	MHU-2 gravity and skin site	3	femoral skin	onboard artificial 1 g	live return; collected within one day	R-MMU-190828_GAP_JUNCTION_TRAFFICKING	Gap-junction trafficking	4	6	6	0.7863020816666667
skin	OSD-239	Femoral artificial 1 g	MHU-2 gravity and skin site	3	femoral skin	onboard artificial 1 g	live return; collected within one day	R-MMU-156580_PHASE_II_CONJUGATION_OF_COMPOUNDS	Phase II detoxification	5	6	6	0.050980621666666615
skin	OSD-239	Femoral artificial 1 g	MHU-2 gravity and skin site	3	femoral skin	onboard artificial 1 g	live return; collected within one day	R-MMU-5358351_SIGNALING_BY_HEDGEHOG	Hedgehog signaling	6	6	6	0.11763734999999992
skin	OSD-239	Femoral artificial 1 g	MHU-2 gravity and skin site	3	femoral skin	onboard artificial 1 g	live return; collected within one day	R-MMU-428157_SPHINGOLIPID_METABOLISM	Sphingolipid metabolism	7	6	6	0.5066604243333332
skin	OSD-240	RR-5 dorsal 30-day recovery	Recovery, endpoint, duration, and strain	4	dorsal skin	microgravity exposure	live return followed by approximately 30 days of Earth recovery	R-MMU-6805567_KERATINIZATION	Keratinization	0	10	10	0.6495711599999998
skin	OSD-240	RR-5 dorsal 30-day recovery	Recovery, endpoint, duration, and strain	4	dorsal skin	microgravity exposure	live return followed by approximately 30 days of Earth recovery	R-MMU-73894_DNA_REPAIR	DNA repair	1	10	10	0.12293190129999992
skin	OSD-240	RR-5 dorsal 30-day recovery	Recovery, endpoint, duration, and strain	4	dorsal skin	microgravity exposure	live return followed by approximately 30 days of Earth recovery	R-MMU-421270_CELL_CELL_JUNCTION_ORGANIZATION	Cell-cell junction organization	2	10	10	0.12606100913999996
skin	OSD-240	RR-5 dorsal 30-day recovery	Recovery, endpoint, duration, and strain	4	dorsal skin	microgravity exposure	live return followed by approximately 30 days of Earth recovery	R-MMU-3247509_CHROMATIN_MODIFYING_ENZYMES	Chromatin-modifying enzymes	3	10	10	0.4353614320000001
skin	OSD-240	RR-5 dorsal 30-day recovery	Recovery, endpoint, duration, and strain	4	dorsal skin	microgravity exposure	live return followed by approximately 30 days of Earth recovery	R-MMU-190828_GAP_JUNCTION_TRAFFICKING	Gap-junction trafficking	4	10	10	0.2148383565
