analysis_scope	tissue	gene	symbol	selection_interpretation	n_accessions	flt_gc_direction	real_selection_frequency	generated_selection_frequency	real_meta_effect	real_meta_fdr	real_accession_direction_fraction	all_accessions_same_direction	loo_fdr_stable_0_05	minimum_leave_one_out_fdr	maximum_leave_one_out_fdr
canonical_tissue	adrenal_gland	ENSMUSG00000025511	Tspan4	reinforced_real_and_synthetic	3	FLT_lower	0.875	1.0	-0.0069320174967941	0.0168006876355464	1.0	True	False	0.0150742277252651	0.4765188146825054
canonical_tissue	adrenal_gland	ENSMUSG00000024338	Psmb8	synthetic_promoted	3	FLT_lower	0.0	0.75	-0.0037952402628091	0.0182849971007691	1.0	True	False	0.027936099443069	1.0
canonical_tissue	adrenal_gland	ENSMUSG00000047123	Ticam1	synthetic_promoted	3	FLT_lower	0.0	0.625	-0.0012062621824229	0.0219531649239887	1.0	True	False	0.0101859222389087	1.0
canonical_tissue	adrenal_gland	ENSMUSG00000024521	Pmaip1	synthetic_promoted	3	FLT_lower	0.0	0.5	-0.000144261136657	0.0455546880749816	1.0	True	False	0.030336875527586	1.0
canonical_tissue	eye	ENSMUSG00000073700	Klhl21	reinforced_real_and_synthetic	2	FLT_lower	0.875	1.0	-0.0060721659089043	5.987559332400223e-05	1.0	True	False	1.0	1.0
canonical_tissue	kidney	ENSMUSG00000032114	Slc37a4	reinforced_real_and_synthetic	6	FLT_higher	1.0	1.0	0.014332034367675	0.0011792070230749	1.0	True	False	8.440322798958497e-05	0.4312341069174573
canonical_tissue	retina	ENSMUSG00000032114	Slc37a4	synthetic_promoted	4	FLT_higher	0.0	0.5	0.0013813679127563	0.0237821834980075	1.0	True	False	0.007333412625738	0.2288807792122719
canonical_tissue	skeletal_muscle	ENSMUSG00000071637	Cebpd	reinforced_real_and_synthetic	13	FLT_higher	1.0	1.0	0.0017785503283676	0.000125082611281	0.9230769230769232	False	True	3.337898264823815e-07	0.0058404896468783
canonical_tissue	skeletal_muscle	ENSMUSG00000021892	Sh3bp5	reinforced_real_and_synthetic	13	FLT_higher	1.0	1.0	0.0025567662828889	0.000125082611281	1.0	True	True	2.2627004025522315e-05	0.0012289387423306
canonical_tissue	skeletal_muscle	ENSMUSG00000021948	Prkcd	reinforced_real_and_synthetic	13	FLT_higher	1.0	1.0	0.0015446022593304	0.0010281793599763	1.0	True	True	0.0008551716036403	0.0116728821858437
canonical_tissue	skeletal_muscle	ENSMUSG00000019947	Arid5b	reinforced_real_and_synthetic	13	FLT_higher	1.0	1.0	0.0021643146422712	0.0039039260500783	0.8461538461538461	False	True	0.0025172670878344	0.0127493387692953
canonical_tissue	skeletal_muscle	ENSMUSG00000041126	H2az2	synthetic_promoted	13	FLT_lower	0.0	0.625	-0.001645017221267	0.0052330106995304	0.8461538461538461	False	False	0.000482467525261	0.0730301939803687
canonical_tissue	skeletal_muscle	ENSMUSG00000038332	Sesn1	reinforced_real_and_synthetic	13	FLT_higher	1.0	1.0	0.0056292509724262	0.0075999764551464	0.7692307692307693	False	False	0.0015456426692338	0.1401215554061627
canonical_tissue	skeletal_muscle	ENSMUSG00000008305	Tle1	reinforced_real_and_synthetic	13	FLT_higher	1.0	1.0	0.0015896849712961	0.0195029387355128	0.7692307692307693	False	False	0.0088042091022352	0.0687425901856074
canonical_tissue	spleen	ENSMUSG00000020427	Igfbp3	synthetic_promoted	6	FLT_higher	0.0	0.75	0.0028379819665238	1.7592185680837806e-09	1.0	True	True	6.662221294244396e-09	0.003849301814192
canonical_tissue	spleen	ENSMUSG00000022246	Rai14	synthetic_promoted	6	FLT_higher	0.0	1.0	0.0072491712793601	0.0002108835472977	1.0	True	False	7.957350067988586e-05	0.097989999521269
canonical_tissue	spleen	ENSMUSG00000040605	Bace2	reinforced_real_and_synthetic	6	FLT_higher	0.625	0.75	0.0013921928942488	0.0030147850486877	1.0	True	False	0.0015689860755053	0.0811137400623717
canonical_tissue	spleen	ENSMUSG00000032334	Loxl1	reinforced_real_and_synthetic	6	FLT_higher	0.5	0.75	0.0004834290579249	0.0107203685587774	1.0	True	False	0.0052597047580594	0.1189197350884293
canonical_tissue	spleen	ENSMUSG00000025889	Snca	synthetic_promoted	6	FLT_lower	0.0	0.5	-0.0029567168985546	0.0131627118597757	0.6666666666666666	False	False	4.52275954732976e-11	0.3725930303940269
canonical_tissue	spleen	ENSMUSG00000019889	Ptprk	synthetic_promoted	6	FLT_higher	0.0	0.75	0.0003410157612709	0.0140476318221799	1.0	True	False	0.0221023427261509	0.1812025045352124
canonical_tissue	thymus	ENSMUSG00000045328	Cenpe	synthetic_promoted	5	FLT_lower	0.0	0.5	-0.0116034337443976	4.519032722024237e-14	1.0	True	True	1.4348191409113468e-14	4.835493025969664e-07
canonical_tissue	thymus	ENSMUSG00000041431	Ccnb1	synthetic_promoted	5	FLT_lower	0.0	0.875	-0.016650298391821	3.3977891199323907e-10	1.0	True	True	4.84798121126751e-13	0.0002105490246538
canonical_tissue	thymus	ENSMUSG00000027306	Nusap1	synthetic_promoted	5	FLT_lower	0.0	0.875	-0.0310693843087508	1.1595716103290356e-09	1.0	True	True	6.084711129294742e-17	0.0003971377064316
canonical_tissue	thymus	ENSMUSG00000028832	Stmn1	synthetic_promoted	5	FLT_lower	0.0	0.875	-0.0111499861421321	2.9600357613667867e-09	1.0	True	True	6.143484087219194e-20	0.0008174534620741
canonical_tissue	thymus	ENSMUSG00000019942	Cdk1	synthetic_promoted	5	FLT_lower	0.0	0.875	-0.0186189492557566	4.834064923206809e-07	1.0	True	True	1.180249948082299e-09	0.0023690861629189
canonical_tissue	thymus	ENSMUSG00000020914	Top2a	synthetic_promoted	5	FLT_lower	0.0	0.75	-0.08097393883702	5.573323030415243e-07	1.0	True	True	1.3087437127223978e-09	0.0054727584549648
canonical_tissue	thymus	ENSMUSG00000032218	Ccnb2	synthetic_promoted	5	FLT_lower	0.0	0.75	-0.0102311976129221	0.0002376244088253	1.0	True	True	5.475793693112013e-17	0.0468277719394238
canonical_tissue	thymus	ENSMUSG00000028212	Ccne2	synthetic_promoted	5	FLT_lower	0.0	1.0	-0.010656625053089	0.0017185061144963	1.0	True	True	0.0006806075807923	0.0217305102966244
canonical_tissue	thymus	ENSMUSG00000056458	Mok	synthetic_promoted	5	FLT_higher	0.0	0.5	0.0010710871116439	0.002873267614416	0.8	False	False	7.069529042470107e-05	0.3539380061894706
canonical_tissue	thymus	ENSMUSG00000006715	Gmnn	reinforced_real_and_synthetic	5	FLT_lower	0.625	1.0	-0.0050733709559632	0.0227227092537027	1.0	True	False	0.0144313393923524	0.0955992231801715
skeletal_muscle_group	edl	ENSMUSG00000022822	Abcc5	reinforced_real_and_synthetic	2	FLT_lower	1.0	1.0	-0.0042267235298966	1.4261246826919443e-24	1.0	True	False	1.0	1.0
skeletal_muscle_group	edl	ENSMUSG00000031683	Lsm6	reinforced_real_and_synthetic	2	FLT_lower	1.0	1.0	-0.0045082177158525	3.0881147832876004e-23	1.0	True	False	1.0	1.0
skeletal_muscle_group	edl	ENSMUSG00000019738	Polr2i	synthetic_promoted	2	FLT_lower	0.0	1.0	-0.0047621515866359	5.0807707506859085e-05	1.0	True	False	1.0	1.0
skeletal_muscle_group	edl	ENSMUSG00000031431	Tsc22d3	synthetic_promoted	2	FLT_lower	0.0	0.625	-0.0092107808908421	0.0015207947678694	1.0	True	False	1.0	1.0
