analysis_scope	tissue	gene	symbol	selection_interpretation	selection_status	n_accessions	flt_gc_direction	real_selection_frequency	generated_selection_frequency	real_meta_effect	real_meta_fdr	real_accession_direction_fraction	all_accessions_same_direction	loo_fdr_stable_0_05	minimum_leave_one_out_fdr	maximum_leave_one_out_fdr	interpretive_role	literature_classification	evidence_scope	evidence_relationship	source_ids	literature_summary	interpretation	literature_search_date
canonical_tissue	adrenal_gland	ENSMUSG00000025511	Tspan4	reinforced_real_and_synthetic	reinforced	3	FLT_lower	0.875	1.0	-0.0069320174967941	0.0168006876355464	1.0	True	False	0.0150742277252651	0.4765188146825054	literature_unmatched_candidate	unmatched	targeted_search_no_adrenal_specific_match	No direct or strong process-level adrenal spaceflight match was found in the targeted search.	mathyk_2024_multi_organ	Published mouse adrenal analyses describe endocrine and metabolic responses, but the targeted search found no prior adrenal spaceflight association for Tspan4.	A literature-unmatched adrenal candidate; its statistical association does not by itself establish a mechanism.	2026-08-03
canonical_tissue	adrenal_gland	ENSMUSG00000024338	Psmb8	synthetic_promoted	promoted	3	FLT_lower	0.0	1.0	-0.0037952402628091	0.0182849971007691	1.0	True	False	0.027936099443069	1.0	literature_unmatched_candidate	unmatched	targeted_search_no_adrenal_specific_match	Mechanistic support exists, but no adrenal spaceflight match was found in the targeted search.	mathyk_2024_multi_organ;kitamura_2011_psmb8	PSMB8 is an interferon-inducible immunoproteasome subunit with roles in inflammation and adipocyte homeostasis. Published mouse adrenal analysis reported a small endocrine and metabolic response, but the targeted search found no prior adrenal spaceflight Psmb8 association.	A biologically plausible immune, proteostasis, or composition candidate that remains unmatched in the searched adrenal spaceflight literature.	2026-08-03
canonical_tissue	eye	ENSMUSG00000073700	Klhl21	reinforced_real_and_synthetic	reinforced	2	FLT_lower	0.875	1.0	-0.0060721659089043	5.987559332400223e-05	1.0	True	False	1.0	1.0	recovery_of_prior_evidence	aligning	same_tissue_process_same_direction	Process-level agreement in a related eye tissue; no exact flight-eye KLHL21 result was found.	chen_2021_retina;maerki_2009_klhl21	Mouse flight retina data reported lower proliferation-related programs, and KLHL21 is required for chromosome alignment and cytokinesis. The present flight-lower eye association fits that direction at the process level.	Aligns with a flight-lower proliferative program in the eye, but is not an exact prior gene replication.	2026-08-03
canonical_tissue	kidney	ENSMUSG00000037940	Inpp4b	synthetic_promoted	promoted	6	FLT_higher	0.0	0.75	0.000194350136523	3.362888946744105e-05	0.8333333333333334	False	True	3.9900778891574345e-06	0.0396069279881359	mechanistic_or_process_hypothesis_extension	complementary	related_spaceflight_process_and_gene_mechanism	Contextual support only; no same-gene kidney spaceflight replication was found.	hammond_2018_kidney;kofuji_2015_inpp4b	Spaceflight kidney work implicated protein-kinase and hormone-response pathways, while INPP4B directly regulates PIP3-AKT signaling. The targeted search found no prior same-gene flight-kidney direction.	Adds a focused phosphoinositide-signaling candidate to prior renal pathway findings.	2026-08-03
canonical_tissue	kidney	ENSMUSG00000032114	Slc37a4	reinforced_real_and_synthetic	reinforced	6	FLT_higher	1.0	1.0	0.014332034367675	0.0011792070230749	1.0	True	False	8.440322798958497e-05	0.4312341069174573	mechanistic_or_process_hypothesis_extension	complementary	related_spaceflight_process_and_gene_mechanism	Mechanistic kidney and spaceflight-metabolism context only; no directional flight-kidney replication was found.	hammond_2018_kidney;dacierno_2022_slc37a4	Spaceflight kidney studies report metabolic remodeling, while mouse SLC37A4 loss disrupts proximal-tubule glucose handling and function. The targeted search found no prior flight-kidney Slc37a4 direction.	Adds an endoplasmic-reticulum glucose-transport candidate to the renal metabolic response.	2026-08-03
canonical_tissue	skeletal_muscle	ENSMUSG00000076431	Sox4	reinforced_real_and_synthetic	reinforced	13	FLT_higher	1.0	1.0	0.0008297043311582	1.8740564028665187e-05	1.0	True	True	1.4294755751611744e-10	0.0003898891560418	recovery_of_prior_evidence	aligning	direct_same_gene_same_tissue_same_direction	Public GeneLab muscle studies may overlap; this is literature alignment, not independent validation.	oommen_2024_muscle	A public mouse flight-muscle synthesis reported higher Sox4, matching the present pooled-muscle gene and direction.	Same-gene, broad-muscle, same-direction literature alignment.	2026-08-03
canonical_tissue	skeletal_muscle	ENSMUSG00000071637	Cebpd	reinforced_real_and_synthetic	reinforced	13	FLT_higher	1.0	1.0	0.0017785503283676	0.000125082611281	0.9230769230769232	False	True	3.337898264823815e-07	0.0058404896468783	recovery_of_prior_evidence	aligning	same_gene_same_direction_other_muscle_context	Published gastrocnemius and longissimus cohorts may partly overlap the public aggregate.	allen_2009_muscle;gambara_2017_longissimus	Mouse flight studies reported higher Cebpd in gastrocnemius and longissimus dorsi, matching the present pooled-muscle direction.	Same-gene and same-direction alignment across multiple anatomical muscle contexts.	2026-08-03
canonical_tissue	skeletal_muscle	ENSMUSG00000021892	Sh3bp5	reinforced_real_and_synthetic	reinforced	13	FLT_higher	1.0	1.0	0.0025567662828889	0.000125082611281	1.0	True	True	2.2627004025522315e-05	0.0012289387423306	mechanistic_or_process_hypothesis_extension	complementary	related_gene_mechanism	Mitochondrial stress mechanism only; no direct flight-muscle match was found.	wiltshire_2002_sh3bp5;oommen_2024_muscle	SH3BP5/SAB localizes to mitochondria and binds stress-responsive JNK, while flight-muscle studies report mitochondrial and stress remodeling. No prior directional flight-muscle Sh3bp5 result was found.	Adds a mitochondrial stress-signaling candidate to established muscle remodeling.	2026-08-03
canonical_tissue	skeletal_muscle	ENSMUSG00000038286	Bphl	reinforced_real_and_synthetic	reinforced	13	FLT_lower	0.5	1.0	-0.0016388454274583	0.0006598677226508	0.9230769230769232	False	True	0.0001845737873832	0.0048839457227067	literature_unmatched_candidate	unmatched	targeted_search_no_muscle_spaceflight_match	No direct or strong process-level flight-muscle match was found in the targeted search.	allen_2009_muscle;oommen_2024_muscle	The targeted search of mouse flight-muscle studies found no prior Bphl association or sufficiently specific process link.	A literature-unmatched pooled-muscle candidate that requires independent functional context.	2026-08-03
canonical_tissue	skeletal_muscle	ENSMUSG00000073700	Klhl21	synthetic_promoted	promoted	13	FLT_lower	0.0	1.0	-0.0110727649769785	0.0009889327032653	0.7692307692307693	False	True	0.0001845737873832	0.0172125417211124	mechanistic_or_process_hypothesis_extension	complementary	same_gene_other_muscle_context_direction_unreported	Public OSDR cohorts may overlap; this is related evidence, not independent validation.	li_2023_muscle	KLHL21 appeared among tibialis-anterior spaceflight model features, but its direction was not established and the present association is for pooled skeletal muscle.	Extends a prior muscle-model feature to a directionally defined pooled-muscle association.	2026-08-03
