analysis_scope	scope	tissue	gene	symbol	flt_gc_direction	n_accessions	meta_effect	meta_fdr	supporting_arms	importance_patterns	matched_importance_interpretations	matched_statuses	real_only_auroc_permutation_loss_mean	synthetic_arm_auroc_permutation_loss_mean	synthetic_arm_auroc_permutation_loss_max	synthetic_arm_shap_flt_minus_gc_mean	joint_utility_nonworse_all_arms	literature_classification	interpretive_role	evidence_scope	evidence_relationship	source_ids	literature_summary	interpretation	annotation_origin	literature_search_date
canonical_tissue	tissue	liver	ENSMUSG00000020176	Grb10	FLT_lower	12	-0.0004437179414167	1.7847808421231017e-05	real_plus_generated	real_plus_generated:shared_reinforced	real_plus_generated:reinforced_importance	real_plus_generated:shared_importance	0.0016642011834319	0.0019045857988166	0.0019045857988166	0.0129740154203424	True	complementary	mechanistic_or_process_hypothesis_extension	same_tissue_spaceflight_process_and_gene_mechanism	Public mouse flight data provide process context; the GRB10 study is mechanistic and does not reproduce the observed flight direction.	beheshti_2019_liver;luo_2018_grb10	Mouse spaceflight liver studies report lipid and insulin-signaling dysregulation. GRB10 regulates insulin or IGF signaling and can contribute to ER-stress steatosis in mouse liver, but no prior directional liver-flight Grb10 result was found.	The flight-lower association adds a growth-factor-control candidate to hepatic metabolic remodeling without establishing GRB10 as a flight mechanism.	matched_specific_review	2026-08-05
canonical_tissue	tissue	liver	ENSMUSG00000024538	Ppic	FLT_lower	12	-0.0001664216475534	0.0006697932534788	real_plus_generated	real_plus_generated:shared_attenuated	real_plus_generated:reinforced_importance	real_plus_generated:shared_importance	0.0026812130177514	0.0017381656804734	0.0017381656804734	0.0122943374769321	True	complementary	mechanistic_or_process_hypothesis_extension	same_tissue_spaceflight_process_and_gene_mechanism	The flight study supports hepatic proteostasis changes; the PPIC study is a liver-injury mechanism rather than a flight replication.	blaber_2017_liver_proteostasis;yang_2021_ppic	Mouse spaceflight liver studies report altered autophagy, proteasome activity, and protein homeostasis. PPIC promotes stellate-cell activation in mouse liver injury, but no prior directional flight-liver Ppic result was found.	The flight-lower association links proteostasis with a candidate hepatic remodeling mechanism that requires direct validation.	matched_specific_review	2026-08-05
canonical_tissue	tissue	liver	ENSMUSG00000037649	H2-DMa	FLT_lower	12	-0.0001966317287977	0.0121576154967244	real_plus_generated	real_plus_generated:shared_attenuated	real_plus_generated:reinforced_importance	real_plus_generated:shared_importance	0.0036797337278106	0.0018491124260355	0.0018491124260355	0.0262432334441032	True	complementary	mechanistic_or_process_hypothesis_extension	related_spaceflight_immune_process_and_gene_mechanism	The spaceflight source provides liver immune-process context; H2-DMalpha function is mechanistic and not a directional flight match.	da_silveira_2020_mitochondrial;felix_2000_h2dma	Spaceflight multi-omics reports reduced interferon-related signatures in mouse liver. H2-DMalpha is required for MHC class II peptide loading, but no direct liver-flight H2-DMa result was found.	The flight-lower association adds an antigen-presentation or immune-composition candidate to the liver response.	matched_specific_review	2026-08-05
canonical_tissue	tissue	liver	ENSMUSG00000033543	Gtf2a2	FLT_lower	12	-0.0005616258354623	0.0290248418902019	real_plus_generated	real_plus_generated:shared_reinforced	real_plus_generated:reinforced_importance	real_plus_generated:shared_importance	0.0017936390532544	0.0035318047337278	0.0035318047337278	0.0285416405526154	True	aligning	recovery_of_prior_evidence	same_tissue_process_same_direction	Public mouse flight data may overlap the present aggregate; agreement is at the transcription-process level rather than the exact gene.	vitry_2022_liver_muscle	A reanalysis of mouse flight liver reported lower RNA-polymerase and protein-metabolism pathways. GTF2A2 is a TFIIA subunit used in RNA polymerase II transcription initiation.	Lower Gtf2a2 agrees with previously reported suppression of a broad hepatic transcriptional process, not an exact published gene result.	matched_specific_review	2026-08-05
canonical_tissue	tissue	skin	ENSMUSG00000032369	Plscr1	FLT_higher	6	0.000322503584495	0.0036743534153061	generated_only;real_plus_generated	generated_only:shared_reinforced;real_plus_generated:shared_attenuated	generated_only:reinforced_importance;real_plus_generated:reinforced_importance	generated_only:shared_importance;real_plus_generated:shared_importance	0.0041852678571428	0.0044642857142857	0.005859375	0.0351648831436092	True	complementary	mechanistic_or_process_hypothesis_extension	related_spaceflight_process_and_gene_mechanism	OSDR skin cohorts may overlap; the gene mechanism is contextual rather than a replication.	cope_2024_skin;dong_2004_plscr1	Mouse spaceflight skin studies reported immune and damage-response changes, and PLSCR1 is interferon inducible and amplifies interferon-stimulated transcription. No prior directional skin-flight match was found.	Adds an interferon-linked candidate to the published skin immune-response context.	reused_consensus_annotation	2026-08-05
canonical_tissue	tissue	spleen	ENSMUSG00000032334	Loxl1	FLT_higher	6	0.0004834290579249	0.0107203685587774	real_plus_generated	real_plus_generated:shared_attenuated	real_plus_generated:reinforced_importance	real_plus_generated:shared_importance	0.0042355371900826	0.0016528925619834	0.0016528925619834	0.0250588773956918	True	complementary	mechanistic_or_process_hypothesis_extension	related_spaceflight_process_and_gene_mechanism	Mechanistic spleen and public flight-process context only; no direct spleen-flight direction was found.	han_2023_spleen_thymus;li_2021_loxl1	Mouse flight spleen studies implicate immune and platelet processes, while Loxl1 deficiency alters splenic extracellular-matrix, immune, and cell-cycle states. No prior directional spleen-flight Loxl1 result was found.	Adds an extracellular-matrix and immune-organization candidate to the splenic response.	reused_consensus_annotation	2026-08-05
canonical_tissue	tissue	thymus	ENSMUSG00000027306	Nusap1	FLT_lower	5	-0.0310693843087508	1.1595716103290356e-09	real_plus_generated	real_plus_generated:shared_attenuated	real_plus_generated:reinforced_importance	real_plus_generated:shared_importance	0.0013257575757575	0.0012310606060605	0.0012310606060605	0.0418219249783573	True	aligning	recovery_of_prior_evidence	same_tissue_process_same_direction	Published OSDR-related cohorts may overlap; this is process-level corroboration, not independent validation.	horie_2019_thymus	Two-mission mouse thymus RNA-seq reported flight-lower cell-cycle and chromosome-organization programs. This gene fits that mitotic or replication program, but the paper did not report it as an exact directional replication.	Aligns at the same-tissue process level; it is not an exact prior gene replication.	reused_consensus_annotation	2026-08-05
canonical_tissue	tissue	thymus	ENSMUSG00000028832	Stmn1	FLT_lower	5	-0.0111499861421321	2.9600357613667867e-09	real_plus_generated	real_plus_generated:shared_attenuated	real_plus_generated:reinforced_importance	real_plus_generated:shared_importance	0.002746212121212	0.0021780303030302	0.0021780303030302	0.0383851175886033	True	aligning	recovery_of_prior_evidence	same_tissue_process_same_direction	Published OSDR-related cohorts may overlap; this is process-level corroboration, not independent validation.	horie_2019_thymus	Two-mission mouse thymus RNA-seq reported flight-lower cell-cycle and chromosome-organization programs. This gene fits that mitotic or replication program, but the paper did not report it as an exact directional replication.	Aligns at the same-tissue process level; it is not an exact prior gene replication.	reused_consensus_annotation	2026-08-05
canonical_tissue	tissue	thymus	ENSMUSG00000017716	Birc5	FLT_lower	5	-0.0133379360163701	1.2621664694113914e-07	real_plus_generated	real_plus_generated:shared_attenuated	real_plus_generated:reinforced_importance	real_plus_generated:shared_importance	0.0024621212121211	0.0018939393939393	0.0018939393939393	0.0470612984494479	True	ambiguous	context_dependent_or_mixed_prior_evidence	mixed_exact_gene_and_process_evidence	Includes an independent direct conflict and OSDR-related process-level agreement.	gridley_2009_thymus_spleen;horie_2019_thymus	STS-118 targeted expression reported flight-higher Birc5, opposite the present flight-lower effect. Longer ISS RNA-seq later reported a broad flight-lower thymus cell-cycle program.	Prior evidence is mixed across mission duration and assay, so the association is neither solely aligning nor solely contradictory.	reused_consensus_annotation	2026-08-05
canonical_tissue	tissue	thymus	ENSMUSG00000032218	Ccnb2	FLT_lower	5	-0.0102311976129221	0.0002376244088253	generated_only;real_plus_generated	generated_only:shared_reinforced;real_plus_generated:shared_reinforced	generated_only:reinforced_importance;real_plus_generated:reinforced_importance	generated_only:shared_importance;real_plus_generated:shared_importance	0.0015151515151514	0.00208333333333325	0.0023674242424242	0.02586502293724385	True	aligning	recovery_of_prior_evidence	direct_same_gene_same_tissue_same_direction	Published OSDR-related source cohorts may overlap; this is an exact literature match but not independent validation.	horie_2019_thymus	Two-mission mouse thymus RNA-seq reported flight-lower Ccnb2 expression, matching the present gene, tissue, and direction.	Exact same-gene, same-tissue, same-direction literature alignment.	reused_consensus_annotation	2026-08-05
canonical_tissue	tissue	thymus	ENSMUSG00000020978	Klhdc2	FLT_higher	5	0.0023738248930739	0.0004980196113574	real_plus_generated	real_plus_generated:synthetic_promoted_real_transfer	real_plus_generated:synthetic_promoted_importance	real_plus_generated:promoted	-0.0001893939393939	0.0011363636363635	0.0011363636363635	0.0150794785885499	True	unmatched	literature_unmatched_candidate	targeted_search_no_thymus_spaceflight_match	The thymus source defines the searched flight context; KLHDC2 evidence is mechanistic only.	horie_2019_thymus;rusnac_2018_klhdc2	KLHDC2 recognizes C-end degrons in ubiquitin-mediated protein quality control. The targeted search found no prior thymus-spaceflight association for Klhdc2.	A literature-unmatched thymus candidate that should be kept separate from the supported mitotic program.	matched_specific_review	2026-08-05
