tissue	accessions	features	meta_effect_correlation	meta_direction_agreement	mean_accession_effect_correlation	mean_accession_direction_agreement
adrenal_gland	3	974	0.5406678758397845	0.7618069815195072	0.1021360443888782	0.5345653661875428
brain	4	974	0.4932467022818687	0.6673511293634496	0.0473538639962351	0.459958932238193
cerebellum	3	974	0.4771111336666926	0.7330595482546202	0.0051948727264822	0.339151266255989
heart	3	974	0.2027136431546299	0.6971252566735113	-0.0657463171393247	0.5369609856262834
kidney	6	974	0.3974657926914855	0.3501026694045174	-0.0951396613733974	0.4111909650924025
liver	12	974	0.3844750416708938	0.6776180698151951	0.0914028359193253	0.5608316221765913
lung	3	974	0.5323000165766869	0.7135523613963038	-0.0295401068783562	0.3726899383983573
retina	4	974	0.2333724892282461	0.62217659137577	-0.0460640064209246	0.4158110882956879
skeletal_muscle	13	974	0.5977017807702988	0.6406570841889117	-0.0308552177598422	0.4312904754383193
skin	6	974	0.7332784599407663	0.8008213552361396	0.0985336390243	0.5154004106776181
spleen	6	974	0.4973134425528001	0.7258726899383984	0.0187528949204577	0.4219712525667351
thymus	5	974	0.7756487306369432	0.7905544147843943	0.2777092270144706	0.5131416837782341
