tissue	accession	fold	features	effect_correlation	direction_agreement	effect_rmse
adrenal_gland	OSD-161	fold2	974	0.1354520695921845	0.4907597535934291	0.3252787506889949
adrenal_gland	OSD-512	fold0	974	0.0787938451122922	0.6858316221765913	0.2988897146084543
adrenal_gland	OSD-98	fold1	974	0.0921622184621578	0.4271047227926078	0.2848438397442699
brain	OSD-352	fold2	974	0.0685718520345488	0.4856262833675565	0.3923990727667839
brain	OSD-457	fold2	974	0.0535904007351981	0.4938398357289528	0.3206190466237425
brain	OSD-612	fold1	974	0.1324373883687529	0.635523613963039	0.413890182304043
brain	OSD-613	fold0	974	-0.0651841851535592	0.2248459958932238	0.2814432750755952
cerebellum	OSD-525	fold1	974	0.0572409471596439	0.4989733059548255	0.3064660557216948
cerebellum	OSD-561	fold0	974	-0.0574203898568384	0.188911704312115	0.3854760890594196
cerebellum	OSD-563	fold2	974	0.0157640608766412	0.3295687885010267	0.3901715937761977
heart	OSD-270	fold2	974	-0.0922778088869241	0.4240246406570842	0.4822645059504906
heart	OSD-580	fold0	974	0.0078307300580199	0.5657084188911704	0.2685195883398927
heart	OSD-599	fold1	974	-0.11279187258907	0.6211498973305954	0.4693022691208282
kidney	OSD-102	fold0	974	0.1260215560744791	0.688911704312115	0.4007771245910509
kidney	OSD-163	fold1	974	-0.1873981177982575	0.3254620123203285	0.3183163125139712
kidney	OSD-253	fold1	974	-0.413885922884759	0.2299794661190965	0.3590914186803257
kidney	OSD-457	fold2	974	-0.0732805053595438	0.6016427104722792	0.3056747209522205
kidney	OSD-513	fold2	974	-0.0732850890650242	0.4897330595482546	0.3664030816127709
kidney	OSD-771	fold0	974	0.0509901107927205	0.1314168377823408	0.4421341432880969
liver	OSD-137	fold2	974	0.0887972659411292	0.6519507186858317	0.3332956629773113
liver	OSD-164	fold1	974	0.1483142719756354	0.3480492813141684	0.6195451630068485
liver	OSD-168	fold2	974	0.0197023207015033	0.6057494866529775	0.2930626496848534
liver	OSD-173	fold1	974	-0.1232121675690827	0.5574948665297741	0.7391030704834617
liver	OSD-242	fold0	974	0.1000699520350303	0.582135523613963	0.4481662599375318
liver	OSD-245	fold1	974	0.3984414751437247	0.7330595482546202	0.2490494989599955
liver	OSD-379	fold0	974	0.1530311728344744	0.5082135523613963	0.1864472809614687
liver	OSD-457	fold2	974	0.0336068625474137	0.4948665297741273	0.2577913335966257
liver	OSD-463	fold0	974	-0.0790697712470821	0.4455852156057495	0.3588097726304683
liver	OSD-47	fold0	974	0.0859452989010145	0.37782340862423	0.5377968028500238
liver	OSD-48	fold1	974	0.2463404232330536	0.7946611909650924	0.3422547269154154
liver	OSD-686	fold1	974	0.0248669265350898	0.6303901437371663	0.5382366285643176
lung	OSD-248	fold0	974	-0.0311286244967573	0.3388090349075975	0.3513682777150926
lung	OSD-464	fold2	974	0.1047554613265202	0.4014373716632443	0.2837711997626813
lung	OSD-900	fold1	974	-0.1622471574648318	0.37782340862423	0.2549236354575003
retina	OSD-194	fold2	974	-0.0952720873009331	0.4188911704312115	0.2572520293418646
retina	OSD-255	fold1	974	-0.1309087932624603	0.3295687885010267	0.3897730414619291
retina	OSD-397	fold2	974	0.0928535736650435	0.3572895277207392	0.2953196325613625
retina	OSD-758	fold0	974	-0.0509287187853487	0.5574948665297741	0.2210590617610458
skeletal_muscle	OSD-101	fold2	974	0.0951010039033343	0.5420944558521561	0.382823212726294
skeletal_muscle	OSD-103	fold0	974	-0.0888564478202263	0.4979466119096509	0.3576597538510732
skeletal_muscle	OSD-104	fold1	974	-0.0147968588164553	0.4743326488706365	0.4137138807938315
skeletal_muscle	OSD-105	fold2	974	-0.1334106377450568	0.5965092402464066	0.503007406407183
skeletal_muscle	OSD-326	fold0	974	-0.1505800555028924	0.3470225872689938	0.9221374544297064
skeletal_muscle	OSD-401	fold0	974	0.0049533539829351	0.3275154004106776	0.3659562895341913
skeletal_muscle	OSD-419	fold1	974	0.1182477078416363	0.4168377823408624	0.480898897990124
skeletal_muscle	OSD-576	fold1	974	-0.0487206346430798	0.502053388090349	0.4655550207062037
skeletal_muscle	OSD-665	fold1	974	-0.0429260670705846	0.5913757700205339	0.3561992899465681
skeletal_muscle	OSD-666	fold2	974	0.1804520108594955	0.4712525667351129	0.3488193294802801
skeletal_muscle	OSD-714	fold0	974	-0.0377842182201485	0.2936344969199179	0.5488430746062202
skeletal_muscle	OSD-770	fold0	974	0.0169784549316497	0.2772073921971252	0.5742167166866857
skeletal_muscle	OSD-99	fold2	974	-0.2997754425785569	0.2689938398357289	0.6706205425502276
skin	OSD-238	fold1	974	0.5321878697148649	0.6971252566735113	0.2615207497721751
skin	OSD-239	fold2	974	0.0585620832732989	0.4435318275154004	0.2878806346712269
skin	OSD-240	fold2	974	-0.1585030768285309	0.4928131416837782	0.2918838999072001
skin	OSD-241	fold0	974	-0.0335069652298754	0.4486652977412731	0.23356065330725
skin	OSD-243	fold1	974	-0.1274023410812618	0.4127310061601643	0.3025836317046296
skin	OSD-254	fold0	974	0.3198642642973045	0.5975359342915811	0.2110194517179733
spleen	OSD-164	fold1	974	0.1683052719278505	0.74435318275154	0.3273720868559043
spleen	OSD-246	fold0	974	-0.0586828354999558	0.4568788501026694	0.2246558788923616
spleen	OSD-288	fold0	974	0.020230711050399	0.3408624229979466	0.3922160263909988
spleen	OSD-420	fold1	974	-0.0061525553697454	0.3809034907597536	0.2821917484268877
spleen	OSD-457	fold2	974	0.0206211123189108	0.3264887063655031	0.5082649438417891
spleen	OSD-506	fold2	974	-0.0318043349047124	0.2823408624229979	0.4081817296502212
thymus	OSD-244	fold0	974	0.623787155557923	0.675564681724846	0.3404906980033562
thymus	OSD-289	fold0	974	0.4414736410948654	0.3767967145790554	0.4913827847986174
thymus	OSD-421	fold1	974	0.2130358216126096	0.4681724845995893	0.5764076904283334
thymus	OSD-457	fold2	974	0.4086915408220115	0.8367556468172485	0.5817274462767192
thymus	OSD-515	fold2	974	-0.2984420240150562	0.2084188911704312	1.1755792652529635
