tissue	gene_set	term	description	pathway_genes_in_background	selected_genes	overlap	overlap_genes	overlap_symbols	p_value	fdr
thymus	generated_supported	R-MMU-69278_CELL_CYCLE_MITOTIC	https://reactome.org/PathwayBrowser/#/R-MMU-69278	76	29	10	ENSMUSG00000001403,ENSMUSG00000003779,ENSMUSG00000006715,ENSMUSG00000012483,ENSMUSG00000019942,ENSMUSG00000027342,ENSMUSG00000027496,ENSMUSG00000028212,ENSMUSG00000032218,ENSMUSG00000041126	Ube2c,Kif20a,Gmnn,Rpa3,Cdk1,Pcna,Aurka,Ccne2,Ccnb2,H2az2	2.778205823182331e-05	0.0031671546384278
thymus	generated_supported	R-MMU-1640170_CELL_CYCLE	https://reactome.org/PathwayBrowser/#/R-MMU-1640170	89	29	10	ENSMUSG00000001403,ENSMUSG00000003779,ENSMUSG00000006715,ENSMUSG00000012483,ENSMUSG00000019942,ENSMUSG00000027342,ENSMUSG00000027496,ENSMUSG00000028212,ENSMUSG00000032218,ENSMUSG00000041126	Ube2c,Kif20a,Gmnn,Rpa3,Cdk1,Pcna,Aurka,Ccne2,Ccnb2,H2az2	0.0001153815887154	0.0054171003260582
thymus	generated_supported	R-MMU-69239_SYNTHESIS_OF_DNA	https://reactome.org/PathwayBrowser/#/R-MMU-69239	19	29	5	ENSMUSG00000001403,ENSMUSG00000006715,ENSMUSG00000012483,ENSMUSG00000027342,ENSMUSG00000028212	Ube2c,Gmnn,Rpa3,Pcna,Ccne2	0.0001425552717383	0.0054171003260582
thymus	generated_supported	R-MMU-69306_DNA_REPLICATION	https://reactome.org/PathwayBrowser/#/R-MMU-69306	21	29	5	ENSMUSG00000001403,ENSMUSG00000006715,ENSMUSG00000012483,ENSMUSG00000027342,ENSMUSG00000028212	Ube2c,Gmnn,Rpa3,Pcna,Ccne2	0.0002392428940066	0.0068184224791891
thymus	generated_supported	R-MMU-6791312_TP53_REGULATES_TRANSCRIPTION_OF_CELL_CYCLE_GENES	https://reactome.org/PathwayBrowser/#/R-MMU-6791312	14	29	4	ENSMUSG00000019942,ENSMUSG00000027342,ENSMUSG00000027496,ENSMUSG00000028212	Cdk1,Pcna,Aurka,Ccne2	0.0005179700463123	0.011809717055922
thymus	generated_supported	R-MMU-6804114_TP53_REGULATES_TRANSCRIPTION_OF_GENES_INVOLVED_IN_G2_CELL_CYCLE_ARREST	https://reactome.org/PathwayBrowser/#/R-MMU-6804114	7	29	3	ENSMUSG00000019942,ENSMUSG00000027342,ENSMUSG00000027496	Cdk1,Pcna,Aurka	0.0007681351129506	0.0145945671460619
thymus	generated_supported	R-MMU-69242_S_PHASE	https://reactome.org/PathwayBrowser/#/R-MMU-69242	33	29	5	ENSMUSG00000001403,ENSMUSG00000006715,ENSMUSG00000012483,ENSMUSG00000027342,ENSMUSG00000028212	Ube2c,Gmnn,Rpa3,Pcna,Ccne2	0.0021697471660462	0.0353191561812749
thymus	generated_supported	R-MMU-69052_SWITCHING_OF_ORIGINS_TO_A_POST_REPLICATIVE_STATE	https://reactome.org/PathwayBrowser/#/R-MMU-69052	10	29	3	ENSMUSG00000001403,ENSMUSG00000006715,ENSMUSG00000028212	Ube2c,Gmnn,Ccne2	0.0024785372758789	0.0353191561812749
thymus	generated_supported	R-MMU-69002_DNA_REPLICATION_PRE_INITIATION	https://reactome.org/PathwayBrowser/#/R-MMU-69002	11	29	3	ENSMUSG00000001403,ENSMUSG00000006715,ENSMUSG00000012483	Ube2c,Gmnn,Rpa3	0.0033398254909277	0.0376379837685478
thymus	generated_supported	R-MMU-2565942_REGULATION_OF_PLK1_ACTIVITY_AT_G2_M_TRANSITION	https://reactome.org/PathwayBrowser/#/R-MMU-2565942	12	29	3	ENSMUSG00000019942,ENSMUSG00000027496,ENSMUSG00000032218	Cdk1,Aurka,Ccnb2	0.0043640896691334	0.0376379837685478
