tissue	gene_set	term	description	pathway_genes_in_background	selected_genes	overlap	overlap_genes	overlap_symbols	p_value	fdr
edl	generated_supported	R-MMU-9018519_ESTROGEN_DEPENDENT_GENE_EXPRESSION	https://reactome.org/PathwayBrowser/#/R-MMU-9018519	7	7	2	ENSMUSG00000019738,ENSMUSG00000048490	Polr2i,Nrip1	0.000914812634145	0.0100629389755955
edl	generated_supported	R-MMU-72163_MRNA_SPLICING_MAJOR_PATHWAY	https://reactome.org/PathwayBrowser/#/R-MMU-72163	15	7	2	ENSMUSG00000019738,ENSMUSG00000031683	Polr2i,Lsm6	0.0044497180771908	0.0163156329496998
edl	generated_supported	R-MMU-72172_MRNA_SPLICING	https://reactome.org/PathwayBrowser/#/R-MMU-72172	15	7	2	ENSMUSG00000019738,ENSMUSG00000031683	Polr2i,Lsm6	0.0044497180771908	0.0163156329496998
edl	generated_supported	R-MMU-72203_PROCESSING_OF_CAPPED_INTRON_CONTAINING_PRE_MRNA	https://reactome.org/PathwayBrowser/#/R-MMU-72203	22	7	2	ENSMUSG00000019738,ENSMUSG00000031683	Polr2i,Lsm6	0.0095555472995955	0.0262777550738877
edl	generated_supported	R-MMU-8939211_ESR_MEDIATED_SIGNALING	https://reactome.org/PathwayBrowser/#/R-MMU-8939211	26	7	2	ENSMUSG00000019738,ENSMUSG00000048490	Polr2i,Nrip1	0.0132591704039444	0.0291701748886778
edl	generated_supported	R-MMU-9006931_SIGNALING_BY_NUCLEAR_RECEPTORS	https://reactome.org/PathwayBrowser/#/R-MMU-9006931	30	7	2	ENSMUSG00000019738,ENSMUSG00000048490	Polr2i,Nrip1	0.0175026524652575	0.0320881961863055
edl	generated_supported	R-MMU-382551_TRANSPORT_OF_SMALL_MOLECULES	https://reactome.org/PathwayBrowser/#/R-MMU-382551	33	7	2	ENSMUSG00000022822,ENSMUSG00000031431	Abcc5,Tsc22d3	0.0210246940854714	0.0330388049914551
edl	generated_supported	R-MMU-8953854_METABOLISM_OF_RNA	https://reactome.org/PathwayBrowser/#/R-MMU-8953854	49	7	2	ENSMUSG00000019738,ENSMUSG00000031683	Polr2i,Lsm6	0.0442925358792754	0.0609022368340037
edl	generated_supported	R-MMU-1430728_METABOLISM	https://reactome.org/PathwayBrowser/#/R-MMU-1430728	150	7	2	ENSMUSG00000022822,ENSMUSG00000046598	Abcc5,Bdh1	0.2945138583958193	0.3589742073199473
edl	generated_supported	R-MMU-392499_METABOLISM_OF_PROTEINS	https://reactome.org/PathwayBrowser/#/R-MMU-392499	161	7	2	ENSMUSG00000046598,ENSMUSG00000048490	Bdh1,Nrip1	0.3263401884726793	0.3589742073199473
edl	generated_supported	R-MMU-162582_SIGNAL_TRANSDUCTION	https://reactome.org/PathwayBrowser/#/R-MMU-162582	212	7	2	ENSMUSG00000019738,ENSMUSG00000048490	Polr2i,Nrip1	0.4717008168990734	0.4717008168990734
edl	exploratory_union	R-MMU-429914_DEADENYLATION_DEPENDENT_MRNA_DECAY	https://reactome.org/PathwayBrowser/#/R-MMU-429914	8	17	3	ENSMUSG00000005682,ENSMUSG00000031683,ENSMUSG00000038784	Pan2,Lsm6,Cnot4	0.0002349073320332	0.0044632393086315
edl	exploratory_union	R-MMU-429947_DEADENYLATION_OF_MRNA	https://reactome.org/PathwayBrowser/#/R-MMU-429947	3	17	2	ENSMUSG00000005682,ENSMUSG00000038784	Pan2,Cnot4	0.0008521718201202	0.0065110791038679
edl	exploratory_union	R-MMU-8953854_METABOLISM_OF_RNA	https://reactome.org/PathwayBrowser/#/R-MMU-8953854	49	17	5	ENSMUSG00000005682,ENSMUSG00000019738,ENSMUSG00000031683,ENSMUSG00000038784,ENSMUSG00000049950	Pan2,Polr2i,Lsm6,Cnot4,Rpp38	0.0010280651216633	0.0065110791038679
