term	flight_minus_ground	welch_fdr	abs_effect	mean_abs_accession_effect	abs_mean_accession_effect	low_effect_threshold	category	category_label	matched_keyword	rationale
R-MMU-141444_AMPLIFICATION_OF_SIGNAL_FROM_UNATTACHED_KINETOCHORES_VIA_A_MAD2_INHIBITORY_SIGNAL	-0.0006670931579381	0.014159335899071	0.0006670931579381	0.0008880210508448917	0.000783615667237775	0.014249067531992898	low_or_no_effect	low/no relative effect		below model-relative accession-level heatmap effect threshold
R-MMU-9696273_RND1_GTPASE_CYCLE	-0.0049206227443529	0.014159335899071	0.0049206227443529	0.008166710243486008	0.006923354778374924	0.014249067531992898	low_or_no_effect	low/no relative effect		below model-relative accession-level heatmap effect threshold
R-MMU-5683057_MAPK_FAMILY_SIGNALING_CASCADES	-0.067259289095545	0.014159335899071	0.067259289095545	0.07271636428304627	0.052492830394157385	0.014249067531992898	plausible_complementary	plausible/complementary	mapk	plausible complementary mechanism: mapk
R-MMU-202403_TCR_SIGNALING	-0.0765567582848358	0.014159335899071	0.0765567582848358	0.08900588264705889	0.07704941725817004	0.014249067531992898	plausible_complementary	plausible/complementary	tcr	plausible complementary mechanism: tcr
R-MMU-389948_CO_INHIBITION_BY_PD_1	0.002359833193153	0.014159335899071	0.002359833193153	0.0034994438699303167	0.0031912127497557333	0.014249067531992898	low_or_no_effect	low/no relative effect		below model-relative accession-level heatmap effect threshold
R-MMU-8848021_SIGNALING_BY_PTK6	-0.0061598145777937	0.014159335899071	0.0061598145777937	0.008905209265820049	0.007202087032962916	0.014249067531992898	low_or_no_effect	low/no relative effect		below model-relative accession-level heatmap effect threshold
R-MMU-422356_REGULATION_OF_INSULIN_SECRETION	-0.0694616806886905	0.014159335899071	0.0694616806886905	0.09404312274997634	0.08852267822616683	0.014249067531992898	prior_literature_match	prior literature match	insulin	matches expected tissue/spaceflight biology: insulin
R-MMU-70326_GLUCOSE_METABOLISM	0.0038418007969326	0.014159335899071	0.0038418007969326	0.005675888643919967	0.005434813937491401	0.014249067531992898	low_or_no_effect	low/no relative effect		below model-relative accession-level heatmap effect threshold
R-MMU-5693565_RECRUITMENT_AND_ATM_MEDIATED_PHOSPHORYLATION_OF_REPAIR_AND_SIGNALING_PROTEINS_AT_DNA_DOUBLE_STRAND_BREAKS	0.00311066415292	0.014159335899071	0.00311066415292	0.0037362807023650474	0.002996796578495102	0.014249067531992898	low_or_no_effect	low/no relative effect		below model-relative accession-level heatmap effect threshold
R-MMU-9013148_CDC42_GTPASE_CYCLE	0.0009503741325935	0.0146573343153803	0.0009503741325935	0.0012758331408006353	0.0010237176400863521	0.014249067531992898	low_or_no_effect	low/no relative effect		below model-relative accession-level heatmap effect threshold
