term	flight_minus_ground	welch_fdr	abs_effect	mean_abs_accession_effect	abs_mean_accession_effect	low_effect_threshold	category	category_label	matched_keyword	rationale
R-MMU-163125_POST_TRANSLATIONAL_MODIFICATION_SYNTHESIS_OF_GPI_ANCHORED_PROTEINS	0.1366577388644367	0.0029524647338664	0.1366577388644367	0.1357671166862042	0.12197473742694492	0.03824113312427363	plausible_complementary	plausible/complementary	gpi anchored	plausible complementary mechanism: gpi anchored
R-MMU-195258_RHO_GTPASE_EFFECTORS	0.3095414348926054	0.0084605958584422	0.3095414348926054	0.306775628718678	0.2143979609577353	0.03824113312427363	plausible_complementary	plausible/complementary	rho	plausible complementary mechanism: rho
R-MMU-453274_MITOTIC_G2_G2_M_PHASES	0.273983327330986	0.0084605958584422	0.273983327330986	0.256861246832558	0.22289652749922464	0.03824113312427363	prior_literature_match	prior literature match	mitotic	matches expected tissue/spaceflight biology: mitotic
R-MMU-388396_GPCR_DOWNSTREAM_SIGNALLING	0.2734284158961269	0.0084605958584422	0.2734284158961269	0.25428784950890493	0.20347143950890492	0.03824113312427363	plausible_complementary	plausible/complementary	gpcr	plausible complementary mechanism: gpcr
R-MMU-68877_MITOTIC_PROMETAPHASE	0.0994922677730634	0.0084605958584422	0.0994922677730634	0.08964150403743125	0.07977413343372762	0.03824113312427363	prior_literature_match	prior literature match	mitotic	matches expected tissue/spaceflight biology: mitotic
R-MMU-73894_DNA_REPAIR	0.338503731390845	0.0088010188437846	0.338503731390845	0.3066458096381889	0.25708370219105087	0.03824113312427363	prior_literature_match	prior literature match	dna repair	matches expected tissue/spaceflight biology: dna repair
R-MMU-446652_INTERLEUKIN_1_FAMILY_SIGNALING	0.2568731942538735	0.0088010188437846	0.2568731942538735	0.2357373230311979	0.21724567392008678	0.03824113312427363	prior_literature_match	prior literature match	interleukin 1	matches expected tissue/spaceflight biology: interleukin 1
R-MMU-196854_METABOLISM_OF_VITAMINS_AND_COFACTORS	0.2077488449912729	0.0088010188437846	0.2077488449912729	0.21517834277917813	0.17147879074584482	0.03824113312427363	plausible_complementary	plausible/complementary	vitamins and cofactors	plausible complementary mechanism: vitamins and cofactors
R-MMU-5362517_SIGNALING_BY_RETINOIC_ACID	0.1786153280100704	0.0088010188437846	0.1786153280100704	0.18163955484002745	0.1414182585538322	0.03824113312427363	plausible_complementary	plausible/complementary	retinoic acid	plausible complementary mechanism: retinoic acid
R-MMU-453279_MITOTIC_G1_PHASE_AND_G1_S_TRANSITION	-0.1368654743443486	0.0088010188437846	0.1368654743443486	0.12554853902301788	0.11442090593079568	0.03824113312427363	prior_literature_match	prior literature match	mitotic	matches expected tissue/spaceflight biology: mitotic
R-MMU-8856828_CLATHRIN_MEDIATED_ENDOCYTOSIS	-0.1802935754397887	0.0088010188437846	0.1802935754397887	0.20215389704735953	0.19187863212884104	0.03824113312427363	plausible_complementary	plausible/complementary	clathrin	plausible complementary mechanism: clathrin
R-MMU-68886_M_PHASE	0.3345809133677815	0.0088010188437846	0.3345809133677815	0.33419320044327483	0.2715551212136453	0.03824113312427363	broad_or_uncertain_signal	broad/uncertain signal		moderate/significant effect but not manually assigned to a literature family
R-MMU-2990846_SUMOYLATION	0.1652909317054578	0.0093663514080735	0.1652909317054578	0.1615496444782163	0.1271724093671052	0.03824113312427363	plausible_complementary	plausible/complementary	sumoylation	plausible complementary mechanism: sumoylation
R-MMU-191273_CHOLESTEROL_BIOSYNTHESIS	-0.2026576499318662	0.0099112933886168	0.2026576499318662	0.19845157320618326	0.15741326067284991	0.03824113312427363	prior_literature_match	prior literature match	cholesterol	matches expected tissue/spaceflight biology: cholesterol
