review_row	term	flight_minus_ground	signed_accession_mean_flt_minus_gc	mean_abs_accession_effect	category	category_label	matched_keyword	rationale	effect_direction
1	R-MMU-5683057_MAPK_FAMILY_SIGNALING_CASCADES	-0.067259289095545	-0.052492830394157385	0.0727163642830462	plausible_complementary	plausible/complementary	mapk	plausible complementary mechanism: mapk	FLT_down
2	R-MMU-202403_TCR_SIGNALING	-0.0765567582848358	-0.07704941725817004	0.0890058826470588	plausible_complementary	plausible/complementary	tcr	plausible complementary mechanism: tcr	FLT_down
3	R-MMU-422356_REGULATION_OF_INSULIN_SECRETION	-0.0694616806886905	-0.08852267822616683	0.0940431227499763	prior_literature_match	prior literature match	insulin	matches expected tissue/spaceflight biology: insulin	FLT_down
4	R-MMU-212165_EPIGENETIC_REGULATION_OF_GENE_EXPRESSION	-0.0099358304585659	-0.011601215144209434	0.0154829714272094	broad_or_uncertain_signal	broad/uncertain signal		moderate/significant effect but not manually assigned to a literature family	FLT_down
5	R-MMU-202733_CELL_SURFACE_INTERACTIONS_AT_THE_VASCULAR_WALL	-0.1277069454251687	-0.11637160335264056	0.1478590752939103	plausible_complementary	plausible/complementary	rac	plausible complementary mechanism: rac	FLT_down
6	R-MMU-449147_SIGNALING_BY_INTERLEUKINS	-0.0810820919469026	-0.07800813053295425	0.099321839342478	prior_literature_match	prior literature match	interleukin	matches expected tissue/spaceflight biology: interleukin	FLT_down
7	R-MMU-9012999_RHO_GTPASE_CYCLE	0.1107449696729414	0.1028774743186236	0.1278508901202108	plausible_complementary	plausible/complementary	rho	plausible complementary mechanism: rho	FLT_up
8	R-MMU-2132295_MHC_CLASS_II_ANTIGEN_PRESENTATION	-0.1303823227375131	-0.1250478472275798	0.1755128408783734	prior_literature_match	prior literature match	mhc	matches expected tissue/spaceflight biology: mhc	FLT_down
9	R-MMU-3000178_ECM_PROTEOGLYCANS	-0.0864480611449677	-0.09690649220328039	0.1035274999357365	plausible_complementary	plausible/complementary	ecm	plausible complementary mechanism: ecm	FLT_down
10	R-MMU-5576891_CARDIAC_CONDUCTION	0.1057085014741412	0.1016613324689797	0.1163789305245352	likely_artifact	likely artifact/junk	cardiac conduction	context-incongruent Reactome term: cardiac conduction	FLT_up
11	R-MMU-166016_TOLL_LIKE_RECEPTOR_4_TLR4_CASCADE	-0.1274642317385104	-0.17873989996834364	0.1945248575083436	prior_literature_match	prior literature match	toll like receptor	matches expected tissue/spaceflight biology: toll like receptor	FLT_down
12	R-MMU-204998_CELL_DEATH_SIGNALLING_VIA_NRAGE_NRIF_AND_NADE	-0.0181482028549737	-0.014528195800983667	0.016877208634317	broad_or_uncertain_signal	broad/uncertain signal		moderate/significant effect but not manually assigned to a literature family	FLT_down
13	R-MMU-983169_CLASS_I_MHC_MEDIATED_ANTIGEN_PROCESSING_PRESENTATION	-0.0947747017151643	-0.08011004387082624	0.100972395648604	prior_literature_match	prior literature match	mhc	matches expected tissue/spaceflight biology: mhc	FLT_down
14	R-MMU-4420097_VEGFA_VEGFR2_PATHWAY	-0.0238793946367916	-0.029901896024291667	0.0398314039396884	broad_or_uncertain_signal	broad/uncertain signal		moderate/significant effect but not manually assigned to a literature family	FLT_down
15	R-MMU-1169410_ANTIMICROBIAL_MECHANISM_OF_IFN_STIMULATED_GENES	0.0258064965340632	0.031573883957522114	0.0417518204699388	broad_or_uncertain_signal	broad/uncertain signal		moderate/significant effect but not manually assigned to a literature family	FLT_up
16	R-MMU-114604_GPVI_MEDIATED_ACTIVATION_CASCADE	-0.0090292362596655	-0.012500463398642601	0.0151619458560747	broad_or_uncertain_signal	broad/uncertain signal		moderate/significant effect but not manually assigned to a literature family	FLT_down
17	R-MMU-76002_PLATELET_ACTIVATION_SIGNALING_AND_AGGREGATION	0.0706294273736312	0.07769695949862344	0.08427383866529	plausible_complementary	plausible/complementary	platelet	plausible complementary mechanism: platelet	FLT_up
18	R-MMU-8953897_CELLULAR_RESPONSES_TO_STIMULI	0.0801574604469772	0.09105466373389794	0.0932084981491026	broad_or_uncertain_signal	broad/uncertain signal		moderate/significant effect but not manually assigned to a literature family	FLT_up
19	R-MMU-422475_AXON_GUIDANCE	0.0681395017474125	0.06074655972343158	0.0753857976678759	broad_or_uncertain_signal	broad/uncertain signal		moderate/significant effect but not manually assigned to a literature family	FLT_up
20	R-MMU-109581_APOPTOSIS	0.0526604826739913	0.05327112482909666	0.0566891906068744	plausible_complementary	plausible/complementary	apoptosis	plausible complementary mechanism: apoptosis	FLT_up
21	R-MMU-199991_MEMBRANE_TRAFFICKING	-0.0631835639298034	-0.042910300052847156	0.0710856187433233	broad_or_uncertain_signal	broad/uncertain signal		moderate/significant effect but not manually assigned to a literature family	FLT_down
22	R-MMU-71291_METABOLISM_OF_AMINO_ACIDS_AND_DERIVATIVES	0.0476730539823013	0.06231028156420398	0.0891316945021041	prior_literature_match	prior literature match	amino acids	matches expected tissue/spaceflight biology: amino acids	FLT_up
23	R-MMU-8963899_PLASMA_LIPOPROTEIN_REMODELING	0.0450982438593068	0.03251329975735708	0.050915894757357	prior_literature_match	prior literature match	lipoprotein	matches expected tissue/spaceflight biology: lipoprotein	FLT_up
24	R-MMU-168256_IMMUNE_SYSTEM	0.1631336071621421	0.15498591402837283	0.2274073476791666	prior_literature_match	prior literature match	exact override	literature override: liver immune/inflammatory remodeling	FLT_up
25	R-MMU-194138_SIGNALING_BY_VEGF	-0.113577276441053	-0.09877428065161775	0.1108820881516177	broad_or_uncertain_signal	broad/uncertain signal		moderate/significant effect but not manually assigned to a literature family	FLT_down
26	R-MMU-8856828_CLATHRIN_MEDIATED_ENDOCYTOSIS	-0.0726636492042297	-0.06351401981513131	0.067090644592909	broad_or_uncertain_signal	broad/uncertain signal		moderate/significant effect but not manually assigned to a literature family	FLT_down
27	R-MMU-6798695_NEUTROPHIL_DEGRANULATION	-0.1310276602204887	-0.12185183822010227	0.162430569013753	prior_literature_match	prior literature match	neutrophil	matches expected tissue/spaceflight biology: neutrophil	FLT_down
28	R-MMU-3700989_TRANSCRIPTIONAL_REGULATION_BY_TP53	0.0443522021126443	0.06227321049737985	0.0642516846609742	broad_or_uncertain_signal	broad/uncertain signal		moderate/significant effect but not manually assigned to a literature family	FLT_up
29	R-MMU-9711123_CELLULAR_RESPONSE_TO_CHEMICAL_STRESS	-0.0157708954893955	-0.018331528452955128	0.0195137076315265	broad_or_uncertain_signal	broad/uncertain signal		moderate/significant effect but not manually assigned to a literature family	FLT_down
30	R-MMU-556833_METABOLISM_OF_LIPIDS	0.0505941471876414	0.05328414088640048	0.0888241003322374	prior_literature_match	prior literature match	lipid	matches expected tissue/spaceflight biology: lipid	FLT_up
31	R-MMU-198933_IMMUNOREGULATORY_INTERACTIONS_BETWEEN_A_LYMPHOID_AND_A_NON_LYMPHOID_CELL	-0.0696391978341461	-0.05396374955789112	0.0899638891174148	plausible_complementary	plausible/complementary	rac	plausible complementary mechanism: rac	FLT_down
32	R-MMU-9958863_SLC_MEDIATED_TRANSPORT_OF_AMINO_ACIDS	-0.0469347047939658	-0.05121774183644703	0.0592327060422267	prior_literature_match	prior literature match	amino acids	matches expected tissue/spaceflight biology: amino acids	FLT_down
33	R-MMU-71387_METABOLISM_OF_CARBOHYDRATES_AND_CARBOHYDRATE_DERIVATIVES	-0.0477062097795113	-0.046186600960757586	0.0660956360401227	broad_or_uncertain_signal	broad/uncertain signal		moderate/significant effect but not manually assigned to a literature family	FLT_down
34	R-MMU-211859_BIOLOGICAL_OXIDATIONS	-0.0532858384880754	-0.0905863771449457	0.1080488192878028	broad_or_uncertain_signal	broad/uncertain signal		moderate/significant effect but not manually assigned to a literature family	FLT_down
35	R-MMU-6806667_METABOLISM_OF_FAT_SOLUBLE_VITAMINS	0.076548653359187	0.0948898500773379	0.1101612758855319	broad_or_uncertain_signal	broad/uncertain signal		moderate/significant effect but not manually assigned to a literature family	FLT_up
36	R-MMU-174824_PLASMA_LIPOPROTEIN_ASSEMBLY_REMODELING_AND_CLEARANCE	0.0547579455677214	0.03717966161757438	0.0548082338397966	prior_literature_match	prior literature match	lipoprotein	matches expected tissue/spaceflight biology: lipoprotein	FLT_up
37	R-MMU-373755_SEMAPHORIN_INTERACTIONS	0.0453922478688015	0.031058555517977714	0.0495128971846443	plausible_complementary	plausible/complementary	rac	plausible complementary mechanism: rac	FLT_up
38	R-MMU-5173214_O_GLYCOSYLATION_OF_TSR_DOMAIN_CONTAINING_PROTEINS	0.0573799752243138	0.07608363605774476	0.0760836360577447	broad_or_uncertain_signal	broad/uncertain signal		moderate/significant effect but not manually assigned to a literature family	FLT_up
39	R-MMU-372790_SIGNALING_BY_GPCR	0.0892868126593671	0.06998951855753859	0.127264911017856	plausible_complementary	plausible/complementary	gpcr	plausible complementary mechanism: gpcr	FLT_up
40	R-MMU-1257604_PIP3_ACTIVATES_AKT_SIGNALING	0.0845402611022199	0.09321071653462115	0.1322527921377956	plausible_complementary	plausible/complementary	akt	plausible complementary mechanism: akt	FLT_up
41	R-MMU-500792_GPCR_LIGAND_BINDING	0.0480564801712162	0.039679801358919235	0.0601424665176493	plausible_complementary	plausible/complementary	gpcr	plausible complementary mechanism: gpcr	FLT_up
42	R-MMU-199418_NEGATIVE_REGULATION_OF_THE_PI3K_AKT_NETWORK	-0.0340804288167691	-0.027441360670504147	0.0357703376913374	plausible_complementary	plausible/complementary	akt	plausible complementary mechanism: akt	FLT_down
43	R-MMU-2173782_BINDING_AND_UPTAKE_OF_LIGANDS_BY_SCAVENGER_RECEPTORS	-0.0762852212544622	-0.07382254313819435	0.0822141361937498	broad_or_uncertain_signal	broad/uncertain signal		moderate/significant effect but not manually assigned to a literature family	FLT_down
44	R-MMU-5357801_PROGRAMMED_CELL_DEATH	-0.0569157681040946	-0.04572008454957959	0.0900192504225954	broad_or_uncertain_signal	broad/uncertain signal		moderate/significant effect but not manually assigned to a literature family	FLT_down
45	R-MMU-9006925_INTRACELLULAR_SIGNALING_BY_SECOND_MESSENGERS	0.0614215736500671	0.09575142735068738	0.1126375921385597	plausible_complementary	plausible/complementary	rac	plausible complementary mechanism: rac	FLT_up
46	R-MMU-421270_CELL_CELL_JUNCTION_ORGANIZATION	0.0399668245095246	0.015457328516206506	0.0491114416682532	broad_or_uncertain_signal	broad/uncertain signal		moderate/significant effect but not manually assigned to a literature family	FLT_up
47	R-MMU-983712_ION_CHANNEL_TRANSPORT	-0.0392751952377381	-0.047853830975153035	0.0619281512132483	broad_or_uncertain_signal	broad/uncertain signal		moderate/significant effect but not manually assigned to a literature family	FLT_down
48	R-MMU-5684996_MAPK1_MAPK3_SIGNALING	0.0701937282608367	0.06179968673072678	0.0890877597862823	plausible_complementary	plausible/complementary	mapk	plausible complementary mechanism: mapk	FLT_up
49	R-MMU-112316_NEURONAL_SYSTEM	-0.0551659628768557	-0.06393083397100502	0.1004923304789415	likely_artifact	likely artifact/junk	neuronal	context-incongruent Reactome term: neuronal	FLT_down
50	R-MMU-8957275_POST_TRANSLATIONAL_PROTEIN_PHOSPHORYLATION	-0.0426981673023526	-0.05149817973524195	0.068001393346353	broad_or_uncertain_signal	broad/uncertain signal		moderate/significant effect but not manually assigned to a literature family	FLT_down
51	R-MMU-375276_PEPTIDE_LIGAND_BINDING_RECEPTORS	0.0767043882285885	0.07583707381742656	0.0917193442142519	broad_or_uncertain_signal	broad/uncertain signal		moderate/significant effect but not manually assigned to a literature family	FLT_up
52	R-MMU-69275_G2_M_TRANSITION	-0.0669207329337033	-0.0615851069222187	0.0792682688706313	broad_or_uncertain_signal	broad/uncertain signal		moderate/significant effect but not manually assigned to a literature family	FLT_down
53	R-MMU-418990_ADHERENS_JUNCTIONS_INTERACTIONS	-0.0454715169646017	-0.033688016923577944	0.0601917519791335	plausible_complementary	plausible/complementary	rac	plausible complementary mechanism: rac	FLT_down
54	R-MMU-73887_DEATH_RECEPTOR_SIGNALING	0.045262265732181	0.02779886764214534	0.0532268533326215	broad_or_uncertain_signal	broad/uncertain signal		moderate/significant effect but not manually assigned to a literature family	FLT_up
55	R-MMU-1474290_COLLAGEN_FORMATION	-0.0533753353059855	-0.07383684053910532	0.0768766921375458	plausible_complementary	plausible/complementary	collagen	plausible complementary mechanism: collagen	FLT_down
56	R-MMU-168898_TOLL_LIKE_RECEPTOR_CASCADES	-0.081898549320759	-0.06513287862638788	0.1243503667136894	prior_literature_match	prior literature match	toll like receptor	matches expected tissue/spaceflight biology: toll like receptor	FLT_down
57	R-MMU-196849_METABOLISM_OF_WATER_SOLUBLE_VITAMINS_AND_COFACTORS	-0.0564308746817984	-0.037371835574984046	0.0822431911464125	prior_literature_match	prior literature match	vitamins and cofactors	matches expected tissue/spaceflight biology: vitamins and cofactors	FLT_down
58	R-MMU-1483257_PHOSPHOLIPID_METABOLISM	0.0428426124207664	0.030795822681628896	0.0674883381617876	prior_literature_match	prior literature match	lipid	matches expected tissue/spaceflight biology: lipid	FLT_up
59	R-MMU-9716542_SIGNALING_BY_RHO_GTPASES_MIRO_GTPASES_AND_RHOBTB3	0.064320115696715	0.06871447102413288	0.0808716925780175	plausible_complementary	plausible/complementary	rho	plausible complementary mechanism: rho	FLT_up
60	R-MMU-157579_TELOMERE_MAINTENANCE	0.0081183905276668	0.010275533769970433	0.0218053010446083	plausible_complementary	plausible/complementary	telomere	plausible complementary mechanism: telomere	FLT_up
61	R-MMU-977606_REGULATION_OF_COMPLEMENT_CASCADE	0.0476192932728364	0.025752178116770396	0.0518905603112148	prior_literature_match	prior literature match	complement	matches expected tissue/spaceflight biology: complement	FLT_up
62	R-MMU-1650814_COLLAGEN_BIOSYNTHESIS_AND_MODIFYING_ENZYMES	-0.0401307584889755	-0.012460550781031851	0.0591181930310318	plausible_complementary	plausible/complementary	collagen	plausible complementary mechanism: collagen	FLT_down
63	R-MMU-9769740_COAGULATION_PATHWAY	-0.0350612088113095	0.008247753366559361	0.0869696359058577	plausible_complementary	plausible/complementary	coagulation	plausible complementary mechanism: coagulation	FLT_up
64	R-MMU-2029480_FCGAMMA_RECEPTOR_FCGR_DEPENDENT_PHAGOCYTOSIS	0.0061971921083268	0.009031318187980633	0.0143873684494949	broad_or_uncertain_signal	broad/uncertain signal		moderate/significant effect but not manually assigned to a literature family	FLT_up
65	R-MMU-166663_INITIAL_TRIGGERING_OF_COMPLEMENT	0.0383618417159141	0.03108526513219538	0.0670006873266397	prior_literature_match	prior literature match	complement	matches expected tissue/spaceflight biology: complement	FLT_up
66	R-MMU-76005_RESPONSE_TO_ELEVATED_PLATELET_CYTOSOLIC_CA2	0.0821151455399731	0.07904399920248653	0.1437728284882008	plausible_complementary	plausible/complementary	platelet	plausible complementary mechanism: platelet	FLT_up
67	R-MMU-6811434_COPI_DEPENDENT_GOLGI_TO_ER_RETROGRADE_TRAFFIC	-0.1070287865671966	-0.10615768532965486	0.2251338964963213	broad_or_uncertain_signal	broad/uncertain signal		moderate/significant effect but not manually assigned to a literature family	FLT_down
68	R-MMU-1640170_CELL_CYCLE	-0.0881579686065689	-0.08044199981912686	0.1752848847397618	plausible_complementary	plausible/complementary	cell cycle	plausible complementary mechanism: cell cycle	FLT_down
69	R-MMU-9769739_REGULATION_OF_CLOTTING_CASCADE	-0.0810552060855707	-0.03657747934403042	0.096127681385697	broad_or_uncertain_signal	broad/uncertain signal		moderate/significant effect but not manually assigned to a literature family	FLT_down
70	R-MMU-425407_SLC_MEDIATED_TRANSMEMBRANE_TRANSPORT	0.0399164426503682	0.04394601304885195	0.0759370012234553	broad_or_uncertain_signal	broad/uncertain signal		moderate/significant effect but not manually assigned to a literature family	FLT_up
71	R-MMU-194315_SIGNALING_BY_RHO_GTPASES	-0.0460116952265634	-0.0520423892353666	0.0684383570131443	plausible_complementary	plausible/complementary	rho	plausible complementary mechanism: rho	FLT_down
72	R-MMU-6794362_PROTEIN_PROTEIN_INTERACTIONS_AT_SYNAPSES	0.0223919973682316	0.026019255349754272	0.036067461421879	likely_artifact	likely artifact/junk	synapse	context-incongruent Reactome term: synapse	FLT_up
73	R-MMU-5673001_RAF_MAP_KINASE_CASCADE	-0.0466871607214188	-0.028362201950376156	0.0666674076257729	broad_or_uncertain_signal	broad/uncertain signal		moderate/significant effect but not manually assigned to a literature family	FLT_down
74	R-MMU-8957322_METABOLISM_OF_STEROIDS	0.0239102159026549	0.031872655960747065	0.0414373475210645	prior_literature_match	prior literature match	steroid	matches expected tissue/spaceflight biology: steroid	FLT_up
75	R-MMU-8951664_NEDDYLATION	-0.0639449972055721	-0.07200282968653869	0.116700392920256	broad_or_uncertain_signal	broad/uncertain signal		moderate/significant effect but not manually assigned to a literature family	FLT_down
76	R-MMU-381426_REGULATION_OF_INSULIN_LIKE_GROWTH_FACTOR_IGF_TRANSPORT_AND_UPTAKE_BY_INSULIN_LIKE_GROWTH_FACTOR_BINDING_PROTEINS_IGFBPS	-0.0594123741862908	-0.05923244555188356	0.0961746202302462	prior_literature_match	prior literature match	insulin	matches expected tissue/spaceflight biology: insulin	FLT_down
77	R-MMU-8978868_FATTY_ACID_METABOLISM	-0.0649593310813409	-0.043723903508862856	0.0763762515548945	prior_literature_match	prior literature match	fatty	matches expected tissue/spaceflight biology: fatty	FLT_down
78	R-MMU-5693538_HOMOLOGY_DIRECTED_REPAIR	0.0817140758407077	0.08605113538765152	0.1443848336416197	broad_or_uncertain_signal	broad/uncertain signal		moderate/significant effect but not manually assigned to a literature family	FLT_up
79	R-MMU-73857_RNA_POLYMERASE_II_TRANSCRIPTION	0.0297199178641069	0.053789970940029	0.0594652447495528	broad_or_uncertain_signal	broad/uncertain signal		moderate/significant effect but not manually assigned to a literature family	FLT_up
80	R-MMU-2129379_MOLECULES_ASSOCIATED_WITH_ELASTIC_FIBRES	-0.0347608706854432	-0.027375474890777254	0.0459473962963327	broad_or_uncertain_signal	broad/uncertain signal		moderate/significant effect but not manually assigned to a literature family	FLT_down
81	R-MMU-69278_CELL_CYCLE_MITOTIC	0.0682116319499026	0.0775800316984217	0.1834854733650883	plausible_complementary	plausible/complementary	cell cycle	plausible complementary mechanism: cell cycle	FLT_up
82	R-MMU-1442490_COLLAGEN_DEGRADATION	-0.0635160986117404	-0.026426912839655963	0.0970286627757669	plausible_complementary	plausible/complementary	collagen	plausible complementary mechanism: collagen	FLT_down
83	R-MMU-3371556_CELLULAR_RESPONSE_TO_HEAT_STRESS	0.0421976950118495	0.02286265335540688	0.0584386881331846	broad_or_uncertain_signal	broad/uncertain signal		moderate/significant effect but not manually assigned to a literature family	FLT_up
84	R-MMU-1474228_DEGRADATION_OF_THE_EXTRACELLULAR_MATRIX	0.0547309371522348	0.01348852601923609	0.0716762213539582	plausible_complementary	plausible/complementary	rac	plausible complementary mechanism: rac	FLT_up
85	R-MMU-913531_INTERFERON_SIGNALING	-0.0530551190560296	-0.032907912971691995	0.0573724435324062	prior_literature_match	prior literature match	interferon	matches expected tissue/spaceflight biology: interferon	FLT_down
86	R-MMU-388396_GPCR_DOWNSTREAM_SIGNALLING	-0.0433884756457777	-0.05857071407697805	0.0761154054380891	plausible_complementary	plausible/complementary	gpcr	plausible complementary mechanism: gpcr	FLT_down
87	R-MMU-380108_CHEMOKINE_RECEPTORS_BIND_CHEMOKINES	0.0779923980709464	0.05656871114619657	0.126451738685879	broad_or_uncertain_signal	broad/uncertain signal		moderate/significant effect but not manually assigned to a literature family	FLT_up
88	R-MMU-166658_COMPLEMENT_CASCADE	-0.0652742703674815	-0.09993271641435293	0.1854531603111783	prior_literature_match	prior literature match	complement	matches expected tissue/spaceflight biology: complement	FLT_down
89	R-MMU-392499_METABOLISM_OF_PROTEINS	-0.0551499332608367	-0.05356031113379293	0.0802233154125453	broad_or_uncertain_signal	broad/uncertain signal		moderate/significant effect but not manually assigned to a literature family	FLT_down
90	R-MMU-418594_G_ALPHA_I_SIGNALLING_EVENTS	-0.0696243785526998	-0.047305399230586465	0.1162148747899822	broad_or_uncertain_signal	broad/uncertain signal		moderate/significant effect but not manually assigned to a literature family	FLT_down
91	R-MMU-1266738_DEVELOPMENTAL_BIOLOGY	0.0332081165441722	0.05674694513650857	0.0677381540301582	broad_or_uncertain_signal	broad/uncertain signal		moderate/significant effect but not manually assigned to a literature family	FLT_up
92	R-MMU-382551_TRANSPORT_OF_SMALL_MOLECULES	0.0138257820758962	0.0026263728631277573	0.0207124453972409	broad_or_uncertain_signal	broad/uncertain signal		moderate/significant effect but not manually assigned to a literature family	FLT_up
93	R-MMU-8953854_METABOLISM_OF_RNA	0.0378223914219286	0.03215071191497894	0.0405565970816455	broad_or_uncertain_signal	broad/uncertain signal		moderate/significant effect but not manually assigned to a literature family	FLT_up
94	R-MMU-446728_CELL_JUNCTION_ORGANIZATION	-0.0347889735525723	-0.018604424918503674	0.041032960735964	broad_or_uncertain_signal	broad/uncertain signal		moderate/significant effect but not manually assigned to a literature family	FLT_down
95	R-MMU-2990846_SUMOYLATION	-0.0514396430177216	-0.0457920043583713	0.1110625405437792	broad_or_uncertain_signal	broad/uncertain signal		moderate/significant effect but not manually assigned to a literature family	FLT_down
96	R-MMU-1483206_GLYCEROPHOSPHOLIPID_BIOSYNTHESIS	0.0460641578615494	0.06657259934655398	0.132163447860366	prior_literature_match	prior literature match	lipid	matches expected tissue/spaceflight biology: lipid	FLT_up
97	R-MMU-1566948_ELASTIC_FIBRE_FORMATION	0.0242759395732713	0.014662821341277657	0.0466141222474318	broad_or_uncertain_signal	broad/uncertain signal		moderate/significant effect but not manually assigned to a literature family	FLT_up
98	R-MMU-1474244_EXTRACELLULAR_MATRIX_ORGANIZATION	-0.0574262207889604	-0.09833360699275086	0.1142387313405825	plausible_complementary	plausible/complementary	rac	plausible complementary mechanism: rac	FLT_down
99	R-MMU-75105_FATTY_ACYL_COA_BIOSYNTHESIS	0.0154400694450148	0.046596871081871605	0.0688299310299514	prior_literature_match	prior literature match	fatty	matches expected tissue/spaceflight biology: fatty	FLT_up
100	R-MMU-156588_GLUCURONIDATION	0.0681910768195702	0.030665614946418007	0.1116673263103068	prior_literature_match	prior literature match	exact override	literature override: liver phase II conjugation	FLT_up
101	R-MMU-1280218_ADAPTIVE_IMMUNE_SYSTEM	0.0216275774392005	0.015596701329066853	0.0578643400901779	prior_literature_match	prior literature match	immune system	matches expected tissue/spaceflight biology: immune system	FLT_up
102	R-MMU-216083_INTEGRIN_CELL_SURFACE_INTERACTIONS	-0.0445168219553769	-0.03052224973822994	0.0497282319604521	plausible_complementary	plausible/complementary	rac	plausible complementary mechanism: rac	FLT_down
103	R-MMU-163125_POST_TRANSLATIONAL_MODIFICATION_SYNTHESIS_OF_GPI_ANCHORED_PROTEINS	0.0438772766334332	0.03856451379697313	0.093516303549354	broad_or_uncertain_signal	broad/uncertain signal		moderate/significant effect but not manually assigned to a literature family	FLT_up
104	R-MMU-9975921_ASSEMBLY_OF_THE_9_0_PRIMARY_CILIUM	0.0138362100644964	0.03632231512688533	0.0412964870953369	likely_artifact	likely artifact/junk	primary cilium	context-incongruent Reactome term: primary cilium	FLT_up
105	R-MMU-2980736_PEPTIDE_HORMONE_METABOLISM	-0.0317593760514474	-0.023852279340151484	0.0548885152797314	broad_or_uncertain_signal	broad/uncertain signal		moderate/significant effect but not manually assigned to a literature family	FLT_down
106	R-MMU-1500931_CELL_CELL_COMMUNICATION	0.053228528236088	0.06869620504720586	0.0861919843972386	broad_or_uncertain_signal	broad/uncertain signal		moderate/significant effect but not manually assigned to a literature family	FLT_up
107	R-MMU-211945_PHASE_I_FUNCTIONALIZATION_OF_COMPOUNDS	0.0633255956254688	0.010419891110039858	0.0841759612767065	prior_literature_match	prior literature match	exact override	literature override: liver phase I xenobiotic metabolism	FLT_up
108	R-MMU-445355_SMOOTH_MUSCLE_CONTRACTION	0.042227925788278	0.005882320400113991	0.0688470775469393	likely_artifact	likely artifact/junk	muscle contraction	context-incongruent Reactome term: muscle contraction	FLT_up
109	R-MMU-9748784_DRUG_ADME	0.0928682667211644	0.05003690114626846	0.0899201314835699	prior_literature_match	prior literature match	drug adme	matches expected tissue/spaceflight biology: drug adme	FLT_up
110	R-MMU-189445_METABOLISM_OF_PORPHYRINS	0.0544539340865456	0.011222120593897345	0.0821137112327862	broad_or_uncertain_signal	broad/uncertain signal		moderate/significant effect but not manually assigned to a literature family	FLT_up
111	R-MMU-9009391_EXTRA_NUCLEAR_ESTROGEN_SIGNALING	-0.0297144473615569	-0.02486623719236754	0.0492353441433979	broad_or_uncertain_signal	broad/uncertain signal		moderate/significant effect but not manually assigned to a literature family	FLT_down
112	R-MMU-373076_CLASS_A_1_RHODOPSIN_LIKE_RECEPTORS	0.0366596120483724	0.02182885690385664	0.0693068698197992	plausible_complementary	plausible/complementary	rho	plausible complementary mechanism: rho	FLT_up
113	R-MMU-195721_SIGNALING_BY_WNT	0.0374578473046356	0.022698323423237837	0.0819830978359362	broad_or_uncertain_signal	broad/uncertain signal		moderate/significant effect but not manually assigned to a literature family	FLT_up
114	R-MMU-6809371_FORMATION_OF_THE_CORNIFIED_ENVELOPE	0.0225699225727462	0.011070633531439453	0.0318792203925505	likely_artifact	likely artifact/junk	cornified	context-incongruent Reactome term: cornified	FLT_up
115	R-MMU-913709_O_LINKED_GLYCOSYLATION_OF_MUCINS	0.0261329107275461	0.0546998365458832	0.0934536243152278	broad_or_uncertain_signal	broad/uncertain signal		moderate/significant effect but not manually assigned to a literature family	FLT_up
116	R-MMU-212436_GENERIC_TRANSCRIPTION_PATHWAY	-0.0208576325168741	-0.014021435898706172	0.0721201714058746	broad_or_uncertain_signal	broad/uncertain signal		moderate/significant effect but not manually assigned to a literature family	FLT_down
117	R-MMU-382556_ABC_FAMILY_PROTEIN_MEDIATED_TRANSPORT	-0.0172144137618122	-0.02339042846460912	0.0635552516084902	broad_or_uncertain_signal	broad/uncertain signal		moderate/significant effect but not manually assigned to a literature family	FLT_down
