review_row	term	flight_minus_ground	signed_accession_mean_flt_minus_gc	mean_abs_accession_effect	category	category_label	matched_keyword	rationale	effect_direction
1	R-MMU-163125_POST_TRANSLATIONAL_MODIFICATION_SYNTHESIS_OF_GPI_ANCHORED_PROTEINS	0.1366577388644367	0.12197473742694492	0.1357671166862042	plausible_complementary	plausible/complementary	gpi anchored	plausible complementary mechanism: gpi anchored	FLT_up
2	R-MMU-195258_RHO_GTPASE_EFFECTORS	0.3095414348926054	0.2143979609577353	0.306775628718678	plausible_complementary	plausible/complementary	rho	plausible complementary mechanism: rho	FLT_up
3	R-MMU-453274_MITOTIC_G2_G2_M_PHASES	0.273983327330986	0.22289652749922464	0.256861246832558	prior_literature_match	prior literature match	mitotic	matches expected tissue/spaceflight biology: mitotic	FLT_up
4	R-MMU-388396_GPCR_DOWNSTREAM_SIGNALLING	0.2734284158961269	0.20347143950890492	0.2542878495089049	plausible_complementary	plausible/complementary	gpcr	plausible complementary mechanism: gpcr	FLT_up
5	R-MMU-68877_MITOTIC_PROMETAPHASE	0.0994922677730634	0.07977413343372762	0.0896415040374312	prior_literature_match	prior literature match	mitotic	matches expected tissue/spaceflight biology: mitotic	FLT_up
6	R-MMU-73894_DNA_REPAIR	0.338503731390845	0.25708370219105087	0.3066458096381889	prior_literature_match	prior literature match	dna repair	matches expected tissue/spaceflight biology: dna repair	FLT_up
7	R-MMU-446652_INTERLEUKIN_1_FAMILY_SIGNALING	0.2568731942538735	0.21724567392008678	0.2357373230311979	prior_literature_match	prior literature match	interleukin 1	matches expected tissue/spaceflight biology: interleukin 1	FLT_up
8	R-MMU-196854_METABOLISM_OF_VITAMINS_AND_COFACTORS	0.2077488449912729	0.17147879074584482	0.2151783427791781	plausible_complementary	plausible/complementary	vitamins and cofactors	plausible complementary mechanism: vitamins and cofactors	FLT_up
9	R-MMU-5362517_SIGNALING_BY_RETINOIC_ACID	0.1786153280100704	0.1414182585538322	0.1816395548400274	plausible_complementary	plausible/complementary	retinoic acid	plausible complementary mechanism: retinoic acid	FLT_up
10	R-MMU-453279_MITOTIC_G1_PHASE_AND_G1_S_TRANSITION	-0.1368654743443486	-0.11442090593079568	0.1255485390230178	prior_literature_match	prior literature match	mitotic	matches expected tissue/spaceflight biology: mitotic	FLT_down
11	R-MMU-8856828_CLATHRIN_MEDIATED_ENDOCYTOSIS	-0.1802935754397887	-0.19187863212884104	0.2021538970473595	plausible_complementary	plausible/complementary	clathrin	plausible complementary mechanism: clathrin	FLT_down
12	R-MMU-68886_M_PHASE	0.3345809133677815	0.2715551212136453	0.3341932004432748	broad_or_uncertain_signal	broad/uncertain signal		moderate/significant effect but not manually assigned to a literature family	FLT_up
13	R-MMU-2990846_SUMOYLATION	0.1652909317054578	0.1271724093671052	0.1615496444782163	plausible_complementary	plausible/complementary	sumoylation	plausible complementary mechanism: sumoylation	FLT_up
14	R-MMU-191273_CHOLESTEROL_BIOSYNTHESIS	-0.2026576499318662	-0.15741326067284991	0.1984515732061832	prior_literature_match	prior literature match	cholesterol	matches expected tissue/spaceflight biology: cholesterol	FLT_down
15	R-MMU-156580_PHASE_II_CONJUGATION_OF_COMPOUNDS	-0.300935409452465	-0.2548713580596757	0.2902862367263424	prior_literature_match	prior literature match	phase ii	matches expected tissue/spaceflight biology: phase ii	FLT_down
16	R-MMU-199991_MEMBRANE_TRAFFICKING	0.2724952868501056	0.19355128384721335	0.2210869053905466	plausible_complementary	plausible/complementary	membrane trafficking	plausible complementary mechanism: membrane trafficking	FLT_up
17	R-MMU-109581_APOPTOSIS	0.1437020963556339	0.12525930412723713	0.1567583307939038	prior_literature_match	prior literature match	apoptosis	matches expected tissue/spaceflight biology: apoptosis	FLT_up
