review_row	term	flight_minus_ground	signed_accession_mean_flt_minus_gc	mean_abs_accession_effect	category	category_label	matched_keyword	rationale	effect_direction
1	R-MMU-9769740_COAGULATION_PATHWAY	0.070102422097037	0.0692514432913333	0.0692514432913333	plausible_complementary	plausible/complementary	exact override	literature override: platelet/coagulation adjunct, not core thymus axis	FLT_up
2	R-MMU-8980692_RHOA_GTPASE_CYCLE	-0.7754457842275131	-0.812444811658421	0.812444811658421	plausible_complementary	plausible/complementary	rho	plausible complementary mechanism: rho	FLT_down
3	R-MMU-1640170_CELL_CYCLE	-0.5512834094973544	-0.604111792668421	0.604111792668421	prior_literature_match	prior literature match	exact override	literature override: thymic cell-cycle remodeling	FLT_down
4	R-MMU-8951664_NEDDYLATION	0.3969352938952382	0.43208778926561403	0.432087789265614	plausible_complementary	plausible/complementary	neddylation	plausible complementary mechanism: neddylation	FLT_up
5	R-MMU-8856688_GOLGI_TO_ER_RETROGRADE_TRANSPORT	-0.5977174732407406	-0.6729473669126316	0.6729473669126316	plausible_complementary	plausible/complementary	golgi	plausible complementary mechanism: golgi	FLT_down
6	R-MMU-73894_DNA_REPAIR	0.9285032611507934	1.0068827600368422	1.0068827600368422	prior_literature_match	prior literature match	exact override	literature override: thymic DNA repair/stress response	FLT_up
7	R-MMU-2672351_STIMULI_SENSING_CHANNELS	-0.1793186717566139	-0.1778776186298246	0.1778776186298246	broad_or_uncertain_signal	broad/uncertain signal		moderate/significant effect but not manually assigned to a literature family	FLT_down
8	R-MMU-69278_CELL_CYCLE_MITOTIC	-1.2779667424814818	-1.438332769986316	1.438332769986316	prior_literature_match	prior literature match	exact override	literature override: thymic mitotic/cell-cycle remodeling	FLT_down
9	R-MMU-1630316_GLYCOSAMINOGLYCAN_METABOLISM	0.3224427644973544	0.29358011803684203	0.293580118036842	plausible_complementary	plausible/complementary	glycosaminoglycan	plausible complementary mechanism: glycosaminoglycan	FLT_up
10	R-MMU-157579_TELOMERE_MAINTENANCE	0.4819538418994709	0.5554702357489474	0.5554702357489474	prior_literature_match	prior literature match	telomere	matches expected tissue/spaceflight biology: telomere	FLT_up
11	R-MMU-15869_METABOLISM_OF_NUCLEOTIDES	0.9652873905883596	1.042990064164298	1.042990064164298	prior_literature_match	prior literature match	nucleotide	matches expected tissue/spaceflight biology: nucleotide	FLT_up
12	R-MMU-166166_MYD88_INDEPENDENT_TLR4_CASCADE	0.3271017978677249	0.3124392548473684	0.3124392548473684	prior_literature_match	prior literature match	tlr	matches expected tissue/spaceflight biology: tlr	FLT_up
13	R-MMU-1430728_METABOLISM	0.5496332002645494	0.6153945210526309	0.6153945210526309	broad_or_uncertain_signal	broad/uncertain signal		moderate/significant effect but not manually assigned to a literature family	FLT_up
14	R-MMU-6811434_COPI_DEPENDENT_GOLGI_TO_ER_RETROGRADE_TRAFFIC	0.8377131762412697	0.9291800423580702	0.9291800423580702	plausible_complementary	plausible/complementary	golgi	plausible complementary mechanism: golgi	FLT_up
15	R-MMU-195258_RHO_GTPASE_EFFECTORS	0.232589498071693	0.23858325871840344	0.2385832587184034	plausible_complementary	plausible/complementary	rho	plausible complementary mechanism: rho	FLT_up
16	R-MMU-9012999_RHO_GTPASE_CYCLE	-0.5689157490132275	-0.6476626820628072	0.6476626820628072	plausible_complementary	plausible/complementary	rho	plausible complementary mechanism: rho	FLT_down
17	R-MMU-109581_APOPTOSIS	-0.3722313388888887	-0.38208399662807013	0.3820839966280701	prior_literature_match	prior literature match	apoptosis	matches expected tissue/spaceflight biology: apoptosis	FLT_down
18	R-MMU-69620_CELL_CYCLE_CHECKPOINTS	0.1135597494473544	0.12240321088147361	0.1224032108814736	prior_literature_match	prior literature match	cell cycle	matches expected tissue/spaceflight biology: cell cycle	FLT_up
19	R-MMU-8939211_ESR_MEDIATED_SIGNALING	-0.3535759963030422	-0.41075057712739477	0.4107505771273947	plausible_complementary	plausible/complementary	esr mediated	plausible complementary mechanism: esr mediated	FLT_down
20	R-MMU-453274_MITOTIC_G2_G2_M_PHASES	0.0867243953171957	0.09420380644824558	0.0942038064482455	prior_literature_match	prior literature match	mitotic	matches expected tissue/spaceflight biology: mitotic	FLT_up
21	R-MMU-112314_NEUROTRANSMITTER_RECEPTORS_AND_POSTSYNAPTIC_SIGNAL_TRANSMISSION	0.3561367342097883	0.3581995713786842	0.3581995713786842	likely_artifact	likely artifact/junk	postsynaptic	context-incongruent Reactome term: postsynaptic	FLT_up
22	R-MMU-8957322_METABOLISM_OF_STEROIDS	0.5100533674272487	0.5799021726164035	0.5799021726164035	plausible_complementary	plausible/complementary	er	plausible complementary mechanism: er	FLT_up
23	R-MMU-69242_S_PHASE	0.0732379181854497	0.08368088990914034	0.0856318284758069	broad_or_uncertain_signal	broad/uncertain signal		moderate/significant effect but not manually assigned to a literature family	FLT_up
24	R-MMU-212436_GENERIC_TRANSCRIPTION_PATHWAY	0.5567819050899471	0.6303390344845613	0.6303390344845613	prior_literature_match	prior literature match	transcription	matches expected tissue/spaceflight biology: transcription	FLT_up
25	R-MMU-425407_SLC_MEDIATED_TRANSMEMBRANE_TRANSPORT	-0.2654718648941799	-0.28818352816140347	0.2881835281614034	broad_or_uncertain_signal	broad/uncertain signal		moderate/significant effect but not manually assigned to a literature family	FLT_down
26	R-MMU-372790_SIGNALING_BY_GPCR	0.3125048106666666	0.3611514744842105	0.3611514744842105	plausible_complementary	plausible/complementary	gpcr	plausible complementary mechanism: gpcr	FLT_up
27	R-MMU-5668541_TNFR2_NON_CANONICAL_NF_KB_PATHWAY	0.1916870484285716	0.16685882941964908	0.166858829419649	broad_or_uncertain_signal	broad/uncertain signal		moderate/significant effect but not manually assigned to a literature family	FLT_up
28	R-MMU-382551_TRANSPORT_OF_SMALL_MOLECULES	0.3785884079365083	0.4523729386315788	0.4523729386315788	plausible_complementary	plausible/complementary	transport of small molecules	plausible complementary mechanism: transport of small molecules	FLT_up
29	R-MMU-71291_METABOLISM_OF_AMINO_ACIDS_AND_DERIVATIVES	0.2272096374100528	0.2974644997898246	0.3097264372635088	plausible_complementary	plausible/complementary	er	plausible complementary mechanism: er	FLT_up
30	R-MMU-196849_METABOLISM_OF_WATER_SOLUBLE_VITAMINS_AND_COFACTORS	-0.2422738531798941	-0.30792685947000004	0.30792685947	plausible_complementary	plausible/complementary	er	plausible complementary mechanism: er	FLT_down
31	R-MMU-422356_REGULATION_OF_INSULIN_SECRETION	0.1567363921928571	0.20432193433105258	0.2043219343310525	broad_or_uncertain_signal	broad/uncertain signal		moderate/significant effect but not manually assigned to a literature family	FLT_up
32	R-MMU-5673001_RAF_MAP_KINASE_CASCADE	-0.2526576965291006	-0.27986818264070173	0.2798681826407017	broad_or_uncertain_signal	broad/uncertain signal		moderate/significant effect but not manually assigned to a literature family	FLT_down
33	R-MMU-9932444_ATP_DEPENDENT_CHROMATIN_REMODELERS	-0.1486427082873015	-0.20652254163912276	0.2065225416391227	prior_literature_match	prior literature match	chromatin	matches expected tissue/spaceflight biology: chromatin	FLT_down
34	R-MMU-5693606_DNA_DOUBLE_STRAND_BREAK_RESPONSE	-0.0900688384492063	-0.09527423680403509	0.106065482564035	broad_or_uncertain_signal	broad/uncertain signal		moderate/significant effect but not manually assigned to a literature family	FLT_down
35	R-MMU-2555396_MITOTIC_METAPHASE_AND_ANAPHASE	-0.1410740241507936	-0.12760341316771925	0.1276034131677192	prior_literature_match	prior literature match	mitotic	matches expected tissue/spaceflight biology: mitotic	FLT_down
36	R-MMU-5357801_PROGRAMMED_CELL_DEATH	0.4167204333306877	0.44781356980175424	0.4478135698017542	prior_literature_match	prior literature match	programmed cell death	matches expected tissue/spaceflight biology: programmed cell death	FLT_up
37	R-MMU-9006925_INTRACELLULAR_SIGNALING_BY_SECOND_MESSENGERS	-0.2126732159576718	-0.18998363843684213	0.1899836384368421	plausible_complementary	plausible/complementary	rac	plausible complementary mechanism: rac	FLT_down
38	R-MMU-168138_TOLL_LIKE_RECEPTOR_9_TLR9_CASCADE	0.2808743050391534	0.2682553679054386	0.2682553679054386	prior_literature_match	prior literature match	tlr	matches expected tissue/spaceflight biology: tlr	FLT_up
39	R-MMU-1280218_ADAPTIVE_IMMUNE_SYSTEM	0.3045116050264549	0.3213933765087721	0.3213933765087721	prior_literature_match	prior literature match	immune	matches expected tissue/spaceflight biology: immune	FLT_up
40	R-MMU-170834_SIGNALING_BY_TGF_BETA_RECEPTOR_COMPLEX	0.3468546198992064	0.35329819584263156	0.3532981958426315	plausible_complementary	plausible/complementary	tgf beta	plausible complementary mechanism: tgf beta	FLT_up
41	R-MMU-73886_CHROMOSOME_MAINTENANCE	0.1135694681039683	0.1219460617357719	0.1219460617357719	broad_or_uncertain_signal	broad/uncertain signal		moderate/significant effect but not manually assigned to a literature family	FLT_up
42	R-MMU-449147_SIGNALING_BY_INTERLEUKINS	-0.2845479937037037	-0.3138840244210526	0.3138840244210526	prior_literature_match	prior literature match	interleukin	matches expected tissue/spaceflight biology: interleukin	FLT_down
43	R-MMU-9612973_AUTOPHAGY	-0.1361205181137565	-0.15570222705403505	0.155702227054035	broad_or_uncertain_signal	broad/uncertain signal		moderate/significant effect but not manually assigned to a literature family	FLT_down
44	R-MMU-6791226_MAJOR_PATHWAY_OF_RRNA_PROCESSING_IN_THE_NUCLEOLUS_AND_CYTOSOL	0.466761989153439	0.43702191371754384	0.4370219137175438	broad_or_uncertain_signal	broad/uncertain signal		moderate/significant effect but not manually assigned to a literature family	FLT_up
45	R-MMU-109582_HEMOSTASIS	0.4216332103174598	0.4934601408666669	0.4934601408666669	plausible_complementary	plausible/complementary	hemostasis	plausible complementary mechanism: hemostasis	FLT_up
46	R-MMU-174824_PLASMA_LIPOPROTEIN_ASSEMBLY_REMODELING_AND_CLEARANCE	-0.22516836655291	-0.255121845724035	0.255121845724035	broad_or_uncertain_signal	broad/uncertain signal		moderate/significant effect but not manually assigned to a literature family	FLT_down
47	R-MMU-2262752_CELLULAR_RESPONSES_TO_STRESS	0.3612671963121694	0.3810774206982456	0.3810774206982456	broad_or_uncertain_signal	broad/uncertain signal		moderate/significant effect but not manually assigned to a literature family	FLT_up
48	R-MMU-597592_POST_TRANSLATIONAL_PROTEIN_MODIFICATION	-0.313798769455026	-0.43361728812543854	0.4336172881254385	plausible_complementary	plausible/complementary	protein modification	plausible complementary mechanism: protein modification	FLT_down
49	R-MMU-168256_IMMUNE_SYSTEM	0.3235369783068784	0.37255813638596535	0.3725581363859653	prior_literature_match	prior literature match	exact override	literature override: thymic immune system remodeling	FLT_up
50	R-MMU-983705_SIGNALING_BY_THE_B_CELL_RECEPTOR_BCR	-0.1478312510507936	-0.11748920026894738	0.1994317453689473	prior_literature_match	prior literature match	bcr	matches expected tissue/spaceflight biology: bcr	FLT_down
51	R-MMU-198933_IMMUNOREGULATORY_INTERACTIONS_BETWEEN_A_LYMPHOID_AND_A_NON_LYMPHOID_CELL	-0.4191214143624336	-0.5009776116961403	0.5009776116961403	plausible_complementary	plausible/complementary	rac	plausible complementary mechanism: rac	FLT_down
52	R-MMU-3000171_NON_INTEGRIN_MEMBRANE_ECM_INTERACTIONS	-0.244821133359788	-0.20710042446666668	0.2071004244666666	plausible_complementary	plausible/complementary	rac	plausible complementary mechanism: rac	FLT_down
53	R-MMU-73887_DEATH_RECEPTOR_SIGNALING	-0.1533249329219576	-0.2138089368473684	0.2138089368473684	prior_literature_match	prior literature match	death receptor	matches expected tissue/spaceflight biology: death receptor	FLT_down
54	R-MMU-1169410_ANTIMICROBIAL_MECHANISM_OF_IFN_STIMULATED_GENES	0.3212629105084655	0.2977997148871052	0.2977997148871052	broad_or_uncertain_signal	broad/uncertain signal		moderate/significant effect but not manually assigned to a literature family	FLT_up
55	R-MMU-446203_ASPARAGINE_N_LINKED_GLYCOSYLATION	0.3503661986640212	0.4391501264992983	0.4391501264992983	broad_or_uncertain_signal	broad/uncertain signal		moderate/significant effect but not manually assigned to a literature family	FLT_up
56	R-MMU-76002_PLATELET_ACTIVATION_SIGNALING_AND_AGGREGATION	-0.3041371023280425	-0.34858287279649114	0.3485828727964911	plausible_complementary	plausible/complementary	platelet	plausible complementary mechanism: platelet	FLT_down
57	R-MMU-421270_CELL_CELL_JUNCTION_ORGANIZATION	-0.2413892049317463	-0.257274383517614	0.257274383517614	broad_or_uncertain_signal	broad/uncertain signal		moderate/significant effect but not manually assigned to a literature family	FLT_down
58	R-MMU-8978868_FATTY_ACID_METABOLISM	-0.120642729074074	-0.13281242656140357	0.1624257237719298	broad_or_uncertain_signal	broad/uncertain signal		moderate/significant effect but not manually assigned to a literature family	FLT_down
59	R-MMU-5688426_DEUBIQUITINATION	-0.2138392606719577	-0.22478377491298246	0.2247837749129824	plausible_complementary	plausible/complementary	ubiquitin	plausible complementary mechanism: ubiquitin	FLT_down
60	R-MMU-983712_ION_CHANNEL_TRANSPORT	-0.1641340065343915	-0.19455800297017548	0.2109664909701754	broad_or_uncertain_signal	broad/uncertain signal		moderate/significant effect but not manually assigned to a literature family	FLT_down
61	R-MMU-1474290_COLLAGEN_FORMATION	0.1495527108730158	0.2254498520052631	0.2423655437947367	broad_or_uncertain_signal	broad/uncertain signal		moderate/significant effect but not manually assigned to a literature family	FLT_up
62	R-MMU-6803157_ANTIMICROBIAL_PEPTIDES	0.2397705997354497	0.24441254484210512	0.2444125448421051	broad_or_uncertain_signal	broad/uncertain signal		moderate/significant effect but not manually assigned to a literature family	FLT_up
63	R-MMU-983169_CLASS_I_MHC_MEDIATED_ANTIGEN_PROCESSING_PRESENTATION	-0.1353502276984128	-0.1330912978578947	0.1334154654578946	prior_literature_match	prior literature match	antigen	matches expected tissue/spaceflight biology: antigen	FLT_down
64	R-MMU-196854_METABOLISM_OF_VITAMINS_AND_COFACTORS	0.2500721176719576	0.22729692280701755	0.2272969228070175	broad_or_uncertain_signal	broad/uncertain signal		moderate/significant effect but not manually assigned to a literature family	FLT_up
65	R-MMU-201681_TCF_DEPENDENT_SIGNALING_IN_RESPONSE_TO_WNT	0.2421167473941799	0.2176325443096491	0.2957401235096492	plausible_complementary	plausible/complementary	wnt	plausible complementary mechanism: wnt	FLT_up
66	R-MMU-2559586_DNA_DAMAGE_TELOMERE_STRESS_INDUCED_SENESCENCE	0.8171984501719579	1.1341249837282459	1.134124983728246	prior_literature_match	prior literature match	dna damage	matches expected tissue/spaceflight biology: dna damage	FLT_up
67	R-MMU-5617833_CILIUM_ASSEMBLY	0.304154016484127	0.27670884505192983	0.3114017962519298	broad_or_uncertain_signal	broad/uncertain signal		moderate/significant effect but not manually assigned to a literature family	FLT_up
68	R-MMU-1266738_DEVELOPMENTAL_BIOLOGY	-0.236517305555556	-0.25972871728070174	0.2597287172807017	broad_or_uncertain_signal	broad/uncertain signal		moderate/significant effect but not manually assigned to a literature family	FLT_down
69	R-MMU-6798695_NEUTROPHIL_DEGRANULATION	0.3208608539153441	0.34881875881929825	0.3488187588192982	plausible_complementary	plausible/complementary	neutrophil	plausible complementary mechanism: neutrophil	FLT_up
70	R-MMU-2172127_DAP12_INTERACTIONS	-0.130180451269841	-0.1560754438789474	0.2372158675210525	plausible_complementary	plausible/complementary	rac	plausible complementary mechanism: rac	FLT_down
71	R-MMU-162582_SIGNAL_TRANSDUCTION	-0.3774832343915348	-0.4515207469824561	0.4515207469824561	broad_or_uncertain_signal	broad/uncertain signal		moderate/significant effect but not manually assigned to a literature family	FLT_down
72	R-MMU-2980736_PEPTIDE_HORMONE_METABOLISM	-0.2225330643650793	-0.3297276647964912	0.3297276647964912	broad_or_uncertain_signal	broad/uncertain signal		moderate/significant effect but not manually assigned to a literature family	FLT_down
73	R-MMU-1500931_CELL_CELL_COMMUNICATION	-0.1480567613492065	-0.1941045124929824	0.1941045124929824	broad_or_uncertain_signal	broad/uncertain signal		moderate/significant effect but not manually assigned to a literature family	FLT_down
74	R-MMU-1296071_POTASSIUM_CHANNELS	0.2669315790566137	0.34831702943	0.34831702943	broad_or_uncertain_signal	broad/uncertain signal		moderate/significant effect but not manually assigned to a literature family	FLT_up
75	R-MMU-2029485_ROLE_OF_PHOSPHOLIPIDS_IN_PHAGOCYTOSIS	-0.0401783687522486	-0.04313376259901402	0.0458244185242139	broad_or_uncertain_signal	broad/uncertain signal		moderate/significant effect but not manually assigned to a literature family	FLT_down
76	R-MMU-195721_SIGNALING_BY_WNT	-0.1593649885185184	-0.19924090943684206	0.199240909436842	plausible_complementary	plausible/complementary	wnt	plausible complementary mechanism: wnt	FLT_down
77	R-MMU-422475_AXON_GUIDANCE	-0.156804883201058	-0.22430938871929823	0.2243093887192982	broad_or_uncertain_signal	broad/uncertain signal		moderate/significant effect but not manually assigned to a literature family	FLT_down
78	R-MMU-418594_G_ALPHA_I_SIGNALLING_EVENTS	-0.2420132974468252	-0.33078348677543856	0.3307834867754385	plausible_complementary	plausible/complementary	g alpha	plausible complementary mechanism: g alpha	FLT_down
79	R-MMU-1474244_EXTRACELLULAR_MATRIX_ORGANIZATION	0.3646540354232803	0.431807671177193	0.431807671177193	plausible_complementary	plausible/complementary	rac	plausible complementary mechanism: rac	FLT_up
80	R-MMU-397014_MUSCLE_CONTRACTION	-0.292414578455026	-0.3850010369807017	0.3850010369807017	likely_artifact	likely artifact/junk	muscle contraction	context-incongruent Reactome term: muscle contraction	FLT_down
81	R-MMU-76005_RESPONSE_TO_ELEVATED_PLATELET_CYTOSOLIC_CA2	-0.1774791607936505	-0.14397513794736827	0.2701020499473684	plausible_complementary	plausible/complementary	platelet	plausible complementary mechanism: platelet	FLT_down
82	R-MMU-392499_METABOLISM_OF_PROTEINS	-0.4373278992063483	-0.36351026859649094	0.3635102685964909	plausible_complementary	plausible/complementary	metabolism of proteins	plausible complementary mechanism: metabolism of proteins	FLT_down
83	R-MMU-5693538_HOMOLOGY_DIRECTED_REPAIR	-0.0424600894832275	-0.0503665678301228	0.0630898056414561	broad_or_uncertain_signal	broad/uncertain signal		moderate/significant effect but not manually assigned to a literature family	FLT_down
84	R-MMU-5684996_MAPK1_MAPK3_SIGNALING	-0.2595572755084655	-0.29917694754568425	0.2991769475456842	plausible_complementary	plausible/complementary	mapk	plausible complementary mechanism: mapk	FLT_down
85	R-MMU-9764725_NEGATIVE_REGULATION_OF_CDH1_GENE_TRANSCRIPTION	-0.0405456883386242	-0.0392182236087719	0.0530082632754385	prior_literature_match	prior literature match	transcription	matches expected tissue/spaceflight biology: transcription	FLT_down
86	R-MMU-2022090_ASSEMBLY_OF_COLLAGEN_FIBRILS_AND_OTHER_MULTIMERIC_STRUCTURES	0.0768306714285715	0.11676119980350882	0.1460692023298245	plausible_complementary	plausible/complementary	er	plausible complementary mechanism: er	FLT_up
87	R-MMU-199418_NEGATIVE_REGULATION_OF_THE_PI3K_AKT_NETWORK	0.0494268504657672	0.0098439853474912	0.0560340615388244	broad_or_uncertain_signal	broad/uncertain signal		moderate/significant effect but not manually assigned to a literature family	FLT_up
88	R-MMU-199991_MEMBRANE_TRAFFICKING	-0.1432913309523809	-0.18444182411929816	0.1844418241192981	plausible_complementary	plausible/complementary	membrane trafficking	plausible complementary mechanism: membrane trafficking	FLT_down
89	R-MMU-9958863_SLC_MEDIATED_TRANSPORT_OF_AMINO_ACIDS	-0.0922436522592592	-0.05646690843649125	0.1026649703564911	broad_or_uncertain_signal	broad/uncertain signal		moderate/significant effect but not manually assigned to a literature family	FLT_down
90	R-MMU-8953854_METABOLISM_OF_RNA	-0.1283715428571423	-0.1596161307894735	0.1596161307894735	broad_or_uncertain_signal	broad/uncertain signal		moderate/significant effect but not manually assigned to a literature family	FLT_down
91	R-MMU-112316_NEURONAL_SYSTEM	-0.194155032010582	-0.2127493426315789	0.2137028373684211	likely_artifact	likely artifact/junk	neuronal	context-incongruent Reactome term: neuronal	FLT_down
92	R-MMU-9007101_RAB_REGULATION_OF_TRAFFICKING	-0.0819968445005291	-0.061776002603859625	0.0617760026038596	broad_or_uncertain_signal	broad/uncertain signal		moderate/significant effect but not manually assigned to a literature family	FLT_down
93	R-MMU-4839726_CHROMATIN_ORGANIZATION	0.1792984398412691	0.20145324515789453	0.2327300531578945	prior_literature_match	prior literature match	chromatin	matches expected tissue/spaceflight biology: chromatin	FLT_up
