model	term	observed_direction	gene_level_support_strength	fdr_gene_direction_call	median_hvg_direction_vs_pathway	n_pathway_genes_total	n_pathway_genes_measured_hvg	n_any_fdr05	n_nominal_p05	fraction_any_fdr05	fraction_nominal_p05	n_sig_genes_same_direction_as_pathway	n_sig_genes_opposite_direction_to_pathway	median_pooled_log2cpm_flt_minus_gc	top_gene_examples	review_rationale
liver_hvg	R-MMU-9012999_RHO_GTPASE_CYCLE	FLT_up	strong	mostly_opposite_direction	opposite	413	126	5	33	0.0396825396825396	0.2619047619047619	1	4	-0.0613985839549183	Net1:+0.27,q=0.0177; Cybb:-0.35,q=0.0235; Ncf1:-0.26,q=0.0235; Fgd2:-0.31,q=0.0398; Nckap1l:-0.28,q=0.0433; Ncf2:-0.27,q=0.0548; ENSMUSG00000048865:-0.23,q=0.0565; Vim:-0.23,q=0.0625	Rho GTPases regulate actin and mechanotransduction, relevant to microgravity liver responses but not directly validated here.
liver_hvg	R-MMU-9716542_SIGNALING_BY_RHO_GTPASES_MIRO_GTPASES_AND_RHOBTB3	FLT_up	strong	mostly_same_direction	opposite	611	174	10	42	0.057471264367816	0.2413793103448276	6	4	-0.0591149763820273	Tubb2a:+0.92,q=6.29e-05; Tubb4b:+0.44,q=0.00727; Net1:+0.27,q=0.0177; Tuba1c:+0.38,q=0.0227; Cybb:-0.35,q=0.0235; Ncf1:-0.26,q=0.0235; Tuba8:+0.52,q=0.0253; Fgd2:-0.31,q=0.0398	The pathway bridges actin and mitochondrial dynamics, both relevant to spaceflight stress.
liver_hvg	R-MMU-5684996_MAPK1_MAPK3_SIGNALING	FLT_up	moderate	mostly_opposite_direction	opposite	259	67	2	22	0.0298507462686567	0.3283582089552239	0	2	-0.0670291063179444	Csf2rb:-0.26,q=0.013; Il2rg:-0.30,q=0.0344; Erbb4:-0.49,q=0.076; Rasa3:-0.24,q=0.0906; Rasal3:-0.25,q=0.106; Dusp8:+0.30,q=0.123; Fyn:-0.16,q=0.13; Rasgrp3:-0.18,q=0.151	MAPK1/3 fits metabolic/inflammatory stress but is not directly established as increased in liver spaceflight.
liver_hvg	R-MMU-9764274_REGULATION_OF_EXPRESSION_AND_FUNCTION_OF_TYPE_I_CLASSICAL_CADHERINS	FLT_up	weak	mostly_opposite_direction	opposite	170	46	1	5	0.0217391304347826	0.108695652173913	0	1	-0.0330697469651971	Ctss:-0.29,q=0.036; Fyn:-0.16,q=0.13; ENSMUSG00000101645:-0.14,q=0.164; Src:-0.14,q=0.309; Acta1:+0.40,q=0.347; H3c14:+0.21,q=0.427; H2bc11:-0.15,q=0.454; H3c3:-0.15,q=0.519	Cadherin changes could accompany hepatic structural remodeling but are not directly reported.
liver_hvg	R-MMU-425407_SLC_MEDIATED_TRANSMEMBRANE_TRANSPORT	FLT_up	strong	mostly_opposite_direction	opposite	230	69	7	22	0.1014492753623188	0.3188405797101449	3	4	-0.054573807332496	Slc34a2:+0.72,q=0.000934; Slc5a6:-0.44,q=0.00123; Slc38a3:-0.39,q=0.0134; ENSMUSG00000026614:+0.44,q=0.0134; Slc43a1:-0.22,q=0.0177; Slc45a3:+0.46,q=0.028; Slc22a5:-0.33,q=0.0428; Slc2a2:-0.22,q=0.0509	The broad SLC pathway may reflect liver metabolic transporter adaptation without exact direction evidence.
liver_hvg	R-MMU-9006936_SIGNALING_BY_TGFB_FAMILY_MEMBERS	FLT_up	moderate	mostly_same_direction	opposite	116	40	3	16	0.075	0.4	3	0	-0.0503476150870292	Inhba:+0.39,q=0.0177; Nedd4l:+0.32,q=0.023; ENSMUSG00000068876:+0.36,q=0.0434; Bmp2:-0.21,q=0.0652; Tgfbr3:-0.22,q=0.164; Itga8:-0.32,q=0.167; Ltbp3:-0.18,q=0.238; Ltbp1:-0.17,q=0.274	The pathway is very plausible mechanistically but still indirect for this model.
liver_hvg	R-MMU-166663_INITIAL_TRIGGERING_OF_COMPLEMENT	FLT_up	weak	mostly_opposite_direction	opposite	126	16	1	9	0.0625	0.5625	0	1	-0.1894738379891012	C2:-0.28,q=0.0188; ENSMUSG00000076614:-0.36,q=0.0532; ENSMUSG00000036655:-0.20,q=0.166; ENSMUSG00000001128:-0.21,q=0.196; Fcna:-0.20,q=0.212; ENSMUSG00000105906:-0.27,q=0.239; C4b:-0.16,q=0.249; C1qc:-0.21,q=0.318	The liver produces complement proteins, making this plausible but not proven.
liver_hvg	R-MMU-373755_SEMAPHORIN_INTERACTIONS	FLT_up	none	no_fdr_genes	opposite	51	24	0	7	0.0	0.2916666666666667	0	0	-0.1207153701078411	Ptprc:-0.40,q=0.0548; Fyn:-0.16,q=0.13; Nrp1:-0.22,q=0.133; Sema6d:-0.16,q=0.167; Cd72:-0.19,q=0.177; Tyrobp:-0.28,q=0.227; Pak1:-0.14,q=0.239; Sema4d:-0.17,q=0.28	The term is a hypothesis-level liver remodeling signal rather than established spaceflight biology.
liver_hvg	R-MMU-977606_REGULATION_OF_COMPLEMENT_CASCADE	FLT_up	weak	mostly_opposite_direction	opposite	144	23	1	11	0.0434782608695652	0.4782608695652174	0	1	-0.1567048963331059	C2:-0.28,q=0.0188; ENSMUSG00000076614:-0.36,q=0.0532; Cpb2:-0.14,q=0.0894; C3ar1:-0.19,q=0.128; Cfhr1:-0.16,q=0.158; ENSMUSG00000001128:-0.21,q=0.196; ENSMUSG00000105906:-0.27,q=0.239; Elane:+0.04,q=0.239	Complement regulation fits liver-immune crosstalk but has indirect directional support.
liver_hvg	R-MMU-3371556_CELLULAR_RESPONSE_TO_HEAT_STRESS	FLT_up	none	no_fdr_genes	same	84	14	0	3	0.0	0.2142857142857142	0	0	0.0014715419237901	Nup210:-0.18,q=0.297; Hspa1b:-0.35,q=0.324; Hspa1a:-0.23,q=0.366; Hspa5:+0.13,q=0.498; Bag3:+0.13,q=0.603; Cryab:+0.09,q=0.694; Hsph1:-0.11,q=0.715; Nupl1:+0.01,q=0.757	Heat-stress Reactome genes overlap with proteostasis stress, which is reported in spaceflight liver.
