model	gene_id	gene_symbol	pooled_log2cpm_flt_minus_gc	pooled_p	pooled_fdr	accession_mean_log2cpm_flt_minus_gc	accession_t_p	accession_t_fdr	n_accessions_tested	n_accessions_same_direction	n_accessions_nonzero_direction	pooled_deg_fdr05	accession_deg_fdr05	any_deg_fdr05	nominal_p05
liver_hvg	ENSMUSG00000000058	Cav2	-0.20881954337977326	0.07351884977507908	0.2824398619760529	-0.17234752321309665	0.009044361592866807	0.17722975605823507	12	11	12	False	False	False	True
liver_hvg	ENSMUSG00000000120	Ngfr	-0.08537440652926742	0.37419886169063327	0.6407954755989814	-0.20299250030335805	0.15360629684841462	0.39788145844116635	12	8	12	False	False	False	False
liver_hvg	ENSMUSG00000000142	Axin2	0.07096718746607245	0.48696812720224464	0.727864689167755	-0.13258377655543885	0.32677620084231007	0.5605490289599386	12	7	12	False	False	False	False
liver_hvg	ENSMUSG00000000184	Ccnd2	-0.17406827916949652	0.06216328562662589	0.25676139715345475	-0.15587083204877936	0.16402363887915788	0.4075058026947945	12	10	12	False	False	False	False
liver_hvg	ENSMUSG00000000290	Itgb2	-0.2815378654643492	0.00291215895291279	0.05187283134875907	-0.32485628338224637	0.012787414842552016	0.1988774343596881	12	10	12	False	False	False	True
liver_hvg	ENSMUSG00000000308	Ckmt1	0.042356909989115565	0.49457856630957325	0.7335942303253521	0.006425368612027163	0.8739122307166663	0.9328276620009359	12	6	11	False	False	False	False
liver_hvg	ENSMUSG00000000489	Pdgfb	-0.03017736225668366	0.705439644416822	0.8612925891135619	-0.08089478880631139	0.2214140567679451	0.45728230010040305	12	9	12	False	False	False	False
liver_hvg	ENSMUSG00000000552	Zfp385a	0.17590165147370662	0.30259746280706157	0.5776860653589357	0.10835962941061227	0.2723626659549366	0.5111604125871105	12	8	12	False	False	False	False
liver_hvg	ENSMUSG00000000555	Itga5	0.25533338130534133	0.03678570738617233	0.19414678898257617	0.09730825474946607	0.2853769621897319	0.5232785290151794	12	9	12	False	False	False	True
liver_hvg	ENSMUSG00000000567	Sox9	0.2364308694255799	0.09140424963865984	0.31239739324804816	0.04107844698737001	0.6620261997361302	0.8107120855591077	12	8	12	False	False	False	False
liver_hvg	ENSMUSG00000000594	Gm2a	-0.10870582043661692	0.10443291415039462	0.33254378816050717	-0.13585834169227748	0.1208229064950952	0.3544730859672278	12	10	12	False	False	False	False
liver_hvg	ENSMUSG00000000628	Hk2	-0.028145113824874723	0.793537987353496	0.9056148911123009	-0.14961465109349606	0.23287946352522446	0.4688138544226264	12	7	12	False	False	False	False
liver_hvg	ENSMUSG00000000682	Cd52	-0.3630853481955545	0.00440171017359879	0.06252447742559174	-0.46006266922791444	0.006403535179062668	0.15948585222288852	12	9	12	False	False	False	True
liver_hvg	ENSMUSG00000000915	Hip1r	0.05227991229036455	0.6765140241231045	0.8445841540210222	-0.055573125906138866	0.5226037638307899	0.7097307752501196	12	5	12	False	False	False	False
liver_hvg	ENSMUSG00000000957	Mmp14	0.13412261201798437	0.13353075263406836	0.36953208218476885	0.07836417889652014	0.31260217094117576	0.5528735204145795	12	6	12	False	False	False	False
