term	reviewed_category	reviewed_category_label	observed_direction	literature_alignment	direction_assessment	confidence	review_rationale	citations	flight_minus_ground	welch_fdr	abs_effect	mean_abs_accession_effect	abs_mean_accession_effect	low_effect_threshold	category	category_label
R-MMU-168256_IMMUNE_SYSTEM	green_prior_aligned	prior literature aligned	FLT_up	aligned_direct	FLT_up aligns with inflammatory response	high	Space-flown mouse soleus up-regulated inflammatory chemokines, and modified loading literature supports immune involvement in muscle remodeling.	Gambara2017;Tidball2002;Dumont2007	0.5547286271428558	0.0999215331820903	0.5547286271428558	0.5425741133333325	0.4354141866666667	0.0298317394874073	prior_literature_match	prior literature match
R-MMU-6809371_FORMATION_OF_THE_CORNIFIED_ENVELOPE	red_conflict_or_artifact	conflict/artifact	FLT_up	artifact_off_context	FLT_up is likely off-context	high	Cornified envelope formation is a skin barrier program; keratin-related protein annotations can appear in proteomics, but this pathway is not a credible soleus adaptation label.	Murgia2024	0.3428531637142855	0.109418685819522	0.3428531637142855	0.4029332148148146	0.4029332148148146	0.0298317394874073	likely_artifact	likely artifact/junk
R-MMU-1640170_CELL_CYCLE	blue_plausible_complementary	plausible/complementary	FLT_up	plausible_indirect	FLT_up is plausible but ambiguous	medium	Space-flown soleus shows myogenic reprogramming markers, but cell-cycle pathway activation could reflect nonmyofiber cells or arrest rather than direct myofiber proliferation.	Gambara2017;Bonaldo2013	0.4363607831428573	0.1101983025180535	0.4363607831428573	0.3568721366666668	0.3384807299999999	0.0298317394874073	plausible_complementary	plausible/complementary
R-MMU-9818564_EPIGENETIC_REGULATION_OF_GENE_EXPRESSION_BY_MLL3_AND_MLL4_COMPLEXES	orange_uncertain_no_direct_support	uncertain/no direct support	FLT_up	uncertain_specific_pathway	FLT_up has no direct support	low	Spaceflight can affect transcriptional regulation, but MLL3/MLL4-specific epigenetic activation is not established for soleus unloading.	Okada2021;Gambara2017	0.4036471380142856	0.3362874106998867	0.4036471380142856	0.2897967924444443	0.2683527891111111	0.0298317394874073	broad_or_uncertain_signal	broad/uncertain signal
R-MMU-114608_PLATELET_DEGRANULATION	orange_uncertain_no_direct_support	uncertain/no direct support	FLT_up	uncertain_specific_pathway	FLT_up has weak direct support	low	Platelet degranulation may tag vascular or inflammatory components, but direct soleus-spaceflight platelet activation evidence is lacking.	Tidball2002;Frenette2000	0.2358283440428571	0.2055380851896562	0.2358283440428571	0.2866854557407407	0.1818508744074074	0.0298317394874073	broad_or_uncertain_signal	broad/uncertain signal
R-MMU-194315_SIGNALING_BY_RHO_GTPASES	blue_plausible_complementary	plausible/complementary	FLT_up	plausible_indirect	FLT_up is plausible	medium	Rho-family signaling fits cytoskeletal, adhesion, and mechanotransduction remodeling during unloading, but direct pathway-level up evidence is limited.	Murgia2024;Chopard2009	0.2675955350000008	0.2317646729484883	0.2675955350000008	0.3252975444444442	0.1773149466666668	0.0298317394874073	plausible_complementary	plausible/complementary
R-MMU-418594_G_ALPHA_I_SIGNALLING_EVENTS	blue_plausible_complementary	plausible/complementary	FLT_up	plausible_indirect	FLT_up is plausible but not directly shown	low	G-protein signaling can interact with disuse, metabolism, and inflammatory pathways, but prior soleus spaceflight studies do not establish G alpha i up-regulation.	Chopard2009;Gambara2017	0.2015407709082857	0.0142289768741291	0.2015407709082857	0.1740394551737036	0.1740394551737036	0.0298317394874073	plausible_complementary	plausible/complementary
R-MMU-163125_POST_TRANSLATIONAL_MODIFICATION_SYNTHESIS_OF_GPI_ANCHORED_PROTEINS	orange_uncertain_no_direct_support	uncertain/no direct support	FLT_up	uncertain_specific_pathway	FLT_up has no direct support	low	GPI-anchor biosynthesis is a specific membrane-PTM pathway without direct soleus microgravity direction evidence.	Gambara2017;Tascher2017	0.1749536393214286	0.1231278091394413	0.1749536393214286	0.2338074661574074	0.1631086761574074	0.0298317394874073	broad_or_uncertain_signal	broad/uncertain signal
R-MMU-373076_CLASS_A_1_RHODOPSIN_LIKE_RECEPTORS	blue_plausible_complementary	plausible/complementary	FLT_up	plausible_indirect	FLT_up is plausible for GPCR biology	low	This Reactome family mostly represents class A GPCRs, not only visual rhodopsin; GPCR signaling is plausible in stress and inflammatory remodeling, but direction evidence is weak.	Chopard2009;Gambara2017	0.1738485696571428	0.1103080975065367	0.1738485696571428	0.1761718880370369	0.1425560493703703	0.0298317394874073	likely_artifact	likely artifact/junk
R-MMU-73894_DNA_REPAIR	blue_plausible_complementary	plausible/complementary	FLT_up	plausible_indirect	FLT_up is plausible under space stress	medium	Spaceflight combines unloading with oxidative and radiation stress, making DNA repair plausible, but skeletal-muscle-specific direction is indirect.	Murgia2024;Tascher2017	0.1747503382857143	0.1233701063567364	0.1747503382857143	0.1401184675925924	0.1401184675925924	0.0298317394874073	plausible_complementary	plausible/complementary
