tissue_slug	id.accession	FLT	GC	total
liver	OSD-379	35	35	70
liver	OSD-245	20	19	39
liver	OSD-168	14	14	28
liver	OSD-457	12	12	24
liver	OSD-463	12	10	22
liver	OSD-48	7	7	14
liver	OSD-137	6	6	12
liver	OSD-686	6	3	9
liver	OSD-242	5	4	9
liver	OSD-164	3	3	6
liver	OSD-47	3	3	6
liver	OSD-173	2	2	4
skeletal_muscle	OSD-714	12	9	21
skeletal_muscle	OSD-665	10	10	20
skeletal_muscle	OSD-666	10	10	20
skeletal_muscle	OSD-770	10	10	20
skeletal_muscle	OSD-576	9	9	18
skeletal_muscle	OSD-101	6	6	12
skeletal_muscle	OSD-103	6	6	12
skeletal_muscle	OSD-104	6	6	12
skeletal_muscle	OSD-105	6	6	12
skeletal_muscle	OSD-401	6	6	12
skeletal_muscle	OSD-99	6	6	12
skeletal_muscle	OSD-419	4	8	12
skeletal_muscle	OSD-326	4	4	8
skin	OSD-254	20	20	40
skin	OSD-243	18	19	37
skin	OSD-240	10	10	20
skin	OSD-241	9	10	19
skin	OSD-238	12	6	18
skin	OSD-239	11	6	17
kidney	OSD-771	20	20	40
kidney	OSD-253	20	19	39
kidney	OSD-513	10	10	20
kidney	OSD-102	6	6	12
kidney	OSD-163	6	6	12
kidney	OSD-457	6	6	12
thymus	OSD-244	19	19	38
thymus	OSD-457	12	12	24
thymus	OSD-421	10	10	20
thymus	OSD-515	10	10	20
thymus	OSD-289	12	3	15
spleen	OSD-246	15	16	31
spleen	OSD-457	12	12	24
spleen	OSD-420	10	10	20
spleen	OSD-506	9	10	19
spleen	OSD-288	6	3	9
spleen	OSD-164	3	3	6
lung	OSD-248	20	19	39
lung	OSD-900	10	10	20
lung	OSD-464	10	9	19
retina	OSD-758	23	12	35
retina	OSD-397	9	7	16
retina	OSD-255	8	8	16
retina	OSD-194	5	4	9
skeletal_muscle_soleus	OSD-714	12	9	21
skeletal_muscle_soleus	OSD-770	10	10	20
skeletal_muscle_soleus	OSD-104	6	6	12
skeletal_muscle_quadriceps	OSD-666	10	10	20
skeletal_muscle_quadriceps	OSD-103	6	6	12
skeletal_muscle_quadriceps	OSD-326	4	4	8
skeletal_muscle_quadriceps	OSD-401	3	3	6
skeletal_muscle_gastrocnemius	OSD-101	6	6	12
skeletal_muscle_gastrocnemius	OSD-419	4	8	12
skeletal_muscle_gastrocnemius	OSD-401	3	3	6
skeletal_muscle_edl	OSD-665	10	10	20
skeletal_muscle_edl	OSD-99	6	6	12
skeletal_muscle_tibialis_anterior	OSD-576	9	9	18
skeletal_muscle_tibialis_anterior	OSD-105	6	6	12
